MountainCar_mu1_higher,ReturnLastEpisode,MinEpLen,AvgEpLen,TimeElapsed,Iteration,Regret,MountainCar_std1_higher,ReturnMean,ActionIn1,NumTrajectories,Regret/t,MountainCar_mu0_higher,GridSize,MountainCar_std0_higher
-10.0,-1.5196491919012503,500,500.0,0.2136695384979248,1,2.1196491919012503,1.5,-1.5196491919012503,-11.986649,1,2.1196491919012503,-1.0,400,0.14999999
-1.5789474,-0.36642962011928093,500,500.0,0.4218788146972656,2,3.0860788120205314,1.5,-0.9430394060102656,-5.228436,2,1.5430394060102657,0.47368422,400,0.14999999
6.8421054,-1.7334422845858526,500,500.0,0.6102583408355713,3,5.419521096606384,1.5,-1.206507032202128,4.881694,3,1.806507032202128,-1.0,400,0.14999999
-5.7894735,-3.5760029066609693,500,500.0,0.7515780925750732,4,9.595524003267354,1.5,-1.7988810008168383,-3.5239928,4,2.3988810008168384,1.0,400,0.14999999
2.631579,-7.684886019043053,500,500.0,0.922950029373169,5,17.880410022310407,1.5,-2.9760820044620813,4.0594573,5,3.5760820044620814,1.0,400,0.14999999
10.0,-6.037948839902692,500,500.0,1.051692247390747,6,24.5183588622131,1.5,-3.4863931437021836,11.586232,6,4.086393143702183,1.0,400,0.14999999
-3.6842105,-2.368502118934685,500,500.0,1.182912826538086,7,27.486860981147785,1.5,-3.326694425878255,-6.451399,7,3.9266944258782552,-1.0,400,0.14999999
0.5263158,-1.5651743714201525,500,500.0,1.3559668064117432,8,29.65203535256794,1.5,-3.1065044190709923,0.038457453,8,3.7065044190709924,-1.0,400,0.14999999
-8.947369,-3.8907401685407597,500,500.0,1.5318849086761475,9,34.142775521108696,1.5,-3.193641724567633,-8.098459,9,3.793641724567633,1.0,400,0.14999999
5.7894735,-9.586827428271953,500,500.0,1.7290289402008057,10,44.32960294938065,1.5,-3.832960294938065,9.332281,10,4.432960294938065,1.0,400,0.14999999
-6.8421054,-1.5318635058903314,500,500.0,1.9386932849884033,11,46.46146645527098,1.5,-3.6237696777519073,-8.224605,11,4.223769677751907,-1.0,400,0.14999999
8.947369,-0.3648855282401384,424,493.6666666666667,2.1121466159820557,12,47.42635198351112,1.5,-3.3521959986259264,9.099733,12,3.9521959986259265,-1.0,400,0.14999999
3.6842105,-2.1292738900565196,424,494.15384615384613,2.3293821811676025,13,50.15562587356764,1.5,-3.2581250671975104,3.9272954,13,3.8581250671975105,-1.0,400,0.14999999
-3.6842105,-5.604342274347772,424,494.57142857142856,2.5497231483459473,14,56.35996814791541,1.5,-3.425712010565386,-2.28801,14,4.025712010565386,1.0,400,0.14999999
-1.5789474,-2.008834397723162,424,494.93333333333334,2.729684591293335,15,58.968802545638574,1.5,-3.331253503042571,-1.3631884,15,3.9312535030425715,-1.0,400,0.14999999
-0.5263158,-10.49843993860618,424,495.25,2.916839361190796,16,70.06724248424476,1.5,-3.779202655265297,-1.0805457,16,4.379202655265297,1.0,400,0.14999999
10.0,2.2006692147815343,324,485.1764705882353,3.0751307010650635,17,68.46657326946323,1.5,-3.4274454864390127,11.09683,17,4.027445486439014,-1.0,400,0.14999999
-2.631579,-0.02964629954739866,324,486.0,3.2773597240448,18,69.09621956901063,1.5,-3.2386788649450344,-2.101556,18,3.838678864945035,0.05263158,400,0.14999999
10.0,5.841793353307723,269,474.57894736842104,3.4163057804107666,19,63.85442621570291,1.5,-2.760759274510679,12.5299425,19,3.3607592745106794,-0.68421054,400,0.14999999
10.0,0.8362378031266338,269,473.8,3.6048319339752197,20,63.61818841257627,1.5,-2.580909420628813,6.5305657,20,3.1809094206288138,-0.2631579,400,0.14999999
10.0,-0.2884371305268294,269,475.0,3.7978641986846924,21,64.5066255431031,1.5,-2.4717440734810996,9.413252,21,3.0717440734811,-0.68421054,400,0.14999999
10.0,5.926429816371389,259,465.1818181818182,3.9319007396698,22,59.18019572673171,1.5,-2.0900088966696226,8.578665,22,2.690008896669623,-0.7894737,400,0.14999999
10.0,0.5156486992466869,259,465.9130434782609,4.125830173492432,23,59.26454702748502,1.5,-1.9767194359776092,9.213304,23,2.5767194359776098,0.47368422,400,0.14999999
10.0,1.9633705558786558,259,461.6666666666667,4.2890543937683105,24,57.90117647160637,1.5,-1.812549019650265,11.386504,24,2.4125490196502652,0.15789473,400,0.14999999
10.0,-2.465371935974201,259,463.2,4.566869258880615,25,60.96654840758057,1.5,-1.8386619363032224,12.386273,25,2.4386619363032227,-0.8947368,400,0.14999999
10.0,-4.755524267303321,259,464.61538461538464,4.78252911567688,26,66.32207267488388,1.5,-1.9508489490339955,11.621514,26,2.5508489490339956,0.7894737,400,0.14999999
10.0,0.8094929353460661,259,464.8888888888889,5.006796360015869,27,66.11257973953782,1.5,-1.8486140644273266,7.801514,27,2.4486140644273267,-0.05263158,400,0.14999999
10.0,2.6172264733563955,259,460.2857142857143,5.161007404327393,28,64.09535326618142,1.5,-1.6891197595064793,8.3663025,28,2.2891197595064794,-0.68421054,400,0.14999999
8.947369,-1.4178545094383688,259,461.6551724137931,5.400991916656494,29,66.11320777561978,1.5,-1.6797657853661998,8.416467,29,2.2797657853661994,0.36842105,400,0.14999999
10.0,2.7485530103642923,259,457.5,5.610418319702148,30,63.96465476525549,1.5,-1.53215515884185,8.687537,30,2.1321551588418495,-0.68421054,400,0.14999999
10.0,1.1682052692112008,259,455.9032258064516,5.869364976882935,31,63.39644949604429,1.5,-1.445046757936913,8.759391,31,2.0450467579369125,-0.68421054,400,0.14999999
10.0,2.4532088798928906,259,452.125,6.080017805099487,32,61.5432406161514,1.5,-1.3232262692547316,11.457346,32,1.9232262692547313,-0.68421054,400,0.14999999
1.5789474,-1.7723493531989478,259,453.57575757575756,6.3998801708221436,33,63.91558996935035,1.5,-1.3368360596772837,-0.03618014,33,1.9368360596772833,-1.0,400,0.14999999
10.0,1.9251925336099762,259,451.1764705882353,6.623500108718872,34,62.59039743574037,1.5,-1.2408940422276584,8.421701,34,1.840894042227658,-0.68421054,400,0.14999999
-7.894737,-1.298675612494992,259,452.57142857142856,6.825779914855957,35,64.48907304823537,1.5,-1.2425449442352965,-7.7764063,35,1.8425449442352964,-1.0,400,0.14999999
10.0,2.714036998488943,259,449.22222222222223,6.990925312042236,36,62.37503604974643,1.5,-1.1326398902707342,10.024546,36,1.732639890270734,-0.68421054,400,0.14999999
10.0,0.27608475299909485,259,448.81081081081084,7.178649663925171,37,62.69895129674733,1.5,-1.0945662512634415,8.845298,37,1.6945662512634414,-0.68421054,400,0.14999999
-5.7894735,-1.7253072262865219,259,450.1578947368421,7.422643661499023,38,65.02425852303385,1.5,-1.1111646979745753,-6.976366,38,1.711164697974575,-1.0,400,0.14999999
10.0,2.2867003904842313,259,446.8974358974359,7.589439392089844,39,63.33755813254962,1.5,-1.024039952116657,11.717985,39,1.6240399521166569,-0.68421054,400,0.14999999
10.0,2.559975686213897,259,443.975,7.751588821411133,40,61.37758244633572,1.5,-0.9344395611583932,9.327353,40,1.534439561158393,-0.68421054,400,0.14999999
10.0,2.277109403856756,259,441.2439024390244,7.935372352600098,41,59.70047304247897,1.5,-0.8561090985970482,8.294212,41,1.456109098597048,-0.68421054,400,0.14999999
10.0,-0.994680523016056,259,442.4761904761905,8.16209626197815,42,61.29515356549503,1.5,-0.8594084182260722,7.7001457,42,1.459408418226072,-0.68421054,400,0.14999999
4.736842,0.972843545428006,259,439.90697674418607,8.34644341468811,43,60.92231002006702,1.5,-0.8167979074434192,5.1155334,43,1.4167979074434192,-1.0,400,0.14999999
5.7894735,0.8016492764775967,259,437.4318181818182,8.529653549194336,44,60.72066074358943,1.5,-0.7800150168997597,7.490818,44,1.3800150168997598,-1.0,400,0.14999999
10.0,-1.377767875119745,259,438.8222222222222,8.799424171447754,45,62.69842861870917,1.5,-0.7932984137490927,6.9797378,45,1.3932984137490927,-0.68421054,400,0.14999999
-2.631579,-5.269543448570633,259,440.1521739130435,9.00194764137268,46,68.56797206727981,1.5,-0.8906080884191262,-2.857544,46,1.4906080884191264,1.0,400,0.14999999
-1.5789474,-0.029486987129803712,259,441.4255319148936,9.231088638305664,47,69.19745905440962,1.5,-0.8722863628597788,-0.71542335,47,1.472286362859779,-0.15789473,400,0.14999999
10.0,-0.873791812585446,259,442.5,9.503207206726074,48,70.67125086699507,1.5,-0.8723177263957301,9.182524,48,1.4723177263957306,-0.7894737,400,0.14999999
10.0,2.137321903905442,259,439.9795918367347,9.718491315841675,49,69.13392896308963,1.5,-0.8108965094508083,10.684855,49,1.4108965094508088,-1.0,400,0.14999999
10.0,-0.24749961624401773,259,439.68,9.927197694778442,50,69.98142857933365,1.5,-0.7996285715866724,10.259998,50,1.399628571586673,-1.0,400,0.14999999
