GridSize,NumTrainableParams,IWMax,ReturnMin,IWLastEpisode,ReturnLastEpisode,DenMISEMeanLog,Iteration,ReturnMax,IWFirstEpisode,Delta,NumTrajectories,ReturnMean,IWMean,AvgEpLen,TimestepsSoFar,Bound,Regret,ReturnAbsMax,Regret/t,LQGsigma_higher,LQGmu1_actor,TimeElapsed,BoundBonus,BoundMISE,LQGmu1_higher,MinEpLen,DenMISELogLast,IWMin,DenMISELogFirst
100,1,,2.700924,,2.700924,3.6700199,1,2.700924,,0.2,1,2.700924,,20.0,20,inf,2.299076,2.700924,2.299076,0.01,-0.9928604,0.02597951889038086,inf,,-1.0,20,3.6700199,,3.6700199
100,,1.8942489e-19,2.700924,1.8942489e-19,18.18701,2.857543,2,18.18701,,0.2,2,10.443967,9.4712445e-20,20.0,40,inf,-10.887934,18.18701,-5.443967,0.01,-0.8969733,0.2666933536529541,inf,1.7225362e-18,-0.8989899,20,2.7382135,,2.9768727
100,,1.6074181e-21,2.700924,1.6074181e-21,18.193287,2.4904807,3,18.193287,,0.2,3,13.027074,5.3580604e-22,20.0,60,inf,-24.081223,18.193287,-8.027074,0.01,-0.8064251,0.41036391258239746,inf,9.748072e-21,-0.7979798,20,2.567286,,2.5714076
100,,5.51618e-26,2.700924,5.51618e-26,18.195011,2.137929,4,18.195011,,0.2,4,14.319057,1.379045e-26,20.0,80,inf,-37.27623,18.195011,-9.319057,0.01,-0.70094675,0.5419297218322754,inf,2.509174e-25,-0.6969697,20,1.94332,,2.2837255
100,,6.290652e-24,2.700924,6.290652e-24,18.190159,1.93137,5,18.195011,,0.2,5,15.093277,1.2581304e-24,20.0,100,inf,-50.466385,18.195011,-10.093277,0.01,-0.5919145,0.6678502559661865,inf,2.2885592e-23,-0.5959596,20,1.9977088,,2.060582
100,,2.494867e-20,2.700924,2.494867e-20,18.18987,1.7596499,6,18.195011,,0.2,6,15.609378,4.1581117e-21,20.0,120,inf,-63.656265,18.195011,-10.609378,0.01,-0.5023968,0.7963089942932129,inf,7.5635515e-20,-0.4949495,20,1.8126569,,1.8782604
100,,2.6453107e-25,2.700924,2.6453107e-25,18.194551,1.5851433,7,18.195011,,0.2,7,15.978688,3.7790154e-26,20.0,140,inf,-76.850815,18.195011,-10.978688,0.01,-0.3985454,0.9279465675354004,inf,6.8757486e-25,-0.3939394,20,1.4630077,,1.7241098
100,,5.33205e-24,2.700924,5.33205e-24,18.186646,1.4577496,8,18.195011,,0.2,8,16.254683,6.6650626e-25,20.0,160,inf,-90.03746,18.195011,-11.254683,0.01,-0.29553127,1.058138132095337,inf,1.2121513e-23,-0.2929293,20,1.5007136,,1.5905783
100,,4.5413372e-23,2.700924,4.5413372e-23,18.192173,1.3527654,9,18.195011,,0.2,9,16.469961,5.0459302e-24,20.0,180,inf,-103.229645,18.195011,-11.469961,0.01,-0.17783153,1.1897509098052979,inf,9.179643e-23,-0.1919192,20,1.4551556,,1.4727952
100,,1.0577306e-15,2.700924,1.0577306e-15,18.188028,1.1617979,10,18.195011,,0.2,10,16.641766,1.0577306e-16,20.0,200,inf,-116.41766,18.195011,-11.641766,0.01,-0.0979609,1.3211121559143066,inf,1.9238035e-15,-0.09090909,20,0.3913355,,1.3674347
