PlainReturnMean,UndEpRewMean,EpLenMean,MinIW,ReturnMeanIw,EpRewMean,InitialReturnStd,TimestepsSoFar,UncReturnMax,TimeElapsed,InitialReturnMax,StdIWNorm,MaxIW,Iteration,IterType,Bound,PlainReturnMax,Weights,ESSRenyi,UncReturnMean,InitialReturnMin,InitialReturnMean,InitialBound,BatchSize,EpThisIter,StdIW,UncReturnStd,PlainReturnStd,ESSClassic,MeanIW,NumTrajectories,MaxIWNorm,MeanIWNorm,MinIWNorm,D2,UncReturnMin,PlainReturnMin
-0.38867485451981637,-0.550975812810514,600.0,0.9994911,-0.38863054,-0.550975812810514,0.46117138496771987,3000,-4.438760469401091e-05,3.6463682651519775,-4.438760469401091e-05,2.0106261e-05,1.0001042,,1,-1.044457,-4.438760469401091e-05,[0.00587336 0.0142819 ],5.0,-0.38867485451981637,-1.2880174710862489,-0.38867485451981637,-1.0445013,5,5,0.0001809411,0.46117138496771987,0.46117138496771987,8.99999952312567,0.99992204,5,0.111131355,0.11111111,0.11106323,3.826206e-08,-1.2880174710862489,-1.2880174710862489
-0.5903517443748572,-0.39179985835748965,600.0,0.4321676,-0.309231,-0.39179985835748965,0.7710584130949977,6000,-0.00017898271936809436,5.723950386047363,-0.00017898271936809436,0.050117187,1.3479197,1,1,-1.2763231,-0.00017898271936809436,[0.00586633 0.01399703],3.9059852603978378,-0.5903517443748572,-1.6787304483382497,-0.5903517443748572,-1.4451196,5,5,0.4082259,0.7710584130949977,0.7710584130949977,7.478497657452866,0.9050474,10,0.16548178,0.11111111,0.05305647,0.24692786,-1.6787304483382497,-1.6787304483382497
-0.25906728838539367,-0.35790743341871745,600.0,0.27946556,-0.14886202,-0.35790743341871745,0.3979955466352509,9000,-2.6859551267586004e-05,7.5885186195373535,-2.6859551267586004e-05,0.036295578,0.9531321,2,1,-0.8653188,-2.6859551267586004e-05,[0.05754657 0.5511217 ],4.484597848725184,-0.25906728838539367,-1.3325993411668935,-0.25906728838539367,-0.93759364,5,5,0.23014429,0.3979955466352509,0.3979955466352509,8.132235656219377,0.7045373,15,0.15031648,0.1111111,0.044073932,0.108789094,-1.3325993411668935,-1.3325993411668935
-0.5990731721293155,-0.6096173162654969,600.0,0.19765696,-0.37811136,-0.6096173162654969,0.5968341086545317,12000,-0.0005074334654021087,9.311007022857666,-0.0005074334654021087,0.06508576,1.4952514,3,1,-1.1882243,-0.0005074334654021087,[0.04453877 1.0284635 ],4.20953409435337,-0.5990731721293155,-1.459857296646839,-0.5990731721293155,-1.3423961,5,5,0.4072824,0.5968341086545317,0.5968341086545317,6.700773262775705,0.6952919,20,0.23894863,0.11111113,0.03158657,0.17208593,-1.459857296646839,-1.459857296646839
-0.13659005923446566,-0.13659293132981437,600.0,1.0,-0.13659006,-0.13659293132981437,0.16967033910075147,15000,-0.00045207479476119805,11.075666904449463,-0.00045207479476119805,,1.0,4,1,-0.36699304,-0.00045207479476119805,[0.02723232 1.6261607 ],5.0,-0.13659005923446566,-0.4525024511028871,-0.13659005923446566,-0.36699304,5,5,,0.16967033910075147,0.16967033910075147,9.0,1.0,25,0.11111111,0.11111111,0.11111111,,-0.4525024511028871,-0.4525024511028871
-0.22466556605594093,-0.15630715109515467,600.0,1.0,-0.22466557,-0.15630715109515467,0.26263340112528266,18000,-3.284805636895177e-05,12.862109422683716,-3.284805636895177e-05,,1.0,5,1,-0.55103093,-3.284805636895177e-05,[0.02723232 1.6261607 ],5.0,-0.22466556605594093,-0.6409688132171244,-0.22466556605594093,-0.55103093,5,5,,0.26263340112528266,0.26263340112528266,9.0,1.0,30,0.11111111,0.11111111,0.11111111,,-0.6409688132171244,-0.6409688132171244
-0.3132250930813693,-0.30487437134494005,600.0,0.50116116,-0.17086594,-0.30487437134494005,0.31147746450362707,21000,-0.00010391997195589032,14.639842510223389,-0.00010391997195589032,0.062003244,2.3688483,6,1,-0.5964878,-0.00010391997195589032,[0.02723232 1.6261607 ],3.5430248227750147,-0.3132250930813693,-0.7036535719422721,-0.3132250930813693,-0.67150795,5,5,0.65032595,0.31147746450362707,0.31147746450362707,6.862913476349275,1.1653976,35,0.22585027,0.111111104,0.04778161,0.3444571,-0.7036535719422721,-0.7036535719422721
-0.4886986476360208,-0.867421226913321,600.0,0.6111225,-0.37607586,-0.867421226913321,0.9220834946775412,24000,-0.00042470166036615855,16.397423028945923,-0.00042470166036615855,0.018478127,1.0754989,7,1,-1.7839437,-0.00042470166036615855,[0.08710335 0.98073494],4.650877376429967,-0.4886986476360208,-2.6667186010053,-0.4886986476360208,-1.8465252,5,5,0.14877453,0.9220834946775412,0.9220834946775412,8.75778638264584,0.8945984,40,0.13357936,0.11111113,0.07590277,0.07238201,-2.6667186010053,-2.6667186010053
-0.22339770899309708,-0.30164075816957475,600.0,1.0,-0.22339772,-0.30164075816957475,0.33568992410156345,27000,-0.00022471564689011125,18.13945436477661,-0.00022471564689011125,,1.0,8,1,-0.77645767,-0.00022471564689011125,[0.04867607 1.1039984 ],5.0,-0.22339770899309708,-1.0861882221914076,-0.22339770899309708,-0.77645767,5,5,,0.33568992410156345,0.33568992410156345,9.0,1.0,45,0.11111111,0.11111111,0.11111111,,-1.0861882221914076,-1.0861882221914076
-0.4114200787826443,-0.6598183655443747,600.0,0.47524294,-0.2569566,-0.6598183655443747,0.7623687611497312,30000,-6.673037493169255e-05,19.924556732177734,-6.673037493169255e-05,0.02564392,1.157919,9,1,-1.5876379,-6.673037493169255e-05,[0.04867607 1.1039984 ],4.5974018998805795,-0.4114200787826443,-2.505983451503599,-0.4114200787826443,-1.6874044,5,5,0.22090125,0.7623687611497312,0.7623687611497312,8.544845505856985,0.9571307,50,0.13442017,0.11111111,0.05516987,0.08394653,-2.505983451503599,-2.505983451503599
