InitialReturnMin,TimestepsSoFar,MinIWNorm,IterType,EpRewMean,PlainReturnMin,ReturnMean,InitialReturnMean,EpLenMean,ESSClassic,Iteration,Weights,D2,ESSRenyi,InitialBound,UncReturnMin,StdIW,PlainReturnMean,PlainReturnMax,UncReturnStd,UncReturnMax,EpThisIter,TimeElapsed,MeanIW,PlainReturnStd,StdIWNorm,MaxIWNorm,MaxIW,UndEpRewMean,MinIW,MeanIWNorm,NumTrajectories,ReturnMeanIw,Bound,UncReturnMean,InitialReturnMax,InitialReturnStd,BatchSize
-3.309736527857549,99900,0.01,1,-0.5540306601926804,-3.309736527857549,-0.5540306601926804,-0.5540306601926804,999.0,100.0,,[0.00587336 0.0142819 ],,100.0,-1.0596013,-3.309736527857549,,-0.5540306601926804,-0.0002520194616226357,0.6671457628844405,-0.0002520194616226357,100,28.60973072052002,1.0,0.6671457628844405,1.8626451e-09,0.01,1.0,-0.5540306601926804,1.0,0.009999998,100,-0.55403066,-1.0596013,-0.5540306601926804,-0.0002520194616226357,0.6671457628844405,100
-7.979621051803252,199765,0.0006838864,1,0.331145232836641,-7.979621051803252,-0.11144271367801967,0.331145232836641,998.65,32.74169309253176,1,[0.00587336 0.0142819 ],0.9828193,37.42544787045987,-14.409367,-7.979621051803252,1.2687553,0.331145232836641,96.49930643180109,9.729709253078168,96.49930643180109,100,55.49927282333374,0.8852286,9.729709253078168,0.014332516,0.12353119,10.935334,0.331145232836641,0.06053958,0.01,200,11.408911,-12.686209,0.331145232836641,96.49930643180109,9.729709253078168,100
-5.081208978989321,299464,0.0054157786,1,0.19589966883373625,-5.081208978989321,-0.008995252840767687,0.19589966883373625,996.99,97.0691193926109,2,[-0.1030676  1.0264726],0.034647495,96.59458524568228,-14.669708,-5.081208978989321,0.1727795,0.19589966883373625,97.31825224873603,9.812527815132869,97.31825224873603,100,81.92765593528748,0.99433714,9.812527815132869,0.0017376349,0.015192585,1.5106552,0.19589966883373625,0.538511,0.01,300,0.63789034,-14.48749,0.19589966883373625,97.31825224873603,9.812527815132869,100
-6.560821848049559,398727,0.0003670484,1,2.215042218328878,-6.560821848049559,0.5470141149516438,2.215042218328878,992.63,42.00005545693425,3,[-0.11815508  1.2614058 ],0.98400277,37.38118253225698,-12.965546,-6.560821848049559,0.92347974,2.215042218328878,99.38028095274306,16.857498188017097,99.38028095274306,100,108.15097141265869,0.7858479,16.857498188017097,0.01175138,0.075345844,5.9210377,2.215042218328878,0.028844424,0.009999999,400,17.03637,-7.7927933,2.215042218328878,99.38028095274306,16.857498188017097,100
-7.326595394884467,494871,0.00028632922,1,17.33945848251934,-7.326595394884467,3.9055029884651833,17.33945848251934,961.44,32.07069869459799,4,[-0.18642882  2.5834785 ],1.2845931,27.67631666933798,2.1575155,-7.326595394884467,1.3966628,17.33945848251934,99.38914343974287,38.92496790267907,99.38914343974287,100,133.8503201007843,0.95965964,38.92496790267907,0.014553731,0.11472251,11.009457,17.33945848251934,0.02747786,0.01,500,51.888416,23.029953,17.33945848251934,99.38914343974287,38.92496790267907,100
-4.881203258720282,582881,0.0005130641,1,43.37454243739873,-4.881203258720282,10.48367622995411,43.37454243739873,880.1,47.81197506356853,5,[-0.20182104  4.2765946 ],0.9159836,40.012287098355934,28.198067,-4.881203258720282,0.96901596,43.37454243739873,99.35333057230486,49.270465083946924,99.35333057230486,100,157.3562285900116,0.92749983,49.270465083946924,0.010447613,0.056174427,5.2101774,43.37454243739873,0.047586687,0.01,600,72.680275,48.68785,43.37454243739873,99.35333057230486,49.270465083946924,100
-7.937164510301205,658971,0.0011567008,1,66.12185176553876,-7.937164510301205,18.43198702075192,66.12185176553876,760.9,57.74078262028652,6,[-0.2699523  5.5402308],0.62612015,53.46621840221273,50.962715,-7.937164510301205,0.82392335,66.12185176553876,99.2398224660579,46.27407686070568,99.2398224660579,100,177.970383644104,0.96309114,46.27407686070568,0.008554989,0.047765862,4.600288,66.12185176553876,0.11140082,0.01,700,83.32541,62.593723,66.12185176553876,99.2398224660579,46.27407686070568,100
-4.477876242672257,718835,0.0039866264,1,89.48115491812615,-4.477876242672257,27.313133007923703,89.48115491812615,598.64,87.05417526012353,7,[-0.262179  6.724599],0.11951228,88.73531406353847,74.31516,-4.477876242672257,0.39033508,89.48115491812615,99.28473149089938,27.226449140059255,99.28473149089938,100,194.02855682373047,1.0122032,27.226449140059255,0.0038562918,0.024501264,2.4800258,89.48115491812615,0.4035276,0.010000002,800,91.94466,75.84477,89.48115491812615,99.28473149089938,27.226449140059255,100
-7.449279640020492,773692,0.0037784996,1,92.18061827097505,-7.449279640020492,34.52063137048496,92.18061827097505,548.57,87.36444584133775,8,[-0.27451608  7.2282677 ],0.11959742,88.72775858490964,77.025154,-7.449279640020492,0.4045316,92.18061827097505,99.21579546700194,21.984616969269865,99.21579546700194,100,208.97268271446228,1.0637091,21.984616969269865,0.0038030283,0.023768019,2.528226,92.18061827097505,0.40192243,0.010000002,900,94.676254,78.58687,92.18061827097505,99.21579546700194,21.984616969269865,100
-6.133755190596186,828362,0.0039344463,1,91.27022644893027,-6.133755190596186,40.1955908783295,91.27022644893027,546.7,91.28826232743837,9,[-0.2542247  7.7056775],0.10273102,90.23696674307423,76.15423,-6.133755190596186,0.3228959,91.27022644893027,98.95741975358142,23.74558297089477,98.95741975358142,100,223.50938081741333,1.0452433,23.74558297089477,0.0030891937,0.020101503,2.1010962,91.27022644893027,0.41124535,0.01,1000,93.157524,77.244804,91.27022644893027,98.95741975358142,23.74558297089477,100
-7.563855453476963,881952,0.00484236,1,94.46234179066329,-7.563855453476963,45.12893187035984,94.46234179066329,535.9,91.71693769291296,10,[-0.24127896  8.168695  ],0.068694144,93.36121650152307,79.288155,-7.563855453476963,0.30248058,94.46234179066329,99.33837815773344,17.304018315987395,99.33837815773344,100,238.06775307655334,1.0065302,17.304018315987395,0.0030051817,0.020443873,2.0577376,94.46234179066329,0.48739815,0.01,1100,95.774895,80.070465,94.46234179066329,99.33837815773344,17.304018315987395,100
94.45892075774701,932317,0.008887108,1,97.57910837190114,94.45892075774701,49.49977991215495,97.57910837190114,503.65,99.73347106665221,11,[-0.2224278  8.513696 ],0.0024418025,99.75612180876087,82.415245,94.45892075774701,0.05199617,97.57910837190114,99.27079581058422,1.01359981400959,99.27079581058422,100,251.4254231452942,1.0058144,1.01359981400959,0.00051695586,0.011401694,1.1467988,97.57910837190114,0.8938782,0.01,1200,97.616325,82.43394,97.57910837190114,99.27079581058422,1.01359981400959,100
-2.300163330807678,980867,0.00830108,1,95.5320989420085,-2.300163330807678,53.04072752983599,95.5320989420085,485.5,99.26882634004303,12,[-0.21540982  8.489845  ],0.0075495676,99.24788616614558,80.39087,-2.300163330807678,0.08444976,95.5320989420085,99.12258636838284,13.91176958571412,99.12258636838284,100,264.6110417842865,0.9839966,13.91176958571412,0.00085823226,0.012085005,1.1891605,95.5320989420085,0.8168235,0.010000002,1300,95.645546,80.44706,95.5320989420085,99.12258636838284,13.91176958571412,100
92.5704786869379,1032992,0.008942581,1,97.4607741569835,92.5704786869379,56.213588003203675,97.4607741569835,521.25,99.73619404081843,13,[-0.21591671  8.620079  ],0.0030530763,99.69516028626647,82.337296,92.5704786869379,0.05143465,97.4607741569835,99.00640010727582,1.1737032189624494,99.00640010727582,100,278.3833794593811,1.0000393,1.1737032189624494,0.00051432627,0.011439991,1.144044,97.4607741569835,0.89429325,0.009999999,1400,97.50764,82.36105,97.4607741569835,99.00640010727582,1.1737032189624494,100
-2.12715342891666,1082375,0.007095478,1,96.59444991125612,-2.12715342891666,58.9056454637405,96.59444991125612,493.83,98.02996512425152,14,[-0.20772298  8.607601  ],0.015722271,98.4400703253333,81.41821,-2.12715342891666,0.14426595,96.59444991125612,99.35180970380152,9.9854299304763,99.35180970380152,100,291.803022146225,1.0176735,9.9854299304763,0.0014176053,0.014194716,1.4445586,96.59444991125612,0.722088,0.01,1500,96.87225,81.57624,96.59444991125612,99.35180970380152,9.9854299304763,100
-2.604237650770489,1131678,0.007433003,1,96.74450031250024,-2.604237650770489,61.27057389178798,96.74450031250024,493.03,98.39413460321165,15,[-0.19637847  8.757619  ],0.015294489,98.48218350686214,81.59984,-2.604237650770489,0.12870437,96.74450031250024,99.14507006870855,10.032909103938973,99.14507006870855,100,305.2519540786743,1.0074443,10.032909103938973,0.0012775334,0.014240489,1.43465,96.74450031250024,0.74883366,0.01,1600,97.009476,81.74856,96.74450031250024,99.14507006870855,10.032909103938973,100
