NumTrainableParams,Iteration,ReturnMean,TimeElapsed,MinEpLen,AvgEpLen,NumTrajectories,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher,LQGmu1_actor
1,1,0.0012218198,0.027246475219726562,20,20.0,1,20,1.0,0.14999999,1.107094
,2,0.0006109099,0.07742428779602051,20,20.0,2,40,1.0,0.14999999,1.0302494
,3,0.00040727327,0.0868222713470459,20,20.0,3,60,1.0,0.14999999,0.8733205
,4,0.0016656835,0.09491300582885742,20,20.0,4,80,1.0,0.14999999,0.94034386
,5,0.0018633303,0.10374617576599121,20,20.0,5,100,1.0,0.14999999,1.0606768
,6,0.0015527752,0.11347842216491699,20,20.0,6,120,1.0,0.14999999,0.88828987
,7,0.0020218524,0.12458348274230957,20,20.0,7,140,1.0,0.14999999,0.9309098
,8,0.0021514539,0.13461089134216309,20,20.0,8,160,1.0,0.14999999,0.96097046
,9,0.0021073772,0.14249706268310547,20,20.0,9,180,1.0,0.14999999,1.2113148
,10,0.0018966394,0.15174579620361328,20,20.0,10,200,1.0,0.14999999,0.894223
,11,0.0021418394,0.1594836711883545,20,20.0,11,220,1.0,0.14999999,0.9711762
,12,0.0020719077,0.16926789283752441,20,20.0,12,240,1.0,0.14999999,0.97158206
,13,0.002011344,0.17731142044067383,20,20.0,13,260,1.0,0.14999999,0.850067
,14,0.0023219425,0.18588757514953613,20,20.0,14,280,1.0,0.14999999,1.0016415
,15,0.0021671464,0.19606256484985352,20,20.0,15,300,1.0,0.14999999,1.1066105
,16,0.0020316998,0.20456814765930176,20,20.0,16,320,1.0,0.14999999,0.9173987
,17,0.0021257894,0.21318888664245605,20,20.0,17,340,1.0,0.14999999,0.9678574
,18,0.0020882566,0.22153544425964355,20,20.0,18,360,1.0,0.14999999,1.1676787
,19,0.0019783482,0.23186707496643066,20,20.0,19,380,1.0,0.14999999,1.2134393
,20,0.001879431,0.23991894721984863,20,20.0,20,400,1.0,0.14999999,1.0201612
,21,0.0017899342,0.24839448928833008,20,20.0,21,420,1.0,0.14999999,1.1126128
,22,0.0017085735,0.26012516021728516,20,20.0,22,440,1.0,0.14999999,1.0404409
,23,0.0016342878,0.27140235900878906,20,20.0,23,460,1.0,0.14999999,1.0580739
,24,0.0015661925,0.28060197830200195,20,20.0,24,480,1.0,0.14999999,1.0162959
,25,0.0015035447,0.29164958000183105,20,20.0,25,500,1.0,0.14999999,0.95815635
,26,0.0015179693,0.2994813919067383,20,20.0,26,520,1.0,0.14999999,0.9130746
,27,0.001602959,0.3094029426574707,20,20.0,27,540,1.0,0.14999999,1.0863123
,28,0.0015457105,0.32402610778808594,20,20.0,28,560,1.0,0.14999999,0.9531893
,29,0.0015646947,0.33591413497924805,20,20.0,29,580,1.0,0.14999999,0.9603226
,30,0.0015719815,0.34374356269836426,20,20.0,30,600,1.0,0.14999999,1.0598677
,31,0.0015212724,0.35349082946777344,20,20.0,31,620,1.0,0.14999999,1.3518727
,32,0.0014737326,0.36142706871032715,20,20.0,32,640,1.0,0.14999999,1.2935873
,33,0.0014290741,0.3712031841278076,20,20.0,33,660,1.0,0.14999999,1.1893282
,34,0.0013870425,0.3885352611541748,20,20.0,34,680,1.0,0.14999999,1.1718403
,35,0.0013474127,0.40135693550109863,20,20.0,35,700,1.0,0.14999999,0.8465094
