GridSize,TimestepsSoFar,Iteration,IWLastEpisode,IWMax,ReturnAbsMax,BoundMISE,TimeElapsed,ReturnMean,Bound,NumTrainableParams,ReturnMax,Regret/t,LQGsigma_higher,DenMISELogLast,ReturnMin,Delta,IWFirstEpisode,LQGmu1_higher,ReturnLastEpisode,DenMISELogFirst,LQGmu1_actor,IWMean,MinEpLen,BoundBonus,Regret,NumTrajectories,DenMISEMeanLog,AvgEpLen,IWMin,ReturnStepMax
20,20,1,0.19400656,0.19400656,5.546291,1.0760168,0.042378902435302734,5.546291,173.49509,1,5.546291,-0.5462909,1.0,-0.9351508,,0.0030396353,0.19400656,-1.0,5.546291,-0.9351508,-0.28604,0.19400656,20,172.41907,-0.5462909,1,-0.9351508,20.0,,5.869586
20,40,2,1.6052929,1.6052929,18.184565,17.822102,0.6898839473724365,11.865428,116.97304,,18.184565,-6.865428,1.0,-1.4194845,,0.0007599088,1.1634173,-0.05263158,18.184565,-1.4509835,0.14903107,1.3843551,20,99.15093,-13.730856,2,-1.4352341,20.0,,19.97403
20,60,3,0.9524868,1.5885031,18.184565,12.094724,1.0198276042938232,13.704327,89.463196,,18.184565,-8.704327,1.0,-1.2323335,,0.0003377373,1.5885031,1.0,17.382124,-1.3979429,0.15546995,1.047123,20,77.36847,-26.11298,3,-1.2886567,20.0,,19.97403
20,80,4,0.709582,1.181921,18.184565,12.038793,1.318183183670044,14.765299,89.444115,,18.184565,-9.765299,1.0,-1.2434146,,0.0001899772,0.26865408,-1.0,17.948215,-1.2606834,-1.3977078,0.71891105,20,77.40532,-39.061195,4,-1.2723324,20.0,,19.97403
20,100,5,0.855414,1.4384933,18.184565,19.72671,1.6991312503814697,15.447322,80.36866,,18.184565,-10.447322,1.0,-1.6673838,,0.00012158541,1.1265962,-0.05263158,18.175411,-1.4188228,0.35188067,1.2579193,20,60.64195,-52.23661,5,-1.3995079,20.0,,19.97403
20,120,6,0.5639951,2.0012107,18.184565,14.820412,1.9351093769073486,14.824054,72.45231,,18.184565,-9.824054,1.0,-1.2600194,,8.443432e-05,0.30818,-1.0,11.707713,-1.3979429,-1.7447344,0.89106566,20,57.631897,-58.94432,6,-1.3417822,20.0,,19.97403
20,140,7,0.05786645,1.7627146,18.184565,10.43759,2.2126212120056152,15.291057,70.46247,,18.184565,-10.291057,1.0,-1.8361044,,6.203337e-05,1.7627146,1.0,18.093084,-1.5020058,0.53939885,0.81902707,20,60.02488,-72.0374,7,-1.4283782,20.0,,19.97403
20,160,8,0.46209207,2.1493165,18.184565,16.71207,2.4475808143615723,14.51867,67.67897,,18.184565,-9.51867,1.0,-1.331822,,4.74943e-05,0.3122121,-1.0,9.111957,-1.4109416,-1.260197,1.0077815,20,50.9669,-76.14936,8,-1.4386312,20.0,,19.97403
20,180,9,0.75062567,1.4654356,18.186762,16.495304,2.706068754196167,14.926235,64.20842,,18.186762,-9.926235,1.0,-1.4938499,,3.7526363e-05,1.3193343,0.05263158,18.186762,-1.4904405,1.4613973,1.1556706,20,47.71311,-89.33612,9,-1.4462132,20.0,,19.976595
20,200,10,0.12407847,2.0062206,18.186762,15.994812,2.939124345779419,13.683477,60.942825,,18.186762,-8.683477,1.0,-1.8613352,,3.0396353e-05,0.32758498,-1.0,2.4986641,-1.4590063,-1.7051799,0.9626892,20,44.948013,-86.83478,10,-1.4744393,20.0,,19.976595
20,220,11,0.060279813,2.5066109,18.186762,8.798075,3.1780521869659424,14.090516,59.51403,,18.186762,-9.090516,1.0,-1.7691796,,2.5120953e-05,1.7984629,1.0,18.160892,-1.5220832,0.8078414,0.90521777,20,50.715958,-99.99568,11,-1.5058514,20.0,,19.976595
20,240,12,0.33280244,1.9950078,18.186762,16.627613,3.436619758605957,13.430987,58.445328,,18.186762,-8.430987,1.0,-1.4528776,,2.110858e-05,0.32714579,-1.0,6.17616,-1.4576647,-1.1894531,1.0024852,20,41.817715,-101.171844,12,-1.5105982,20.0,,19.976595
20,260,13,1.6438184,1.853168,18.186762,17.038013,3.6673707962036133,13.7967415,56.138798,,18.186762,-8.7967415,1.0,-1.4339066,,1.7986009e-05,0.3450024,-1.0,18.185787,-1.5108103,-1.9995532,1.0219979,20,39.100784,-114.357635,13,-1.5057635,20.0,,19.976595
