InvPendulum_mu3_higher,InvPendulum_mu1_higher,NumTrainableParams,TimeElapsed,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std2_higher,MinEpLen,InvPendulum_std3_higher,Iteration,ReturnMean,AvgEpLen,NumTrajectories,ActionIn1,InvPendulum_std0_higher,InvPendulum_mu0_higher,TimestepsSoFar
-0.10712334,-0.11102458,4,0.27974367141723633,0.14999999,0.0034825685,0.14999999,500,0.14999999,1,-227.6384,500.0,1,0.023683488,0.14999999,-0.18568558,500
-0.10712334,-0.11102458,,0.3183927536010742,0.14999999,0.0034825685,0.14999999,21,0.14999999,2,-172.55714,260.5,2,-0.78826326,0.14999999,-0.18568558,521
-0.10712334,-0.11102458,,0.3442094326019287,0.14999999,0.0034825685,0.14999999,21,0.14999999,3,-152.73882,186.33333333333334,3,-0.6058546,0.14999999,-0.18568558,559
-0.10712334,-0.11102458,,0.36434245109558105,0.14999999,0.0034825685,0.14999999,21,0.14999999,4,-140.19669,148.0,4,-0.3386151,0.14999999,-0.18568558,592
-0.10712334,-0.11102458,,0.37468838691711426,0.14999999,0.0034825685,0.14999999,14,0.14999999,5,-133.20049,121.2,5,-0.34648594,0.14999999,-0.18568558,606
-0.10712334,-0.11102458,,0.3872833251953125,0.14999999,0.0034825685,0.14999999,14,0.14999999,6,-128.7978,104.33333333333333,6,-0.14541759,0.14999999,-0.18568558,626
-0.10712334,-0.11102458,,0.39777636528015137,0.14999999,0.0034825685,0.14999999,14,0.14999999,7,-125.24093,91.71428571428571,7,-0.3091595,0.14999999,-0.18568558,642
-0.10712334,-0.11102458,,0.480837345123291,0.14999999,0.0034825685,0.14999999,14,0.14999999,8,-122.89036,98.5,8,-0.39484546,0.14999999,-0.18568558,788
-0.10712334,-0.11102458,,0.7416408061981201,0.14999999,0.0034825685,0.14999999,14,0.14999999,9,-146.41002,143.11111111111111,9,-0.63359064,0.14999999,-0.18568558,1288
-0.10712334,-0.11102458,,1.002500057220459,0.14999999,0.0034825685,0.14999999,14,0.14999999,10,-181.71426,178.8,10,-0.010623373,0.14999999,-0.18568558,1788
-0.10712334,-0.11102458,,1.0209131240844727,0.14999999,0.0034825685,0.14999999,14,0.14999999,11,-176.85971,165.27272727272728,11,-0.15304014,0.14999999,-0.18568558,1818
-0.10712334,-0.11102458,,1.0455677509307861,0.14999999,0.0034825685,0.14999999,14,0.14999999,12,-173.20482,154.66666666666666,12,-0.20225549,0.14999999,-0.18568558,1856
-0.10712334,-0.11102458,,1.0762665271759033,0.14999999,0.0034825685,0.14999999,14,0.14999999,13,-168.79831,146.84615384615384,13,-0.48342717,0.14999999,-0.18568558,1909
-0.10712334,-0.11102458,,1.1250996589660645,0.14999999,0.0034825685,0.14999999,14,0.14999999,14,-164.48381,142.5,14,-0.44922215,0.14999999,-0.18568558,1995
-0.10712334,-0.11102458,,1.1504740715026855,0.14999999,0.0034825685,0.14999999,14,0.14999999,15,-161.17441,135.8,15,-0.3264435,0.14999999,-0.18568558,2037
-0.10712334,-0.11102458,,1.166060209274292,0.14999999,0.0034825685,0.14999999,14,0.14999999,16,-157.961,128.75,16,-0.1527013,0.14999999,-0.18568558,2060
