InvPendulum_mu2_higher,TimeElapsed,NumTrajectories,InvPendulum_mu3_higher,Iteration,InvPendulum_std3_higher,ActionIn1,InvPendulum_mu0_higher,ReturnMean,NumTrainableParams,InvPendulum_std1_higher,InvPendulum_std0_higher,InvPendulum_std2_higher,InvPendulum_mu1_higher,TimestepsSoFar,MinEpLen,AvgEpLen
0.0034825685,0.278517484664917,1,-0.10712334,1,1.00000064e-10,-0.40035093,-0.18568558,52.62655,4,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,500,500,500.0
0.0034825685,0.565201997756958,2,-0.10712334,2,1.00000064e-10,-0.40035093,-0.18568558,69.65938,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,1000,500,500.0
0.0034825685,0.8215992450714111,3,-0.10712334,3,1.00000064e-10,-0.40035093,-0.18568558,54.375248,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,1500,500,500.0
0.0034825685,1.079308271408081,4,-0.10712334,4,1.00000064e-10,-0.40035093,-0.18568558,47.98912,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,2000,500,500.0
0.0034825685,1.3365440368652344,5,-0.10712334,5,1.00000064e-10,-0.40035093,-0.18568558,46.44454,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,2500,500,500.0
0.0034825685,1.5893421173095703,6,-0.10712334,6,1.00000064e-10,-0.40035093,-0.18568558,50.38611,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,3000,500,500.0
0.0034825685,1.8447949886322021,7,-0.10712334,7,1.00000064e-10,-0.40035093,-0.18568558,56.035175,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,3500,500,500.0
0.0034825685,2.1008448600769043,8,-0.10712334,8,1.00000064e-10,-0.40035093,-0.18568558,56.738018,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,4000,500,500.0
0.0034825685,2.3566012382507324,9,-0.10712334,9,1.00000064e-10,-0.40035093,-0.18568558,58.089424,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,4500,500,500.0
0.0034825685,2.6133334636688232,10,-0.10712334,10,1.00000064e-10,-0.40035093,-0.18568558,60.263206,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,5000,500,500.0
0.0034825685,2.8703360557556152,11,-0.10712334,11,1.00000064e-10,-0.40035093,-0.18568558,62.30977,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,5500,500,500.0
0.0034825685,3.128575325012207,12,-0.10712334,12,1.00000064e-10,-0.40035093,-0.18568558,67.260284,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,6000,500,500.0
0.0034825685,3.3832805156707764,13,-0.10712334,13,1.00000064e-10,-0.40035093,-0.18568558,68.04758,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,6500,500,500.0
0.0034825685,3.639073133468628,14,-0.10712334,14,1.00000064e-10,-0.40035093,-0.18568558,67.424934,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,7000,500,500.0
0.0034825685,3.894028425216675,15,-0.10712334,15,1.00000064e-10,-0.40035093,-0.18568558,64.5756,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,7500,500,500.0
0.0034825685,4.162808656692505,16,-0.10712334,16,1.00000064e-10,-0.40035093,-0.18568558,66.94461,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,8000,500,500.0
0.0034825685,4.416894912719727,17,-0.10712334,17,1.00000064e-10,-0.40035093,-0.18568558,62.027252,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,8500,500,500.0
