InvPendulum_std3_higher,InvPendulum_mu3_higher,GridSize,InvPendulum_mu0_higher,IWMin,ActionIn1,InvPendulum_mu2_higher,Regret,ReturnMax,DenMISELogLast,MinEpLen,ReturnAbsMax,InvPendulum_mu1_higher,DenMISELogFirst,IWMean,InvPendulum_std0_higher,ReturnStepMax,ReturnMean,ReturnLastEpisode,BoundBonus,InvPendulum_std2_higher,NumTrainableParams,Iteration,Bound,InvPendulum_std1_higher,AvgEpLen,IWLastEpisode,NumTrajectories,IWFirstEpisode,TimeElapsed,TimestepsSoFar,BoundMISE,ReturnMin,IWMax,Delta,Regret/t,DenMISEMeanLog
0.01,-1.0,1,-1.0,,-3.971731,-1.0,114.68108,,10.7408495,15,109.68108,-1.0,10.7408495,,0.01,109.68108,-109.68108,-109.68108,inf,0.01,4,1,inf,0.01,15.0,,1,,0.03249692916870117,15,,-109.68108,,0.060792707,114.68108,10.7408495
0.01,1.0,16,-1.0,,-2.0258608,-1.0,231.96307,,10.833905,15,112.28198,-1.0,10.047702,,0.01,112.28198,-110.98154,-112.28198,inf,0.01,,2,inf,0.01,33.5,,2,,0.2256162166595459,67,,-112.28198,,0.001788021,115.98154,10.440804
0.01,-1.0,16,-1.0,,-2.0137002,1.0,361.1164,,11.112136,15,124.15334,-1.0,9.642237,,0.01,124.15334,-115.37213,-124.15334,inf,0.01,,3,inf,0.01,31.666666666666668,,3,,0.29258203506469727,95,,-124.15334,,0.000794676,120.37213,10.394271
0.01,1.0,16,-1.0,,0.00411582,1.0,480.46234,,8.686706,15,124.15334,-1.0,9.354555,,0.01,124.15334,-115.115585,-114.34594,inf,0.01,,4,inf,0.01,38.25,,4,,0.360243558883667,153,,-124.15334,,0.00044700524,120.115585,9.751617
0.01,-1.0,16,1.0,,-1.9964089,-1.0,608.39526,,6.772953,15,124.15334,-1.0,9.131412,,0.01,124.15334,-116.679054,-122.9329,inf,0.01,,5,inf,0.01,36.0,,5,,0.40718960762023926,180,,-124.15334,,0.00028608335,121.679054,8.977369
0.01,1.0,16,1.0,,0.01699549,-1.0,718.7405,,12.092859,15,124.15334,-1.0,8.94909,,0.01,124.15334,-114.79008,-105.34522,inf,0.01,,6,inf,0.01,33.0,,6,,0.44896602630615234,198,,-124.15334,,0.000198669,119.79008,9.344684
0.01,-1.0,16,1.0,,0.0060794353,1.0,841.5376,,11.853454,15,124.15334,-1.0,8.794939,,0.01,124.15334,-115.21966,-117.79714,inf,0.01,,7,inf,0.01,31.285714285714285,,7,,0.49683046340942383,219,,-124.15334,,0.00014596088,120.21966,9.570949
0.01,1.0,16,1.0,,2.0003672,1.0,941.7279,,8.978953,15,124.15334,-1.0,8.661407,,0.01,124.15334,-112.71599,-95.190285,inf,0.01,,8,inf,0.01,31.375,,8,,0.549990177154541,251,,-124.15334,,0.00011175131,117.71599,9.380112
0.01,-1.0,16,-1.0,,-2.0155492,-1.0,1071.3434,,11.769111,15,124.615524,1.0,8.543625,,0.01,124.615524,-114.038155,-124.615524,inf,0.01,,9,inf,0.01,31.11111111111111,,9,,0.6006419658660889,280,,-124.615524,,8.829733e-05,119.038155,9.540859
0.01,1.0,16,-1.0,,0.025981903,-1.0,1185.9874,,9.785208,14,124.615524,1.0,8.438265,,0.01,124.615524,-113.59874,-109.64401,inf,0.01,,10,inf,0.01,29.4,,10,,0.6599841117858887,294,,-124.615524,,7.152084e-05,118.59874,9.470469
0.01,-1.0,16,-1.0,,0.01648736,1.0,1293.7043,,10.367632,11,124.615524,1.0,8.342955,,0.01,124.615524,-112.60949,-102.71698,inf,0.01,,11,inf,0.01,27.727272727272727,,11,,0.7139534950256348,305,,-124.615524,,5.9108123e-05,117.60949,9.4653845
0.01,1.0,16,-1.0,,2.0132062,1.0,1407.3865,,11.053713,11,124.615524,1.0,8.255942,,0.01,124.615524,-112.2822,-108.682076,inf,0.01,,12,inf,0.01,27.166666666666668,,12,,0.7766649723052979,326,,-124.615524,,4.966725e-05,117.2822,9.517983
0.01,-1.0,16,1.0,,-0.0055384636,-1.0,1519.6213,,11.863812,11,124.615524,1.0,8.1759,,0.01,124.615524,-111.89395,-107.234795,inf,0.01,,13,inf,0.01,26.076923076923077,,13,,0.8259105682373047,339,,-124.615524,,4.232002e-05,116.89395,9.624547
0.01,1.0,16,1.0,,1.9967418,-1.0,1633.4521,,10.798222,11,124.615524,1.0,8.101792,,0.01,124.615524,-111.675156,-108.830864,inf,0.01,,14,inf,0.01,25.785714285714285,,14,,0.8859479427337646,361,,-124.615524,,3.649022e-05,116.675156,9.639566
0.01,-1.0,16,1.0,,2.0049272,1.0,1747.9746,,10.478314,11,124.615524,1.0,8.0328,,0.01,124.615524,-111.53164,-109.52243,inf,0.01,,15,inf,0.01,25.333333333333332,,15,,0.9443545341491699,380,,-124.615524,,3.178704e-05,116.53164,9.63109
0.01,1.0,16,1.0,,4.01651,1.0,1858.51,,9.852524,11,124.615524,1.0,7.968261,,0.01,124.615524,-111.156876,-105.53552,inf,0.01,,16,inf,0.01,24.5625,,16,,0.9992361068725586,393,,-124.615524,,2.7937827e-05,116.156876,9.584425
0.01,-1.0,16,1.0,,0.0077855587,1.0,1972.9155,,9.900879,11,124.615524,-1.0,7.907636,1.0000005,0.01,124.615524,-111.053856,-109.40544,709.2392,0.01,,17,634.2056,0.01,24.0,,17,,1.044560194015503,408,-75.033554,-124.615524,17.000008,2.4747693e-05,116.053856,9.545981
0.01,1.0,16,-1.0,,0.0033134818,-1.0,2082.044,,12.05626,11,124.615524,1.0,7.8504777,0.9999996,0.01,124.615524,-110.66911,-104.12846,713.05096,0.01,,18,632.0845,0.01,23.61111111111111,,18,,1.092475414276123,425,-80.96646,-124.615524,17.999992,2.2074333e-05,115.66911,9.669967
0.01,-1.0,16,1.0,,-1.9848568,-1.0,2193.656,,12.15624,11,124.615524,-1.0,7.7964106,1.0,0.01,124.615524,-110.45558,-106.611916,716.6379,0.01,,19,633.59973,0.01,23.210526315789473,,19,,1.1389789581298828,441,-83.03816,-124.615524,19.0,1.9811867e-05,115.45558,9.786083
0.01,-1.0,16,1.0,,1.9675105,1.0,2303.836,,11.84534,11,124.615524,1.0,7.745117,1.0,0.01,124.615524,-110.191795,-105.17995,720.0243,0.01,,20,636.8361,0.01,22.65,,20,,1.1837329864501953,453,-83.18816,-124.615524,20.0,1.788021e-05,115.191795,9.874974
0.01,1.0,16,-1.0,,2.0096538,1.0,2413.0356,,10.061491,11,124.615524,1.0,7.696327,0.9999998,0.01,124.615524,-109.906456,-104.19975,723.2307,0.01,,21,638.7031,0.01,22.523809523809526,,21,,1.2325572967529297,473,-84.52761,-124.615524,20.999996,1.6217875e-05,114.906456,9.870397
0.01,-1.0,16,-1.0,,-0.011484742,1.0,2526.2886,,10.089392,11,124.615524,1.0,7.649807,1.0000001,0.01,124.615524,-109.8313,-108.25288,726.2748,0.01,,22,640.6063,0.01,22.681818181818183,,22,,1.288285255432129,499,-85.66843,-124.615524,22.000002,1.4777031e-05,114.8313,9.867452
0.01,-1.0,16,1.0,,-0.016345501,-1.0,2636.151,,11.218351,11,124.615524,1.0,7.6053553,1.0,0.01,124.615524,-109.61526,-104.862686,729.1716,0.01,,23,643.38586,0.01,22.26086956521739,,23,,1.3346805572509766,512,-85.785706,-124.615524,23.0,1.3520007e-05,114.61526,9.913804
0.01,1.0,16,1.0,,4.008533,1.0,2745.8872,,11.5513735,11,124.615524,1.0,7.5627956,1.0,0.01,124.615524,-109.411964,-104.736244,731.9344,0.01,,24,645.6958,0.01,21.958333333333332,,24,,1.3881347179412842,527,-86.23862,-124.615524,24.0,1.2416813e-05,114.411964,9.970131
0.01,1.0,16,1.0,,1.979692,-1.0,2866.0476,,11.58894,11,124.615524,1.0,7.5219736,1.0000001,0.01,124.615524,-109.64191,-115.16031,734.5746,0.01,,25,648.2438,0.01,21.88,,25,,1.4391484260559082,547,-86.33084,-124.615524,25.000002,1.1443334e-05,114.64191,10.023419
0.01,-1.0,16,-1.0,,-1.9973028,-1.0,2982.2295,,9.536217,11,124.615524,1.0,7.482753,1.0000001,0.01,124.615524,-109.70113,-111.1818,737.10236,0.01,,26,650.67566,0.01,21.653846153846153,,26,,1.491593599319458,563,-86.426674,-124.615524,26.000004,1.0580005e-05,114.70113,9.9936285
0.01,-1.0,16,-1.0,,-4.0142384,-1.0,3097.0015,,9.671013,11,124.615524,-1.0,7.4450126,0.9999996,0.01,124.615524,-109.70376,-109.77209,739.52655,0.01,,27,651.0205,0.01,21.666666666666668,,27,,1.5463862419128418,585,-88.50605,-124.615524,26.999989,9.810813e-06,114.70376,9.971009
0.01,-1.0,16,-1.0,,-2.0164971,1.0,3209.8452,,11.545113,11,124.615524,-1.0,7.408645,0.9999999,0.01,124.615524,-109.63733,-107.84365,741.8551,0.01,,28,651.72217,0.01,22.5,,28,,1.6125895977020264,630,-90.13296,-124.615524,27.999996,9.122555e-06,114.63733,10.016914
0.01,1.0,16,1.0,,0.032114625,-1.0,3321.538,,9.214875,11,124.615524,-1.0,7.3735538,1.0000004,0.01,124.615524,-109.5358,-106.692726,744.095,0.01,,29,651.2416,0.01,22.344827586206897,,29,,1.667456865310669,648,-92.85336,-124.615524,29.000011,8.504261e-06,114.5358,9.979278
0.01,1.0,16,-1.0,,-0.012832522,1.0,3438.5916,,6.350246,11,124.615524,-1.0,7.339652,1.0000001,0.01,124.615524,-109.61972,-112.05362,746.2525,0.01,,30,649.3509,0.01,22.133333333333333,,30,,1.7195968627929688,664,-96.90161,-124.615524,30.000002,7.94676e-06,114.61972,9.848644
0.01,1.0,16,-1.0,,-2.0130236,-1.0,3577.5508,,10.371885,11,133.95932,-1.0,7.3068624,1.0000005,0.01,133.95932,-110.40486,-133.95932,804.44415,0.01,,31,706.5805,0.01,22.64516129032258,,31,,1.7845330238342285,702,-97.863625,-133.95932,31.000013,7.4423347e-06,115.40486,9.85615
0.01,1.0,16,1.0,,1.9856768,1.0,3697.2776,,10.710903,11,133.95932,-1.0,7.2751136,0.9999995,0.01,133.95932,-110.539925,-114.72678,806.6042,0.01,,32,708.3762,0.01,22.53125,,32,,1.838951587677002,721,-98.227936,-133.95932,31.999985,6.984457e-06,115.539925,9.873765
0.01,,81,-1.0,,-3.010418,-1.0,3828.6787,,11.015722,11,133.95932,-1.0,7.244342,,0.01,133.95932,-111.02057,-126.40106,inf,0.01,,33,inf,0.01,22.848484848484848,,33,,1.9003303050994873,754,,-133.95932,,1.3615693e-06,116.02057,9.899535
0.01,-1.0,81,-1.0,,-2.996439,,3955.568,,10.920569,11,133.95932,-1.0,7.214489,,0.01,133.95932,-111.34024,-121.88939,inf,0.01,,34,inf,0.01,23.5,,34,,3.2991154193878174,799,,-133.95932,,1.2826548e-06,116.34024,9.90059
0.01,,81,-1.0,,-2.0126817,,4048.822,,8.477356,11,133.95932,-1.0,7.1855016,,0.01,133.95932,-110.680626,-88.25388,inf,0.01,,35,inf,0.01,24.6,,35,,3.4678192138671875,861,,-133.95932,,1.2104073e-06,115.680626,9.831768
0.01,1.0,81,-1.0,,-1.0016809,,4521.838,,9.227108,11,468.01556,-1.0,7.1573305,,0.01,468.01556,-120.606606,-468.01556,inf,0.01,,36,inf,0.01,37.80555555555556,,36,,3.897341251373291,1361,,-468.01556,,1.1440965e-06,125.606606,9.787583
0.01,,81,-1.0,,-1.0436547,1.0,5021.6943,,7.312314,11,494.85684,-1.0,7.1299314,,0.01,494.85684,-130.72147,-494.85684,inf,0.01,,37,inf,0.01,50.2972972972973,,37,,4.32607626914978,1861,,-494.85684,,1.0830892e-06,135.72147,9.694026
0.01,-1.0,81,,,-3.0253515,-1.0,5176.5454,,8.379235,11,494.85684,-1.0,7.1032634,,0.01,494.85684,-131.22488,-149.85115,inf,0.01,,38,inf,0.01,50.5,,38,,4.494206190109253,1919,,-494.85684,,1.0268345e-06,136.22488,9.633459
0.01,,81,,,-2.0480373,-1.0,5291.6367,,8.45524,11,494.85684,-1.0,7.0772877,,0.01,494.85684,-130.683,-110.09119,inf,0.01,,39,inf,0.01,49.666666666666664,,39,,4.638717412948608,1937,,-494.85684,,9.748514e-07,135.683,9.577939
0.01,1.0,81,,,-1.0118344,-1.0,5406.747,,7.2775664,11,494.85684,-1.0,7.05197,,0.01,494.85684,-130.16867,-110.110245,inf,0.01,,40,inf,0.01,48.825,,40,,4.784491300582886,1953,,-494.85684,,9.267181e-07,135.16867,9.495745
