Iteration,LQGmu1_actor,LQGsigma_higher,TimeElapsed,TimestepsSoFar,LQGmu1_higher,ReturnMean
1,-0.642906,0.14999999,0.02879619598388672,20,-0.75,17.348799
2,-0.7197506,0.14999999,0.08008074760437012,40,-0.75,17.362946
3,-0.8766795,0.14999999,0.09586858749389648,60,-0.75,17.374834
4,-0.80965614,0.14999999,0.1042943000793457,80,-0.75,17.35798
5,-0.6893232,0.14999999,0.11467623710632324,100,-0.75,17.352993
6,-0.86171013,0.14999999,0.125502347946167,120,-0.75,17.360983
7,-0.8190902,0.14999999,0.13396358489990234,140,-0.75,17.355387
8,-0.78902954,0.14999999,0.14321088790893555,160,-0.75,17.352482
9,-0.53868514,0.14999999,0.1558828353881836,180,-0.75,17.350372
10,-0.855777,0.14999999,0.1665182113647461,200,-0.75,17.357105
11,-0.7788238,0.14999999,0.17687368392944336,220,-0.75,17.3536
12,-0.77841794,0.14999999,0.1861255168914795,240,-0.75,17.35437
13,-0.899933,0.14999999,0.1973402500152588,260,-0.75,17.354969
14,-0.7483584,0.14999999,0.21222162246704102,280,-0.75,17.350033
15,-0.64338946,0.14999999,0.22372889518737793,300,-0.75,17.350689
16,-0.8326013,0.14999999,0.23540544509887695,320,-0.75,17.352102
17,-0.7821426,0.14999999,0.2492673397064209,340,-0.75,17.350904
18,-0.5823213,0.14999999,0.26616668701171875,360,-0.75,17.351576
19,-0.53656065,0.14999999,0.2824282646179199,380,-0.75,17.353565
20,-0.7298388,0.14999999,0.2931499481201172,400,-0.75,17.355642
21,-0.63738716,0.14999999,0.3083317279815674,420,-0.75,17.357023
22,-0.70955914,0.14999999,0.31816792488098145,440,-0.75,17.358778
23,-0.6919261,0.14999999,0.3287353515625,460,-0.75,17.360388
24,-0.73370415,0.14999999,0.34197068214416504,480,-0.75,17.36178
25,-0.79184365,0.14999999,0.35403966903686523,500,-0.75,17.361794
26,-0.8369254,0.14999999,0.37127256393432617,520,-0.75,17.361147
27,-0.6636877,0.14999999,0.3869435787200928,540,-0.75,17.36012
28,-0.7968107,0.14999999,0.39882516860961914,560,-0.75,17.361725
29,-0.7896774,0.14999999,0.4109361171722412,580,-0.75,17.361376
30,-0.6901322,0.14999999,0.4214799404144287,600,-0.75,17.361353
31,-0.39812732,0.14999999,0.43198108673095703,620,-0.75,17.362087
32,-0.4564127,0.14999999,0.44336485862731934,640,-0.75,17.360874
33,-0.5606718,0.14999999,0.45520806312561035,660,-0.75,17.359482
34,-0.5781597,0.14999999,0.46729302406311035,680,-0.75,17.360828
35,-0.9034906,0.14999999,0.48340296745300293,700,-0.75,17.360855
36,-0.6924313,0.14999999,0.49445581436157227,720,-0.75,17.35888
37,-0.41720477,0.14999999,0.5044221878051758,740,-0.75,17.35973
38,-0.53347385,0.14999999,0.5164599418640137,760,-0.75,17.35884
39,-0.7049142,0.14999999,0.5284445285797119,780,-0.75,17.359188
40,-0.7021943,0.14999999,0.5421433448791504,800,-0.75,17.359661
41,-0.7277175,0.14999999,0.554610013961792,820,-0.75,17.360058
42,-0.7099354,0.14999999,0.564356803894043,840,-0.75,17.360544
43,-0.68104416,0.14999999,0.5848236083984375,860,-0.75,17.360865
44,-0.7623446,0.14999999,0.6007504463195801,880,-0.75,17.361488
45,-0.9563249,0.14999999,0.6119334697723389,900,-0.75,17.361757
46,-0.60500854,0.14999999,0.6219651699066162,920,-0.75,17.359137
47,-0.613327,0.14999999,0.6330771446228027,940,-0.75,17.359169
48,-0.8789425,0.14999999,0.6439089775085449,960,-0.75,17.359213
49,-1.0234424,0.14999999,0.6545109748840332,980,-0.75,17.357943
50,-0.85586137,0.14999999,0.6636035442352295,1000,-0.75,17.35488
51,-0.6745405,0.14999999,0.6767265796661377,1020,-0.75,17.354048
52,-0.67599094,0.14999999,0.6893751621246338,1040,-0.75,17.354605
53,-0.7474045,0.14999999,0.6982245445251465,1060,-0.75,17.355015
54,-0.78485453,0.14999999,0.7089400291442871,1080,-0.75,17.355564
55,-0.57135713,0.14999999,0.719062089920044,1100,-0.75,17.355602
56,-1.0081936,0.14999999,0.7301890850067139,1120,-0.75,17.356047
57,-0.54611313,0.14999999,0.7403659820556641,1140,-0.75,17.35334
58,-0.68975484,0.14999999,0.7509822845458984,1160,-0.75,17.354187
59,-0.54713506,0.14999999,0.7637896537780762,1180,-0.75,17.354342
60,-0.71318823,0.14999999,0.7732973098754883,1200,-0.75,17.355001
61,-0.4761203,0.14999999,0.7840125560760498,1220,-0.75,17.355713
62,-0.8911237,0.14999999,0.7943685054779053,1240,-0.75,17.355656
63,-0.6220373,0.14999999,0.8037469387054443,1260,-0.75,17.354635
64,-0.69618404,0.14999999,0.8200101852416992,1280,-0.75,17.355476
65,-0.7066604,0.14999999,0.8353352546691895,1300,-0.75,17.356003
66,-0.90153265,0.14999999,0.8461563587188721,1320,-0.75,17.356522
67,-0.48475584,0.14999999,0.8572118282318115,1340,-0.75,17.355537
68,-0.5570774,0.14999999,0.8688414096832275,1360,-0.75,17.355774
69,-0.55770236,0.14999999,0.8801243305206299,1380,-0.75,17.35595
70,-0.7708291,0.14999999,0.891350507736206,1400,-0.75,17.356205
71,-0.64563483,0.14999999,0.90633225440979,1420,-0.75,17.356056
72,-0.8055545,0.14999999,0.9172604084014893,1440,-0.75,17.356712
73,-0.7291356,0.14999999,0.9255156517028809,1460,-0.75,17.356588
74,-0.54640377,0.14999999,0.9367959499359131,1480,-0.75,17.356842
75,-0.7018087,0.14999999,0.9480466842651367,1500,-0.75,17.357454
76,-0.71877265,0.14999999,0.9586842060089111,1520,-0.75,17.357855
77,-0.86621034,0.14999999,0.9713921546936035,1540,-0.75,17.358126
78,-0.7204219,0.14999999,0.9876558780670166,1560,-0.75,17.357548
79,-0.6797663,0.14999999,0.9984173774719238,1580,-0.75,17.357946
80,-1.0653415,0.14999999,1.009511947631836,1600,-0.75,17.358143
81,-0.8105852,0.14999999,1.0184602737426758,1620,-0.75,17.356134
82,-0.5448354,0.14999999,1.0329883098602295,1640,-0.75,17.356121
83,-0.99442315,0.14999999,1.0484793186187744,1660,-0.75,17.356207
84,-0.63438994,0.14999999,1.0614664554595947,1680,-0.75,17.354393
85,-0.8193727,0.14999999,1.0764915943145752,1700,-0.75,17.354666
86,-0.8327066,0.14999999,1.0859723091125488,1720,-0.75,17.354511
87,-0.8659879,0.14999999,1.0960311889648438,1740,-0.75,17.354288
88,-0.9101068,0.14999999,1.1066465377807617,1760,-0.75,17.353777
89,-0.8805824,0.14999999,1.1201517581939697,1780,-0.75,17.352947
90,-0.5146016,0.14999999,1.1309912204742432,1800,-0.75,17.352242
91,-0.6714711,0.14999999,1.1413705348968506,1820,-0.75,17.35236
92,-0.71569645,0.14999999,1.15604829788208,1840,-0.75,17.352793
93,-0.48980188,0.14999999,1.16644287109375,1860,-0.75,17.353077
94,-0.6773687,0.14999999,1.1795692443847656,1880,-0.75,17.353506
95,-0.8538386,0.14999999,1.1957943439483643,1900,-0.75,17.353924
96,-0.59044254,0.14999999,1.20637845993042,1920,-0.75,17.353567
97,-0.6879071,0.14999999,1.2173256874084473,1940,-0.75,17.354246
98,-0.85620713,0.14999999,1.2297465801239014,1960,-0.75,17.354372
99,-0.6460574,0.14999999,1.2403697967529297,1980,-0.75,17.353882
100,-0.93031096,0.14999999,1.2564606666564941,2000,-0.75,17.354311
101,-0.9626268,0.14999999,1.2686617374420166,2020,-0.75,17.35345
102,-0.50937915,0.14999999,1.2789418697357178,2040,-0.75,17.3523
103,-0.73024184,0.14999999,1.2905099391937256,2060,-0.75,17.352604
104,-0.93713456,0.14999999,1.306870698928833,2080,-0.75,17.352772
105,-0.9533418,0.14999999,1.3197133541107178,2100,-0.75,17.351835
106,-0.85451335,0.14999999,1.3371880054473877,2120,-0.75,17.350754
107,-0.9423798,0.14999999,1.3489437103271484,2140,-0.75,17.350468
108,-0.78123945,0.14999999,1.3605108261108398,2160,-0.75,17.349516
109,-0.86006093,0.14999999,1.3703851699829102,2180,-0.75,17.349644
110,-0.8473776,0.14999999,1.380319356918335,2200,-0.75,17.349352
111,-0.7411482,0.14999999,1.3916752338409424,2220,-0.75,17.34913
112,-0.79244596,0.14999999,1.4046530723571777,2240,-0.75,17.349428
113,-0.69140184,0.14999999,1.415489673614502,2260,-0.75,17.34935
114,-1.0674481,0.14999999,1.4348852634429932,2280,-0.75,17.349796
115,-0.92879343,0.14999999,1.4472465515136719,2300,-0.75,17.348497
116,-0.68588513,0.14999999,1.4574954509735107,2320,-0.75,17.34781
117,-0.66390914,0.14999999,1.4685347080230713,2340,-0.75,17.348207
118,-0.83931434,0.14999999,1.4813907146453857,2360,-0.75,17.348593
119,-0.2840489,0.14999999,1.4918632507324219,2380,-0.75,17.348461
120,-0.63700867,0.14999999,1.5008494853973389,2400,-0.75,17.346045
121,-0.62664235,0.14999999,1.5136332511901855,2420,-0.75,17.346455
122,-0.604741,0.14999999,1.5237653255462646,2440,-0.75,17.346954
123,-0.8996486,0.14999999,1.5341730117797852,2460,-0.75,17.34737
124,-0.94388676,0.14999999,1.5454528331756592,2480,-0.75,17.346844
125,-0.8596939,0.14999999,1.5567235946655273,2500,-0.75,17.346043
126,-0.66276985,0.14999999,1.5676109790802002,2520,-0.75,17.345722
127,-0.9073446,0.14999999,1.5797359943389893,2540,-0.75,17.345995
128,-0.9764661,0.14999999,1.590712070465088,2560,-0.75,17.345484
129,-0.75298756,0.14999999,1.6014466285705566,2580,-0.75,17.344542
130,-0.6415889,0.14999999,1.6177124977111816,2600,-0.75,17.344847
131,-0.91451967,0.14999999,1.6297049522399902,2620,-0.75,17.34523
132,-0.75210667,0.14999999,1.6406161785125732,2640,-0.75,17.344635
133,-1.0012649,0.14999999,1.6504995822906494,2660,-0.75,17.344748
134,-0.668758,0.14999999,1.6620635986328125,2680,-0.75,17.343649
135,-0.8497189,0.14999999,1.6739633083343506,2700,-0.75,17.344086
136,-0.7249753,0.14999999,1.6865639686584473,2720,-0.75,17.344032
137,-0.7058416,0.14999999,1.6968879699707031,2740,-0.75,17.344227
138,-0.6691639,0.14999999,1.707862377166748,2760,-0.75,17.344568
139,-0.5460228,0.14999999,1.7272000312805176,2780,-0.75,17.344952
140,-0.64038783,0.14999999,1.7404038906097412,2800,-0.75,17.34519
141,-0.9059423,0.14999999,1.757758617401123,2820,-0.75,17.345682
142,-0.48862228,0.14999999,1.7697112560272217,2840,-0.75,17.345242
143,-0.6903529,0.14999999,1.780872106552124,2860,-0.75,17.345522
144,-0.62071,0.14999999,1.795663595199585,2880,-0.75,17.345604
145,-0.75886005,0.14999999,1.815739393234253,2900,-0.75,17.346098
146,-0.8126084,0.14999999,1.8263990879058838,2920,-0.75,17.34627
147,-0.8040358,0.14999999,1.838832139968872,2940,-0.75,17.346313
148,-0.93421805,0.14999999,1.850832223892212,2960,-0.75,17.346369
149,-0.695865,0.14999999,1.859891653060913,2980,-0.75,17.345804
150,-0.7740489,0.14999999,1.8712260723114014,3000,-0.75,17.346035
151,-0.95493925,0.14999999,1.882845401763916,3020,-0.75,17.346107
152,-0.8485009,0.14999999,1.8946683406829834,3040,-0.75,17.34543
153,-0.85008097,0.14999999,1.9066252708435059,3060,-0.75,17.345161
154,-0.8238307,0.14999999,1.9162251949310303,3080,-0.75,17.345022
155,-0.9587481,0.14999999,1.9265501499176025,3100,-0.75,17.34492
156,-0.5129564,0.14999999,1.9376332759857178,3120,-0.75,17.344194
157,-0.542866,0.14999999,1.9463465213775635,3140,-0.75,17.344204
158,-0.42944378,0.14999999,1.9572951793670654,3160,-0.75,17.344454
