TimestepsSoFar,LQGsigma_higher,LQGmu1_actor,ReturnMean,TimeElapsed,LQGmu1_higher,Iteration
20,0.14999999,-0.562906,0.9559923,0.04902243614196777,-0.67,1
40,0.14999999,-0.6397506,0.95599747,0.1322033405303955,-0.67,2
60,0.14999999,-0.7966795,0.9561153,0.1455996036529541,-0.67,3
80,0.14999999,-0.72965616,0.956154,0.16207408905029297,-0.67,4
100,0.14999999,-0.6093232,0.9561288,0.1734471321105957,-0.67,5
120,0.14999999,-0.78171015,0.9561083,0.1935107707977295,-0.67,6
140,0.14999999,-0.7390902,0.95614433,0.20654749870300293,-0.67,7
160,0.14999999,-0.70902956,0.95613515,0.22419238090515137,-0.67,8
180,0.14999999,-0.45868516,0.95612556,0.2381300926208496,-0.67,9
200,0.14999999,-0.775777,0.95611507,0.2502603530883789,-0.67,10
220,0.14999999,-0.6988238,0.9561268,0.26476454734802246,-0.67,11
240,0.14999999,-0.69841796,0.9561432,0.28180599212646484,-0.67,12
260,0.14999999,-0.819933,0.956153,0.2999575138092041,-0.67,13
280,0.14999999,-0.66835845,0.9561457,0.31320786476135254,-0.67,14
300,0.14999999,-0.5633894,0.95614785,0.33200526237487793,-0.67,15
320,0.14999999,-0.7526013,0.9561514,0.3454563617706299,-0.67,16
340,0.14999999,-0.7021426,0.95614356,0.3618178367614746,-0.67,17
360,0.14999999,-0.5023213,0.95615184,0.37888550758361816,-0.67,18
380,0.14999999,-0.4565607,0.9561638,0.39525842666625977,-0.67,19
400,0.14999999,-0.6498388,0.95615226,0.41176271438598633,-0.67,20
420,0.14999999,-0.5573872,0.9561555,0.42653322219848633,-0.67,21
440,0.14999999,-0.62955916,0.95615965,0.4454925060272217,-0.67,22
460,0.14999999,-0.61192614,0.956168,0.45858120918273926,-0.67,23
480,0.14999999,-0.65370417,0.9561613,0.48000431060791016,-0.67,24
500,0.14999999,-0.7118437,0.95615387,0.4926338195800781,-0.67,25
520,0.14999999,-0.7569254,0.95614463,0.5177924633026123,-0.67,26
540,0.14999999,-0.5836877,0.95614356,0.5362966060638428,-0.67,27
560,0.14999999,-0.7168107,0.95614856,0.553788423538208,-0.67,28
580,0.14999999,-0.7096774,0.95615387,0.5688791275024414,-0.67,29
600,0.14999999,-0.6101322,0.95615846,0.588630199432373,-0.67,30
620,0.14999999,-0.31812733,0.95615894,0.6055362224578857,-0.67,31
640,0.14999999,-0.37641272,0.9561683,0.6482465267181396,-0.67,32
660,0.14999999,-0.48067182,0.95616347,0.679706335067749,-0.67,33
680,0.14999999,-0.4981597,0.956161,0.6946108341217041,-0.67,34
700,0.14999999,-0.8234906,0.9561508,0.7129573822021484,-0.67,35
720,0.14999999,-0.6124313,0.95615226,0.7270586490631104,-0.67,36
740,0.14999999,-0.33720478,0.95615286,0.7409358024597168,-0.67,37
760,0.14999999,-0.45347387,0.9561559,0.7608306407928467,-0.67,38
780,0.14999999,-0.6249142,0.95615566,0.7731256484985352,-0.67,39
800,0.14999999,-0.6221943,0.9561596,0.7917907238006592,-0.67,40
820,0.14999999,-0.64771754,0.956162,0.8192214965820312,-0.67,41
840,0.14999999,-0.62993544,0.95616496,0.885195255279541,-0.67,42
860,0.14999999,-0.6010442,0.95615697,0.9018552303314209,-0.67,43
880,0.14999999,-0.6823446,0.9561615,0.922170877456665,-0.67,44
900,0.14999999,-0.8763249,0.95616454,0.9397902488708496,-0.67,45
920,0.14999999,-0.52500856,0.956163,0.9582538604736328,-0.67,46
940,0.14999999,-0.5333271,0.9561548,0.9802761077880859,-0.67,47
960,0.14999999,-0.7989425,0.956147,1.0041027069091797,-0.67,48
