LQGmu1_actor,LQGsigma_higher,LQGmu1_higher,ReturnMean,TimestepsSoFar,Iteration,TimeElapsed
-0.582906,0.14999999,-0.69,0.95600206,20,1,0.05764341354370117
-0.6597506,0.14999999,-0.69,0.9560052,40,2,0.1536884307861328
-0.8166795,0.14999999,-0.69,0.9561165,60,3,0.17891383171081543
-0.74965614,0.14999999,-0.69,0.95615226,80,4,0.2005155086517334
-0.6293232,0.14999999,-0.69,0.95612717,100,5,0.21775293350219727
-0.8017101,0.14999999,-0.69,0.95610684,120,6,0.23558902740478516
-0.7590902,0.14999999,-0.69,0.9561411,140,7,0.25487279891967773
-0.72902954,0.14999999,-0.69,0.9561318,160,8,0.281008243560791
-0.47868514,0.14999999,-0.69,0.95612293,180,9,0.3037705421447754
-0.79577696,0.14999999,-0.69,0.9561132,200,10,0.32695960998535156
-0.7188238,0.14999999,-0.69,0.95612466,220,11,0.3471682071685791
-0.71841794,0.14999999,-0.69,0.95614034,240,12,0.3698692321777344
-0.839933,0.14999999,-0.69,0.9561497,260,13,0.4019765853881836
-0.6883584,0.14999999,-0.69,0.9561407,280,14,0.4391214847564697
-0.5833894,0.14999999,-0.69,0.956143,300,15,0.46233534812927246
-0.7726013,0.14999999,-0.69,0.95614725,320,16,0.4908578395843506
-0.7221426,0.14999999,-0.69,0.95613873,340,17,0.516746997833252
-0.5223213,0.14999999,-0.69,0.95614696,360,18,0.5389533042907715
-0.47656068,0.14999999,-0.69,0.9561597,380,19,0.560025691986084
-0.6698388,0.14999999,-0.69,0.9561485,400,20,0.5790159702301025
-0.57738715,0.14999999,-0.69,0.95615166,420,21,0.6024050712585449
-0.64955914,0.14999999,-0.69,0.9561558,440,22,0.6330029964447021
-0.6319261,0.14999999,-0.69,0.9561638,460,23,0.6606128215789795
-0.67370415,0.14999999,-0.69,0.95615727,480,24,0.6822178363800049
-0.7318437,0.14999999,-0.69,0.95614976,500,25,0.7057311534881592
-0.7769254,0.14999999,-0.69,0.95614064,520,26,0.7265405654907227
-0.6036877,0.14999999,-0.69,0.95613897,540,27,0.7507615089416504
-0.7368107,0.14999999,-0.69,0.9561438,560,28,0.7702844142913818
-0.7296774,0.14999999,-0.69,0.956149,580,29,0.791846513748169
-0.6301322,0.14999999,-0.69,0.95615333,600,30,0.8128938674926758
-0.33812732,0.14999999,-0.69,0.956154,620,31,0.833397626876831
-0.3964127,0.14999999,-0.69,0.95616364,640,32,0.8551921844482422
-0.5006718,0.14999999,-0.69,0.9561595,660,33,0.876833438873291
-0.5181597,0.14999999,-0.69,0.95615757,680,34,0.898923397064209
-0.8434906,0.14999999,-0.69,0.95614755,700,35,0.9203088283538818
-0.63243127,0.14999999,-0.69,0.9561487,720,36,0.943915605545044
-0.35720477,0.14999999,-0.69,0.9561491,740,37,0.9646797180175781
-0.47347385,0.14999999,-0.69,0.9561527,760,38,0.9873096942901611
-0.6449142,0.14999999,-0.69,0.9561529,780,39,1.009845495223999
-0.6421943,0.14999999,-0.69,0.9561569,800,40,1.034212589263916
-0.6677175,0.14999999,-0.69,0.95615935,820,41,1.0544710159301758
-0.6499354,0.14999999,-0.69,0.95616233,840,42,1.0804369449615479
-0.62104416,0.14999999,-0.69,0.95615494,860,43,1.1040215492248535
-0.7023446,0.14999999,-0.69,0.9561596,880,44,1.129460096359253
-0.8963249,0.14999999,-0.69,0.95616233,900,45,1.1456778049468994
-0.54500854,0.14999999,-0.69,0.95616025,920,46,1.165503740310669
-0.5533271,0.14999999,-0.69,0.95615274,940,47,1.1857476234436035
-0.8189425,0.14999999,-0.69,0.9561456,960,48,1.2116243839263916
-0.96344244,0.14999999,-0.69,0.95614547,980,49,1.2535638809204102
-0.79586136,0.14999999,-0.69,0.95614886,1000,50,1.279811143875122
-0.6145405,0.14999999,-0.69,0.9561498,1020,51,1.308720350265503
-0.61599094,0.14999999,-0.69,0.9561511,1040,52,1.3382530212402344
-0.6874045,0.14999999,-0.69,0.95614725,1060,53,1.3703114986419678
-0.7248545,0.14999999,-0.69,0.9561523,1080,54,1.4006221294403076
-0.51135707,0.14999999,-0.69,0.956154,1100,55,1.4206249713897705
-0.9481936,0.14999999,-0.69,0.9561509,1120,56,1.4405181407928467
-0.48611313,0.14999999,-0.69,0.9561507,1140,57,1.4607222080230713
-0.62975484,0.14999999,-0.69,0.95615494,1160,58,1.4809553623199463
-0.48713505,0.14999999,-0.69,0.956153,1180,59,1.5004756450653076
-0.6531882,0.14999999,-0.69,0.9561549,1200,60,1.5297071933746338
-0.4161203,0.14999999,-0.69,0.9561581,1220,61,1.5508346557617188
-0.8311237,0.14999999,-0.69,0.9561593,1240,62,1.5763342380523682
-0.56203735,0.14999999,-0.69,0.95615816,1260,63,1.5966508388519287
-0.636184,0.14999999,-0.69,0.9561577,1280,64,1.61639404296875
-0.6466604,0.14999999,-0.69,0.9561604,1300,65,1.6413908004760742
-0.84153265,0.14999999,-0.69,0.95616424,1320,66,1.662912368774414
-0.42475584,0.14999999,-0.69,0.95616585,1340,67,1.6826579570770264
