NumTrainableParams,InvPendulum_mu2_higher,DenMISELogLast,Delta,InvPendulum_std1_higher,IWMin,BoundMISE,MinEpLen,ReturnLastEpisode,DenMISELogFirst,InvPendulum_std3_higher,InvPendulum_mu3_higher,BoundBonus,Regret,TimestepsSoFar,DenMISEMeanLog,TimeElapsed,ReturnMax,InvPendulum_mu0_higher,Bound,ReturnMin,IWMean,IWFirstEpisode,IWLastEpisode,ActionIn1,IWMax,AvgEpLen,GridSize,ReturnAbsMax,ReturnMean,Regret/t,InvPendulum_std2_higher,Iteration,NumTrajectories,InvPendulum_std0_higher,InvPendulum_mu1_higher
4,-0.2,14.141433,0.060792707,0.01,,,29,-126.627716,14.141433,0.01,-0.2,inf,131.62772,29,14.141433,0.07676434516906738,-126.627716,-0.2,inf,-126.627716,,,,-0.7496593,,29.0,1,126.627716,-126.627716,131.62772,0.01,1,1,0.01,-0.2
,-0.2,10.159456,0.001788021,0.01,,,29,-111.561516,13.448286,0.01,0.2,inf,248.18924,67,11.803871,0.4366648197174072,-111.561516,-0.2,inf,-126.627716,,,,-0.37102672,,33.5,16,126.627716,-119.09462,124.09462,0.01,2,2,0.01,-0.2
,0.2,10.455065,0.000794676,0.01,,,29,-136.36624,13.042821,0.01,-0.2,inf,389.55548,106,11.083959,0.6257228851318359,-111.561516,-0.2,inf,-136.36624,,,,-0.40345687,,35.333333333333336,16,136.36624,-124.85183,129.85184,0.01,3,3,0.01,-0.2
,0.2,13.298102,0.00044700524,0.01,,,29,-126.87005,12.755138,0.01,0.2,inf,521.42554,142,11.421733,0.7848711013793945,-111.561516,-0.2,inf,-136.36624,,,,0.008005217,,35.5,16,136.36624,-125.356384,130.35638,0.01,4,4,0.01,-0.2
,-0.2,9.662767,0.00028608335,0.01,,,29,-135.60745,12.531995,0.01,-0.2,inf,662.03296,180,10.891424,0.9516897201538086,-111.561516,0.2,inf,-136.36624,,,,-0.39200833,,36.0,16,136.36624,-127.40659,132.40659,0.01,5,5,0.01,-0.2
,-0.2,12.226231,0.000198669,0.01,,,26,-122.130104,12.349673,0.01,0.2,inf,789.1631,206,10.961957,1.1036508083343506,-111.561516,0.2,inf,-136.36624,,,,-0.0042126626,,34.333333333333336,16,136.36624,-126.52718,131.52719,0.01,6,6,0.01,-0.2
,0.2,12.540979,0.00014596088,0.01,,,26,-122.51307,12.195522,0.01,-0.2,inf,916.67615,232,11.055403,1.2563221454620361,-111.561516,0.2,inf,-136.36624,,,,-0.00044834614,,33.142857142857146,16,136.36624,-125.953735,130.95374,0.01,7,7,0.01,-0.2
,0.2,12.642505,0.00011175131,0.01,,,26,-128.1942,12.061992,0.01,0.2,inf,1049.8704,262,11.136951,1.4172775745391846,-111.561516,0.2,inf,-136.36624,,,,0.40791574,,32.75,16,136.36624,-126.233795,131.2338,0.01,8,8,0.01,-0.2
,-0.2,10.430947,8.829733e-05,0.01,,,26,-130.1877,11.944208,0.01,-0.2,inf,1185.0581,295,10.95381,1.571977138519287,-111.561516,-0.2,inf,-136.36624,,,,-0.41516256,,32.77777777777778,16,136.36624,-126.67313,131.67313,0.01,9,9,0.01,0.2
,-0.2,10.613719,7.152084e-05,0.01,,,14,-106.92643,11.838848,0.01,0.2,inf,1296.9844,309,10.824977,1.6945464611053467,-106.92643,-0.2,inf,-136.36624,,,,-0.0021829605,,30.9,16,136.36624,-124.69844,129.69844,0.01,10,10,0.01,0.2
