AvgEpLen,InvPendulum_mu3_higher,TimestepsSoFar,ReturnMean,DenMISEMeanLog,GridSize,DenMISELogFirst,Bound,InvPendulum_mu2_higher,ReturnMin,InvPendulum_mu1_higher,Iteration,IWMax,IWLastEpisode,ReturnLastEpisode,InvPendulum_std2_higher,IWMean,InvPendulum_std3_higher,ActionIn1,InvPendulum_mu0_higher,Regret,Delta,NumTrainableParams,IWMin,Regret/t,NumTrajectories,TimeElapsed,InvPendulum_std1_higher,ReturnAbsMax,MinEpLen,BoundBonus,DenMISELogLast,IWFirstEpisode,BoundMISE,ReturnMax,InvPendulum_std0_higher
15.0,-0.2,15,-109.68108,10.7408495,1,10.7408495,inf,-0.2,-109.68108,-0.2,1,,,-109.68108,0.01,,0.01,-0.771731,-0.2,114.68108,0.060792707,4,,114.68108,1,0.07569622993469238,0.01,109.68108,15,inf,10.7408495,,,-109.68108,0.01
34.0,0.2,68,-114.59787,10.440802,16,10.047702,inf,-0.2,-119.51465,-0.2,2,,,-119.51465,0.01,,0.01,-0.42586082,-0.2,239.19574,0.001788021,,,119.59787,2,0.4788539409637451,0.01,119.51465,15,inf,10.8339,,,-109.68108,0.01
34.333333333333336,-0.2,103,-119.260155,10.394271,16,9.642237,inf,0.2,-128.58473,-0.2,3,,,-128.58473,0.01,,0.01,-0.41370022,-0.2,372.78046,0.000794676,,,124.260155,3,0.6645822525024414,0.01,128.58473,15,inf,11.11214,,,-109.68108,0.01
43.75,0.2,175,-117.403625,9.751616,16,9.354555,inf,0.2,-128.58473,-0.2,4,,,-111.834045,0.01,,0.01,0.0041157305,-0.2,489.6145,0.00044700524,,,122.403625,4,0.8745834827423096,0.01,128.58473,15,inf,8.686698,,,-109.68108,0.01
44.4,-0.2,222,-122.54533,8.977367,16,9.131412,inf,-0.2,-143.11214,-0.2,5,,,-143.11214,0.01,,0.01,-0.396409,0.2,637.7266,0.00028608335,,,127.54533,5,1.0466654300689697,0.01,143.11214,15,inf,6.7729473,,,-109.68108,0.01
41.833333333333336,0.2,251,-123.2663,9.344681,16,8.94909,inf,-0.2,-143.11214,-0.2,6,,,-126.87115,0.01,,0.01,0.016995564,0.2,769.5978,0.000198669,,,128.2663,6,1.1847171783447266,0.01,143.11214,15,inf,12.092855,,,-109.68108,0.01
39.857142857142854,-0.2,279,-123.33276,9.570947,16,8.794939,inf,0.2,-143.11214,-0.2,7,,,-123.73152,0.01,,0.01,0.0060794353,0.2,898.32935,0.00014596088,,,128.33276,7,1.328481912612915,0.01,143.11214,15,inf,11.853448,,,-109.68108,0.01
38.75,0.2,310,-122.86307,9.380106,16,8.661407,inf,0.2,-143.11214,-0.2,8,,,-119.57523,0.01,,0.01,0.40036705,0.2,1022.90454,0.00011175131,,,127.86307,8,1.463474988937378,0.01,143.11214,15,inf,8.97894,,,-109.68108,0.01
36.55555555555556,-0.2,329,-121.92262,9.540855,16,8.543625,inf,-0.2,-143.11214,0.2,9,,,-114.39911,0.01,,0.01,-0.41554934,-0.2,1142.3036,8.829733e-05,,,126.92262,9,1.5922300815582275,0.01,143.11214,15,inf,11.769111,,,-109.68108,0.01
35.5,0.2,355,-120.41089,9.470467,16,8.438265,inf,-0.2,-143.11214,0.2,10,,,-106.80533,0.01,,0.01,0.025981843,-0.2,1254.1089,7.152084e-05,,,125.41089,10,1.7348475456237793,0.01,143.11214,15,inf,9.785211,,,-106.80533,0.01
