BoundBonus,Bound,InvPendulum_mu3_higher,Regret/t,InvPendulum_std3_higher,AvgEpLen,InvPendulum_std0_higher,MinEpLen,ReturnLastEpisode,TimeElapsed,TimestepsSoFar,InvPendulum_mu1_higher,InvPendulum_std2_higher,IWMean,InvPendulum_std1_higher,DenMISEMeanLog,ReturnMean,GridSize,ReturnMax,InvPendulum_mu0_higher,Iteration,NumTrainableParams,IWFirstEpisode,InvPendulum_mu2_higher,Regret,ActionIn1,BoundMISE,DenMISELogLast,IWMin,IWMax,ReturnMin,Delta,IWLastEpisode,ReturnAbsMax,DenMISELogFirst,NumTrajectories
inf,inf,-0.2,131.62772,0.01,29.0,0.01,29,-126.627716,0.09746932983398438,29,-0.2,0.01,,0.01,14.141433,-126.627716,1,-126.627716,-0.2,1,4,,-0.2,131.62772,-0.7496593,,14.141433,,,-126.627716,0.060792707,,126.627716,14.141433,1
inf,inf,0.2,124.09462,0.01,33.5,0.01,29,-111.561516,0.48461031913757324,67,-0.2,0.01,,0.01,11.803871,-119.09462,16,-111.561516,-0.2,2,,,-0.2,248.18924,-0.37102672,,10.159456,,,-126.627716,0.001788021,,126.627716,13.448286,2
inf,inf,-0.2,129.85184,0.01,35.333333333333336,0.01,29,-136.36624,0.6935434341430664,106,-0.2,0.01,,0.01,11.083959,-124.85183,16,-111.561516,-0.2,3,,,0.2,389.55548,-0.40345687,,10.455065,,,-136.36624,0.000794676,,136.36624,13.042821,3
inf,inf,0.2,130.35638,0.01,35.5,0.01,29,-126.87005,0.8418219089508057,142,-0.2,0.01,,0.01,11.421733,-125.356384,16,-111.561516,-0.2,4,,,0.2,521.42554,0.008005217,,13.298102,,,-136.36624,0.00044700524,,136.36624,12.755138,4
inf,inf,-0.2,132.40659,0.01,36.0,0.01,29,-135.60745,0.9989097118377686,180,-0.2,0.01,,0.01,10.891424,-127.40659,16,-111.561516,0.2,5,,,-0.2,662.03296,-0.39200833,,9.662767,,,-136.36624,0.00028608335,,136.36624,12.531995,5
inf,inf,0.2,131.52719,0.01,34.333333333333336,0.01,26,-122.130104,1.136589765548706,206,-0.2,0.01,,0.01,10.961957,-126.52718,16,-111.561516,0.2,6,,,-0.2,789.1631,-0.0042126626,,12.226231,,,-136.36624,0.000198669,,136.36624,12.349673,6
inf,inf,-0.2,130.95374,0.01,33.142857142857146,0.01,26,-122.51307,1.2759349346160889,232,-0.2,0.01,,0.01,11.055403,-125.953735,16,-111.561516,0.2,7,,,0.2,916.67615,-0.00044834614,,12.540979,,,-136.36624,0.00014596088,,136.36624,12.195522,7
inf,inf,0.2,131.2338,0.01,32.75,0.01,26,-128.1942,1.417449951171875,262,-0.2,0.01,,0.01,11.136951,-126.233795,16,-111.561516,0.2,8,,,0.2,1049.8704,0.40791574,,12.642505,,,-136.36624,0.00011175131,,136.36624,12.061992,8
inf,inf,-0.2,131.67313,0.01,32.77777777777778,0.01,26,-130.1877,1.5637445449829102,295,0.2,0.01,,0.01,10.95381,-126.67313,16,-111.561516,-0.2,9,,,-0.2,1185.0581,-0.41516256,,10.430947,,,-136.36624,8.829733e-05,,136.36624,11.944208,9
inf,inf,0.2,129.69844,0.01,30.9,0.01,14,-106.92643,1.6879265308380127,309,0.2,0.01,,0.01,10.824977,-124.69844,16,-106.92643,-0.2,10,,,-0.2,1296.9844,-0.0021829605,,10.613719,,,-136.36624,7.152084e-05,,136.36624,11.838848,10
