InvPendulum_std0_higher,ReturnAbsMax,Regret,ActionIn1,IWMean,InvPendulum_mu0_higher,IWLastEpisode,Regret/t,TimestepsSoFar,InvPendulum_std1_higher,ReturnLastEpisode,IWMin,TimeElapsed,DenMISELogLast,InvPendulum_mu2_higher,Delta,InvPendulum_std2_higher,NumTrainableParams,MinEpLen,InvPendulum_mu1_higher,NumTrajectories,ReturnMax,DenMISELogFirst,Bound,Iteration,IWMax,IWFirstEpisode,AvgEpLen,GridSize,BoundBonus,InvPendulum_mu3_higher,BoundMISE,ReturnMean,DenMISEMeanLog,ReturnMin,ReturnStepMax,InvPendulum_std3_higher
0.0009999999,152.30708,157.30708,-0.79791033,,-0.2,,157.30708,80,0.0009999999,-152.30708,,0.13651347160339355,23.053165,-0.2,0.060792707,0.0009999999,4,80,-0.2,1,,23.053165,inf,1,,,80.0,1,inf,-0.2,,-152.30708,23.053165,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,279.32184,-0.4047471,,-0.2,,139.66092,109,0.0009999999,-117.01476,,0.5081546306610107,21.080347,-0.2,0.001788021,0.0009999999,,29,-0.2,2,,22.360018,inf,2,,,54.5,16,inf,0.2,,-134.66092,21.720182,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,417.42926,-0.3983019,,-0.2,,139.14308,146,0.0009999999,-133.1074,,0.7068960666656494,19.606514,0.2,0.000794676,0.0009999999,,29,-0.2,3,,21.954554,inf,3,,,48.666666666666664,16,inf,-0.2,,-134.14308,20.745316,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,531.79663,0.00039750338,,-0.2,,132.94916,212,0.0009999999,-109.367355,,0.9202916622161865,20.349218,0.2,0.00044700524,0.0009999999,,29,-0.2,4,,21.666872,inf,4,,,53.0,16,inf,0.2,,-127.94915,20.43053,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,674.94055,-0.40147984,,0.2,,134.98811,258,0.0009999999,-138.14395,,1.1079156398773193,18.424501,-0.2,0.00028608335,0.0009999999,,29,-0.2,5,,21.443727,inf,5,,,51.6,16,inf,-0.2,,-129.98811,19.85081,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,795.63086,0.0010887831,,0.2,,132.60513,288,0.0009999999,-115.690285,,1.2668743133544922,20.964888,-0.2,0.000198669,0.0009999999,,29,-0.2,6,,21.261406,inf,6,,,48.0,16,inf,0.2,,-127.60514,19.884554,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,919.2149,-0.0015013516,,0.2,,131.3164,310,0.0009999999,-118.58406,,1.4225900173187256,19.15541,0.2,0.00014596088,0.0009999999,,22,-0.2,7,,21.107256,inf,7,,,44.285714285714285,16,inf,-0.2,,-126.316414,19.648264,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,1033.0857,0.40231025,,0.2,,129.13571,332,0.0009999999,-108.87079,,1.5563445091247559,20.060568,0.2,0.00011175131,0.0009999999,,22,-0.2,8,,20.973724,inf,8,,,41.5,16,inf,0.2,,-124.13571,19.582962,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,1174.2085,-0.3991437,,-0.2,,130.46762,373,0.0009999999,-136.12282,,1.7045490741729736,18.896275,-0.2,8.829733e-05,0.0009999999,,22,0.2,9,,20.855942,inf,9,,,41.44444444444444,16,inf,-0.2,,-125.46761,19.401968,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,1299.7148,0.00013300776,,-0.2,,129.97148,418,0.0009999999,-120.50627,,1.893111228942871,19.623535,-0.2,7.152084e-05,0.0009999999,,22,0.2,10,,20.75058,inf,10,,,41.8,16,inf,0.2,,-124.97148,19.329296,-152.30708,152.30708,0.0009999999
