ReturnMin,InvPendulum_mu0_higher,Iteration,NumTrajectories,ReturnLastEpisode,InvPendulum_mu3_higher,BoundMISE,ReturnAbsMax,ReturnMean,InvPendulum_std1_higher,DenMISELogLast,InvPendulum_mu2_higher,InvPendulum_std3_higher,TimeElapsed,DenMISEMeanLog,ActionIn1,Bound,InvPendulum_mu1_higher,IWMean,GridSize,AvgEpLen,TimestepsSoFar,BoundBonus,IWFirstEpisode,Regret/t,Regret,InvPendulum_std2_higher,IWLastEpisode,InvPendulum_std0_higher,DenMISELogFirst,NumTrainableParams,IWMax,Delta,IWMin,MinEpLen,ReturnMax
-101.11877,-0.2,1,1,-101.11877,-0.2,,101.11877,-101.11877,0.03,9.386505,-0.2,0.03,0.21633553504943848,9.386505,-0.9218208,inf,-0.2,,1,136.0,136,inf,,106.11877,106.11877,0.03,,0.03,9.386505,4,,0.060792707,,136,-101.11877
-105.954834,-0.2,2,2,-105.954834,0.2,,105.954834,-103.536804,0.03,3.9433799,-0.2,0.03,0.5624911785125732,6.318369,-0.38602144,inf,-0.2,,16,77.5,155,inf,,108.536804,217.07361,0.03,,0.03,8.693358,,,0.001788021,,19,-101.11877
-128.69884,-0.2,3,3,-128.69884,-0.2,,128.69884,-111.92414,0.03,8.92801,0.2,0.03,0.7438223361968994,6.9179397,-0.41931397,inf,-0.2,,16,62.0,186,inf,,116.92414,350.77243,0.03,,0.03,8.287893,,,0.000794676,,19,-101.11877
-128.69884,-0.2,4,4,-109.74952,0.2,-1.7638511e-33,128.69884,-111.380486,0.03,7.8949366,0.2,0.03,0.9401955604553223,6.9464273,0.061827272,inf,-0.2,1.5660832e-35,16,65.25,261,inf,,116.380486,465.52194,0.03,5.3126915e-35,0.03,8.000211,,5.3126915e-35,0.00044700524,,19,-101.11877
-143.6898,0.2,5,5,-143.6898,-0.2,-4.6993784e-36,143.6898,-117.84235,0.03,4.7323017,-0.2,0.03,1.0861852169036865,6.325087,-0.39803666,inf,-0.2,4.4352657e-38,16,62.0,310,inf,,122.84235,614.21173,0.03,,0.03,7.777067,,2.2176328e-37,0.00028608335,,19,-101.11877
-143.6898,0.2,6,6,-138.18634,0.2,-3.523008e-36,143.6898,-121.23301,0.03,7.4305344,-0.2,0.03,1.228639841079712,6.3573937,-0.06007412,inf,-0.2,2.549462e-38,16,58.5,351,inf,,126.23301,757.3981,0.03,1.5296771e-37,0.03,7.5947456,,1.5296771e-37,0.000198669,,19,-101.11877
-143.6898,0.2,7,7,-120.39217,-0.2,-4.6349926e-37,143.6898,-121.1129,0.03,4.836174,0.2,0.03,1.3587355613708496,6.0079474,-0.051396698,inf,-0.2,,16,53.57142857142857,375,inf,,126.1129,882.7903,0.03,,0.03,7.440595,,2.3479129e-38,0.00014596088,,19,-101.11877
-143.6898,0.2,8,8,-105.83042,0.2,-3.9160327e-33,143.6898,-119.20259,0.03,4.881453,0.2,0.03,1.4873580932617188,5.7502956,0.31811073,inf,-0.2,3.7002123e-35,16,49.875,399,inf,,124.20259,993.6207,0.03,2.9599956e-34,0.03,7.3070636,,2.9599956e-34,0.00011175131,,19,-101.11877
-149.63358,-0.2,9,9,-149.63358,-0.2,-1.8357463e-37,149.63358,-122.58381,0.03,6.200755,-0.2,0.03,1.6631524562835693,5.6956506,-0.45073155,inf,0.2,,16,50.77777777777778,457,inf,,127.58381,1148.2543,0.03,,0.03,7.1892805,,1.559317e-38,8.829733e-05,,19,-101.11877
-149.63358,-0.2,10,10,-105.86086,0.2,,149.63358,-120.911514,0.03,6.8012824,-0.2,0.03,1.7829673290252686,5.7113895,0.06882501,inf,0.2,,16,47.1,471,inf,,125.911514,1259.1151,0.03,,0.03,7.08392,,,7.152084e-05,,14,-101.11877
-149.63358,-0.2,11,11,-123.7152,-0.2,-2.3888318e-35,149.63358,-121.16639,0.03,6.722753,0.2,0.03,1.9337620735168457,5.716686,0.007996261,inf,0.2,2.1770477e-37,16,45.90909090909091,505,inf,,126.16639,1387.8303,0.03,,0.03,6.98861,,2.3815258e-36,5.9108123e-05,,14,-101.11877
-149.63358,-0.2,12,12,-107.24566,0.2,-4.268178e-31,149.63358,-120.006325,0.03,6.8302846,0.2,0.03,2.0637614727020264,5.7297254,0.5171753,inf,0.2,2.970417e-33,16,43.333333333333336,520,inf,,125.006325,1500.0759,0.03,,0.03,6.9015985,,3.564452e-32,4.966725e-05,,14,-101.11877
-149.63358,0.2,13,13,-108.773415,-0.2,,149.63358,-119.14226,0.03,2.6361969,-0.2,0.03,2.1999118328094482,5.4178762,-0.01453653,inf,0.2,,16,41.07692307692308,534,inf,,124.14226,1613.8494,0.03,,0.03,6.8215556,,,4.232002e-05,,14,-101.11877
