ReturnMean,InvPendulum_mu0_higher,ActionIn1,ReturnMax,NatGrad2Norm,InvPendulum_std0_higher,MinEpLen,BatchSize,StepSize,InvPendulum_mu1_higher,Iteration,AvgRet,NatGradInftyNorm,NumTrajectories,InvPendulum_mu3_higher,VarJ,InvPendulum_std3_higher,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std2_higher,AvgEpLen,J,TimestepsSoFar
-119.68763207232995,0.278299,-0.3919974,-97.60241650347758,2.4549313,0.14999999,13,100,0.001,-0.74013203,1,-119.68763207232995,2.2294436,100,-0.24478999,0.8844233455683249,0.14999999,0.14999999,0.561099,0.14999999,29.16,-119.68763207232995,2916
-119.24196028211088,0.27914712,0.67532474,-97.60241650347758,1.6020967,0.14999999,12,100,0.001,-0.7379026,2,-118.79628849189184,1.2766505,200,-0.24536577,0.678007415380439,0.14999999,0.14999999,0.5611728,0.14999999,29.035,-118.79628849189184,5807
-119.29841542712626,0.27929267,-0.06885886,-75.60661133736042,4.477857,0.14999999,12,100,0.001,-0.7388514,3,-119.41132571715703,3.0224514,300,-0.24524155,1.005964668810536,0.14999999,0.14999999,0.5598961,0.14999999,29.73,-119.41132571715703,8919
-119.38944736061484,0.27794492,0.21235046,-75.60661133736042,4.778656,0.14999999,12,100,0.001,-0.735829,4,-119.6625431610805,4.3551726,400,-0.24286576,1.2966169068840339,0.14999999,0.14999999,0.56175494,0.14999999,29.6975,-119.6625431610805,11879
-118.95577341749414,0.2782772,-0.16274156,-75.60661133736042,3.0385728,0.14999999,12,100,0.001,-0.7314738,5,-117.2210776450113,2.5743396,500,-0.24414684,0.7318801369734463,0.14999999,0.14999999,0.5603002,0.14999999,29.384,-117.2210776450113,14692
-119.01666546684932,0.2779219,-0.23856887,-75.60661133736042,2.6930618,0.14999999,12,100,0.001,-0.7340481,6,-119.32112571362528,2.222717,600,-0.24259378,0.9133518602670792,0.14999999,0.14999999,0.5605599,0.14999999,29.418333333333333,-119.32112571362528,17651
-119.0297245312374,0.2801446,-0.25696445,-75.60661133736042,4.8239055,0.14999999,12,100,0.001,-0.7330415,7,-119.10807891756588,4.3944654,700,-0.24247009,1.0829348688202445,0.14999999,0.14999999,0.55942696,0.14999999,29.53,-119.10807891756588,20671
-119.14097972870583,0.28169572,-0.042472437,-75.60661133736042,4.279442,0.14999999,12,100,0.001,-0.73207355,8,-119.91976611098475,3.5674596,800,-0.24686456,0.7758966292936093,0.14999999,0.14999999,0.56021166,0.14999999,29.4875,-119.91976611098475,23590
-119.29284127218781,0.2815221,-0.0025188327,-75.60661133736042,3.9952521,0.14999999,12,100,0.001,-0.7285061,9,-120.50773362004384,2.8127432,900,-0.24921784,3.2928007939277673,0.14999999,0.14999999,0.5600745,0.14999999,29.746666666666666,-120.50773362004384,26772
-119.22120044394482,0.28433484,-0.43400627,-75.60661133736042,2.1018875,0.14999999,12,100,0.001,-0.7297447,10,-118.57643298975772,1.5831975,1000,-0.2515955,0.7169343729494786,0.14999999,0.14999999,0.56100357,0.14999999,29.55,-118.57643298975772,29550
-119.11361530228594,0.28591803,-0.6860824,-75.60661133736042,1.5105402,0.14999999,12,100,0.001,-0.73050153,11,-118.03776388569707,1.1625454,1100,-0.25230572,1.052269105956497,0.14999999,0.14999999,0.56009024,0.14999999,29.568181818181817,-118.03776388569707,32525
-119.09522437272918,0.28475547,0.1452678,-75.60661133736042,2.9461193,0.14999999,12,100,0.001,-0.73053086,12,-118.89292414760492,2.2783823,1200,-0.25134873,0.8180988737812332,0.14999999,0.14999999,0.5602068,0.14999999,29.526666666666667,-118.89292414760492,35432
-119.02140192694935,0.2856312,-0.74758,-75.60661133736042,2.8371878,0.14999999,12,100,0.001,-0.7282525,13,-118.13553257759126,1.7043366,1300,-0.25121737,1.117302678298958,0.14999999,0.14999999,0.5585623,0.14999999,29.546153846153846,-118.13553257759126,38410
