NatGradInftyNorm,AvgEpLen,J,InvPendulum_std1_higher,ActionIn1,InvPendulum_mu0_higher,InvPendulum_mu3_higher,ReturnMax,NatGrad2Norm,NumTrajectories,InvPendulum_std2_higher,InvPendulum_mu2_higher,ReturnMean,InvPendulum_mu1_higher,InvPendulum_std0_higher,TimestepsSoFar,MinEpLen,VarJ,Iteration,StepSize,BatchSize,AvgRet,InvPendulum_std3_higher
1.0822275,44.9,-99.88856848344018,0.14999999,-2.1377952,-0.35728163,-0.8075896,11.634517010751145,1.5812865,100,0.14999999,-0.10657271,-99.88856848344018,-0.45693675,0.14999999,4490,14,2.4431217381725356,1,0.001,100,-99.88856848344018,0.14999999
2.7083018,41.585,-102.52313896759688,0.14999999,-1.6337211,-0.35677564,-0.80770564,11.634517010751145,3.3921409,200,0.14999999,-0.10549048,-101.2058537255185,-0.4559073,0.14999999,8317,14,0.6113350335138898,2,0.001,100,-102.52313896759688,0.14999999
2.088488,41.906666666666666,-101.88215464318596,0.14999999,-1.2841544,-0.35406733,-0.8081919,11.634517010751145,3.03302,300,0.14999999,-0.10391582,-101.431287364741,-0.4571138,0.14999999,12572,12,0.9016849288577266,3,0.001,100,-101.88215464318596,0.14999999
2.1464138,41.63,-102.67775778342117,0.14999999,-1.5802808,-0.3561558,-0.8089008,11.634517010751145,3.2828841,400,0.14999999,-0.104858026,-101.74290496941103,-0.45525715,0.14999999,16652,12,0.5309721773733671,4,0.001,100,-102.67775778342117,0.14999999
2.9392786,41.6,-102.1741509997817,0.14999999,-2.1141152,-0.35767964,-0.8107901,11.634517010751145,3.6704142,500,0.14999999,-0.1043303,-101.82915417548516,-0.45740357,0.14999999,20800,12,0.7010808989193059,5,0.001,100,-102.1741509997817,0.14999999
1.8997303,41.598333333333336,-102.93989780723295,0.14999999,-1.8268301,-0.35474035,-0.81000453,11.634517010751145,2.9073808,600,0.14999999,-0.10301819,-102.01427811410979,-0.4558244,0.14999999,24959,12,0.7723213092287762,6,0.001,100,-102.93989780723295,0.14999999
3.3137953,41.38285714285714,-102.15029701253648,0.14999999,-1.949702,-0.3561103,-0.8091893,11.634517010751145,3.99712,700,0.14999999,-0.10150076,-102.0337093853136,-0.45772412,0.14999999,28968,12,0.5560808518234833,7,0.001,100,-102.15029701253648,0.14999999
2.5011833,41.315,-103.1665805873583,0.14999999,-1.946181,-0.35733968,-0.808983,11.634517010751145,3.85785,800,0.14999999,-0.09964554,-102.17531828556919,-0.46103793,0.14999999,33052,12,0.6995668352226398,8,0.001,100,-103.1665805873583,0.14999999
1.4782474,41.31111111111111,-102.31845303984645,0.14999999,-1.7169468,-0.35958365,-0.8078472,11.634517010751145,1.5931715,900,0.14999999,-0.09714436,-102.19122214715556,-0.46255505,0.14999999,37180,12,0.789932294456718,9,0.001,100,-102.31845303984645,0.14999999
2.53059,41.269,-102.99471187266253,0.14999999,-1.4364719,-0.35936084,-0.80833554,11.634517010751145,3.136959,1000,0.14999999,-0.09566611,-102.27157111970625,-0.46230036,0.14999999,41269,12,0.5475583694234962,10,0.001,100,-102.99471187266253,0.14999999
2.2793384,40.97909090909091,-102.96291241134011,0.14999999,-1.5436454,-0.3587121,-0.80803996,11.634517010751145,3.1140733,1100,0.14999999,-0.0981967,-102.33442032803661,-0.4640116,0.14999999,45077,12,0.6149526497090556,11,0.001,100,-102.96291241134011,0.14999999
1.5229237,40.93,-102.76818321424882,0.14999999,-1.9225292,-0.35829023,-0.8069185,11.634517010751145,1.7928348,1200,0.14999999,-0.09644557,-102.37056723522095,-0.46629095,0.14999999,49116,12,0.7006092687689666,12,0.001,100,-102.76818321424882,0.14999999
1.7787014,40.72076923076923,-103.75845802173988,0.14999999,-2.0174408,-0.35903442,-0.80697864,11.634517010751145,2.8174384,1300,0.14999999,-0.09492265,-102.47732806495317,-0.46687192,0.14999999,52937,12,0.32090982672902285,13,0.001,100,-103.75845802173988,0.14999999
1.6727657,41.191428571428574,-101.90802862140664,0.14999999,-1.5237081,-0.3595341,-0.8051999,11.634517010751145,2.5952723,1400,0.14999999,-0.09628719,-102.43666381898556,-0.46850362,0.14999999,57668,11,1.362882450031483,14,0.001,100,-101.90802862140664,0.14999999
4.1089187,41.12,-103.9940975269883,0.14999999,-1.7594223,-0.35986915,-0.80622524,11.634517010751145,5.166702,1500,0.14999999,-0.094614424,-102.54049273285243,-0.4701691,0.14999999,61680,11,0.4602915925507945,15,0.001,100,-103.9940975269883,0.14999999
