Iteration,TimestepsSoFar,InvPendulum_mu3_higher,InvPendulum_mu1_higher,AvgEpLen,ReturnMean,InvPendulum_mu2_higher,InvPendulum_std2_higher,StepSize,ActionIn1,VarJ,ReturnMax,AvgRet,InvPendulum_std3_higher,NumTrajectories,NatGrad2Norm,MinEpLen,InvPendulum_std0_higher,InvPendulum_std1_higher,InvPendulum_mu0_higher,BatchSize,NatGradInftyNorm,J
1,4490,-0.8075896,-0.45693675,44.9,-99.88856848344018,-0.10657271,0.14999999,1.0,-2.1377952,2.4431217381725356,11.634517010751145,-99.88856848344018,0.14999999,100,1.5812865,14,0.14999999,0.14999999,-0.35728163,100,1.0822275,-99.88856848344018
2,6153,-0.9236537,0.5725113,30.765,-103.53181050466648,0.9756548,0.14999999,1.0,0.8653696,0.12804642200687918,11.634517010751145,-107.1750525258928,0.14999999,200,3.3021114,11,0.14999999,0.14999999,0.14869934,100,2.6419034,-107.1750525258928
3,7754,-1.3084722,-0.67837954,25.846666666666668,-104.84488655685678,2.462757,0.14999999,1.0,3.7056427,0.07641686332070799,11.634517010751145,-107.47103866123733,0.14999999,300,3.3879156,11,0.14999999,0.14999999,2.7906027,100,2.1684988,-107.47103866123733
4,9318,-2.1789718,1.4901192,23.295,-105.33814485981799,1.1279742,0.14999999,1.0,1.3164194,0.04493379161092623,11.634517010751145,-106.81791976870163,0.14999999,400,3.4132428,11,0.14999999,0.14999999,0.7324066,100,2.2457044,-106.81791976870163
5,12132,-4.2233114,-0.7555852,24.264,-105.39032008965683,1.3274409,0.14999999,1.0,-4.848253,0.3934084398740216,11.634517010751145,-105.59902100901223,0.14999999,500,3.7667203,11,0.14999999,0.14999999,-0.8128853,100,2.9345229,-105.59902100901223
6,13736,-3.4847233,1.1974306,22.893333333333334,-105.63394357733928,2.4306061,0.14999999,1.0,2.1617088,0.04625743298932708,11.634517010751145,-106.85206101575154,0.14999999,600,2.611134,10,0.14999999,0.14999999,2.1216376,100,1.7964951,-106.85206101575154
7,15515,-2.8756962,-0.59906447,22.164285714285715,-105.9392333068391,3.759714,0.14999999,1.0,0.97593236,0.10793777274137044,11.634517010751145,-107.77097168383798,0.14999999,700,4.051241,10,0.14999999,0.14999999,0.9161564,100,3.2819693,-107.77097168383798
8,18118,-2.7240257,-3.881034,22.6475,-106.76927987751857,5.7492313,0.14999999,1.0,-1.4472747,0.4862245167995168,11.634517010751145,-112.57960587227483,0.14999999,800,3.8352013,10,0.14999999,0.14999999,-0.37227178,100,2.3786924,-112.57960587227483
9,20816,-1.2894919,-5.1043167,23.128888888888888,-107.67500959937709,8.127924,0.14999999,1.0,-0.97238886,0.13938123015045834,11.634517010751145,-114.92084737424543,0.14999999,900,1.9035842,10,0.14999999,0.14999999,-2.7166872,100,1.6038692,-114.92084737424543
10,23292,-1.9789711,-4.6991367,23.292,-108.01803149291149,9.731793,0.14999999,1.0,1.2678151,0.200808647120563,11.634517010751145,-111.10522853472087,0.14999999,1000,3.6940274,10,0.14999999,0.14999999,-2.075061,100,3.1760533,-111.10522853472087
11,26038,-1.7817804,-6.2280765,23.670909090909092,-109.06642344918777,6.5557404,0.14999999,1.0,-2.256672,0.1162022145836983,11.634517010751145,-119.55034301195069,0.14999999,1100,3.4011707,10,0.14999999,0.14999999,-0.98787105,100,2.3980837,-119.55034301195069
12,28644,-0.64582384,-8.62616,23.87,-109.94952815864863,8.579784,0.14999999,1.0,-1.2189066,0.13718649191158375,11.634517010751145,-119.66367996271829,0.14999999,1200,1.8563193,10,0.14999999,0.14999999,-0.33212376,100,1.6272892,-119.66367996271829
13,31199,-0.68226004,-8.904614,23.99923076923077,-110.58675993518277,10.207073,0.14999999,1.0,-0.84948885,0.09613209464858659,11.634517010751145,-118.23354125359221,0.14999999,1300,3.1661782,10,0.14999999,0.14999999,-1.1800547,100,1.9360834,-118.23354125359221
14,34142,1.2538234,-10.696261,24.38714285714286,-111.57157346099906,8.585924,0.14999999,1.0,-2.4926753,0.26197631785031983,11.634517010751145,-124.37414929661094,0.14999999,1400,3.254698,10,0.14999999,0.14999999,-1.8419784,100,2.1171083,-124.37414929661094
15,37045,-0.43981683,-12.446756,24.696666666666665,-112.34142202046161,10.7030325,0.14999999,1.0,-4.476275,0.16379201845758007,11.634517010751145,-123.11930185293735,0.14999999,1500,5.7787657,10,0.14999999,0.14999999,-2.26419,100,4.7582254,-123.11930185293735
16,40359,0.8168484,-17.204983,25.224375,-113.28502572691588,13.191086,0.14999999,1.0,-7.634861,0.27968826286352333,11.634517010751145,-127.43908132372967,0.14999999,1600,1.655589,10,0.14999999,0.14999999,-3.9915595,100,1.1304256,-127.43908132372967
17,43891,1.947274,-18.100351,25.818235294117645,-114.24262826611705,12.377976,0.14999999,1.0,-7.545278,0.4002842433163763,11.634517010751145,-129.56426889333633,0.14999999,1700,4.6814675,10,0.14999999,0.14999999,-3.9747891,100,3.0758336,-129.56426889333633
18,47248,4.0092783,-21.176186,26.24888888888889,-115.03799636026017,15.190744,0.14999999,1.0,-6.1065283,0.38619088177165267,11.634517010751145,-128.55925396069256,0.14999999,1800,4.575893,10,0.14999999,0.14999999,-4.5150313,100,3.0856903,-128.55925396069256
19,50961,0.92358804,-21.946995,26.821578947368423,-115.91110394044732,13.226609,0.14999999,1.0,-9.389311,0.5501657221666353,11.634517010751145,-131.62704038381628,0.14999999,1900,2.74694,10,0.14999999,0.14999999,-1.8758383,100,2.1211343,-131.62704038381628
20,54748,1.5468044,-23.044693,27.374,-116.73756118026952,14.432067,0.14999999,1.0,-11.077755,0.34190786550452346,11.634517010751145,-132.44024873689116,0.14999999,2000,4.8091173,10,0.14999999,0.14999999,-3.9969726,100,3.5494747,-132.44024873689116
