J,ReturnMean,NumTrajectories,AvgRet,InvPendulum_std0_higher,BatchSize,AvgEpLen,StepSize,NatGradInftyNorm,InvPendulum_mu2_higher,MinEpLen,InvPendulum_mu0_higher,InvPendulum_std2_higher,InvPendulum_std3_higher,InvPendulum_mu3_higher,Iteration,ActionIn1,VarJ,InvPendulum_std1_higher,NatGrad2Norm,InvPendulum_mu1_higher,TimestepsSoFar,ReturnMax
-112.85270437853737,-112.85270437853737,100,-112.85270437853737,0.01,100,20.25,0.0001,0.26007122,0.41005367,10,0.8060292,0.01,0.01,-0.06532505,1,0.7989546,0.30012582406537897,0.01,0.29234192,-0.4217885,2025,-105.1993111700676
-113.12618976859969,-112.98944707356854,200,-113.12618976859969,0.01,100,20.58,0.0001,0.16323489,0.4100424,10,0.80602777,0.01,0.01,-0.06529904,2,0.72284186,0.298522912345242,0.01,0.2384525,-0.42179555,4116,-104.97396962389433
-112.7246027211679,-112.90116562276833,300,-112.7246027211679,0.01,100,20.516666666666666,0.0001,0.19648404,0.41005638,10,0.80603576,0.01,0.01,-0.06528272,3,0.6939682,0.31699343961324955,0.01,0.21510519,-0.4218021,6155,-104.97396962389433
-111.96530937316169,-112.66720156036666,400,-111.96530937316169,0.01,100,20.3525,0.0001,0.1663631,0.4100536,10,0.8060395,0.01,0.01,-0.06526307,4,0.7325554,0.23265747192537375,0.01,0.2532044,-0.42179468,8141,-104.50085358604751
-113.24570125779627,-112.7829014998526,500,-113.24570125779627,0.01,100,20.482,0.0001,0.2312017,0.41003698,10,0.8060252,0.01,0.01,-0.06527554,5,0.7027822,0.33658546260116734,0.01,0.28028074,-0.4217965,10241,-104.4141049333243
-113.21802325336344,-112.85542179210441,600,-113.21802325336344,0.01,100,20.465,0.0001,0.113555506,0.41005176,10,0.8060268,0.01,0.01,-0.06527008,6,0.6977625,0.35044484652124297,0.01,0.15417282,-0.42177337,12279,-104.4141049333243
-112.73693300332778,-112.83849482227915,700,-112.73693300332778,0.01,100,20.487142857142857,0.0001,0.12042188,0.41005555,10,0.8060235,0.01,0.01,-0.06525873,7,0.7383505,0.33425265079935607,0.01,0.14277837,-0.42178252,14341,-104.4141049333243
-112.8919493466105,-112.84517663782059,800,-112.8919493466105,0.01,100,20.4175,0.0001,0.12151493,0.41005474,10,0.8060355,0.01,0.01,-0.06526428,8,0.74396515,0.41080959398774697,0.01,0.14591599,-0.42177728,16334,-104.4141049333243
-113.37590098419349,-112.90414600963979,900,-113.37590098419349,0.01,100,20.456666666666667,0.0001,0.1312851,0.41004258,10,0.8060355,0.01,0.01,-0.06527048,9,0.74590737,0.30976693376579484,0.01,0.1641527,-0.42178243,18411,-104.00612664059383
-113.03476788914874,-112.9172081975907,1000,-113.03476788914874,0.01,100,20.466,0.0001,0.18067695,0.4100342,10,0.80604863,0.01,0.01,-0.0652655,10,0.73855305,0.3147001808074084,0.01,0.23107836,-0.42178392,20466,-103.72248656951565
-112.03099861630899,-112.83664369020144,1100,-112.03099861630899,0.01,100,20.368181818181817,0.0001,0.13230433,0.41004682,10,0.8060306,0.01,0.01,-0.06526985,11,0.7222368,0.264275539883113,0.01,0.1387362,-0.4217894,22405,-103.72248656951565
-111.81315211012736,-112.75135272519528,1200,-111.81315211012736,0.01,100,20.320833333333333,0.0001,0.099934705,0.41004834,10,0.80603343,0.01,0.01,-0.06526725,12,0.73981696,0.18627248014296352,0.01,0.10853443,-0.42180264,24385,-103.72248656951565
-112.65377009094942,-112.74384636871481,1300,-112.65377009094942,0.01,100,20.29230769230769,0.0001,0.13515198,0.41004932,10,0.80603033,0.01,0.01,-0.06527724,13,0.73764133,0.2826206831589412,0.01,0.19888848,-0.42180535,26380,-103.72248656951565
-112.92984205755893,-112.75713177506084,1400,-112.92984205755893,0.01,100,20.302857142857142,0.0001,0.11569292,0.41003582,10,0.8060368,0.01,0.01,-0.06526855,14,0.7284285,0.2685487376029006,0.01,0.14133835,-0.42179555,28424,-103.72248656951565
-112.19737229985557,-112.71981447671381,1500,-112.19737229985557,0.01,100,20.252,0.0001,0.14806025,0.41002426,10,0.80603385,0.01,0.01,-0.06526098,15,0.7426391,0.2978514407121039,0.01,0.2160473,-0.42179516,30378,-103.72248656951565
-112.41163092415105,-112.70055300467864,1600,-112.41163092415105,0.01,100,20.218125,0.0001,0.22259116,0.41001567,10,0.80604863,0.01,0.01,-0.06524784,16,0.7334696,0.30325114524169894,0.01,0.23234275,-0.42179394,32349,-103.72248656951565
-113.15389448891239,-112.72722015081004,1700,-113.15389448891239,0.01,100,20.23764705882353,0.0001,0.15120122,0.41000983,10,0.8060455,0.01,0.01,-0.06524742,17,0.7252338,0.32860919698834645,0.01,0.22616433,-0.4218162,34404,-103.72248656951565
-112.02837115619923,-112.68839520666499,1800,-112.02837115619923,0.01,100,20.24,0.0001,0.21801877,0.40999854,10,0.80605346,0.01,0.01,-0.06526253,18,0.7310357,0.25009831022943607,0.01,0.2770717,-0.42180666,36432,-103.72248656951565
-112.22977397025834,-112.6642572468541,1900,-112.22977397025834,0.01,100,20.228421052631578,0.0001,0.15527031,0.4100143,10,0.80605644,0.01,0.01,-0.06526845,19,0.7122339,0.1893722185158994,0.01,0.17583838,-0.42178485,38434,-103.72248656951565
-112.1460276506711,-112.63834576704495,2000,-112.1460276506711,0.01,100,20.189,0.0001,0.07327023,0.41002104,10,0.80605876,0.01,0.01,-0.06526431,20,0.70563483,0.23609461468734025,0.01,0.10820103,-0.42180037,40378,-103.72248656951565
-113.41239209632218,-112.67520511605817,2100,-113.41239209632218,0.01,100,20.260952380952382,0.0001,0.25439724,0.41001692,10,0.8060638,0.01,0.01,-0.06525698,21,0.71719587,0.3385518558758035,0.01,0.34906945,-0.42179573,42548,-103.72248656951565
-112.3072877048646,-112.65848159736755,2200,-112.3072877048646,0.01,100,20.242727272727272,0.0001,0.38892165,0.41002125,10,0.8060868,0.01,0.01,-0.06528242,22,0.7526928,0.32687849787834883,0.01,0.40214851,-0.42179102,44534,-103.6579672552044
