InvPendulum_std3_higher,TimestepsSoFar,StepSize,InvPendulum_std0_higher,InvPendulum_std1_higher,NatGrad2Norm,NumTrajectories,VarJ,ReturnMean,InvPendulum_mu2_higher,BatchSize,InvPendulum_std2_higher,InvPendulum_mu0_higher,MinEpLen,ActionIn1,InvPendulum_mu3_higher,NatGradInftyNorm,ReturnMax,AvgEpLen,J,Iteration,InvPendulum_mu1_higher,AvgRet
0.01,4458,0.0001,0.01,0.01,0.11808304,100,0.8336646892645632,-101.54757119156108,-0.10657271,100,0.01,-0.35728163,15,-1.7556748,-0.8075896,0.09612575,-59.93635733478327,44.58,-101.54757119156108,1,-0.45693675,-101.54757119156108
0.01,8614,0.0001,0.01,0.01,0.21801585,200,0.5254883628809235,-101.75995449050633,-0.10656743,100,0.01,-0.35727906,13,-1.7222228,-0.8075931,0.18104313,-59.93635733478327,43.07,-101.97233778945157,2,-0.45692712,-101.97233778945157
0.01,13007,0.0001,0.01,0.01,0.20662472,300,0.7096896922994584,-101.745016475289,-0.10655864,100,0.01,-0.35726097,13,-1.6990738,-0.80759436,0.13616392,-59.93635733478327,43.35666666666667,-101.71514044485436,3,-0.4569354,-101.71514044485436
0.01,16994,0.0001,0.01,0.01,0.21243146,400,0.6133270177697161,-101.69022356446709,-0.10656673,100,0.01,-0.35727307,13,-1.7187021,-0.8075998,0.1312921,-59.93635733478327,42.485,-101.52584483200138,4,-0.4569218,-101.52584483200138
0.01,21199,0.0001,0.01,0.01,0.24995711,500,0.6644789505455151,-101.6374544001502,-0.10656394,100,0.01,-0.35728312,13,-1.753989,-0.8076129,0.20114274,-59.93635733478327,42.398,-101.42637774288264,5,-0.45693484,-101.42637774288264
0.01,24954,0.0001,0.01,0.01,0.17652653,600,0.5441228263471127,-101.85843359241292,-0.10655785,100,0.01,-0.357263,13,-1.735234,-0.8076083,0.109967686,-59.93635733478327,41.59,-102.96332955372654,6,-0.45692208,-102.96332955372654
0.01,29285,0.0001,0.01,0.01,0.25991845,700,0.6613461496785306,-101.92885874939255,-0.10654834,100,0.01,-0.3572712,13,-1.743367,-0.8076025,0.20118128,-59.93635733478327,41.83571428571429,-102.35140969127023,7,-0.45693308,-102.35140969127023
0.01,33433,0.0001,0.01,0.01,0.23522577,800,0.590734549188044,-102.11540908083148,-0.10653467,100,0.01,-0.35728008,13,-1.7429799,-0.8076003,0.14959072,-59.93635733478327,41.79125,-103.42126140090411,8,-0.4569532,-103.42126140090411
0.01,37568,0.0001,0.01,0.01,0.12659207,900,0.5239546400956206,-102.09287340748531,-0.10652105,100,0.01,-0.35729504,13,-1.7276902,-0.80759156,0.10764018,-59.93635733478327,41.742222222222225,-101.91258802071603,9,-0.4569614,-101.91258802071603
0.01,41580,0.0001,0.01,0.01,0.21874245,1000,0.4332869491337319,-102.11469797177257,-0.10651028,100,0.01,-0.3572915,13,-1.7090753,-0.80759555,0.18902434,-59.93635733478327,41.58,-102.31111905035786,10,-0.4569574,-102.31111905035786
0.01,46021,0.0001,0.01,0.01,0.19360344,1100,0.6359240910855118,-102.12336045937275,-0.10652918,100,0.01,-0.35728693,13,-1.7160232,-0.80759406,0.14735334,-59.93635733478327,41.837272727272726,-102.20998533537445,11,-0.4569673,-102.20998533537445
0.01,50050,0.0001,0.01,0.01,0.10068914,1200,0.5251654414559879,-102.18478028855257,-0.106519386,100,0.01,-0.35728395,13,-1.7413445,-0.8075868,0.09261462,-59.93635733478327,41.708333333333336,-102.86039840953065,12,-0.45698202,-102.86039840953065
0.01,54124,0.0001,0.01,0.01,0.17748903,1300,0.37841121958022184,-102.20317029921591,-0.106510125,100,0.01,-0.35728762,11,-1.7476773,-0.80758816,0.11225396,-59.93635733478327,41.63384615384616,-102.42385042717574,13,-0.45698252,-102.42385042717574
0.01,58252,0.0001,0.01,0.01,0.17991807,1400,0.5727943101261613,-102.24410258791212,-0.1065189,100,0.01,-0.35729107,11,-1.7146583,-0.80757695,0.11774076,-59.93635733478327,41.60857142857143,-102.77622234096279,14,-0.4569925,-102.77622234096279
0.01,62214,0.0001,0.01,0.01,0.35104084,1500,0.36075103628203353,-102.26675817354392,-0.10650713,100,0.01,-0.35729343,11,-1.730292,-0.80758667,0.28847036,-59.93635733478327,41.476,-102.5839363723894,15,-0.45700175,-102.5839363723894
0.01,66647,0.0001,0.01,0.01,0.082030796,1600,0.6400051999013335,-102.16630614792062,-0.10649191,100,0.01,-0.35730445,11,-1.758157,-0.8075798,0.060989093,-59.93635733478327,41.654375,-100.65952576357127,16,-0.4570306,-100.65952576357127
0.01,70452,0.0001,0.01,0.01,0.2517495,1700,0.7845739438581772,-102.17308292134791,-0.10649415,100,0.01,-0.35730404,11,-1.7147688,-0.8075748,0.16519682,-59.93635733478327,41.44235294117647,-102.2815112961843,17,-0.4570367,-102.2815112961843
