ReturnMax,InvPendulum_mu2_higher,NatGradInftyNorm,InvPendulum_mu0_higher,AvgRet,NumTrajectories,InvPendulum_std2_higher,ActionIn1,InvPendulum_mu1_higher,TimestepsSoFar,InvPendulum_mu3_higher,VarJ,StepSize,Iteration,InvPendulum_std0_higher,InvPendulum_std1_higher,MinEpLen,AvgEpLen,ReturnMean,InvPendulum_std3_higher,J,NatGrad2Norm,BatchSize
-108.18545643480361,0.561099,0.1060355,0.278299,-119.4091861718913,100,0.01,-0.1619556,-0.74013203,2777,-0.24478999,0.24279141521286526,0.001,1,0.01,0.01,16,27.77,-119.4091861718913,0.01,-119.4091861718913,0.12544465,100
-107.61039309299365,0.5610558,0.13273937,0.2783281,-119.4641618740846,200,0.01,-0.0909228,-0.740026,5597,-0.2448322,0.2829386072445733,0.001,2,0.01,0.01,16,27.985,-119.43667402298793,0.01,-119.4641618740846,0.16672081,100
-107.61039309299365,0.56092304,0.1950346,0.27832645,-120.35650407420302,300,0.01,-0.14061777,-0.7401248,8482,-0.24481213,0.24140399355411982,0.001,3,0.01,0.01,15,28.273333333333333,-119.74328404005963,0.01,-120.35650407420302,0.28473666,100
-107.61039309299365,0.5610263,0.2550071,0.27824095,-119.23824244234085,400,0.01,-0.12189332,-0.7399665,11386,-0.24461709,0.2768501881013206,0.001,4,0.01,0.01,15,28.465,-119.61702364062994,0.01,-119.23824244234085,0.30398068,100
-107.61039309299365,0.5608681,0.1935009,0.278279,-119.06671685425916,500,0.01,-0.14692485,-0.7397115,14271,-0.24464718,0.2520882091285421,0.001,5,0.01,0.01,14,28.542,-119.50696228335579,0.01,-119.06671685425916,0.22602148,100
-107.61039309299365,0.56086147,0.13317548,0.27825186,-119.39348893116758,600,0.01,-0.15201937,-0.739905,17170,-0.24453376,0.2722040955890917,0.001,6,0.01,0.01,14,28.616666666666667,-119.48805005799109,0.01,-119.39348893116758,0.1805196,100
-107.61039309299365,0.56075114,0.25351575,0.27838504,-118.41261675060936,700,0.01,-0.1533055,-0.7398888,19935,-0.24448463,0.19183447999516073,0.001,7,0.01,0.01,14,28.478571428571428,-119.33441672836514,0.01,-118.41261675060936,0.27178425,100
-107.61039309299365,0.5607505,0.21110462,0.27848002,-120.06775754377486,800,0.01,-0.13906857,-0.7398648,22834,-0.24473815,0.22877140281188624,0.001,8,0.01,0.01,14,28.5425,-119.42608433029135,0.01,-120.06775754377486,0.255797,100
-107.61039309299365,0.5607204,0.16610862,0.2784619,-119.85083125323716,900,0.01,-0.13644245,-0.7396537,25716,-0.24487826,0.2214940268934896,0.001,9,0.01,0.01,14,28.573333333333334,-119.47327843284089,0.01,-119.85083125323716,0.25889647,100
-107.61039309299365,0.56068283,0.09723193,0.27859655,-119.44159648653216,1000,0.01,-0.1654267,-0.7398198,28583,-0.24501932,0.22994291111168547,0.001,10,0.01,0.01,14,28.583,-119.47011023821003,0.01,-119.44159648653216,0.16083333,100
-107.61039309299365,0.5605924,0.1124923,0.2786938,-119.48793560913823,1100,0.01,-0.18228857,-0.7399049,31434,-0.24505104,0.25314047406915585,0.001,11,0.01,0.01,14,28.576363636363638,-119.47173072647621,0.01,-119.48793560913823,0.15791306,100
-107.61039309299365,0.56055737,0.13506651,0.2785813,-118.54024097077446,1200,0.01,-0.12694979,-0.73994637,34179,-0.24495444,0.2484439464879968,0.001,12,0.01,0.01,14,28.4825,-119.39410658016772,0.01,-118.54024097077446,0.19191027,100
-107.61039309299365,0.5604223,0.13190642,0.27862984,-118.86974122403926,1300,0.01,-0.18651775,-0.73982173,36969,-0.24492796,0.16296006791777395,0.001,13,0.01,0.01,14,28.43769230769231,-119.35377078354247,0.01,-118.86974122403926,0.19330364,100
-107.61039309299365,0.56045586,0.09082804,0.27849793,-119.57556010128461,1400,0.01,-0.12907614,-0.73976135,39903,-0.24480468,0.18427669265960617,0.001,14,0.01,0.01,14,28.502142857142857,-119.36961287766691,0.01,-119.57556010128461,0.11993484,100
-107.61039309299365,0.5603961,0.14095902,0.27851453,-119.43040578496193,1500,0.01,-0.1540249,-0.73980916,42743,-0.2448955,0.2279490934825647,0.001,15,0.01,0.01,14,28.495333333333335,-119.37366573815324,0.01,-119.43040578496193,0.20525706,100
-104.91120353629908,0.5603538,0.18224749,0.27865008,-119.2271202792025,1600,0.01,-0.14481257,-0.7399501,45616,-0.2448496,0.22698425454010657,0.001,16,0.01,0.01,14,28.51,-119.36450664696882,0.01,-119.2271202792025,0.26617798,100
-104.91120353629908,0.56044155,0.2485356,0.27883232,-118.72887093279888,1700,0.01,-0.12645453,-0.7400783,48308,-0.24496588,0.16877387032567692,0.001,17,0.01,0.01,14,28.416470588235295,-119.32711631084118,0.01,-118.72887093279888,0.36937314,100
-104.91120353629908,0.5603302,0.2773385,0.27897292,-118.93180952524285,1800,0.01,-0.1311167,-0.7398297,51132,-0.24517204,0.23413327625616492,0.001,18,0.01,0.01,14,28.406666666666666,-119.30515482275237,0.01,-118.93180952524285,0.31615824,100
-104.91120353629908,0.5600529,0.093987465,0.27910805,-119.27052475939166,1900,0.01,-0.16179404,-0.7398238,53957,-0.24524091,0.23101561993516062,0.001,19,0.01,0.01,14,28.39842105263158,-119.30333218783866,0.01,-119.27052475939166,0.13711402,100
-104.91120353629908,0.56011784,0.23307703,0.27903274,-118.33112941119734,2000,0.01,-0.17183083,-0.7398324,56852,-0.24514693,0.2417776936514991,0.001,20,0.01,0.01,14,28.426,-119.25472204900662,0.01,-118.33112941119734,0.3508197,100
-104.91120353629908,0.56030726,0.12070505,0.27920732,-119.50294815112396,2100,0.01,-0.15076078,-0.7397834,59616,-0.24491385,0.2022430720006139,0.001,21,0.01,0.01,14,28.388571428571428,-119.26654233958361,0.01,-119.50294815112396,0.14354059,100
-104.91120353629908,0.56027156,0.093242645,0.27923402,-118.95859025221256,2200,0.01,-0.15078676,-0.7397198,62358,-0.24503455,0.1885228890530173,0.001,22,0.01,0.01,14,28.344545454545454,-119.2525445174304,0.01,-118.95859025221256,0.12934947,100
-104.91120353629908,0.560258,0.12941009,0.27916944,-119.46614041679665,2300,0.01,-0.13484627,-0.7396266,65193,-0.24497388,0.23892349142520572,0.001,23,0.01,0.01,14,28.344782608695652,-119.2618312956637,0.01,-119.46614041679665,0.20619714,100
-104.91120353629908,0.5603874,0.117684975,0.2790939,-119.42854964885294,2400,0.01,-0.17622665,-0.7395411,68096,-0.24486096,0.19971758087778924,0.001,24,0.01,0.01,14,28.373333333333335,-119.26877789371325,0.01,-119.42854964885294,0.17846365,100
-104.91120353629908,0.5603218,0.138922,0.27918294,-119.74018795344892,2500,0.01,-0.15713277,-0.73942345,70883,-0.24478497,0.18960803273164423,0.001,25,0.01,0.01,14,28.3532,-119.28763429610268,0.01,-119.74018795344892,0.2294819,100
-104.91120353629908,0.5601914,0.2602344,0.27929142,-119.44546929767003,2600,0.01,-0.12723404,-0.73949116,73722,-0.24464604,0.199948333416767,0.001,26,0.01,0.01,14,28.354615384615386,-119.29370487308604,0.01,-119.44546929767003,0.29542792,100
-104.91120353629908,0.5601314,0.11528273,0.27941212,-119.41381389903745,2700,0.01,-0.12273532,-0.7395285,76537,-0.24438581,0.2704920980529768,0.001,27,0.01,0.01,14,28.347037037037037,-119.29815335552868,0.01,-119.41381389903745,0.17678462,100
-104.91120353629908,0.5600161,0.18948106,0.27933654,-119.32197713628682,2800,0.01,-0.14808267,-0.7394179,79344,-0.24438101,0.2699715990183441,0.001,28,0.01,0.01,14,28.337142857142858,-119.29900420484148,0.01,-119.32197713628682,0.25653452,100
-104.91120353629908,0.5600291,0.22458638,0.27914706,-119.55250575412882,2900,0.01,-0.15125436,-0.73926026,82094,-0.24431108,0.23978072200830977,0.001,29,0.01,0.01,14,28.308275862068964,-119.30774563757551,0.01,-119.55250575412882,0.23959206,100
-104.91120353629908,0.5599796,0.10913357,0.27908573,-118.74698777933662,3000,0.01,-0.122008234,-0.73923284,84985,-0.24453567,0.23988723152746283,0.001,30,0.01,0.01,14,28.328333333333333,-119.28905370896756,0.01,-118.74698777933662,0.16838811,100
-104.91120353629908,0.56007546,0.16902588,0.27905396,-119.47271313166294,3100,0.01,-0.12505224,-0.73931193,87879,-0.24442653,0.2429620023294424,0.001,31,0.01,0.01,14,28.348064516129032,-119.29497820647384,0.01,-119.47271313166294,0.27508903,100
-104.91120353629908,0.5602222,0.06112553,0.27906743,-119.21224556715055,3200,0.01,-0.14990592,-0.7391526,90734,-0.24459556,0.2743703058855584,0.001,32,0.01,0.01,14,28.354375,-119.292392811495,0.01,-119.21224556715055,0.08324376,100
-104.91120353629908,0.5602251,0.20967622,0.27910206,-118.93322983536142,3300,0.01,-0.14160874,-0.7391972,93541,-0.24453443,0.15814623172485442,0.001,33,0.01,0.01,14,28.345757575757577,-119.2815090849455,0.01,-118.93322983536142,0.22333843,100
-104.91120353629908,0.5604348,0.1281491,0.27915177,-118.50238674990338,3400,0.01,-0.1082962,-0.7391388,96338,-0.24452852,0.20912577273796626,0.001,34,0.01,0.01,14,28.334705882352942,-119.25859372215014,0.01,-118.50238674990338,0.18613717,100
-104.91120353629908,0.56037724,0.10645009,0.27927992,-119.30341935295155,3500,0.01,-0.17560306,-0.73919433,99152,-0.2444198,0.26738740928799093,0.001,35,0.01,0.01,14,28.329142857142855,-119.25987445445875,0.01,-119.30341935295155,0.13580652,100
-104.91120353629908,0.5604837,0.36276558,0.27922606,-118.94964627518307,3600,0.01,-0.14198294,-0.739177,102026,-0.24435724,0.22072447557775873,0.001,36,0.01,0.01,14,28.340555555555557,-119.25125700503442,0.01,-118.94964627518307,0.44467348,100
-104.91120353629908,0.5603737,0.24648899,0.2793921,-120.12386259605984,3700,0.01,-0.16140138,-0.73881423,104883,-0.24451996,0.24224289858848913,0.001,37,0.01,0.01,14,28.346756756756758,-119.274840939927,0.01,-120.12386259605984,0.27048975,100
-104.91120353629908,0.5606202,0.1991013,0.27944353,-119.22787541837317,3800,0.01,-0.124902844,-0.7387991,107725,-0.24442232,0.2585027877301058,0.001,38,0.01,0.01,14,28.348684210526315,-119.27360500514926,0.01,-119.22787541837317,0.22991818,100
-104.91120353629908,0.56068397,0.1301479,0.2793636,-118.70158062740217,3900,0.01,-0.16199592,-0.7386,110491,-0.24436976,0.2075171116036219,0.001,39,0.01,0.01,14,28.33102564102564,-119.25893771341217,0.01,-118.70158062740217,0.1653302,100
-104.91120353629908,0.5607064,0.4174837,0.27946073,-120.20274261765528,4000,0.01,-0.12719934,-0.73857856,113311,-0.2444999,0.17922973095135356,0.001,40,0.01,0.01,14,28.32775,-119.28253283601826,0.01,-120.20274261765528,0.4714876,100
-104.91120353629908,0.5606794,0.2503425,0.2794973,-118.94052686019585,4100,0.01,-0.10716705,-0.7387929,116144,-0.2449174,0.24767837930473807,0.001,41,0.01,0.01,14,28.32780487804878,-119.27419122685184,0.01,-118.94052686019585,0.33924913,100
-104.91120353629908,0.5605537,0.25600275,0.279523,-119.38719525683844,4200,0.01,-0.17351592,-0.73898256,119014,-0.24466705,0.20453143014425795,0.001,42,0.01,0.01,14,28.336666666666666,-119.2768817989944,0.01,-119.38719525683844,0.42372468,100
-104.91120353629908,0.56078637,0.13931237,0.279779,-119.10166430384919,4300,0.01,-0.16401428,-0.7392272,121811,-0.2446612,0.24096594840344562,0.001,43,0.01,0.01,14,28.32813953488372,-119.27280697352589,0.01,-119.10166430384919,0.21652827,100
-104.91120353629908,0.56092566,0.10696585,0.27990645,-118.37820885218902,4400,0.01,-0.10131782,-0.739157,124680,-0.24458179,0.26314875167319435,0.001,44,0.01,0.01,14,28.336363636363636,-119.25247519804095,0.01,-118.37820885218902,0.17377654,100
-104.91120353629908,0.560836,0.27955905,0.2800134,-119.1973144286965,4500,0.01,-0.13563316,-0.7390559,127498,-0.24460414,0.20290003906941836,0.001,45,0.01,0.01,14,28.33288888888889,-119.25124940316664,0.01,-119.1973144286965,0.41636083,100
-104.91120353629908,0.56107134,0.088783145,0.27987677,-119.39071316140208,4600,0.01,-0.13008852,-0.7393354,130391,-0.24445866,0.2625712679013067,0.001,46,0.01,0.01,14,28.34586956521739,-119.25428122399785,0.01,-119.39071316140208,0.14115688,100
-104.91120353629908,0.5610716,0.12630449,0.279788,-117.96168774090216,4700,0.01,-0.14757255,-0.7394105,133263,-0.24437866,0.20444705144249645,0.001,47,0.01,0.01,14,28.35382978723404,-119.22677923499582,0.01,-117.96168774090216,0.1335248,100
-104.91120353629908,0.5610762,0.120150864,0.2799143,-119.73617125749557,4800,0.01,-0.08004461,-0.7393816,136157,-0.24434674,0.24999760189037562,0.001,48,0.01,0.01,14,28.366041666666668,-119.2373915687979,0.01,-119.73617125749557,0.16205096,100
-104.91120353629908,0.56095606,0.19222163,0.279847,-119.843890113641,4900,0.01,-0.16925694,-0.7394268,139148,-0.24427424,0.24027550042590853,0.001,49,0.01,0.01,14,28.397551020408162,-119.2497690901212,0.01,-119.843890113641,0.30668494,100
