InvPendulum_mu3_higher,InvPendulum_std3_higher,ReturnMean,AvgEpLen,Iteration,BatchSize,NumTrajectories,InvPendulum_std1_higher,NatGradInftyNorm,TimestepsSoFar,InvPendulum_std0_higher,AvgRet,J,InvPendulum_mu2_higher,InvPendulum_mu1_higher,InvPendulum_std2_higher,NatGrad2Norm,StepSize,InvPendulum_mu0_higher,MinEpLen,ReturnMax,ActionIn1,VarJ
-0.06532505,0.01,-112.85270437853737,20.25,1,100,100,0.01,0.26007122,2025,0.01,-112.85270437853737,-112.85270437853737,0.41005367,-0.4217885,0.01,0.29234192,0.01,0.8060292,10,-105.1993111700676,0.7989546,0.30012582406537897
-0.06272434,0.01,-112.85439419154817,20.205,2,100,200,0.01,0.1629645,4041,0.01,-112.85608400455892,-112.85608400455892,0.40892842,-0.42249268,0.01,0.23691751,0.01,0.8058855,10,-105.1993111700676,0.7234632,0.26960989330014085
-0.061094694,0.01,-112.57985223150206,20.11,3,100,300,0.01,0.19675161,6033,0.01,-112.03076831140979,-112.03076831140979,0.41036817,-0.42313486,0.01,0.21535517,0.01,0.8065725,10,-104.8668428785996,0.69767195,0.33331715691892405
-0.059127178,0.01,-112.54073650765135,20.085,4,100,400,0.01,0.15877396,8034,0.01,-112.42338933609926,-112.42338933609926,0.41016707,-0.4224982,0.01,0.2515226,0.01,0.807139,10,-104.8668428785996,0.7392007,0.2286513642319625
-0.060424708,0.01,-112.8113898382501,20.252,5,100,500,0.01,0.2262746,10126,0.01,-113.89400316064506,-113.89400316064506,0.40857932,-0.42272398,0.01,0.27621666,0.01,0.80569994,10,-104.8668428785996,0.7049227,0.2718786248687435
-0.059834946,0.01,-112.67557763055302,20.115,6,100,600,0.01,0.12056504,12069,0.01,-111.99651659206765,-111.99651659206765,0.4100363,-0.42046124,0.01,0.15505975,0.01,0.80589736,10,-104.8668428785996,0.7043649,0.2351270104994774
-0.058629297,0.01,-112.76681739320446,20.184285714285714,7,100,700,0.01,0.10116993,14129,0.01,-113.31425596911308,-113.31425596911308,0.41040206,-0.42131272,0.01,0.119286574,0.01,0.8055941,10,-104.18540702438183,0.7453669,0.43048470476965994
-0.05900497,0.01,-112.70467846774297,20.14,8,100,800,0.01,0.118338734,16112,0.01,-112.26970598951249,-112.26970598951249,0.4102157,-0.42083994,0.01,0.14302061,0.01,0.80660576,10,-104.18540702438183,0.751893,0.2830550807692709
-0.0596019,0.01,-112.61693070361466,20.036666666666665,9,100,900,0.01,0.12972708,18033,0.01,-111.91494859058807,-111.91494859058807,0.40903232,-0.42136696,0.01,0.15918705,0.01,0.8065008,10,-104.18540702438183,0.7514464,0.2097260894857234
-0.059189025,0.01,-112.73405056568186,20.11,10,100,1000,0.01,0.18448429,20110,0.01,-113.78812932428684,-113.78812932428684,0.40821823,-0.421501,0.01,0.23910625,0.01,0.8077981,10,-104.18540702438183,0.74484587,0.3737090830798062
