ActionIn1,InvPendulum_std2_higher,ReturnMax,InvPendulum_std1_higher,ReturnMean,NatGrad2Norm,InvPendulum_std0_higher,InvPendulum_std3_higher,VarJ,BatchSize,InvPendulum_mu2_higher,InvPendulum_mu1_higher,AvgEpLen,MinEpLen,NatGradInftyNorm,TimestepsSoFar,InvPendulum_mu3_higher,NumTrajectories,J,Iteration,InvPendulum_mu0_higher,StepSize,AvgRet
0.7989546,0.01,-105.1993111700676,0.01,-112.85270437853737,0.29234192,0.01,0.01,0.30012582406537897,100,0.41005367,-0.4217885,20.25,10,0.26007122,2025,-0.06532505,100,-112.85270437853737,1,0.8060292,0.1,-112.85270437853737
0.72911173,0.01,-105.1993111700676,0.01,-113.49890602910723,0.23379366,0.01,0.01,0.3194856091551887,100,0.3988013,-0.42883033,20.79,10,0.15588881,4158,-0.03931793,200,-114.1451076796771,2,0.8045924,0.1,-114.1451076796771
0.7318647,0.01,-103.78777491901435,0.01,-113.56076136634256,0.21433757,0.01,0.01,0.3398117924022694,100,0.41314358,-0.43490893,20.683333333333334,10,0.19716185,6205,-0.023729047,300,-113.68447204081315,3,0.8123982,0.1,-113.68447204081315
0.79758036,0.01,-103.78777491901435,0.01,-114.12672387792372,0.2557209,0.01,0.01,0.3958040763685067,100,0.40974003,-0.42910093,21.165,10,0.15864258,8466,-0.0040128604,400,-115.82461141266732,4,0.81743413,0.1,-115.82461141266732
0.7216947,0.01,-103.78777491901435,0.01,-114.26976219530682,0.27840146,0.01,0.01,0.34405997522825965,100,0.39387578,-0.4311852,21.35,10,0.22853053,10675,-0.01799038,500,-114.84191546483919,5,0.8032024,0.1,-114.84191546483919
0.76194006,0.01,-103.78777491901435,0.01,-114.22841436562236,0.16328526,0.01,0.01,0.4005945733027936,100,0.40864784,-0.40833214,21.278333333333332,10,0.11619671,12767,-0.0125559615,600,-114.02167521719981,6,0.805453,0.1,-114.02167521719981
0.8055293,0.01,-103.78777491901435,0.01,-114.14600692211214,0.13255787,0.01,0.01,0.3174110755078827,100,0.41331238,-0.41826335,21.127142857142857,10,0.11621798,14789,-0.00093629025,700,-113.65156226105093,7,0.8021038,0.1,-113.65156226105093
0.82325524,0.01,-103.78777491901435,0.01,-114.0712000985954,0.149557,0.01,0.01,0.2689717926963752,100,0.41257718,-0.41321012,20.98125,10,0.12711811,16785,-0.0047538877,800,-113.5475523339784,8,0.8137256,0.1,-113.5475523339784
0.8010596,0.01,-103.78777491901435,0.01,-114.03939794355765,0.15456635,0.01,0.01,0.3416793992150194,100,0.39986536,-0.4184666,20.93888888888889,10,0.12645099,18845,-0.010614054,900,-113.7849807032554,9,0.8133927,0.1,-113.7849807032554
0.80045563,0.01,-103.78777491901435,0.01,-114.09360304364861,0.24397796,0.01,0.01,0.3602704300054592,100,0.39198223,-0.4201952,21.036,10,0.1959551,21036,-0.0068888124,1000,-114.58144894446743,10,0.8260378,0.1,-114.58144894446743
0.76727766,0.01,-103.78777491901435,0.01,-114.08516045958044,0.1435305,0.01,0.01,0.27698852805161256,100,0.40454388,-0.42670238,21.029090909090908,10,0.13628733,23132,-0.010224892,1100,-114.00073461889866,11,0.8064423,0.1,-114.00073461889866
0.7786034,0.01,-103.78777491901435,0.01,-114.0954871979827,0.11489515,0.01,0.01,0.300080150060974,100,0.40581524,-0.4403311,21.03,10,0.10934133,25236,-0.0073590083,1200,-114.20908132040755,12,0.80967313,0.1,-114.20908132040755
0.7615281,0.01,-103.78777491901435,0.01,-114.1136241593094,0.20738,0.01,0.01,0.3900630015479095,100,0.40662995,-0.443112,20.985384615384614,10,0.13864604,27281,-0.018293142,1300,-114.3312676952298,13,0.80765903,0.1,-114.3312676952298
0.7650873,0.01,-103.78777491901435,0.01,-114.11540931315527,0.13649072,0.01,0.01,0.35079195104535194,100,0.39276534,-0.434101,21.012857142857143,10,0.10615154,29418,-0.008730569,1400,-114.1386163131515,14,0.8157335,0.1,-114.1386163131515
0.7732875,0.01,-103.78777491901435,0.01,-114.15541353598341,0.20771214,0.01,0.01,0.3257299557818931,100,0.3821502,-0.43296856,21.077333333333332,10,0.13967735,31616,-0.00123891,1500,-114.71547265557756,15,0.81170756,0.1,-114.71547265557756
0.7835835,0.01,-103.78777491901435,0.01,-114.23346555574422,0.23160799,0.01,0.01,0.38164433592115155,100,0.3737342,-0.4318509,21.09625,10,0.22184719,33754,0.011577789,1600,-115.4042458521563,16,0.8256753,0.1,-115.4042458521563
0.7449607,0.01,-103.78777491901435,0.01,-114.4294815282098,0.2334884,0.01,0.01,0.5818267995453686,100,0.3681149,-0.45403564,21.241176470588236,10,0.16020478,36110,0.012423685,1700,-117.5657370876592,17,0.82221574,0.1,-117.5657370876592
0.74059886,0.01,-103.78777491901435,0.01,-114.58309300185176,0.29242185,0.01,0.01,0.478609478591814,100,0.35647655,-0.4449936,21.39,10,0.23712254,38502,-0.0035967939,1800,-117.19448805376494,18,0.8306598,0.1,-117.19448805376494
0.7591505,0.01,-103.78777491901435,0.01,-114.59476680839258,0.18199867,0.01,0.01,0.34324366665792433,100,0.3723722,-0.42128134,21.399473684210527,10,0.15720822,40659,-0.009048268,1900,-114.80489532612727,19,0.83389145,0.1,-114.80489532612727
0.7504984,0.01,-103.78777491901435,0.01,-114.65170129192721,0.09958068,0.01,0.01,0.36309383039987936,100,0.3807431,-0.43700215,21.453,10,0.05544869,42906,-0.006360894,2000,-115.73345647908509,20,0.8364986,0.1,-115.73345647908509
0.7731854,0.01,-103.78777491901435,0.01,-114.64348190889272,0.35149348,0.01,0.01,0.3230792063137969,100,0.37639052,-0.4319728,21.431428571428572,10,0.25544015,45006,-0.0008160253,2100,-114.47909424820293,21,0.84141576,0.1,-114.47909424820293
0.81417537,0.01,-103.78777491901435,0.01,-114.6198140811379,0.40186158,0.01,0.01,0.36856022407704514,100,0.37970948,-0.42779636,21.43090909090909,10,0.3892062,47148,-0.02636004,2200,-114.12278969828702,22,0.86496407,0.1,-114.12278969828702
0.73620355,0.01,-103.78777491901435,0.01,-114.6601251041922,0.14728093,0.01,0.01,0.4606328359145271,100,0.38832313,-0.46671697,21.461739130434783,10,0.12278778,49362,-0.03144699,2300,-115.54696761138683,23,0.8647615,0.1,-115.54696761138683
0.8060554,0.01,-103.78777491901435,0.01,-114.6397520580332,0.2116176,0.01,0.01,0.39246484490395106,100,0.4006019,-0.45996475,21.449166666666667,10,0.14807886,51478,-0.030757407,2400,-114.171171996376,24,0.8692426,0.1,-114.171171996376
0.7530272,0.01,-103.78777491901435,0.01,-114.68331863769313,0.41670027,0.01,0.01,0.5316222507541132,100,0.39690182,-0.44582814,21.4876,10,0.36103308,53719,-0.026882872,2500,-115.72891654953149,25,0.8544347,0.1,-115.72891654953149
0.76664555,0.01,-103.78777491901435,0.01,-114.70425789396567,0.25082892,0.01,0.01,0.43166032383325925,100,0.3607985,-0.44339672,21.514230769230767,10,0.218425,55937,-0.017582893,2600,-115.22773930077929,26,0.8728885,0.1,-115.22773930077929
0.78335774,0.01,-103.78777491901435,0.01,-114.84815537824554,0.2041179,0.01,0.01,0.6530790254565427,100,0.35987392,-0.46523923,21.63925925925926,10,0.1754526,58426,-0.012989675,2700,-118.58948996952216,27,0.8842948,0.1,-118.58948996952216
0.7199241,0.01,-103.78777491901435,0.01,-114.90154380896769,0.20092027,0.01,0.01,0.4608440746417919,100,0.36093327,-0.45544827,21.673571428571428,10,0.15079045,60686,-0.009551621,2800,-116.34303143846557,28,0.8667495,0.1,-116.34303143846557
0.7795252,0.01,-103.78777491901435,0.01,-114.93236653929881,0.16335085,0.01,0.01,0.465838217203873,100,0.35332003,-0.45770818,21.689655172413794,10,0.13713862,62900,0.0055274246,2900,-115.79540298857037,29,0.8773911,0.1,-115.79540298857037
0.7758165,0.01,-103.78777491901435,0.01,-115.04632857241036,0.35419798,0.01,0.01,0.6616314114203239,100,0.35905033,-0.47142205,21.788333333333334,10,0.332553,65365,0.00083446456,3000,-118.35122753264437,30,0.87250185,0.1,-118.35122753264437
0.80909115,0.01,-103.78777491901435,0.01,-115.12297733627065,0.2900714,0.01,0.01,0.5536746984939653,100,0.36585495,-0.46133712,21.846129032258066,10,0.21585281,67723,0.034089766,3100,-117.42244025207985,31,0.87330097,0.1,-117.42244025207985
0.8459111,0.01,-103.78777491901435,0.01,-115.19144343088719,0.117619306,0.01,0.01,0.622813106032548,100,0.37934303,-0.47517684,21.8853125,10,0.0759008,70033,0.032667387,3200,-117.31389236400031,32,0.89488626,0.1,-117.31389236400031
0.825167,0.01,-103.78777491901435,0.01,-115.23477527073523,0.22985028,0.01,0.01,0.44365600168711344,100,0.37175295,-0.47107044,21.921515151515152,10,0.19820186,72341,0.02622493,3300,-116.62139414587203,33,0.8996155,0.1,-116.62139414587203
0.85095483,0.01,-103.78777491901435,0.01,-115.31020823175078,0.18607499,0.01,0.01,0.48763703890627674,100,0.3706647,-0.47510314,21.983823529411765,10,0.15091532,74745,0.037088845,3400,-117.79949594526379,34,0.91943574,0.1,-117.79949594526379
