J,InvPendulum_mu3_higher,InvPendulum_std1_higher,ReturnMax,ActionIn1,NumTrajectories,Iteration,StepSize,InvPendulum_std3_higher,NatGradInftyNorm,InvPendulum_mu1_higher,InvPendulum_std0_higher,InvPendulum_mu2_higher,AvgEpLen,NatGrad2Norm,ReturnMean,InvPendulum_std2_higher,TimestepsSoFar,AvgRet,BatchSize,MinEpLen,VarJ,InvPendulum_mu0_higher
-119.4091861718913,-0.24478999,0.01,-108.18545643480361,-0.1619556,100,1,0.1,0.01,0.1060355,-0.74013203,0.01,0.561099,27.77,0.12544465,-119.4091861718913,0.01,2777,-119.4091861718913,100,16,0.24279141521286526,0.278299
-119.00987151989939,-0.24901159,0.01,-107.09632598944827,-0.086001486,200,2,0.1,0.01,0.1313699,-0.7295285,0.01,0.5567803,28.17,0.16446736,-119.20952884589533,0.01,5634,-119.00987151989939,100,15,0.30252893311607354,0.2812068
-119.6582493910228,-0.2470143,0.01,-107.09632598944827,-0.15745866,300,3,0.1,0.01,0.1997651,-0.7391427,0.01,0.5436433,28.476666666666667,0.29291332,-119.35910236093783,0.01,8543,-119.6582493910228,100,15,0.24544044819717858,0.27998537
-119.55364920963706,-0.22703779,0.01,-107.09632598944827,-0.1016625,400,4,0.1,0.01,0.24464746,-0.722824,0.01,0.554014,28.635,0.28982177,-119.40773907311264,0.01,11454,-119.55364920963706,100,15,0.2712836075594096,0.27076218
-118.90599501221322,-0.2313299,0.01,-107.09632598944827,-0.11817838,500,5,0.1,0.01,0.19613715,-0.69835925,0.01,0.53939784,28.376,0.2334085,-119.30739026093276,0.01,14188,-118.90599501221322,100,15,0.2552506672542456,0.27382618
-120.20978529019877,-0.21915193,0.01,-107.09632598944827,-0.13530676,600,6,0.1,0.01,0.13909289,-0.717973,0.01,0.5376306,28.436666666666667,0.1782375,-119.4577894324771,0.01,17062,-120.20978529019877,100,15,0.17871170881812312,0.27088147
-120.43468299982466,-0.2141622,0.01,-107.09632598944827,-0.1272423,700,7,0.1,0.01,0.2560666,-0.71747947,0.01,0.5276769,28.46142857142857,0.2763993,-119.59734565638388,0.01,19923,-120.43468299982466,100,15,0.2054578016037953,0.28479075
-119.60517735925612,-0.23976886,0.01,-107.09632598944827,-0.12487455,800,8,0.1,0.01,0.21543731,-0.71497786,0.01,0.5287331,28.48375,0.25456062,-119.59832461924292,0.01,22787,-119.60517735925612,100,15,0.24742918054441151,0.2948352
-118.72412979507432,-0.2527911,0.01,-105.94472832441551,-0.11902508,900,9,0.1,0.01,0.15845475,-0.6934341,0.01,0.5256568,28.43,0.2389176,-119.50119186100196,0.01,25587,-118.72412979507432,100,15,0.27809573929213705,0.2926361
-118.86545390367361,-0.2652604,0.01,-105.94472832441551,-0.16661966,1000,10,0.1,0.01,0.09737263,-0.7092796,0.01,0.52268445,28.485,0.15675785,-119.4376180652691,0.01,28485,-118.86545390367361,100,15,0.3188034024875151,0.30510283
-119.09011217485886,-0.26763725,0.01,-101.04259274154298,-0.19513312,1100,11,0.1,0.01,0.10094802,-0.717624,0.01,0.5129472,28.606363636363636,0.14931919,-119.40602662068638,0.01,31467,-119.09011217485886,100,15,0.2712645275769912,0.3137998
-119.40174007316462,-0.25754246,0.01,-101.04259274154298,-0.14673501,1200,12,0.1,0.01,0.1522606,-0.7213719,0.01,0.50921506,28.68,0.19890276,-119.40566940839291,0.01,34416,-119.40174007316462,100,15,0.24121266584270995,0.30415192
-119.91286056305364,-0.25501782,0.01,-101.04259274154298,-0.20293686,1300,13,0.1,0.01,0.12445874,-0.7096117,0.01,0.493989,28.706923076923076,0.18614362,-119.44468411259756,0.01,37319,-119.91286056305364,100,15,0.31450036720264174,0.30852392
-119.87031942062073,-0.24335665,0.01,-101.04259274154298,-0.13620459,1400,14,0.1,0.01,0.100700125,-0.70311856,0.01,0.49765646,28.699285714285715,0.13195035,-119.4750866345992,0.01,40179,-119.87031942062073,100,15,0.24376771587021231,0.29607806
-119.50055338540434,-0.25342667,0.01,-101.04259274154298,-0.17988622,1500,15,0.1,0.01,0.14633438,-0.707867,0.01,0.49103856,28.651333333333334,0.21760434,-119.47678441798622,0.01,42977,-119.50055338540434,100,15,0.19932031561973804,0.29859978
-120.13407570570662,-0.24813636,0.01,-101.04259274154298,-0.16993715,1600,16,0.1,0.01,0.19072275,-0.72232383,0.01,0.48630652,28.775625,0.27862224,-119.51786512346877,0.01,46041,-120.13407570570662,100,15,0.2670579306164851,0.31323323
-119.75683817986956,-0.26049593,0.01,-101.04259274154298,-0.14932865,1700,17,0.1,0.01,0.2616977,-0.7357214,0.01,0.49526745,28.744705882352942,0.38292167,-119.53192236208058,0.01,48866,-119.75683817986956,100,15,0.29032069951725037,0.3323055
-119.17527233064634,-0.28145963,0.01,-101.04259274154298,-0.1450305,1800,18,0.1,0.01,0.29122853,-0.70955163,0.01,0.48424524,28.762777777777778,0.3197504,-119.51210847144533,0.01,51773,-119.17527233064634,100,15,0.41514872361453375,0.34715363
-119.67319347945897,-0.2886603,0.01,-101.04259274154298,-0.20008978,1900,19,0.1,0.01,0.0951813,-0.7088575,0.01,0.45512238,28.801052631578948,0.13249998,-119.52058662976184,0.01,54722,-119.67319347945897,100,15,0.38504652309839366,0.35819587
-119.25964887079692,-0.27914217,0.01,-100.9820345722333,-0.20200089,2000,20,0.1,0.01,0.22815637,-0.70944875,0.01,0.4612537,28.7895,0.35727692,-119.50753974181359,0.01,57579,-119.25964887079692,100,15,0.2856857417626264,0.3513384
