InvPendulum_mu1_higher,MinEpLen,AvgRet,InvPendulum_std3_higher,StepSize,BatchSize,NatGrad2Norm,ReturnMax,InvPendulum_std1_higher,AvgEpLen,NatGradInftyNorm,InvPendulum_mu0_higher,NumTrajectories,TimestepsSoFar,J,ActionIn1,InvPendulum_std0_higher,VarJ,ReturnMean,InvPendulum_mu3_higher,InvPendulum_std2_higher,Iteration,InvPendulum_mu2_higher
-0.3516885,15,-102.67780578820984,0.01,0.1,100,0.24329627,-77.7544703094587,0.01,65.57,0.17569646,-0.74931115,100,6557,-102.67780578820984,-1.4239453,0.01,1.0408983712449154,-102.67780578820984,-0.5202909,0.01,1,0.21010771
-0.36925817,15,-103.2375547063566,0.01,0.1,100,0.17890322,-74.49381585792767,0.01,64.05,0.15788062,-0.7331275,200,12810,-103.2375547063566,-1.390784,0.01,1.0694016472718189,-102.95768024728322,-0.52314776,0.01,2,0.20647933
-0.37723833,15,-103.44929540667025,0.01,0.1,100,0.17556247,-72.32158235869066,0.01,64.44666666666667,0.14913644,-0.73047465,300,19334,-103.44929540667025,-1.4195077,0.01,1.3572832743316803,-103.1215519670789,-0.5073597,0.01,3,0.20619619
-0.37905282,15,-103.39074152781762,0.01,0.1,100,0.15942611,-71.08063824439161,0.01,64.1625,0.12177511,-0.74538827,400,25665,-103.39074152781762,-1.441459,0.01,1.3950586848580964,-103.18884935726356,-0.5099077,0.01,4,0.21491516
-0.37333798,15,-102.16273541730747,0.01,0.1,100,0.12452724,-71.08063824439161,0.01,64.134,0.0956094,-0.73789036,500,32067,-102.16273541730747,-1.3883677,0.01,1.237711187329811,-102.98362656927236,-0.52208525,0.01,5,0.21903792
-0.37691888,15,-100.69697732651849,0.01,0.1,100,0.20165625,-64.40727426989211,0.01,64.05166666666666,0.15916802,-0.73301464,600,38431,-100.69697732651849,-1.4259634,0.01,1.4688674430839452,-102.60251836214671,-0.5272875,0.01,6,0.22859886
-0.3610021,15,-102.80077150532175,0.01,0.1,100,0.23439899,-64.40727426989211,0.01,64.31714285714285,0.18176909,-0.72528756,700,45022,-102.80077150532175,-1.3807671,0.01,1.4255958089428489,-102.63084023974314,-0.520027,0.01,7,0.22220473
-0.3716135,15,-101.65510322101615,0.01,0.1,100,0.32148105,-27.14482516983452,0.01,63.53125,0.19773456,-0.71544904,800,50825,-101.65510322101615,-1.4255497,0.01,1.718930005633566,-102.50887311240227,-0.5382039,0.01,8,0.22530796
-0.3522183,15,-100.22599692640344,0.01,0.1,100,0.35221678,-27.14482516983452,0.01,64.32111111111111,0.29846027,-0.7022599,900,57889,-100.22599692640344,-1.4340518,0.01,1.3235658553330243,-102.25522020284684,-0.5579774,0.01,9,0.21569633
-0.34737828,15,-101.01816443164516,0.01,0.1,100,0.1765732,-27.14482516983452,0.01,64.859,0.16236874,-0.70739526,1000,64859,-101.01816443164516,-1.4139129,0.01,1.272873509379812,-102.13151462572668,-0.52813137,0.01,10,0.19837631
-0.3541836,15,-100.06419542783073,0.01,0.1,100,0.14008449,-27.14482516983452,0.01,64.97363636363636,0.099098854,-0.69115835,1100,71471,-100.06419542783073,-1.3905628,0.01,1.4442958471755012,-101.94357651682705,-0.52771425,0.01,11,0.19708854
-0.3466947,15,-99.46483719069141,0.01,0.1,100,0.1207275,-27.14482516983452,0.01,65.2225,0.07665243,-0.6970628,1200,78267,-99.46483719069141,-1.3394775,0.01,1.1858750061253636,-101.73701490631575,-0.5178044,0.01,12,0.19975026
-0.35435995,15,-101.92613238138829,0.01,0.1,100,0.18041112,-27.14482516983452,0.01,64.79384615384615,0.17749391,-0.6917967,1300,84232,-101.92613238138829,-1.3683753,0.01,1.1711644645361325,-101.75156240439824,-0.5130451,0.01,13,0.19369939
-0.3520193,15,-100.26858825300171,0.01,0.1,100,0.17390333,-27.14482516983452,0.01,64.77928571428572,0.14665078,-0.6940221,1400,90691,-100.26858825300171,-1.3972201,0.01,0.9905790525648694,-101.64563567929846,-0.53079444,0.01,14,0.19360004
-0.35102814,15,-99.99474292661183,0.01,0.1,100,0.19973482,-27.14482516983452,0.01,65.08666666666667,0.13958095,-0.7086872,1500,97630,-99.99474292661183,-1.4031308,0.01,1.5005028059694172,-101.53557616245271,-0.53405094,0.01,15,0.18489532
-0.33878,15,-100.95583804714005,0.01,0.1,100,0.14611074,-27.14482516983452,0.01,65.1875,0.10784713,-0.7226453,1600,104300,-100.95583804714005,-1.3738669,0.01,1.1674532370048316,-101.49934253024567,-0.52852833,0.01,16,0.18003789
-0.3495647,15,-97.08441079860691,0.01,0.1,100,0.18393612,-27.14482516983452,0.01,65.84588235294117,0.13581452,-0.7183785,1700,111938,-97.08441079860691,-1.4278895,0.01,1.591375566142693,-101.23964066367868,-0.5249239,0.01,17,0.17191531
-0.35438317,15,-99.2157026653944,0.01,0.1,100,0.17836311,-27.14482516983452,0.01,66.11166666666666,0.10790522,-0.72947913,1800,119001,-99.2157026653944,-1.4657441,0.01,1.3516976887165402,-101.12719966377401,-0.5385054,0.01,18,0.16919011
-0.3636393,15,-96.53851415459374,0.01,0.1,100,0.11474186,-27.14482516983452,0.01,66.43736842105262,0.094507396,-0.73813766,1900,126231,-96.53851415459374,-1.465975,0.01,1.6046220744500896,-100.88568990013295,-0.5492959,0.01,19,0.1627829
-0.35899025,15,-100.04730584858818,0.01,0.1,100,0.25787437,-27.14482516983452,0.01,66.476,0.20729461,-0.7349086,2000,132952,-100.04730584858818,-1.4595509,0.01,1.3972067685747316,-100.84377069755571,-0.53984517,0.01,20,0.15957357
-0.34939533,15,-99.61684947822037,0.01,0.1,100,0.12922856,-27.14482516983452,0.01,66.6352380952381,0.090288766,-0.75563806,2100,139934,-99.61684947822037,-1.4761636,0.01,1.7109291987562307,-100.78534587758735,-0.5284604,0.01,21,0.15588498
-0.3579458,15,-95.94591353950537,0.01,0.1,100,0.1782561,-27.14482516983452,0.01,66.89136363636364,0.17670803,-0.7466092,2200,147161,-95.94591353950537,-1.4818752,0.01,1.8448872659926427,-100.56537168040181,-0.5262222,0.01,22,0.15859784
