ReturnMax,NumTrajectories,InvPendulum_std2_higher,TimestepsSoFar,VarJ,AvgRet,BatchSize,InvPendulum_mu1_higher,ReturnMean,J,Iteration,InvPendulum_std0_higher,InvPendulum_std1_higher,AvgEpLen,NatGradInftyNorm,InvPendulum_mu2_higher,InvPendulum_mu0_higher,InvPendulum_mu3_higher,ActionIn1,StepSize,InvPendulum_std3_higher,MinEpLen,NatGrad2Norm
-59.93635733478327,100,0.01,4458,0.8336646892645632,-101.54757119156108,100,-0.45693675,-101.54757119156108,-101.54757119156108,1,0.01,0.01,44.58,0.09612575,-0.10657271,-0.35728163,-0.8075896,-1.7556748,2.0,0.01,15,0.11808304
-59.93635733478327,200,0.01,8005,0.23091989530377333,-105.59535665690964,100,-0.26468524,-103.57146392423536,-105.59535665690964,2,0.01,0.01,40.025,0.18628617,-0.0009932294,-0.30583423,-0.8784409,-1.4438097,2.0,0.01,13,0.22414203
-59.93635733478327,300,0.01,11293,0.4745331968513409,-102.69852557139093,100,-0.4204501,-103.28048447328722,-102.69852557139093,3,0.01,0.01,37.64333333333333,0.13146923,0.18997875,0.0667381,-0.9160638,-1.0505214,2.0,0.01,12,0.21626782
-59.93635733478327,400,0.01,13845,0.10755985947371259,-106.27207558943525,100,-0.15796977,-104.02838225232422,-106.27207558943525,4,0.01,0.01,34.6125,0.15832411,-0.0023499876,-0.19620037,-1.0259008,-1.3727616,2.0,0.01,12,0.23501906
-59.93635733478327,500,0.01,17124,0.46692825022555906,-104.74585879051256,100,-0.474618,-104.17187755996189,-104.74585879051256,5,0.01,0.01,34.248,0.20765474,0.026378473,-0.39835006,-1.3069345,-2.1791182,2.0,0.01,12,0.2643007
-59.93635733478327,600,0.01,19849,0.49577088138422726,-105.05019848207355,100,-0.19513926,-104.31826438031385,-105.05019848207355,6,0.01,0.01,33.08166666666666,0.11366046,0.14281449,0.016959429,-1.1833556,-1.2256038,2.0,0.01,11,0.16679423
-59.93635733478327,700,0.01,23144,0.339899847847176,-102.78806217216881,100,-0.4224602,-104.09966406486454,-102.78806217216881,7,0.01,0.01,33.06285714285714,0.21113892,0.31207144,-0.12487435,-1.079232,-1.3295069,2.0,0.01,11,0.2601865
-59.93635733478327,800,0.01,28852,0.7078357799021857,-99.5372102720651,100,-0.844738,-103.52935734076462,-99.5372102720651,8,0.01,0.01,36.065,0.1440548,0.5628723,-0.29494232,-1.0538287,-1.6452484,2.0,0.01,11,0.23552798
-59.93635733478327,900,0.01,33297,0.718911659560896,-107.36815249793354,100,-1.0193968,-103.9558901360056,-107.36815249793354,9,0.01,0.01,36.99666666666667,0.1070221,0.8509819,-0.58056915,-0.8901272,-1.6384323,2.0,0.01,11,0.123191774
-59.93635733478327,1000,0.01,36863,0.475743361724377,-106.77789987764646,100,-0.96058124,-104.23809111016968,-106.77789987764646,10,0.01,0.01,36.863,0.20592386,1.065026,-0.51134884,-0.9716086,-1.3592333,2.0,0.01,11,0.2348074
-57.08468321006854,1100,0.01,42148,1.364226380116029,-106.01490922769496,100,-1.1501615,-104.39962002994473,-106.01490922769496,11,0.01,0.01,38.31636363636363,0.14640726,0.65317833,-0.39799532,-0.9254584,-1.8080826,2.0,0.01,11,0.19699594
-57.08468321006854,1200,0.01,46551,0.3979595777757862,-124.07263523999683,100,-1.442976,-106.03903796411574,-124.07263523999683,12,0.01,0.01,38.7925,0.10677316,0.8631854,-0.31266412,-0.79090405,-1.696331,2.0,0.01,11,0.123067886
-57.08468321006854,1300,0.01,50895,0.4735166120311311,-121.66516570900616,100,-1.492194,-107.24104779064575,-121.66516570900616,13,0.01,0.01,39.15,0.13145237,1.0767317,-0.42125216,-0.8185989,-1.6746223,2.0,0.01,11,0.2130295
-57.08468321006854,1400,0.01,56864,0.4392502966336004,-151.58177893881896,100,-1.7158233,-110.40824287265814,-151.58177893881896,14,0.01,0.01,40.61714285714286,0.16604012,0.84904397,-0.52399296,-0.5556942,-1.9327452,2.0,0.01,11,0.25303024
-57.08468321006854,1500,0.01,61799,0.1506184865270764,-139.83290173179333,100,-1.9926414,-112.36988679660048,-139.83290173179333,15,0.01,0.01,41.199333333333335,0.36930513,1.1811242,-0.5531208,-0.8171195,-2.1836605,2.0,0.01,11,0.44785875
-57.08468321006854,1600,0.01,66698,0.29204914696411266,-143.3693969282429,100,-2.7312517,-114.30735617982813,-143.3693969282429,16,0.01,0.01,41.68625,0.073738016,1.5715681,-0.81686115,-0.63068116,-2.6369762,2.0,0.01,11,0.118642166
-57.08468321006854,1700,0.01,72414,0.3392575369088917,-151.47075360888047,100,-2.8740914,-116.4934383815371,-151.47075360888047,17,0.01,0.01,42.59647058823529,0.23169604,1.4530532,-0.8065799,-0.48320514,-2.6971822,2.0,0.01,11,0.3592561
-57.08468321006854,1800,0.01,77228,0.44200555284721366,-142.7235523849023,100,-3.3374834,-117.95066693727962,-142.7235523849023,18,0.01,0.01,42.904444444444444,0.23252778,1.9074453,-0.89677334,-0.18838227,-2.4895494,2.0,0.01,11,0.3434806
-57.08468321006854,1900,0.01,82464,0.42424136414757546,-147.08027523558448,100,-3.4504735,-119.48380421613776,-147.08027523558448,19,0.01,0.01,43.40210526315789,0.14945818,1.5999291,-0.5116682,-0.65343785,-2.9967623,2.0,0.01,11,0.19334283
-57.08468321006854,2000,0.01,87887,0.36225374131115784,-148.7772789703058,100,-3.5806239,-120.94847795384615,-148.7772789703058,20,0.01,0.01,43.9435,0.26984835,1.7829103,-0.81058455,-0.5546778,-3.163973,2.0,0.01,11,0.35329014
-57.08468321006854,2100,0.01,103033,1.336888836588374,-245.6480718532796,100,-3.6399179,-126.8865538538192,-245.6480718532796,21,0.01,0.01,49.06333333333333,0.35947776,1.2432137,-1.1925906,-0.7966257,-4.39765,2.0,0.01,11,0.50859785
-57.08468321006854,2200,0.01,153033,0.15407145869829716,-494.51594163531905,100,-3.119701,-143.5969805711601,-494.51594163531905,22,0.01,0.01,69.56045454545455,0.32130474,1.0384431,-1.9115461,-0.34359866,-4.3180294,2.0,0.01,11,0.39218915
-57.08468321006854,2300,0.01,203033,0.757716345233505,-488.6772857558263,100,-3.147857,-158.6004721009282,-488.6772857558263,23,0.01,0.01,88.27521739130435,0.5286234,0.3958336,-1.9273589,0.10502097,-4.5505285,2.0,0.01,11,0.6960412
-57.08468321006854,2400,0.01,253033,3.454028172288115,-345.1298735651038,100,-2.4697626,-166.37253049526882,-345.1298735651038,24,0.01,0.01,105.43041666666667,0.68312985,-0.6614132,-1.3508625,-0.062198713,-4.5561085,2.0,0.01,11,0.97797287
-57.08468321006854,2500,0.01,303033,0.20437288314599375,-492.43599202322724,100,-1.177053,-179.4150689563872,-492.43599202322724,25,0.01,0.01,121.2132,0.5109142,0.7048465,-1.1394806,0.4310333,-1.173451,2.0,0.01,11,0.5639189
-57.08468321006854,2600,0.01,353033,0.538431710706668,-489.59171135685233,100,-1.6312648,-191.3449398179435,-489.59171135685233,26,0.01,0.01,135.78192307692308,0.45252326,0.58529866,-2.161309,0.34568363,-2.8686528,2.0,0.01,11,0.6495626
-57.08468321006854,2700,0.01,403033,0.8998885599833041,-487.22375291944866,100,-2.2667835,-202.30341437725855,-487.22375291944866,27,0.01,0.01,149.2714814814815,0.92921126,1.0530771,-1.6654096,1.2507302,-1.6314994,2.0,0.01,11,1.1551552
-57.08468321006854,2800,0.01,409245,1.864613840235629,-155.48360804347428,100,-3.145166,-200.63127843676622,-155.48360804347428,28,0.01,0.01,146.15892857142856,0.22509053,0.9422798,0.19301295,0.20193636,-1.8344438,2.0,0.01,11,0.3824282
-57.08468321006854,2900,0.01,414423,1.2036431723870813,-145.79734188203892,100,-2.8018022,-198.74045303832736,-145.79734188203892,29,0.01,0.01,142.9044827586207,0.4132164,1.2530506,-0.21670067,0.65211743,-1.1311598,2.0,0.01,11,0.61408514
-57.08468321006854,3000,0.01,417862,1.01730487390819,-130.14312980608227,100,-1.9777279,-196.4538755972525,-130.14312980608227,30,0.01,0.01,139.28733333333332,0.23562974,0.9674039,0.60973215,0.90651596,0.53445005,2.0,0.01,11,0.3879529
-57.08468321006854,3100,0.01,420962,0.55423582259948,-126.90277189977061,100,-2.189166,-194.2102916070112,-126.90277189977061,31,0.01,0.01,135.79419354838709,0.23585942,1.427217,0.25786555,1.3777754,0.85789144,2.0,0.01,11,0.23913373
-57.08468321006854,3200,0.01,423821,0.5413952693270458,-124.39859735196518,100,-2.172022,-192.02867616154097,-124.39859735196518,32,0.01,0.01,132.4440625,0.422008,1.4792362,0.31462085,0.9060566,0.54092646,2.0,0.01,11,0.5384734
-57.08468321006854,3300,0.01,427212,0.7322177579702572,-129.5484380444664,100,-2.8333387,-190.13533561253874,-129.5484380444664,33,0.01,0.01,129.45818181818183,0.091746986,1.3908876,1.1586368,0.9540839,0.65793586,2.0,0.01,11,0.10294048
-57.08468321006854,3400,0.01,430499,0.6878900353127674,-128.41087097178897,100,-2.7432952,-188.31991018192844,-128.41087097178897,34,0.01,0.01,126.61735294117648,0.16924289,1.390558,1.1339592,0.77058995,0.55218506,2.0,0.01,11,0.2911595
-57.08468321006854,3500,0.01,434148,1.6618583207134208,-131.89760354862335,100,-2.5582027,-186.70784427811975,-131.89760354862335,35,0.01,0.01,124.04228571428571,0.18341859,1.0682883,0.8400104,1.1090758,0.44159484,2.0,0.01,11,0.24487
-57.08468321006854,3600,0.01,438158,2.2750097991030187,-135.84162476556006,100,-2.1913655,-185.2948937361042,-135.84162476556006,36,0.01,0.01,121.71055555555556,0.19135147,0.8845718,0.98800445,1.3318353,1.0128655,2.0,0.01,11,0.22021376
-57.08468321006854,3700,0.01,441391,1.7581194007384895,-128.4163784151497,100,-2.0168993,-183.75763656526755,-128.4163784151497,37,0.01,0.01,119.29486486486486,0.2287928,1.001294,1.3707074,1.390592,1.7294165,2.0,0.01,11,0.3201973
-57.08468321006854,3800,0.01,445580,1.964290823007607,-137.41023614329362,100,-2.474485,-182.53796813311033,-137.41023614329362,38,0.01,0.01,117.2578947368421,0.2039651,0.93207705,1.3721797,0.94795495,0.7868768,2.0,0.01,11,0.27170792
-57.08468321006854,3900,0.01,449181,1.3283117305848604,-131.51919419020322,100,-2.7348466,-181.22979444226658,-131.51919419020322,39,0.01,0.01,115.17461538461538,0.13665365,1.0680686,1.578606,0.54002476,0.41501927,2.0,0.01,11,0.20454696
-57.08468321006854,4000,0.01,452445,0.6083963829461164,-127.94454656840611,100,-2.6303847,-179.89766324542006,-127.94454656840611,40,0.01,0.01,113.11125,0.17012537,1.2658249,1.3721087,0.26671746,0.29307908,2.0,0.01,11,0.24314234
-57.08468321006854,4100,0.01,455554,0.5204305379070373,-126.59313458653513,100,-2.8335793,-178.5975527903253,-126.59313458653513,41,0.01,0.01,111.11073170731707,0.38291872,1.6060756,1.4404206,0.54011774,0.7499198,2.0,0.01,11,0.50649387
-57.08468321006854,4200,0.01,457906,0.29254541759879815,-117.90642419038323,100,-2.4895897,-177.1525259188981,-117.90642419038323,42,0.01,0.01,109.0252380952381,0.10743795,2.0853128,2.206258,0.84283876,2.663002,2.0,0.01,11,0.15187652
-57.08468321006854,4300,0.01,460107,0.32267458212125066,-116.61436947444112,100,-2.6347973,-175.74466181553862,-116.61436947444112,43,0.01,0.01,107.00162790697675,0.1999448,2.2405443,2.421134,0.8730422,2.9022284,2.0,0.01,11,0.27963474
-57.08468321006854,4400,0.01,462536,0.5340066160344307,-119.22844750719395,100,-3.034687,-174.4602023994399,-119.22844750719395,44,0.01,0.01,105.12181818181818,0.09257057,2.1288185,2.562863,1.2198864,2.8961499,2.0,0.01,11,0.09849114
-57.08468321006854,4500,0.01,464980,0.5003918122516823,-119.57585405141212,100,-3.0195172,-173.24055021392817,-119.57585405141212,45,0.01,0.01,103.32888888888888,0.18069492,2.1341043,2.377722,1.2852064,2.8111234,2.0,0.01,11,0.2055735
-57.08468321006854,4600,0.01,467886,0.6792494687149531,-124.45892125775725,100,-2.9201045,-172.18008001922882,-124.45892125775725,46,0.01,0.01,101.71434782608695,0.36282238,1.7727144,2.21564,1.3330159,2.3809156,2.0,0.01,11,0.38296512
-57.08468321006854,4700,0.01,472077,4.838776767930167,-137.4326115660802,100,-3.0486724,-171.4407721798001,-137.4326115660802,47,0.01,0.01,100.44191489361702,0.1581232,1.0470695,2.1854613,1.5395306,1.7180645,2.0,0.01,11,0.20936066
-57.08468321006854,4800,0.01,476419,6.9691124490261025,-139.3384164549904,100,-3.0290217,-170.77197310219992,-139.3384164549904,48,0.01,0.01,99.25395833333333,0.093167335,0.73082316,2.439023,1.4363995,1.5858912,2.0,0.01,11,0.16797236
-57.08468321006854,4900,0.01,481333,9.021792627172333,-144.80914270797678,100,-3.2023873,-170.24211942068516,-144.80914270797678,49,0.01,0.01,98.23122448979592,0.1593687,0.9171578,2.5943758,1.5911511,1.932679,2.0,0.01,11,0.2431155
-57.08468321006854,5000,0.01,485488,3.9781847478605976,-137.5341705026138,100,-3.2385523,-169.58796044232375,-137.5341705026138,50,0.01,0.01,97.0976,0.23056668,1.1826301,2.3432908,1.9098885,2.228408,2.0,0.01,11,0.25174984
