DenMISELogFirst,MountainCar_std1_higher,ActionIn1,ReturnStepMax,Regret/t,DenMISEMeanLog,ReturnMax,MountainCar_mu1_higher,IWLastEpisode,AvgEpLen,NumTrainableParams,TimeElapsed,MountainCar_mu0_higher,IWFirstEpisode,IWMax,MinEpLen,Delta,ReturnAbsMax,MountainCar_std0_higher,DenMISELogLast,GridSize,TimestepsSoFar,NumTrajectories,Iteration,ReturnLastEpisode,ReturnMean,ReturnMin,IWMean,IWMin,Regret,Bound
1.4733216,0.14999999,-10.883442,1.403307,5.140439,1.4733216,,-10.0,,999.0,2,0.5047194957733154,-1.0,,,999,0.060792707,0.1404392,0.14999999,1.4733216,1,999,1,1,-0.1404392,-0.1404392,-0.1404392,,,5.140439,inf
0.7801743,0.14999999,-8.887424,14.241349,5.7678437,0.7368777,,-10.0,4.9397902e-33,999.0,,1.1430034637451172,1.0,,4.9397902e-33,999,0.0060792705,1.395248,0.14999999,0.6935811,4,1998,2,2,-1.395248,-0.7678436,-1.395248,2.4698951e-33,,11.535687,inf
0.37470922,0.14999999,8.85477,43.061584,6.906359,0.40605798,,10.0,,999.0,,1.5125503540039062,-1.0,,,999,0.0027018983,4.1833906,0.14999999,0.55534875,4,2997,3,3,-4.1833906,-1.9063592,-4.1833906,,,20.719078,inf
0.08702714,0.14999999,10.900675,86.357765,6.729243,0.1726645,,10.0,,863.0,,1.6940321922302246,1.0,,,455,0.0015198176,4.1833906,0.14999999,0.3355302,4,3452,4,4,-1.1978939,-1.7292429,-4.1833906,,,26.916971,inf
-0.13611642,0.14999999,8.899586,86.357765,7.3205276,-0.040979378,,10.0,7.0907537e-34,890.2,,2.134784460067749,-1.0,,5.0,455,0.0009726833,4.685666,0.14999999,-0.0029806646,4,4451,5,5,-4.685666,-2.3205276,-4.685666,1.0,,36.60264,20.620173
-0.31843796,0.14999999,-11.05444,88.5714,6.689545,0.051484942,1.4653654,-10.0,,795.5,,2.316030979156494,-1.0,,6.0,322,0.0006754746,4.685666,0.14999999,0.73226714,4,4773,6,6,1.4653654,-1.6895453,-4.685666,1.0,,40.13727,21.024239
-0.47258866,0.14999999,-9.100586,88.5714,6.7674346,0.05783127,1.4653654,-10.0,,824.5714285714286,,2.70554780960083,1.0,,7.0000005,322,0.00049626693,4.685666,0.14999999,0.3276661,4,5772,7,7,-2.2347703,-1.7674347,-4.685666,1.0000001,,47.372044,19.288836
-0.60612005,0.14999999,10.705981,88.5714,7.2853017,-0.11683138,1.4653654,10.0,,846.375,,3.176007032394409,1.0,,8.0,322,0.0003799544,5.9103703,0.14999999,-1.0978973,4,6771,8,8,-5.9103703,-2.2853017,-5.9103703,1.0,,58.282413,25.29208
-0.72390306,0.14999999,0.77518433,88.5714,7.4538455,-0.20803124,1.4653654,,,863.3333333333334,,3.714003562927246,1.0,1.4784293e-14,1.4784293e-14,322,0.00015010545,5.9103703,0.14999999,-0.68851304,9,7770,9,9,-3.8021975,-2.4538455,-5.9103703,1.6426992e-15,,67.08461,18221967000000.0
-0.82926357,0.14999999,-10.386493,88.5714,7.5893683,-0.38524237,1.4653654,-10.0,,876.9,,4.4072840213775635,,,1.1125026e-06,322,0.00012158541,5.9103703,0.14999999,-1.0318978,9,8769,10,10,-3.8090732,-2.5893683,-5.9103703,1.11384644e-07,,75.893684,69419835000.0
-0.9245738,0.14999999,9.888756,88.5714,7.365413,-0.6283612,1.4653654,10.0,,888.0,,4.92927622795105,,,1.4330437e-05,322,0.00010048381,5.9103703,0.14999999,-2.1064484,9,9768,11,11,-0.12586114,-2.3654132,-5.9103703,1.3294341e-06,,81.01955,70149940000.0
-1.0115851,0.14999999,-0.83035064,97.414764,6.931606,-0.75307006,2.8402748,,,842.8333333333334,,5.076223611831665,-1.0,2.7233866e-05,2.7233866e-05,322,8.443432e-05,5.9103703,0.14999999,-1.1677431,9,10114,12,12,2.8402748,-1.9316058,-5.9103703,2.2694887e-06,,83.17927,2593852400.0
-1.0916256,0.14999999,0.028003909,97.414764,6.9726405,-0.99572235,2.8402748,,9.696309e-12,854.8461538461538,,5.454900503158569,,3.553651,3.553651,322,7.1944036e-05,5.9103703,0.14999999,-2.9470396,9,11113,13,13,-2.465058,-1.9726405,-5.9103703,0.27335778,,90.644325,49.715717
-0.9240762,0.14999999,9.758485,97.414764,6.832281,-1.0078498,2.8402748,10.0,,865.1428571428571,,5.952774524688721,,,13.99999,322,6.203337e-05,5.9103703,0.14999999,-0.44376114,9,12112,14,14,-0.0076035163,-1.8322809,-5.9103703,1.0000007,,95.65193,34.38706
-0.9930691,0.14999999,-10.415335,98.6849,6.4328213,-1.0295906,4.1596165,-10.0,,828.4,,6.225868225097656,,,14.999944,314,5.403797e-05,5.9103703,0.14999999,-1.0612092,9,12426,15,15,4.1596165,-1.432821,-5.9103703,0.99999636,,96.49232,32.277153
-1.0576077,0.14999999,-0.7542673,98.6849,6.34489,-1.148262,4.1596165,,,839.0625,,6.791728734970093,-1.0,2.8516524e-05,16.0,314,4.74943e-05,5.9103703,0.14999999,-2.6534033,9,13425,16,16,-0.025928283,-1.3448902,-5.9103703,1.0000018,,101.51824,30.645245
-1.1182305,0.14999999,0.8693965,98.6849,6.3448067,-1.1575071,4.1596165,,3.0454564e-31,848.4705882352941,,7.24194860458374,1.0,2.1930811e-14,17.0,314,4.2071075e-05,5.9103703,0.14999999,-1.0285802,9,14424,17,17,-1.3434731,-1.3448069,-5.9103703,1.0,,107.86172,29.783688
-1.1753888,0.14999999,0.07271225,98.6849,6.5244484,-1.1459587,4.1596165,,1.3906698e-09,856.8333333333334,,7.802202939987183,,3.8641386,11.493195,314,3.7526363e-05,5.9103703,0.14999999,-0.6710918,9,15423,18,18,-4.5783544,-1.5244484,-5.9103703,0.8531856,,117.44007,27.721182
-1.03498,0.14999999,9.826962,98.6849,6.445329,-1.1140971,4.1596165,10.0,,864.3157894736842,,8.460890293121338,,,9.5,314,3.368017e-05,5.9103703,0.14999999,-0.25564134,9,16422,19,19,-0.02118452,-1.4453293,-5.9103703,1.0000012,,122.46126,26.937786
-1.0862733,0.14999999,9.360609,98.6849,6.247509,-1.0873212,4.1596165,10.0,8.5502955e-07,838.95,,8.734575510025024,-1.0,,10.0,314,3.0396353e-05,5.9103703,0.14999999,-0.41493744,9,16779,20,20,2.511079,-1.2475088,-5.9103703,1.0000002,,124.95018,23.688025
-1.1350635,0.14999999,-9.9351015,98.6849,5.8866777,-1.1835058,6.329948,-10.0,,811.2857142857143,,8.952080488204956,,,10.500001,258,2.7570388e-05,6.329948,0.14999999,-2.942326,9,17037,21,21,6.329948,-0.8866775,-5.9103703,0.9999993,,123.620224,25.26857
-1.1815835,0.14999999,10.359062,98.6849,5.8467703,-1.153845,6.329948,10.0,,819.8181818181819,,9.548791646957397,,,7.3333335,258,2.5120953e-05,6.329948,0.14999999,-0.36497808,9,18036,22,22,-0.008713842,-0.8467701,-5.9103703,1.0008126,,128.62894,23.960617
-1.2260352,0.14999999,-11.014283,98.6849,5.7622905,-1.1647116,6.329948,-10.0,,803.0,,9.834697246551514,-1.0,,11.5,258,2.2984013e-05,6.329948,0.14999999,-1.2896951,9,18469,23,23,1.0962622,-0.7622905,-5.9103703,1.0000004,,132.53268,23.748125
-1.2685949,0.14999999,-0.86413306,98.6849,5.820871,-1.1422714,6.329948,,,811.1666666666666,,10.248881816864014,-1.0,3.521495e-05,12.0,258,2.110858e-05,6.329948,0.14999999,-0.4582039,9,19468,24,24,-2.1682177,-0.8208708,-5.9103703,0.99999714,,139.7009,23.760532
-1.3094155,0.14999999,0.12839791,98.6849,5.873111,-1.1483902,6.329948,,1.1515426e-10,818.68,,10.869316577911377,,4.4183464,10.145605,258,1.9453666e-05,6.329948,0.14999999,-1.1264447,9,20467,25,25,-2.126877,-0.873111,-5.9103703,0.9722481,,146.82777,23.426678
-1.1858934,0.14999999,8.698933,98.6849,5.8397365,-1.1210948,6.329948,10.0,,825.6153846153846,,11.44900131225586,-1.0,,8.666668,258,1.7986009e-05,6.329948,0.14999999,-0.29064006,9,21466,26,26,-0.005374896,-0.8397366,-5.9103703,0.99891895,,151.83315,23.302736
-1.2236338,0.14999999,1.1158869,98.6849,5.676631,-1.1214854,6.329948,,,804.9629629629629,,11.68038296699524,1.0,2.4368579e-14,13.500001,258,1.6678383e-05,6.329948,0.14999999,-1.0126241,9,21734,27,27,3.5641153,-0.6766309,-5.9103703,1.0000001,,153.26904,21.750343
-1.2600014,0.14999999,-4.0431714,98.6849,5.8995247,-1.1143135,6.329948,-3.3333333,,811.8928571428571,,12.355676412582397,-1.0,,,258,9.122555e-06,6.917661,0.14999999,-0.7496779,16,22733,28,28,-6.917661,-0.89952487,-6.917661,,,165.18669,inf
-1.2950927,0.14999999,-2.2238321,98.6849,5.9302745,-1.2098317,6.329948,-3.3333333,1.39253795e-36,818.3448275862069,,13.464068174362183,1.0,,1.39253795e-36,258,8.504261e-06,6.917661,0.14999999,-2.9017894,16,23732,29,29,-1.791259,-0.93027437,-6.917661,4.801855e-38,,171.97795,inf
-1.3289943,0.14999999,2.3196278,98.6849,6.0445123,-1.2589374,6.329948,3.3333333,,824.3666666666667,,14.175802230834961,-1.0,,,258,7.94676e-06,6.917661,0.14999999,-1.699855,16,24731,30,30,-4.357414,-1.0445124,-6.917661,,,181.33537,inf
-1.3617841,0.14999999,4.517594,98.6849,6.079063,-1.2990713,6.329948,3.3333333,,822.6774193548387,,14.732057094573975,1.0,,,258,7.4423347e-06,6.917661,0.14999999,-1.5193939,16,25503,31,31,-2.1155767,-1.0790628,-6.917661,,,188.45094,inf
-1.3935329,0.14999999,-3.5201073,98.6849,6.286938,-1.3642062,6.329948,-3.3333333,,828.1875,,15.411442041397095,-0.33333334,,0.0044083768,258,6.984457e-06,7.731072,0.14999999,-2.3991773,16,26502,32,32,-7.731072,-1.2869381,-7.731072,0.00013776177,,201.18202,906265.4
-1.4243045,0.14999999,3.03565,98.6849,6.253083,-1.4066268,6.329948,3.3333333,,833.3636363636364,,16.02270269393921,-0.33333334,,0.00057082105,258,6.5675695e-06,7.731072,0.14999999,-1.779528,16,27501,33,33,-0.16972667,-1.2530832,-7.731072,1.7297607e-05,,206.35175,908611.44
-1.4541575,0.14999999,-2.8498027,98.6849,6.2171593,-1.4969931,6.329948,-3.3333333,,838.2352941176471,,16.709959268569946,0.33333334,,0.013585097,258,6.186923e-06,7.731072,0.14999999,-3.4939535,16,28500,34,34,-0.031679794,-1.2171595,-7.731072,0.00044739826,,211.38342,644091.2
-1.483145,0.14999999,3.6148283,98.6849,6.194394,-1.537878,6.329948,3.3333333,,842.8285714285714,,17.197742223739624,0.33333334,,1.4176941,258,5.8384353e-06,7.731072,0.14999999,-1.9428328,16,29499,35,35,-0.42036694,-1.194394,-7.731072,0.040505685,,216.80379,645646.06
-1.5113158,0.14999999,-9.875461,98.6849,6.1671953,-1.5697109,6.329948,-10.0,,847.1666666666666,,17.609075784683228,0.33333334,,0.50468576,258,5.5185833e-06,7.731072,0.14999999,-1.737591,16,30498,36,36,-0.21524362,-1.1671954,-7.731072,0.022841869,,222.01904,320.60077
-1.5387149,0.14999999,-10.697974,98.6849,6.137915,-1.577509,6.329948,-10.0,0.073470324,851.2702702702703,,18.23392415046692,-0.33333334,,21.426584,258,5.224312e-06,7.731072,0.14999999,-0.89459836,16,31497,37,37,-0.08382697,-1.1379151,-7.731072,0.7453386,,227.10286,321.24734
-1.5653831,0.14999999,9.430268,98.6849,6.1221375,-1.6286789,6.329948,10.0,,855.1578947368421,,18.887629747390747,-0.33333334,,23.967682,258,4.9529667e-06,7.731072,0.14999999,-3.1515155,16,32496,38,38,-0.538358,-1.1221374,-7.731072,1.0740507,,232.64122,284.12277
-1.5913585,0.14999999,10.1958475,98.6849,6.0643463,-1.6485825,6.329948,10.0,2.433288e-05,843.5641025641025,,19.25995922088623,0.33333334,,20.71246,258,4.7022245e-06,7.731072,0.14999999,-2.3122525,16,32899,39,39,1.1317235,-1.0643461,-7.731072,0.56186384,,236.50949,280.06912
-1.6166763,0.14999999,9.751003,98.6849,6.039405,-1.6408637,6.329948,10.0,0.044150256,842.575,,19.769651651382446,-0.33333334,,37.9375,258,4.4700523e-06,7.731072,0.14999999,-0.809015,16,33703,40,40,-0.06669423,-1.0394047,-7.731072,1.7069241,,241.57619,51.125076
-1.641369,0.14999999,3.2804632,98.6849,5.951419,-1.614965,6.329948,3.3333333,,830.5121951219512,,19.95520281791687,-0.33333334,,39.40392,258,4.2546603e-06,7.731072,0.14999999,-0.93055725,16,34051,41,41,2.5680106,-0.951419,-7.731072,0.9614805,,244.00818,47.48758
-1.6654665,0.14999999,-3.456706,98.6849,5.9293633,-1.6399081,6.329948,-3.3333333,,834.5238095238095,,20.48733139038086,-0.33333334,,41.982956,258,4.0544687e-06,7.731072,0.14999999,-2.3484793,16,35050,42,42,-0.025070287,-0.9293631,-7.731072,0.9997536,,249.03325,47.471115
-1.688997,0.14999999,3.8149245,98.6849,5.912782,-1.6508106,6.329948,3.3333333,,838.3488372093024,,21.045589685440063,0.33333334,,42.96601,258,3.868082e-06,7.731072,0.14999999,-1.8135391,16,36049,43,43,-0.21638489,-0.9127822,-7.731072,1.0468998,,254.24963,47.5243
-1.7119865,0.14999999,10.300104,98.6849,5.901827,-1.6519111,6.329948,10.0,,842.0,,21.53534507751465,0.33333334,,15.253888,258,3.6942577e-06,7.731072,0.14999999,-1.4505565,16,37048,44,44,-0.43076107,-0.9018271,-7.731072,0.6120929,,259.6804,47.48247
-1.7344594,0.14999999,-3.329706,98.6849,5.871821,-1.6465136,6.329948,-3.3333333,,833.9555555555555,,21.89605975151062,0.33333334,,44.992558,258,3.5318933e-06,7.731072,0.14999999,-0.95900404,16,37528,45,45,0.44845453,-0.8718209,-7.731072,1.0001565,,264.23193,47.537354
-1.7564384,0.14999999,-9.477106,98.6849,5.8539553,-1.6699735,6.329948,-10.0,,837.5434782608696,,22.490920305252075,0.33333334,,10.779929,258,3.3800018e-06,7.731072,0.14999999,-2.4300146,16,38527,46,46,-0.050005175,-0.8539554,-7.731072,0.2549929,,269.28195,47.42519
-1.7779446,0.14999999,-10.479285,98.6849,5.8528485,-1.6889831,6.329948,-10.0,8.767383e-06,840.9787234042553,,22.97887110710144,-0.33333334,,45.15827,258,3.2377015e-06,7.731072,0.14999999,-1.8052114,16,39526,47,47,-0.8019268,-0.85284835,-7.731072,1.4785321,,275.08386,47.05484
-1.798998,0.14999999,-4.1106462,98.6849,5.8447504,-1.6833011,6.329948,-3.3333333,,844.2708333333334,,23.59242582321167,-1.0,,47.986786,258,3.1042032e-06,7.731072,0.14999999,-1.5579718,16,40525,48,48,-0.46413824,-0.8447502,-7.731072,0.99973696,,280.548,46.702473
-1.8196173,0.14999999,2.6677468,98.6849,5.8611403,-1.6924659,6.329948,3.3333333,,847.4285714285714,,24.129190921783447,-1.0,,48.9983,258,2.9787932e-06,7.731072,0.14999999,-1.8356754,16,41524,49,49,-1.6478617,-0.86114025,-7.731072,0.99996537,,287.19586,46.52499
-1.8398199,0.14999999,-2.7554374,98.6849,5.8684926,-1.7177453,6.329948,-3.3333333,,849.96,,24.61520552635193,1.0,,49.995213,258,2.8608335e-06,7.731072,0.14999999,-2.6596344,16,42498,50,50,-1.2287525,-0.8684925,-7.731072,0.9999654,,293.42462,44.8343
-1.8596226,0.14999999,4.2809253,98.6849,5.897438,-1.7532597,6.329948,3.3333333,,852.8823529411765,,25.16290593147278,1.0,,50.999977,258,2.7497433e-06,7.731072,0.14999999,-3.2320032,16,43497,51,51,-2.3447223,-0.8974382,-7.731072,1.0000732,,300.76935,42.24984
-1.8790406,0.14999999,9.763956,98.6849,6.0288424,-1.77413,6.329948,10.0,,855.6923076923077,,25.73657250404358,-0.33333334,,25.311935,258,2.6450014e-06,7.731072,0.14999999,-2.5414164,16,44496,52,52,-7.730456,-1.0288423,-7.731072,1.4857413,,313.49982,38.24057
-1.8980888,0.14999999,9.765283,98.6849,5.983346,-1.7490448,6.329948,10.0,0.01200823,847.3396226415094,,25.97269558906555,0.33333334,,21.438925,258,2.5461316e-06,7.731072,0.14999999,-0.73373723,16,44909,53,53,1.3824735,-0.9833458,-7.731072,0.88119864,,317.11734,34.49771
-1.916781,0.14999999,2.6924047,98.6849,5.894163,-1.7900854,6.329948,3.3333333,,837.574074074074,,26.23293399810791,-0.33333334,,25.94892,258,2.4527033e-06,7.731072,0.14999999,-3.746284,16,45229,54,54,3.8325248,-0.8941631,-7.731072,0.9799142,,318.2848,34.27714
-1.9351301,0.14999999,-3.399592,98.6849,5.8845334,-1.8042464,6.329948,-3.3333333,,840.5090909090909,,26.795201539993286,-0.33333334,,27.49542,258,2.3643252e-06,7.731072,0.14999999,-2.383854,16,46228,55,55,-0.3645271,-0.8845333,-7.731072,1.0102808,,323.64932,34.19118
-1.9531486,0.14999999,-2.9084196,98.6849,5.873337,-1.8194784,6.329948,-3.3333333,0.0011402004,843.3392857142857,,27.199240684509277,0.33333334,,27.99567,258,2.2806387e-06,7.731072,0.14999999,-2.4874785,16,47227,56,56,-0.25754362,-0.873337,-7.731072,1.006959,,328.90686,34.14702
-1.9708482,0.14999999,3.6945124,98.6849,5.862712,-1.8147995,6.329948,3.3333333,,846.0701754385965,,27.617000818252563,0.33333334,,28.495195,258,2.2013185e-06,7.731072,0.14999999,-1.3842841,16,48226,57,57,-0.2677193,-0.86271214,-7.731072,1.0311575,,334.1746,34.156166
-1.9882399,0.14999999,-9.625499,98.6849,5.8518977,-1.8089641,6.329948,-10.0,,848.7068965517242,,28.033000707626343,0.33333334,,28.49095,258,2.1260653e-06,7.731072,0.14999999,-1.3269806,16,49225,58,58,-0.23547226,-0.85189766,-7.731072,0.69975364,,339.41006,33.931576
-2.0053344,0.14999999,-10.587161,98.6849,5.8471746,-1.806837,6.329948,-10.0,5.5052446e-05,851.2542372881356,,28.546751022338867,-0.33333334,,28.910446,258,2.0546058e-06,7.731072,0.14999999,-1.2840358,16,50224,59,59,-0.57323706,-0.84717464,-7.731072,1.3857324,,344.9833,33.857216
-2.0221415,0.14999999,2.4299219,98.6849,5.842241,-1.804144,6.329948,3.3333333,,853.7166666666667,,29.073746919631958,-1.0,,29.999222,258,1.98669e-06,7.731072,0.14999999,-1.8220443,16,51223,60,60,-0.5511516,-0.842241,-7.731072,0.96172446,,350.53445,32.99043
-2.0386708,0.14999999,-4.5409293,98.6849,5.8567395,-1.7979866,6.329948,-3.3333333,,851.5081967213115,,29.39458131790161,-1.0,,30.493698,258,1.9220863e-06,7.731072,0.14999999,-1.2219079,16,51942,61,61,-1.7266511,-0.85673946,-7.731072,0.9995041,,357.2611,32.94031
-2.0549314,0.14999999,9.9675455,98.6849,5.8764176,-1.7986596,6.329948,10.0,,853.8870967741935,,29.935030937194824,-0.33333334,,20.298803,258,1.8605837e-06,7.731072,0.14999999,-1.6584089,16,52941,62,62,-2.0767927,-0.8764177,-7.731072,1.336319,,364.3379,31.796207
