GridSize,ReturnMean,NumTrainableParams,ReturnMin,MountainCar_std1_higher,IWMax,IWLastEpisode,Delta,MountainCar_mu0_higher,DenMISELogFirst,DenMISEMeanLog,Regret,AvgEpLen,IWMin,IWFirstEpisode,NumTrajectories,MountainCar_mu1_higher,ReturnAbsMax,TimestepsSoFar,Iteration,DenMISELogLast,ReturnLastEpisode,Regret/t,MinEpLen,ActionIn1,IWMean,MountainCar_std0_higher,ReturnMax,TimeElapsed,Bound,ReturnStepMax
1,-0.01636276,2,-0.01636276,1.5,1.6940084e-19,1.6940084e-19,0.060792707,-1.0,-2.8073854,-2.8073854,5.0163627,999.0,,1.6940084e-19,1,-10.0,0.01636276,999,1,-2.8073854,-0.01636276,5.0163627,999,-12.333846,1.6940084e-19,0.14999999,,0.5601837635040283,inf,0.16718078
4,-0.9893633,,-1.9623638,1.5,3958971200000000.0,3958971200000000.0,0.0060792705,-1.0,-3.5005326,-20.078888,11.978726,999.0,,3.3880248e-19,2,-10.0,1.9623638,1998,2,-36.65724,-1.9623638,5.989363,999,-8.811342,1979485600000000.0,0.14999999,,1.2426013946533203,inf,19.80091
4,-1.218376,,-1.9623638,1.5,7.06194e+23,7.06194e+23,0.0027018983,-1.0,-3.9059978,-32.21207,18.655128,999.0,,5.082033e-19,3,-10.0,1.9623638,2997,3,-56.360653,-1.6764015,6.218376,999,-11.008358,2.3539798e+23,0.14999999,,1.7861754894256592,inf,19.80091
4,-1.3592125,,-1.9623638,1.5,9.415951e+23,0.13829711,0.0015198176,-1.0,-4.19368,-23.871342,25.43685,999.0,,6.77604e-19,4,-10.0,1.9623638,3996,4,1.6084275,-1.781722,6.3592124,999,-11.069101,2.3539878e+23,0.14999999,,2.343587875366211,inf,19.80091
9,-1.518694,,-2.15662,1.5,1.17699054e+24,0.1252307,0.00048634165,-1.0,-4.4168234,-18.841463,32.59347,999.0,,8.4700586e-19,5,-10.0,2.15662,4995,5,1.5952641,-2.15662,6.518694,999,-11.55258,2.353981e+23,0.14999999,,2.846062421798706,inf,21.457941
9,-1.5907506,,-2.15662,1.5,1.4123914e+24,52.986214,0.0003377373,-1.0,-4.599145,-16.473799,39.544502,999.0,,1.0164051e-18,6,-10.0,2.15662,5994,6,-4.3932977,-1.9510332,6.5907507,999,-9.497904,2.3539856e+23,0.14999999,,3.3655753135681152,inf,21.457941
9,-1.7317011,,-2.5774052,1.5,1.6477857e+24,9.612842e+23,0.00024813347,-1.0,-4.7532954,-22.320797,47.12191,999.0,,1.1858074e-18,7,-10.0,2.5774052,6993,7,-57.207184,-2.5774052,6.731701,999,-10.561592,3.727243e+23,0.14999999,,3.8228368759155273,inf,25.880108
9,-1.7747946,,-2.5774052,1.5,1.8831875e+24,29.476955,0.0001899772,-1.0,-4.886827,-20.055058,54.198357,999.0,,1.3552061e-18,8,-10.0,2.5774052,7992,8,-3.8768828,-2.0764484,6.7747946,999,-10.614088,3.727067e+23,0.14999999,,4.256078481674194,inf,25.880108
9,-1.7455484,,-2.5774052,1.5,2.118585e+24,0.54342806,0.00015010545,-1.0,-5.00461,-17.864277,60.709934,999.0,,1.5246062e-18,9,-10.0,2.5774052,8991,9,-0.063543014,-1.5115782,6.7455482,999,-9.427367,3.7268923e+23,0.14999999,,4.681529760360718,inf,25.880108
16,-1.7590199,,-2.5774052,1.5,2.3539867e+24,5.188903e+22,7.152084e-05,-1.0,-5.1099706,-21.42202,67.590195,999.0,,1.6940093e-18,10,-10.0,2.5774052,9990,10,-53.200306,-1.880263,6.75902,999,-12.000659,3.7786087e+23,0.14999999,,5.132997274398804,inf,25.880108
