ReturnMin,IWMax,IWFirstEpisode,Regret/t,TimeElapsed,ReturnMax,TimestepsSoFar,Bound,ReturnMean,NumTrainableParams,MountainCar_std0_higher,Iteration,ReturnStepMax,Delta,Regret,MountainCar_std1_higher,DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,DenMISELogLast,IWMean,BoundBonus,AvgEpLen,NumTrajectories,ActionIn1,ReturnLastEpisode,MountainCar_mu1_higher,MinEpLen,IWMin,MountainCar_mu0_higher,DenMISELogFirst,BoundMISE,GridSize
-0.35803667,2.1340043e-06,2.1340043e-06,5.3580365,0.5203943252563477,,999,106656.82,-0.35803667,2,0.14999999,1,3.5668488,0.060792707,5.3580365,3.0,-1.1041398,0.35803667,2.1340043e-06,-1.1041398,2.1340043e-06,106656.82,999.0,1,-10.743762,-0.35803667,-10.0,999,,-1.0,-1.1041398,-7.640518e-07,1
-1.6315655,4.222642e-21,4.222642e-21,5.994801,1.2283196449279785,,1998,inf,-0.99480104,,0.14999999,2,16.517153,0.0060792705,11.989602,3.0,-1.8335305,1.6315655,5.1565272e-36,-1.8697762,2.111321e-21,inf,999.0,2,-10.03134,-1.6315655,-10.0,999,,1.0,-1.7972848,-7.5593034e-22,4
-4.0862536,6.944595e-11,1.3736393e-21,7.0252852,1.7288868427276611,,2997,77745560000.0,-2.0252852,,0.14999999,3,42.078773,0.0027018983,21.075855,3.0,-2.2255323,4.0862536,6.944595e-11,-2.1986053,2.314865e-11,77745560000.0,999.0,3,17.015049,-4.0862536,10.0,999,,1.0,-2.20275,-9.459125e-11,4
-9.966432,1.8511876e-06,1.8511876e-06,9.0105715,2.252286195755005,,3996,33187266.0,-4.0105715,,0.14999999,4,107.17791,0.0015198176,36.042286,3.0,-3.2298594,9.966432,,-5.379794,4.631287e-07,33187266.0,999.0,4,8.728642,-9.966432,10.0,999,,-1.0,-2.490432,-1.6623962e-07,4
-9.966432,4.999592,1.0669992e-05,8.542933,2.5865492820739746,,4659,44.581512,-3.5429332,,0.14999999,5,107.17791,0.0009726833,42.71467,3.0,-3.2990508,9.966432,2.2122906e-09,-2.6832454,0.9999205,45.86759,931.8,5,-12.148871,-1.6723788,-10.0,663,,-1.0,-2.7135751,-1.286079,4
-9.966432,5.9999714,2.776776e-06,8.220483,3.062171220779419,,5658,45.739677,-3.2204826,,0.14999999,6,107.17791,0.0006754746,49.322895,3.0,-3.179989,9.966432,4.3611614e-11,-2.36618,0.9999957,47.057926,943.0,6,7.7241364,-1.6082296,10.0,663,,-1.0,-2.8958945,-1.3182493,4
-9.966432,7.0000005,1.477923e-20,6.984441,3.222585439682007,5.431809,5913,44.82036,-1.9844409,,0.14999999,7,107.17791,0.00049626693,48.891087,3.0,-3.10097,9.966432,,-2.3950973,1.0000001,48.04134,844.7142857142857,7,-9.272868,5.431809,-10.0,255,,1.0,-3.0500448,-3.2209814,4
-9.966432,8.000002,3.6630175e-21,7.202404,3.7293453216552734,5.431809,6912,41.021202,-2.202404,,0.14999999,8,107.17791,0.0003799544,57.619232,3.0,-3.0527158,9.966432,5.383511e-10,-2.4733632,1.0000002,48.87722,864.0,8,14.195868,-3.7281454,10.0,255,,1.0,-3.183576,-7.85602,4
-9.966432,0.0005865427,0.0005865427,7.7479563,4.228616237640381,5.431809,7911,2889637.2,-2.747956,,0.14999999,9,107.17791,0.00015010545,69.731606,3.0,-3.0867321,9.966432,6.00029e-10,-3.109747,6.517231e-05,2889637.2,879.0,9,10.749204,-7.112372,10.0,255,,,-3.3013592,-2.3333638e-05,9
-9.966432,0.003004916,0.003004916,7.360965,4.493954181671143,5.431809,8322,398201.03,-2.3609645,,0.14999999,10,107.17791,0.00012158541,73.60965,3.0,-3.4477837,9.966432,8.761548e-10,-5.7490687,0.0003005003,398201.03,832.2,10,-14.656836,1.1219571,-10.0,255,,,-3.4066546,-0.000107603046,9
-9.966432,0.016504895,2.7966058e-18,7.1531687,4.978710174560547,5.431809,9321,6834.5366,-2.1531687,,0.14999999,11,107.17791,0.00010048381,78.68485,3.0,-3.6961489,9.966432,3.709213e-11,-5.2269983,0.002183186,6834.5454,847.3636363636364,11,2.060773,-0.07520827,,255,,1.0,-3.5016642,-0.008565787,9
-9.966432,0.0979677,0.0030836186,7.36821,5.438920497894287,5.431809,10320,6848.762,-2.3682096,,0.14999999,12,107.17791,8.443432e-05,88.41852,3.0,-3.7655094,9.966432,2.23564e-37,-3.5735266,0.013990515,6848.727,860.0,12,-6.1814766,-4.73366,,255,,-1.0,-3.5886757,0.035066497,9
-9.966432,0.47030446,0.47030446,7.320697,5.986803293228149,5.431809,11319,3933.3882,-2.3206966,,0.14999999,13,107.17791,7.1944036e-05,95.16905,3.0,-3.8485172,9.966432,6.882822e-09,-3.8980544,0.03861582,3933.3984,870.6923076923077,13,-0.32593963,-1.7505409,,255,,,-3.6684613,-0.010238996,9
-9.966432,13.9525175,0.00087999617,7.1555023,6.5472331047058105,5.431809,12318,55.094246,-2.1555026,,0.14999999,14,107.17791,6.203337e-05,100.17703,3.0,-3.9064968,9.966432,0.03508301,-3.734802,0.99917716,54.209915,879.8571428571429,14,14.217568,-0.007977805,10.0,255,,,-3.7070312,0.88433135,9
-9.966432,14.769539,0.5236797,6.382269,6.672993421554565,9.443005,12547,54.572243,-1.3822688,,0.14999999,15,107.17791,5.403797e-05,95.73403,3.0,-3.933863,9.966432,0.000266009,-4.045104,1.0207933,54.589508,836.4666666666667,15,0.025076253,9.443005,,229,,,-3.7759612,-0.01726494,9
-9.966432,15.999401,0.004480697,6.2958994,7.146775722503662,9.443005,13546,54.892212,-1.2958992,,0.14999999,16,107.17791,4.74943e-05,100.73439,3.0,-3.8977003,9.966432,0.029297281,-3.1081772,1.0049944,54.95162,846.625,16,-8.468861,-0.00035519642,-10.0,229,,,-3.8061833,-0.059406117,9
