J,BatchSize,ReturnMean,MountainCar_std0_higher,MountainCar_std1_higher,NumTrajectories,MountainCar_mu1_higher,Iteration,TimestepsSoFar,ReturnMax,StepSize,VarJ,AvgRet,AvgEpLen,NatGradInftyNorm,NatGrad2Norm,MountainCar_mu0_higher,MinEpLen,ActionIn1
-1.3558000237078949,100,-1.3558000237078949,0.14999999,1.5,100,0.57150435,1,97860,-0.23502592011730064,0.001,0.0019298220107818258,-6.579903367128953,978.6,0.12872155,0.13711542,-0.820599,467,-0.78957117
-1.3554784628593257,100,-1.3556392432836102,0.14999999,1.5,200,0.5713756,2,197000,-0.23502592011730064,0.001,0.0016310229839346284,-9.715890920530644,985.0,0.15688695,0.1610662,-0.82055175,467,-0.9770523
-1.3630932202930905,100,-1.3581239022867704,0.14999999,1.5,300,0.5712187,3,296822,-0.23502592011730064,0.001,0.0012767763051783542,-12.837435372083139,989.4066666666666,0.1234457,0.12625545,-0.8205153,467,0.47375584
-1.3556574945297026,100,-1.3575073003475036,0.14999999,1.5,400,0.5710953,4,395665,-0.23502592011730064,0.001,0.001808680441866742,-9.669060835059568,989.1625,0.04156158,0.041938234,-0.8204888,467,1.3308959
-1.378580201143737,100,-1.3617218805067504,0.14999999,1.5,500,0.5710897,5,495453,-0.23502592011730064,0.001,0.001916318792294913,-11.924702518085653,990.906,0.055061575,0.07578358,-0.82044727,467,-0.24987733
-1.426282993506307,100,-1.372482066006676,0.14999999,1.5,600,0.5711418,6,594975,-0.23502592011730064,0.001,0.0017792478217934175,-12.389398685947745,991.625,0.07273937,0.07875541,-0.8203922,467,-1.0683236
-1.4272741688931774,100,-1.3803095092761763,0.14999999,1.5,700,0.57117194,7,693285,-0.23502592011730064,0.001,0.0020175234194365,-5.568348572028732,990.4071428571428,0.4090655,0.41624638,-0.8203195,467,-1.4589543
-1.4206467492798998,100,-1.385351664276642,0.14999999,1.5,800,0.5707629,8,792228,-0.23502592011730064,0.001,0.0022938358601554128,-9.379106390995311,990.285,0.2710735,0.2839413,-0.82024246,467,-1.0851912
-1.4183910765447758,100,-1.389022710084212,0.14999999,1.5,900,0.5704918,9,891396,-0.23502592011730064,0.001,0.0017529347361392577,-10.364787408531939,990.44,0.06773565,0.09463828,-0.82015795,467,-1.0675216
-1.3320208375255036,100,-1.3833225228283412,0.14999999,1.5,1000,0.5705595,10,991123,-0.23502592011730064,0.001,0.0018344487064756421,-11.416842068786318,991.123,0.52699447,0.5278366,-0.82009184,467,1.5022008
-1.4560515243586287,100,-1.3899342502401857,0.14999999,1.5,1100,0.5710865,11,1090731,-0.23502592011730064,0.001,0.0014935174004929131,-11.716257637630658,991.5736363636364,0.6306808,0.6358076,-0.82006204,467,-1.0644989
-1.4396234035385478,100,-1.394075013015049,0.14999999,1.5,1200,0.5717172,12,1190415,-0.23502592011730064,0.001,0.0019643727264621064,-11.570024082528262,992.0125,0.40446618,0.41318977,-0.81998146,467,-3.374807
-1.3995902084744107,100,-1.3944992588196152,0.14999999,1.5,1300,0.5721217,13,1289748,-0.23502592011730064,0.001,0.0018066883533406164,-10.184577336458725,992.1138461538461,0.3639716,0.3689443,-0.819897,467,-1.3281446
-1.3524776850795381,100,-1.3914977178381815,0.14999999,1.5,1400,0.57175773,14,1388825,-0.23502592011730064,0.001,0.0017610752764328464,-9.670917226147084,992.0178571428571,0.5382595,0.53972316,-0.8198366,467,1.786778
-1.3335868885691537,100,-1.3876369958869128,0.14999999,1.5,1500,0.5712195,15,1488716,-0.23502592011730064,0.001,0.0022511478887830305,-12.460148134629264,992.4773333333334,0.39806178,0.40045482,-0.8197969,467,-0.25098926
-1.3684296696053087,100,-1.3864365379943127,0.14999999,1.5,1600,0.57161754,16,1587360,-0.23502592011730064,0.001,0.0016814858801608116,-5.821817346771154,992.1,0.06363715,0.078573495,-0.8197532,467,-1.2528746
-1.465493937399662,100,-1.3910869732534508,0.14999999,1.5,1700,0.5715539,17,1686019,-0.23502592011730064,0.001,0.0021020369236528606,-7.831323027568245,991.7758823529412,0.14188364,0.1745142,-0.81970716,467,0.5199327
-1.4232202189027645,100,-1.3928721535673017,0.14999999,1.5,1800,0.571412,18,1785020,-0.23502592011730064,0.001,0.002227016683685475,-9.423844241904039,991.6777777777778,0.1436569,0.16519247,-0.8196055,467,0.31038445
-1.4224725570231382,100,-1.3944300695386613,0.14999999,1.5,1900,0.5715557,19,1884168,-0.23502592011730064,0.001,0.002253132208752987,-10.346068888671498,991.6673684210526,0.13838358,0.16201353,-0.819524,467,-2.5824413
-1.374567660081374,100,-1.393436949065797,0.14999999,1.5,2000,0.5714173,20,1983825,-0.23502592011730064,0.001,0.0016477842504899257,-11.842757459070908,991.9125,0.26644844,0.27050316,-0.8194397,467,-0.60217625
-1.3779846651272758,100,-1.3927011260211055,0.14999999,1.5,2100,0.5716837,21,2083060,-0.23502592011730064,0.001,0.00221907205078583,-8.96187288016665,991.9333333333333,0.0612013,0.07868225,-0.81939304,467,-1.3607135
-1.372636810364578,100,-1.3917891116730816,0.14999999,1.5,2200,0.57163423,22,2182440,-0.23502592011730064,0.001,0.001846772943087484,-9.881153547980828,992.0181818181818,0.26570612,0.27060673,-0.8193318,467,-1.8298042
-1.4321341937219418,100,-1.3935432456752062,0.14999999,1.5,2300,0.57189995,23,2281224,-0.23502592011730064,0.001,0.0025485174449351384,-8.415423419804661,991.8365217391305,0.14185536,0.17237674,-0.81928056,467,-0.936252
-1.347406979096402,100,-1.3916209012344223,0.14999999,1.5,2400,0.5717581,24,2379917,-0.23502592011730064,0.001,0.0016244150725817986,-6.60673113466078,991.6320833333333,0.033013433,0.03600583,-0.81918263,467,1.2833004
-1.3972587476083773,100,-1.3918464150893808,0.14999999,1.5,2500,0.57177246,25,2477990,-0.23502592011730064,0.001,0.0016514908108227766,-6.024437783307327,991.196,0.08775744,0.104524575,-0.8191496,467,-0.55035245
-1.4108987726504874,100,-1.3925791980725,0.14999999,1.5,2600,0.5718602,26,2575660,-0.23502592011730064,0.001,0.0017820536995234986,-5.149091292845113,990.6384615384616,0.21915978,0.2290787,-0.8190928,467,-2.305875
-1.4681592044690546,100,-1.395378457568669,0.14999999,1.5,2700,0.571641,27,2674873,-0.23502592011730064,0.001,0.0020668671030436804,-10.827962683205557,990.6937037037037,0.13150874,0.1674105,-0.8190261,467,1.6433821
-1.3226927936710666,100,-1.3927825410008972,0.14999999,1.5,2800,0.57150954,28,2773820,-0.23502592011730064,0.001,0.001533413238670249,-10.36127072358135,990.65,0.07703339,0.07982753,-0.8189225,467,-2.3213809
-1.4246728441686065,100,-1.39388220662737,0.14999999,1.5,2900,0.57143253,29,2873169,-0.23502592011730064,0.001,0.0016273406358986275,-11.370445336446922,990.7479310344828,0.13433592,0.15057956,-0.8189016,467,0.068678916
-1.382806906524892,100,-1.3935130299572875,0.14999999,1.5,3000,0.5715669,30,2972929,-0.23502592011730064,0.001,0.0017072445808928186,-13.045755942498973,990.9763333333333,0.12517372,0.1351894,-0.8188336,467,1.523675
