ActionIn1,NatGradInftyNorm,NatGrad2Norm,MinEpLen,AvgRet,MountainCar_std0_higher,VarJ,TimestepsSoFar,ReturnMax,StepSize,NumTrajectories,MountainCar_std1_higher,BatchSize,MountainCar_mu1_higher,J,AvgEpLen,Iteration,MountainCar_mu0_higher,ReturnMean
-0.32980525,0.012692106,0.013257336,999,-0.6417014323948209,0.14999999,9.044112149623775e-05,99900,-6.94081277032086e-06,0.1,100,1.5,100,-0.99866194,-0.06351052579224079,999.0,1,0.05171383,-0.06351052579224079
-3.922153,0.027922753,0.03399718,999,-1.015467091442953,0.14999999,0.0002518967190283802,199800,-6.94081277032086e-06,0.1,200,1.5,100,-0.9973927,-0.09995792375727057,999.0,2,0.05133085,-0.08173422477475568
-0.2528519,0.002456276,0.0024923272,999,-0.5863648701026642,0.14999999,5.634849328310927e-05,299700,-6.94081277032086e-06,0.1,300,1.5,100,-1.000185,-0.058193439219677554,999.0,3,0.04939145,-0.0738872962563963
-0.39980346,0.015306552,0.019008044,999,-0.9095172961586226,0.14999999,0.0001664236820037826,399600,-6.94081277032086e-06,0.1,400,1.5,100,-1.0001428,-0.09017187827794577,999.0,4,0.04914582,-0.07795844176178368
-2.4644496,0.010750986,0.011844874,999,-0.7457061290685612,0.14999999,0.00011386599884582419,499500,-6.94081277032086e-06,0.1,500,1.5,100,-0.99861217,-0.07417856340170205,999.0,5,0.048018813,-0.07720246608976734
0.6752339,0.007531627,0.007543061,999,-0.8683385488723175,0.14999999,0.00010695403530120069,599400,-6.94081277032086e-06,0.1,600,1.5,100,-0.9991093,-0.08575753337232682,999.0,6,0.046943713,-0.07862831063686058
-0.26024228,0.01188677,0.013944855,999,-0.8107356297820196,0.14999999,9.65802230627199e-05,699300,-6.94081277032086e-06,0.1,700,1.5,100,-0.9991509,-0.08083128281583032,999.0,7,0.04619055,-0.07894302094814197
-2.4785678,0.04143614,0.042064086,999,-0.6804189819565408,0.14999999,0.00010795755313861595,799200,-6.94081277032086e-06,0.1,800,1.5,100,-0.9979622,-0.06748926026764153,999.0,8,0.045461413,-0.07751130086307942
-0.7071758,0.003168277,0.0034336764,999,-0.5052938158624861,0.14999999,4.145257601684055e-05,899100,-6.94081277032086e-06,0.1,900,1.5,100,-1.0021058,-0.05081844871267162,999.0,9,0.0447373,-0.07454542840192299
-2.3344326,0.010503801,0.012618851,999,-0.8913167836388044,0.14999999,0.0001594298784482223,999000,-6.94081277032086e-06,0.1,1000,1.5,100,-1.001789,-0.08810304597548829,999.0,10,0.04460493,-0.07590119015927954
-0.13334477,0.013231762,0.01845285,999,-0.8015412106017955,0.14999999,0.00011655543565586086,1098900,-6.94081277032086e-06,0.1,1100,1.5,100,-1.0024883,-0.07944780200994726,999.0,11,0.043554552,-0.07622360941843113
-1.0985649,0.0049261977,0.0051047597,999,-0.6483410492486479,0.14999999,0.00011333180168286909,1198800,-6.94081277032086e-06,0.1,1200,1.5,100,-1.0037744,-0.06478273194431114,999.0,12,0.042231377,-0.07527020296225446
-2.5496957,0.038320716,0.04009788,999,-0.7753462328295434,0.14999999,0.00011064971395937128,1298700,-6.94081277032086e-06,0.1,1300,1.5,100,-1.0039083,-0.0768873721324365,999.0,13,0.041738756,-0.07539460059073001
-2.8883002,0.017484928,0.017975185,888,0.3105477551277202,0.14999999,7.849101422108976e-05,1398489,-4.012509598353527e-06,0.1,1400,1.5,100,-1.0077404,-0.06772297790643406,998.9207142857143,14,0.040558234,-0.07484662754185173
-5.145967,0.015669417,0.016627029,888,-0.8593384789684541,0.14999999,0.0001654489709627307,1498389,-4.012509598353527e-06,0.1,1500,1.5,100,-1.0094888,-0.08534832845271598,998.926,15,0.040141284,-0.07554674093590935
-1.3453606,0.028844658,0.029264735,888,-0.5817273978360742,0.14999999,5.59743051714085e-05,1598289,-4.012509598353527e-06,0.1,1600,1.5,100,-1.0089327,-0.05759826058818342,998.930625,16,0.03857434,-0.07442496091417648
0.67874086,0.01200121,0.014643106,888,-0.8343450525517543,0.14999999,0.0001312804704559772,1698189,-4.012509598353527e-06,0.1,1700,1.5,100,-1.0118172,-0.08239156503947541,998.9347058823529,17,0.038080275,-0.07489358468625289
-1.0602775,0.012211873,0.012477136,784,0.29139804086699755,0.14999999,8.726835520785299e-05,1797874,0.0074220709821795836,0.1,1800,1.5,100,-1.0109782,-0.06989969397391152,998.8188888888889,18,0.036880154,-0.07461614631334501
-0.47455233,0.02574818,0.027971387,784,-0.7584375075920665,0.14999999,0.00014718185284657597,1897774,0.0074220709821795836,0.1,1900,1.5,100,-1.0121994,-0.07564493281442418,998.8284210526316,19,0.03662424,-0.07467029297129656
1.8463669,0.012728209,0.01341328,784,-0.5836089407289402,0.14999999,5.582598675506563e-05,1997674,0.0074220709821795836,0.1,2000,1.5,100,-1.0147742,-0.05830871019762447,998.837,20,0.0355314,-0.07385221383261296
-4.0077605,0.005315901,0.005438013,784,-0.6750319037113083,0.14999999,7.933615774043238e-05,2097574,0.0074220709821795836,0.1,2100,1.5,100,-1.0135014,-0.06704219915717922,998.8447619047619,21,0.035108212,-0.07352792741949707
-0.026353747,0.004995394,0.0067659724,784,-0.6587856253040747,0.14999999,9.567852079695138e-05,2197474,0.0074220709821795836,0.1,2200,1.5,100,-1.014033,-0.06559152326183154,998.8518181818182,22,0.035222806,-0.07316718177596682
1.8586745,0.005166198,0.006349725,784,-0.7161129197060547,0.14999999,7.742123432997597e-05,2297374,0.0074220709821795836,0.1,2300,1.5,100,-1.0135335,-0.07147343195854376,998.8582608695652,23,0.03476647,-0.07309354047955713
0.16620113,0.0261897,0.02677019,784,-0.6498848378615514,0.14999999,0.0001210442894204475,2397274,0.0074220709821795836,0.1,2400,1.5,100,-1.0140501,-0.06477658879371882,998.8641666666666,24,0.03439729,-0.07274700082598053
-1.150552,0.019596022,0.021438362,784,-0.7199233178458023,0.14999999,0.00010177378540166634,2497174,0.0074220709821795836,0.1,2500,1.5,100,-1.0166692,-0.07128955228176803,998.8696,25,0.033842828,-0.07268870288421202
-1.5513186,0.013931217,0.014305009,784,-0.5895708765459579,0.14999999,5.459285295448992e-05,2597074,0.0074220709821795836,0.1,2600,1.5,100,-1.0186287,-0.05816262407020341,998.8746153846154,26,0.03297335,-0.07213000754521169
-0.71652967,0.021480316,0.021755487,784,-0.6375544112948025,0.14999999,5.393565600187591e-05,2696974,0.0074220709821795836,0.1,2700,1.5,100,-1.0200218,-0.06265748406692198,998.8792592592592,27,0.032648474,-0.07177917334231207
0.6380087,0.009151276,0.009834189,784,-0.6329744002253123,0.14999999,6.273491035705924e-05,2796874,0.0074220709821795836,0.1,2800,1.5,100,-1.0178738,-0.06282930223078782,998.8835714285714,28,0.03230355,-0.07145953508832907
-0.97398716,0.06472873,0.06514132,784,-0.7162456271089499,0.14999999,0.00010255618183590766,2896774,0.0074220709821795836,0.1,2900,1.5,100,-1.0169586,-0.069872773036199,998.8875862068966,29,0.031943474,-0.07140481915549698
-0.18565705,0.020229226,0.022344561,784,-0.6792534298735308,0.14999999,9.684879088836964e-05,2996674,0.0074220709821795836,0.1,3000,1.5,100,-1.0234314,-0.06565729402007357,998.8913333333334,30,0.031211467,-0.07121323498431621
-2.9392583,0.006844927,0.008102776,784,-0.61132641286525,0.14999999,8.166870754019072e-05,3096574,0.0074220709821795836,0.1,3100,1.5,100,-1.0254544,-0.060826837923059145,998.8948387096774,31,0.03026248,-0.07087818991782405
-1.6355354,0.014589091,0.01572911,784,-0.8024125147660898,0.14999999,0.00016275820558944048,3196474,0.0074220709821795836,0.1,3200,1.5,100,-1.0261389,-0.07920330727653588,998.898125,32,0.029828867,-0.07113834983528379
1.0868417,0.004235831,0.0048169675,784,-0.658762285651317,0.14999999,6.882218827550806e-05,3296374,0.0074220709821795836,0.1,3300,1.5,100,-1.0267268,-0.06563814078265218,998.9012121212121,33,0.028369958,-0.07097167683368891
1.4345019,0.0121858595,0.015471535,784,-0.693292185312592,0.14999999,0.00013518529982407986,3396274,0.0074220709821795836,0.1,3400,1.5,100,-1.0263033,-0.06890300740103507,998.9041176470588,34,0.028140591,-0.07091083361508142
-3.1775525,0.0110916635,0.011155569,784,-0.7152812271116511,0.14999999,0.00021763361713824777,3496174,0.0074220709821795836,0.1,3500,1.5,100,-1.0272566,-0.07093353693930272,998.9068571428571,35,0.026922006,-0.07091148228148775
0.27708876,0.031179862,0.031414352,784,-0.559109858488425,0.14999999,6.259846198536607e-05,3596074,0.0074220709821795836,0.1,3600,1.5,100,-1.0273758,-0.05507956088358092,998.9094444444445,36,0.02581284,-0.07047170668710144
-3.734116,0.00704901,0.009462317,784,-0.6037522265533168,0.14999999,8.132164311423717e-05,3695974,0.0074220709821795836,0.1,3700,1.5,100,-1.0304939,-0.05980388419805002,998.9118918918919,37,0.025429724,-0.07018338716037034
-0.27915493,0.012890705,0.01593326,784,-0.7744144769195362,0.14999999,0.0002548021297323596,3795874,0.0074220709821795836,0.1,3800,1.5,100,-1.0311987,-0.07715628338249197,998.9142105263157,38,0.024798479,-0.07036688442937353
-0.9546666,0.032498077,0.032709934,784,-0.6840068638837732,0.14999999,9.76245841143216e-05,3895774,0.0074220709821795836,0.1,3900,1.5,100,-1.0324879,-0.06816600285329893,998.9164102564102,39,0.023862004,-0.07031045156844855
1.3985938,0.026609465,0.029067172,784,-0.7598617512290323,0.14999999,0.00014953318749274407,3995674,0.0074220709821795836,0.1,4000,1.5,100,-1.0292381,-0.07527332138208002,998.9185,40,0.02349032,-0.07043452331378933
-2.3096297,0.065700695,0.06863594,784,-1.0301818639769171,0.14999999,0.00020915071688518792,4095574,0.0074220709821795836,0.1,4100,1.5,100,-1.0265771,-0.10000022666437865,998.920487804878,41,0.022320548,-0.07115563802965737
-1.2794613,0.0045672418,0.0064484747,784,-0.6840225223649616,0.14999999,9.68399879139864e-05,4195474,0.0074220709821795836,0.1,4200,1.5,100,-1.0331472,-0.06777496488881617,998.922380952381,42,0.020334821,-0.07107514581201829
-3.2242367,0.008898849,0.0124007985,784,-0.716720874564609,0.14999999,0.00011588114033939823,4295374,0.0074220709821795836,0.1,4300,1.5,100,-1.0336039,-0.07123213925605487,998.9241860465116,43,0.019879594,-0.07107879682234472
1.4822145,0.0075283074,0.0075497343,784,-0.7170472190791943,0.14999999,0.00010380542673847997,4395274,0.0074220709821795836,0.1,4400,1.5,100,-1.0344676,-0.07129283941282993,998.925909090909,44,0.01898971,-0.07108366142667392
-1.9298581,0.020108925,0.020558165,784,-0.5111305218988346,0.14999999,7.134295364650165e-05,4495174,0.0074220709821795836,0.1,4500,1.5,100,-1.0345244,-0.05108946367218218,998.9275555555555,45,0.01823688,-0.07063934592101856
