Iteration,ActionIn1,ReturnMean,MountainCar_std0_higher,StepSize,J,NatGrad2Norm,MinEpLen,NumTrajectories,NatGradInftyNorm,AvgRet,MountainCar_mu1_higher,ReturnMax,AvgEpLen,MountainCar_mu0_higher,BatchSize,TimestepsSoFar,MountainCar_std1_higher,VarJ
1,-0.78957117,-1.3558000237078949,0.14999999,0.1,-1.3558000237078949,0.13711542,467,100,0.12872155,-6.579903367128953,0.57150435,-0.23502592011730064,978.6,-0.820599,100,97860,1.5,0.0019298220107818258
2,-0.98511916,-1.3489404667068001,0.14999999,0.1,-1.3420809097057056,0.15891884,467,200,0.15468335,-9.571146989398786,0.5586322,-0.23502592011730064,984.98,-0.81587523,100,196996,1.5,0.0016195814289069873
3,0.45398557,-1.3457196856123097,0.14999999,0.1,-1.339278123423329,0.12431721,467,300,0.12146609,-13.593980340436163,0.54316384,-0.23502592011730064,989.6533333333333,-0.8122307,100,296896,1.5,0.0012580251054260785
4,1.3017232,-1.3403788050900334,0.14999999,0.1,-1.3243561635232053,0.041869007,467,400,0.041506063,-9.329772048005616,0.53101724,-0.23502592011730064,989.3325,-0.80958354,100,395733,1.5,0.0017784441099744598
5,-0.27548552,-1.3394636049179955,0.14999999,0.1,-1.3358028042298429,0.075251855,467,500,0.054607876,-11.485280199314582,0.53046715,-0.23502592011730064,991.03,-0.8054329,100,495515,1.5,0.0018716081514763697
6,-1.0834004,-1.3440991494291339,0.14999999,0.1,-1.367276871984826,0.07607201,467,600,0.07124853,-11.774398007716993,0.5356448,-0.23502592011730064,991.7283333333334,-0.7999721,100,595037,1.5,0.0017213376106913342
7,-1.4643435,-1.3447171893781986,0.14999999,0.1,-1.348425429072587,0.39256462,467,700,0.3853034,-4.778717919418515,0.5383105,-0.23502592011730064,990.7371428571429,-0.7928473,100,693516,1.5,0.0019385246150887055
8,-1.1212633,-1.3417097191115974,0.14999999,0.1,-1.3206574272453901,0.26594457,467,800,0.253037,-8.31389785517506,0.49978018,-0.23502592011730064,990.55125,-0.7853318,100,792441,1.5,0.0021639938999913895
9,-1.1205261,-1.3366122378615735,0.14999999,0.1,-1.2958323878613809,0.09124757,467,900,0.065840416,-10.093299734938839,0.4744765,-0.23502592011730064,990.7755555555556,-0.7771472,100,891698,1.5,0.001621393650123375
10,1.4619641,-1.3224633593744382,0.14999999,0.1,-1.1951234529902197,0.48260805,467,1000,0.48163983,-11.027917375085453,0.48106053,-0.23502592011730064,991.524,-0.7708296,100,991524,1.5,0.0016800949216846026
11,-1.0540731,-1.3209461627084491,0.14999999,0.1,-1.305774196048559,0.57062334,467,1100,0.5656027,-10.233877282822219,0.5292245,-0.23502592011730064,992.0827272727273,-0.7677741,100,1091291,1.5,0.001379657259886872
12,-3.3009791,-1.3166707237988697,0.14999999,0.1,-1.2696408957934961,0.372167,467,1200,0.363591,-9.840155121962447,0.5857848,-0.23502592011730064,992.4216666666666,-0.76022124,100,1190906,1.5,0.0018021242284098685
13,-1.2105031,-1.3084419361737505,0.14999999,0.1,-1.2096964846723193,0.31600875,467,1300,0.31075397,-7.262310721028834,0.62214386,-0.23502592011730064,992.4876923076923,-0.7522778,100,1290234,1.5,0.0016246277384705074
14,1.8793864,-1.297099351002965,0.14999999,0.1,-1.1496457437827556,0.46775568,467,1400,0.46609542,-8.60028993051847,0.59106845,-0.23502592011730064,992.4028571428571,-0.7465389,100,1389364,1.5,0.001564566731720523
15,-0.20055425,-1.2854769901991236,0.14999999,0.1,-1.1227639389453445,0.34585097,467,1500,0.34300232,-10.317007088793167,0.5444589,-0.23502592011730064,992.8306666666666,-0.74260134,100,1489246,1.5,0.001987650915745255
16,-1.1641514,-1.2766692505938817,0.14999999,0.1,-1.1445531565152545,0.067275636,467,1600,0.050742943,-5.584114081866093,0.57875913,-0.21637398538841932,992.59375,-0.7381715,100,1588150,1.5,0.0014619868216030184
17,0.6080165,-1.2734164050011167,0.14999999,0.1,-1.221370875516878,0.14160648,467,1700,0.10798362,-7.403217663161413,0.5736848,-0.21637398538841932,992.3005882352941,-0.73375434,100,1686911,1.5,0.0018218773319211088
18,0.3968709,-1.2670466680445003,0.14999999,0.1,-1.1587611397820154,0.13399108,467,1800,0.11140413,-7.762344990773582,0.5628865,-0.21637398538841932,992.3083333333333,-0.7245936,100,1786155,1.5,0.0019049992961160257
19,-2.4775946,-1.2603047715289555,0.14999999,0.1,-1.1389506342491518,0.14801739,467,1900,0.12671484,-7.540382023238423,0.5740269,-0.21637398538841932,992.3510526315789,-0.7171486,100,1885467,1.5,0.0019207511501470496
