Iteration,ReturnMean,MinEpLen,VarJ,BatchSize,StepSize,MountainCar_mu0_higher,NumTrajectories,AvgRet,MountainCar_mu1_higher,ActionIn1,NatGrad2Norm,MountainCar_std0_higher,TimestepsSoFar,AvgEpLen,NatGradInftyNorm,ReturnMax,MountainCar_std1_higher,J
1,-1.3810896576193576,803,0.001792268049773481,100,1.0,-0.79315424,100,-11.012050541595217,0.60902077,-1.5687647,0.09162099,0.14999999,99597,995.97,0.091190845,-0.6130144525885233,1.5,-1.3810896576193576
2,-1.2466971795700266,704,0.00143982399703909,100,1.0,-0.7019634,200,-7.3254873905546285,0.6178884,-1.0026989,0.24944341,0.14999999,199066,995.33,0.23963422,-0.42479350561718376,1.5,-1.112304701520696
3,-1.1284622496925574,627,0.0012561951782662367,100,1.0,-0.6326997,300,-4.963546989303271,0.37825418,-0.26516107,0.092122205,0.14999999,298490,994.9666666666667,0.078768484,-0.19438808169405497,1.5,-0.891992389937619
4,-1.0493368337581301,627,0.0011363928022918798,100,1.0,-0.58492917,400,-6.238973601223085,0.45702267,1.5205326,0.06826563,0.14999999,398059,995.1475,0.055063937,-0.19438808169405497,1.5,-0.8119605859548489
5,-0.9782637231216431,627,0.0010784435211030128,100,1.0,-0.5298652,500,-4.005138867043048,0.4166722,-2.2345233,0.21104243,0.14999999,497500,995.0,0.20346272,-0.10904106531962637,1.5,-0.6939712805756941
6,-0.9053564933797863,627,0.0010801977639532737,100,1.0,-0.47381318,600,1.4234978823778364,0.62013495,1.6706989,0.19062638,0.14999999,596261,993.7683333333333,0.18491754,-0.05086915433496187,1.5,-0.5408203446705022
7,-0.8407674680091026,627,0.0008328669732461019,100,1.0,-0.42751068,700,0.39374666146758835,0.4352174,2.2857015,0.05295741,0.14999999,695392,993.4171428571428,0.039812353,-0.0021106254368890897,1.5,-0.4532333157850011
8,-0.7875749310051954,627,0.000690707857545283,100,1.0,-0.38769832,800,-3.2063366703912717,0.47013825,0.015457377,0.04653344,0.14999999,795230,994.0375,0.042355735,-0.0021106254368890897,1.5,-0.4152271719778453
9,-0.7316559362862322,627,0.000392252976673095,100,1.0,-0.34534258,900,-0.8876031264785493,0.48940876,0.92373556,0.02787933,0.14999999,894616,994.0177777777777,0.020449987,-0.0021106254368890897,1.5,-0.28430397853452505
10,-0.6920000090079823,627,0.00047185159082596613,100,1.0,-0.32639384,1000,-2.3891552588439744,0.46895877,-0.10057339,0.046732645,0.14999999,994390,994.39,0.038622513,-0.00032318519559782806,1.5,-0.335096663503734
