MinEpLen,VarJ,NatGradInftyNorm,MountainCar_mu0_higher,AvgRet,NumTrajectories,ReturnMax,ReturnMean,Iteration,AvgEpLen,StepSize,J,ActionIn1,MountainCar_std1_higher,MountainCar_mu1_higher,MountainCar_std0_higher,TimestepsSoFar,BatchSize,NatGrad2Norm
999,9.044112149623775e-05,0.012692106,0.05171383,-0.6417014323948209,100,-6.94081277032086e-06,-0.06351052579224079,1,999.0,1.0,-0.06351052579224079,-0.32980525,1.5,-0.99866194,0.14999999,99900,100,0.013257336
999,0.00024275465681339623,0.027737653,0.04788403,-1.0004753037325202,200,-6.633799200625297e-06,-0.08098967091320486,2,999.0,1.0,-0.09846881603416893,-3.914177,1.5,-0.98596984,0.14999999,199800,100,0.033480365
999,4.8157774285558195e-05,0.0025128105,0.029134164,-0.5512776440518453,300,-6.633799200625297e-06,-0.07224110489774345,3,999.0,1.0,-0.05474397286682064,-0.2866317,1.5,-1.0137075,0.14999999,299700,100,0.0025295212
999,0.00013839631210424378,0.011788832,0.028843885,-0.8369302202774054,400,-6.633799200625297e-06,-0.07493634807409415,4,999.0,1.0,-0.08302207760314624,-0.4311573,1.5,-1.0111947,0.14999999,399600,100,0.014207127
999,8.48619369404989e-05,0.007288658,0.020915084,-0.6387233859096544,500,-6.633799200625297e-06,-0.0726633863590639,5,999.0,1.0,-0.06357153949894298,-2.4923472,1.5,-0.99940586,0.14999999,499500,100,0.0076338467
999,8.326375669035407e-05,0.0030064753,0.0136264255,-0.7642306361743486,600,-1.2328687268813024e-06,-0.07314533607715862,6,999.0,1.0,-0.07555508466763211,0.6393505,1.5,-1.0016755,0.14999999,599400,100,0.003863412
999,7.203018159266828e-05,0.008954206,0.011200099,-0.7177069674490936,700,-1.2328687268813024e-06,-0.07292403233565736,7,999.0,1.0,-0.07159620988664996,-0.2947509,1.5,-0.998669,0.14999999,699300,100,0.009213792
999,7.99815412992603e-05,0.030089995,0.009028427,-0.5903763535211567,800,-1.2328687268813024e-06,-0.07113863036984336,8,999.0,1.0,-0.05864081660914526,-2.5067534,1.5,-0.9897148,0.14999999,799200,100,0.030225672
999,3.6086239909120944e-05,0.0059805918,0.006167751,-0.470303588437076,900,-1.2328687268813024e-06,-0.06850119812344178,9,999.0,1.0,-0.04740174015222919,-0.76344436,1.5,-1.0198048,0.14999999,899100,100,0.0064010276
999,0.00012085886128475426,0.0047749495,0.008449346,-0.7722822285974,1000,-1.2328687268813024e-06,-0.06930063522788595,10,999.0,1.0,-0.0764955691678834,-2.3826237,1.5,-1.0138242,0.14999999,999000,100,0.006394609
999,7.095850696743363e-05,0.0130597195,0.0036743963,-0.6439367539294287,1100,-1.2328687268813024e-06,-0.06881853669213238,11,999.0,1.0,-0.06399755133459663,-0.18881428,1.5,-1.0180776,0.14999999,1098900,100,0.01520583
999,8.873783288495526e-05,0.0020197316,-0.004114121,-0.5813499043081979,1200,-1.2328687268813024e-06,-0.06793505930282702,12,999.0,1.0,-0.058216808020468115,-1.1722733,1.5,-1.0311373,0.14999999,1198800,100,0.0020987524
999,6.260089464028593e-05,0.033247247,-0.003543642,-0.6505668510397592,1300,-1.2328687268813024e-06,-0.06767961642389947,13,999.0,1.0,-0.06461430187676888,-2.6201873,1.5,-1.0291176,0.14999999,1298700,100,0.033710655
892,6.326499431359443e-05,0.016688889,-0.009114003,0.3841188008888307,1400,-1.2328687268813024e-06,-0.0671712433390973,14,998.9235714285714,1.0,-0.060562393236669065,-2.992597,1.5,-1.0623648,0.14999999,1398493,100,0.01680331
892,9.734716439781177e-05,0.008478388,-0.007156399,-0.7003726825623388,1500,-1.2328687268813024e-06,-0.06734437272113035,15,998.9286666666667,1.0,-0.06976818406959315,-5.2628293,1.5,-1.0790538,0.14999999,1498393,100,0.00905995
892,4.16702971130755e-05,0.031455394,-0.015634786,-0.46440064256311403,1600,-1.2328687268813024e-06,-0.06601270816037441,16,998.933125,1.0,-0.04603773974903524,-1.4664971,1.5,-1.07586,0.14999999,1598293,100,0.031457443
892,8.225048862991739e-05,0.008548508,-0.015275695,-0.6689289072633423,1700,-1.2328687268813024e-06,-0.0660355965251507,17,998.9370588235294,1.0,-0.06640181036157149,0.52988666,1.5,-1.1073154,0.14999999,1698193,100,0.009560238
771,7.600794921274885e-05,0.010159447,-0.019556016,0.3052071644705158,1800,-1.2328687268813024e-06,-0.06618566729916467,18,998.8138888888889,1.0,-0.06873687045740194,-1.2045023,1.5,-1.0987669,0.14999999,1797865,100,0.011330371
771,9.189047841245335e-05,0.01805001,-0.014539748,-0.6708767362744966,1900,-1.2328687268813024e-06,-0.06623319069224669,19,998.8236842105263,1.0,-0.06708861176772304,-0.6224433,1.5,-1.1089264,0.14999999,1897765,100,0.018427012
771,4.090870192445688e-05,0.0015361466,-0.018248113,-0.5335711016453706,2000,-1.2328687268813024e-06,-0.06560181404748815,20,998.8325,1.0,-0.053605657797076,1.6803852,1.5,-1.1269764,0.14999999,1997665,100,0.0018672161
771,8.316214870061423e-05,0.007936433,-0.016711967,-0.6931455041083684,2100,-1.2328687268813024e-06,-0.06578491893225569,21,998.8404761904762,1.0,-0.06944701662760651,-4.171994,1.5,-1.1259149,0.14999999,2097565,100,0.007957686
771,7.520478029566983e-05,0.0016543603,-0.008775534,-0.6147433941237884,2200,-1.2328687268813024e-06,-0.06557919214233532,22,998.8477272727273,1.0,-0.06125892955400756,-0.18165278,1.5,-1.1253337,0.14999999,2197465,100,0.0018829522
771,6.481265601801234e-05,0.0060984767,-0.007876311,-0.6599080282414802,2300,-1.2328687268813024e-06,-0.06559371768595434,23,998.854347826087,1.0,-0.06591327964557285,1.7058861,1.5,-1.1236793,0.14999999,2297365,100,0.0064230133
771,9.610672202518196e-05,0.022556715,-0.0058604525,-0.5937701783652899,2400,-1.2328687268813024e-06,-0.06533138065419992,24,998.8604166666667,1.0,-0.05929762892384851,0.022412747,1.5,-1.1175808,0.14999999,2397265,100,0.022566125
771,7.131760381870121e-05,0.009362018,-0.006512043,-0.6128815212587767,2500,-3.1735030942961456e-07,-0.06515692891626387,25,998.866,1.0,-0.06097008720579841,-1.3143752,1.5,-1.1401374,0.14999999,2497165,100,0.009981449
771,4.164301481866305e-05,0.012792925,-0.009973537,-0.5640469333955316,2600,-3.1735030942961456e-07,-0.06480327162813712,26,998.8711538461539,1.0,-0.05596183942496809,-1.7251363,1.5,-1.1494994,0.14999999,2597065,100,0.012883125
771,4.5349660961019825e-05,0.022581518,-0.008451711,-0.566864232449214,2700,-3.1735030942961456e-07,-0.06447344149286648,27,998.8759259259259,1.0,-0.05589785797583003,-0.89990044,1.5,-1.1622924,0.14999999,2696965,100,0.022616567
771,5.315448490836562e-05,0.0062216115,-0.0071930923,-0.5632553580537273,2800,-3.1735030942961456e-07,-0.06417292449856656,28,998.8803571428572,1.0,-0.05605896565246889,0.4766749,1.5,-1.1397109,0.14999999,2796865,100,0.0062933154
771,7.630822059157693e-05,0.056634497,-0.0062457984,-0.6288352639335009,2900,-3.1735030942961456e-07,-0.06408961034568676,29,998.8844827586207,1.0,-0.06175681406505231,-1.128707,1.5,-1.1334893,0.14999999,2896765,100,0.056685086
771,6.156586381985795e-05,0.018109206,-0.008640107,0.4169182398130465,3000,-3.1735030942961456e-07,-0.06384397077292761,30,998.8286666666667,1.0,-0.05672042316291235,-0.392201,1.5,-1.1901238,0.14999999,2996486,100,0.01871115
771,6.264243708020711e-05,0.009264729,-0.013347942,-0.5863236812739665,3100,-3.1735030942961456e-07,-0.0636701875802045,31,998.8341935483871,1.0,-0.05845669179851143,-3.1656475,1.5,-1.208233,0.14999999,3096386,100,0.009297263
771,0.00010063628906448576,0.0120185185,-0.012570831,-0.6971384368181945,3200,-3.1735030942961456e-07,-0.06384199426610607,32,998.839375,1.0,-0.06916800152905442,-1.8692939,1.5,-1.2174977,0.14999999,3196286,100,0.01457058
771,6.176449240999169e-05,0.0039023994,-0.020808367,-0.6419238040540352,3300,-3.1735030942961456e-07,-0.06384958191419066,33,998.8442424242425,1.0,-0.06409238665289782,0.8348739,1.5,-1.2295163,0.14999999,3296186,100,0.0050037946
771,8.517664589475496e-05,0.006530687,-0.016905967,-0.5688819666401631,3400,-3.1735030942961456e-07,-0.06363961117061144,34,998.8488235294118,1.0,-0.05671057663249697,1.1893744,1.5,-1.2263843,0.14999999,3396086,100,0.0065311897
771,0.00015264251821863256,0.0043277023,-0.023436654,-0.6649567904947128,3500,-3.1735030942961456e-07,-0.06371229226478153,35,998.8531428571429,1.0,-0.06618344946656463,-3.4269578,1.5,-1.2263032,0.14999999,3495986,100,0.006031551
771,5.0131877377372115e-05,0.02224756,-0.027637916,-0.5117014920861684,3600,-3.1735030942961456e-07,-0.0633516974049436,36,998.8572222222223,1.0,-0.05073087731061588,0.020382956,1.5,-1.2306309,0.14999999,3595886,100,0.022307754
