MinEpLen,TimestepsSoFar,MountainCar_mu0_higher,NumTrajectories,MountainCar_mu1_higher,VarJ,AvgEpLen,ReturnMean,J,NatGrad2Norm,ReturnMax,MountainCar_std1_higher,StepSize,MountainCar_std0_higher,BatchSize,AvgRet,Iteration,NatGradInftyNorm,ActionIn1
437,95826,-0.79315424,100,0.60902077,15.030190275312101,958.26,4.136592925687536,4.136592925687536,72.78807,95.01517001352047,3.0,0.01,0.14999999,100,4.136592925687536,1,72.78722,-3.043477
333,187683,-0.7896296,200,1.3368928,20.549458899650723,938.415,8.429362801046233,12.722132676404927,84.279625,95.01517001352047,3.0,0.01,0.14999999,100,12.722132676404927,2,84.27633,-1.3106834
255,280575,-0.7821738,300,2.179656,16.73702726817119,935.25,8.090733173747655,7.413473919150498,73.64638,95.01517001352047,3.0,0.01,0.14999999,100,7.413473919150498,3,73.64632,1.2503381
255,367571,-0.7831361,400,2.916119,23.66807669962504,918.9275,11.366216883131539,21.192668011283203,95.252815,95.36703245625887,3.0,0.01,0.14999999,100,21.192668011283203,4,95.2523,5.1727543
255,449958,-0.78626907,500,3.868642,27.60615089118655,899.916,15.978165163821409,34.42595828658087,98.66688,96.39423565831892,3.0,0.01,0.14999999,100,34.42595828658087,5,98.65511,-1.0302317
186,521454,-0.77102995,600,4.855193,25.12102574896123,869.09,21.91976106991227,51.62774060036658,141.80888,96.44660706754453,3.0,0.01,0.14999999,100,51.62774060036658,6,141.80835,7.1656756
180,586277,-0.7749171,700,6.2732763,17.25883097891948,837.5385714285715,28.717537604746187,69.50419681374969,79.80924,96.44660706754453,3.0,0.01,0.14999999,100,69.50419681374969,7,79.806595,10.224983
180,647264,-0.7684222,800,7.0713425,14.463483534450228,809.08,34.353601304546366,73.8060472031477,49.821842,96.44660706754453,3.0,0.01,0.14999999,100,73.8060472031477,8,49.81465,6.00315
180,702292,-0.77688575,900,7.569489,9.718940114016862,780.3244444444445,39.53700792106607,81.00426085322366,43.741978,96.60740971344721,3.0,0.01,0.14999999,100,81.00426085322366,9,43.691723,8.289196
180,756122,-0.75592434,1000,8.006406,8.058465357639488,756.122,43.83739982985811,82.54092700898639,42.69737,96.72990434571636,3.0,0.01,0.14999999,100,82.54092700898639,10,42.658897,6.500687
