MinEpLen,MountainCar_mu0_higher,MountainCar_std1_higher,Iteration,StepSize,AvgRet,J,NumTrajectories,TimestepsSoFar,AvgEpLen,NatGrad2Norm,ActionIn1,MountainCar_mu1_higher,BatchSize,MountainCar_std0_higher,ReturnMax,VarJ,NatGradInftyNorm,ReturnMean
446,-0.4416444,3.0,1,2.0,3.3445961042274117,3.3445961042274117,100,98088,980.88,47.275517,8.738399,-0.8971903,100,0.14999999,98.16498803872072,7.636932069388685,47.26557,3.3445961042274117
86,1.4978236,3.0,2,2.0,24.584829441739984,24.584829441739984,200,107130,535.65,23.561214,96.04381,93.63395,100,0.14999999,98.16498803872072,3.1662948892507403,23.550304,13.964712772983695
80,0.06397295,3.0,3,2.0,78.71807201690797,78.71807201690797,300,119439,398.13,5.07546,46.336845,46.53334,100,0.14999999,98.16498803872072,1.0712568841422723,4.9553356,35.549165854291786
80,-2.1314263,3.0,4,2.0,66.58737220379123,66.58737220379123,400,131873,329.6825,14.397286,40.37352,36.62267,100,0.14999999,98.16498803872072,1.1877227491141804,14.29292,43.30871744166665
80,1.3293743,3.0,5,2.0,60.572656748529454,60.572656748529454,500,141222,282.444,41.282696,61.920425,65.20851,100,0.14999999,98.16498803872072,0.872983452604874,41.26466,46.7615053030392
80,-1.1110837,3.0,6,2.0,-21.82415209942492,-21.82415209942492,600,241122,401.87,6.147963,-20.058092,-17.320808,100,0.14999999,98.16498803872072,0.257067649752395,6.1431513,35.330562402628516
80,-0.62470865,3.0,7,2.0,-8.850936507984779,-8.850936507984779,700,341022,487.1742857142857,6.537197,-6.106407,-5.034506,100,0.14999999,98.16498803872072,0.16736166968977545,6.4990487,29.01891970111234
80,0.7856982,3.0,8,2.0,-38.91204019009765,-38.91204019009765,800,440192,550.24,4.2430654,10.4124365,7.9635916,100,0.14999999,98.16498803872072,4.958965641499501,3.008036,20.52754971471109
80,-5.2303734,3.0,9,2.0,-180.2356758253253,-180.2356758253253,900,495518,550.5755555555555,18.257977,10.446732,13.948681,100,0.14999999,98.16498803872072,54.96156389020133,17.919193,-1.77947534529295
80,1.7714033,3.0,10,2.0,57.69555788073378,57.69555788073378,1000,508562,508.562,22.675728,50.189484,49.787067,100,0.14999999,98.16498803872072,2.749807682121978,22.61624,4.168027977309721
80,-1.5114813,3.0,11,2.0,-44.45952527118054,-44.45952527118054,1100,519254,472.0490909090909,23.080984,95.511475,95.01955,100,0.14999999,98.16498803872072,3.5210069734383524,23.080452,-0.2526586816439356
80,-1.1982557,3.0,12,2.0,60.519894113048146,60.519894113048146,1200,531829,443.19083333333333,8.581696,46.945324,48.858643,100,0.14999999,98.16498803872072,0.8307167809214628,8.581236,4.811720717913738
80,-1.375857,3.0,13,2.0,78.5476884372566,78.5476884372566,1300,546967,420.74384615384616,2.4253514,28.513842,31.69617,100,0.14999999,98.16498803872072,0.514578385637148,2.4240406,10.483718234786263
80,3.4722242,3.0,14,2.0,-846.2874241848556,-846.2874241848556,1400,646867,462.04785714285714,239.21883,33.70844,31.855625,100,0.14999999,98.16498803872072,180.33366873943035,239.19055,-50.71422050947389
80,10.827197,3.0,15,2.0,-8964.416900438217,-8964.416900438217,1500,746767,497.8446666666667,6187.8677,-437.56708,-446.52548,100,0.14999999,98.16498803872072,1269.0142004799295,6183.8184,-644.9610658380567
80,-436.809,3.0,16,2.0,-2759230.6984810187,-2759230.6984810187,1600,779943,487.464375,646023.06,11484.03,11921.111,100,0.14999999,98.16498803872072,623288620.759411,644547.56,-173056.5696542868
80,86838.266,3.0,17,2.0,-552779654569.36,-552779654569.36,1700,879843,517.5547058823529,103402230000.0,1387852.8,1301016.2,100,0.14999999,98.16498803872072,6.965374832474509e+19,102536350000.0,-32516613145.557316
80,26707320000.0,3.0,18,2.0,-5.01936567041788e+22,-5.01936567041788e+22,1800,979743,544.3016666666666,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.01541972679369e+41,,-2.788536483596198e+21
80,26707320000.0,3.0,19,2.0,-4.947036920870434e+22,-4.947036920870434e+22,1900,1079643,568.2331578947368,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.4563877492821505e+41,,-5.245475048075576e+21
80,26707320000.0,3.0,20,2.0,-5.026720381316441e+22,-5.026720381316441e+22,2000,1179543,589.7715,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.1119506443717344e+41,,-7.496561486330018e+21
80,26707320000.0,3.0,21,2.0,-4.7931322895433694e+22,-4.7931322895433694e+22,2100,1279443,609.2585714285714,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.074943699554564e+41,,-9.422026315334955e+21
80,26707320000.0,3.0,22,2.0,-5.000237398722765e+22,-5.000237398722765e+22,2200,1379343,626.9740909090909,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.306280566074924e+41,,-1.1266587573148258e+22
80,26707320000.0,3.0,23,2.0,-4.960945733309248e+22,-4.960945733309248e+22,2300,1479243,643.1491304347826,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.133639411257034e+41,,-1.2933668867058874e+22
80,26707320000.0,3.0,24,2.0,-4.848406935508696e+22,-4.848406935508696e+22,2400,1579143,657.97625,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,3.4290498619819483e+41,,-1.4414935554060047e+22
80,26707320000.0,3.0,25,2.0,-5.1056416473236336e+22,-5.1056416473236336e+22,2500,1679043,671.6172,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.2882994363903505e+41,,-1.5880594790827099e+22
80,26707320000.0,3.0,26,2.0,-4.899286146770047e+22,-4.899286146770047e+22,2600,1778943,684.2088461538461,,231781300000.0,205073990000.0,100,0.14999999,98.16498803872072,4.190609345346135e+41,,-1.715414350916838e+22
