ReturnMean,AvgRet,ReturnMax,ActionIn1,StepSize,MountainCar_std1_higher,MountainCar_std0_higher,NumTrajectories,J,NatGradInftyNorm,TimestepsSoFar,MountainCar_mu1_higher,MountainCar_mu0_higher,VarJ,AvgEpLen,BatchSize,MinEpLen,NatGrad2Norm,Iteration
4.136592925687536,4.136592925687536,95.01517001352047,-3.043477,3.0,3.0,0.14999999,100,4.136592925687536,72.78722,95826,0.60902077,-0.79315424,15.030190275312101,958.26,100,437,72.78807,1
-207.44710050095244,-419.0307939275924,95.01517001352047,217.37697,3.0,3.0,0.14999999,200,-419.0307939275924,162.1945,104834,218.97067,0.26425087,273.8116960747612,524.17,100,78,162.37721,2
-12970.128985591566,-38495.49275577279,95.01517001352047,-244.39311,3.0,3.0,0.14999999,300,-38495.49275577279,4551.062,204734,-267.61282,23.366854,232302.06923843996,682.4466666666667,100,78,4557.5435,3
-1256486.0133158984,-4987033.666306819,95.01517001352047,12683.0625,3.0,3.0,0.14999999,400,-4987033.666306819,70459.81,241491,13385.572,-705.54956,3517167558.806308,603.7275,100,78,79028.39,4
-590305447843.6882,-2951522213274.388,95.01517001352047,331424.4,3.0,3.0,0.14999999,500,-2951522213274.388,1179658100000.0,341391,120754.62,210673.89,1.269939260773281e+21,682.782,100,78,1180214000000.0,5
-9.642591112015573e+22,-5.785554667179829e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,600,-5.785554667179829e+23,,402030,3538974400000.0,108653535000.0,1.3546001048029673e+45,670.05,100,78,,6
-1.6269504843046865e+23,-5.603098722923462e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,700,-5.603098722923462e+23,,461814,3538974400000.0,108653535000.0,1.2927278621790779e+45,659.7342857142858,100,78,,7
-2.078603367774142e+23,-5.240173552060332e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,800,-5.240173552060332e+23,,516239,3538974400000.0,108653535000.0,1.3735716490709174e+45,645.29875,100,78,,8
-2.516297486968843e+23,-6.017850440526453e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,900,-6.017850440526453e+23,,580483,3538974400000.0,108653535000.0,1.3254526541454408e+45,644.9811111111111,100,78,,9
-2.8590748231594848e+23,-5.9440708488752626e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1000,-5.9440708488752626e+23,,642087,3538974400000.0,108653535000.0,1.4573725541930322e+45,642.087,100,78,,10
-3.1169955670308035e+23,-5.6962030057439845e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1100,-5.6962030057439845e+23,,701870,3538974400000.0,108653535000.0,1.3674681035810436e+45,638.0636363636364,100,78,,11
-3.372444284426656e+23,-6.182380175781028e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1200,-6.182380175781028e+23,,765236,3538974400000.0,108653535000.0,1.4330699208465843e+45,637.6966666666667,100,78,,12
-3.578875993840863e+23,-6.056056506811359e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1300,-6.056056506811359e+23,,828547,3538974400000.0,108653535000.0,1.3697923237220106e+45,637.3438461538461,100,78,,13
-3.7000169312648256e+23,-5.274849117776335e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1400,-5.274849117776335e+23,,882999,3538974400000.0,108653535000.0,1.41798118132719e+45,630.7135714285714,100,78,,14
-3.860720380227889e+23,-6.110568665710786e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1500,-6.110568665710786e+23,,946337,3538974400000.0,108653535000.0,1.4089894098282945e+45,630.8913333333334,100,78,,15
-4.0045454927708674e+23,-6.161922180915529e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1600,-6.161922180915529e+23,,1010581,3538974400000.0,108653535000.0,1.3741866385991248e+45,631.613125,100,78,,16
-4.120493727607321e+23,-5.9756654849906e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1700,-5.9756654849906e+23,,1073909,3538974400000.0,108653535000.0,1.3116841281777677e+45,631.7111764705883,100,78,,17
-4.2335795638412755e+23,-6.156038779818497e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1800,-6.156038779818497e+23,,1139075,3538974400000.0,108653535000.0,1.3667113665040319e+45,632.8194444444445,100,78,,18
-4.3118623374776705e+23,-5.720952262932767e+23,95.01517001352047,3647627900000.0,3.0,3.0,0.14999999,1900,-5.720952262932767e+23,,1198885,3538974400000.0,108653535000.0,1.38992553667279e+45,630.9921052631579,100,78,,19
