MountainCar_std1_higher,VarJ,NumTrajectories,Iteration,ReturnMean,MountainCar_mu0_higher,AvgRet,AvgEpLen,J,BatchSize,NatGradInftyNorm,MinEpLen,MountainCar_mu1_higher,MountainCar_std0_higher,TimestepsSoFar,NatGrad2Norm,StepSize,ActionIn1,ReturnMax
3.0,0.002042844215636583,100,1,-1.3587037524769885,-0.79315424,4.136592925687536,958.26,-1.3587037524769885,100,0.13912474,437,0.60902077,0.14999999,95826,0.16705361,0.0001,-3.043477,0.4386352838285089
3.0,0.0019474111996691048,200,2,-1.340374051432172,-0.793145,4.45852733427051,951.725,-1.322044350387355,100,0.37753946,405,0.60903466,0.14999999,190345,0.38502976,0.0001,-2.042057,0.4386352838285089
3.0,0.0024658217148554747,300,3,-1.3103124405572544,-0.79313743,-1.971758978438104,955.2166666666667,-1.2501892188074195,100,0.5834343,328,0.6089969,0.14999999,286565,0.58531326,0.0001,-0.33128476,1.2656472603515239
3.0,0.0023116023472232357,400,4,-1.3103503524524784,-0.7931327,2.5498062572523996,953.4975,-1.3104640881381509,100,0.13374123,328,0.6090553,0.14999999,381399,0.15304077,0.0001,2.8556938,1.2656472603515239
3.0,0.0033881806981247487,500,5,-1.3073490033097903,-0.7931253,0.5961177539010616,953.152,-1.2953436067390376,100,1.0557753,328,0.60906863,0.14999999,476576,1.0589103,0.0001,-4.2966614,2.3809958836759995
3.0,0.004032471168554565,600,6,-1.2866310588379668,-0.7931171,9.501443527419813,947.01,-1.1830413364788488,100,0.05350626,328,0.6091742,0.14999999,568206,0.054137334,0.0001,2.8975692,2.3809958836759995
3.0,0.0029666224943522145,700,7,-1.278476048101871,-0.79311174,4.116696958931337,947.0728571428572,-1.229545983685297,100,0.4719461,328,0.609175,0.14999999,662951,0.47484237,0.0001,4.5426874,2.3809958836759995
3.0,0.002144343286767525,800,8,-1.2835522925088254,-0.7931065,2.585443907606289,947.64625,-1.3190860033575047,100,0.26420856,328,0.60922223,0.14999999,758117,0.27547678,0.0001,-0.4836545,2.3809958836759995
3.0,0.002526067187974983,900,9,-1.272802601319363,-0.7930987,1.5707102032343478,948.2788888888889,-1.1868050718036656,100,0.25561407,327,0.60924864,0.14999999,853451,0.25614804,0.0001,1.3127427,2.3809958836759995
3.0,0.0025129476915824924,1000,10,-1.2791019107649415,-0.793097,1.1806975153591268,949.056,-1.335795695775148,100,0.25307247,327,0.6092742,0.14999999,949056,0.26881272,0.0001,-0.93361706,2.3809958836759995
3.0,0.002121907520525562,1100,11,-1.2796614233408465,-0.79308796,1.9904589094930336,949.7372727272727,-1.2852565490998977,100,0.42675322,327,0.60929954,0.14999999,1044711,0.43124726,0.0001,-4.000385,2.3809958836759995
3.0,0.002324259291137807,1200,12,-1.2865014401799162,-0.79308176,4.050156779245068,949.4308333333333,-1.3617416254096801,100,0.1130814,327,0.6093422,0.14999999,1139317,0.11648764,0.0001,-1.3559598,2.3809958836759995
3.0,0.024698397746643286,1300,13,-1.2746884038490938,-0.79307044,2.0741161206968197,949.5430769230769,-1.1329319678792291,100,1.704391,187,0.6093394,0.14999999,1234406,1.705562,0.0001,-2.8005788,13.73439723599963
3.0,0.0028718854675639817,1400,14,-1.2756599741030763,-0.7930641,4.599245620522916,949.9471428571428,-1.2882903874048457,100,0.065158114,187,0.6095098,0.14999999,1329926,0.06525597,0.0001,-2.4168496,13.73439723599963
3.0,0.002129901355566926,1500,15,-1.2780490536299904,-0.7930576,-0.39197856160964084,950.5673333333333,-1.3114961670067908,100,0.8475405,187,0.60950947,0.14999999,1425851,0.85102904,0.0001,-2.1128037,13.73439723599963
3.0,0.0034402151555473688,1600,16,-1.2768385606079484,-0.79304993,4.658914346591432,949.566875,-1.258681165277315,100,0.40143818,187,0.6095942,0.14999999,1519307,0.4083607,0.0001,-4.1718006,13.73439723599963
3.0,0.00363813002661719,1700,17,-1.2717861734750595,-0.7930424,5.375589463442711,948.9770588235294,-1.1909479793488378,100,0.5382076,187,0.6096344,0.14999999,1613261,0.54014254,0.0001,-4.5099216,13.73439723599963
3.0,0.003520342287599822,1800,18,-1.2704879106271738,-0.79303783,2.8028868163763008,948.6866666666666,-1.2484174422131173,100,0.49197823,187,0.6096882,0.14999999,1707636,0.49595386,0.0001,-2.7895555,13.73439723599963
3.0,0.0028285840890317332,1900,19,-1.2673464947801725,-0.7930316,5.228119770624613,947.7036842105263,-1.2108010095341477,100,0.17059752,187,0.6097374,0.14999999,1800637,0.17815311,0.0001,2.4419508,13.73439723599963
3.0,0.0023629536164696137,2000,20,-1.2701893468075323,-0.79302645,3.3944317845414127,947.416,-1.3242035353273718,100,0.26840055,187,0.60975444,0.14999999,1894832,0.28307462,0.0001,-0.9759083,13.73439723599963
3.0,0.006914062440955928,2100,21,-1.266564305381325,-0.79301745,1.1885006551780881,947.7690476190476,-1.1940634768571754,100,0.9207572,187,0.60978127,0.14999999,1990315,0.92149293,0.0001,1.2122977,13.73439723599963
3.0,0.0020623182827581078,2200,22,-1.2695277854248124,-0.79301375,-6.381852305910719,949.1540909090909,-1.331760866338051,100,0.6965942,187,0.60987335,0.14999999,2088139,0.70098495,0.0001,-0.4892097,13.73439723599963
3.0,0.006104525654216469,2300,23,-1.2655951963475411,-0.79300594,8.019121512078286,947.7386956521739,-1.1790782366475716,100,0.69771147,187,0.60994303,0.14999999,2179799,0.70264053,0.0001,6.890892,13.73439723599963
3.0,0.002389100351497743,2400,24,-1.263410432676819,-0.79299766,2.3520430735155937,947.3979166666667,-1.2131608682502053,100,0.2855094,187,0.6100128,0.14999999,2273755,0.28954455,0.0001,-0.5463312,13.73439723599963
3.0,0.0016731691142406618,2500,25,-1.2647648965370766,-0.79299283,-4.164279075691485,948.4032,-1.2972720291832633,100,0.8609959,187,0.6100414,0.14999999,2371008,0.8627694,0.0001,2.7655332,13.73439723599963
3.0,0.00361320830710397,2600,26,-1.264570128198428,-0.7929873,6.762463466546587,948.1376923076923,-1.2597009197322164,100,0.12489297,187,0.6101275,0.14999999,2465158,0.14654896,0.0001,-3.3508265,13.73439723599963
3.0,0.002237923672585453,2700,27,-1.2645142874887267,-0.7929796,0.06525772320786677,948.7107407407408,-1.2630624290364942,100,0.24047701,187,0.610115,0.14999999,2561519,0.24674158,0.0001,-1.440609,13.73439723599963
