Iteration,NatGrad2Norm,TimestepsSoFar,NumTrajectories,VarJ,AvgEpLen,MountainCar_mu0_higher,ReturnMax,StepSize,ReturnMean,MountainCar_mu1_higher,MinEpLen,MountainCar_std1_higher,NatGradInftyNorm,AvgRet,J,MountainCar_std0_higher,BatchSize,ActionIn1
1,0.98536676,94298,100,0.007811347884230451,942.98,-0.820599,4.8516151427357075,0.01,-1.181922179695255,0.57150435,250,3.0,0.98531497,-0.2350053328078783,-1.181922179695255,0.14999999,100,-1.4356786
2,0.035807863,188689,200,0.0027113664733319203,943.445,-0.820498,4.8516151427357075,0.01,-1.2379409184321362,0.5813575,250,3.0,0.035200987,4.724101796081065,-1.293959657169017,0.14999999,100,-1.8059993
3,0.1980365,284949,300,0.0013370330430713168,949.83,-0.82014596,4.8516151427357075,0.01,-1.2747851275002202,0.5814231,250,3.0,0.19615906,4.200451174104808,-1.3484735456363888,0.14999999,100,1.270432
4,0.38075858,379723,400,0.0029839614375045927,949.3075,-0.8198739,4.8516151427357075,0.01,-1.2771068425755105,0.5794615,250,3.0,0.37883532,3.6316317278343693,-1.2840719878013822,0.14999999,100,3.1837752
5,0.24942903,475941,500,0.0020963135071105053,951.882,-0.8194917,4.8516151427357075,0.01,-1.291727977164216,0.58324987,250,3.0,0.24299625,-0.692017328307354,-1.3502125155190372,0.14999999,100,-0.17168164
6,0.1442411,572331,600,0.0017393478582604827,953.885,-0.81892884,4.8516151427357075,0.01,-1.310172981500095,0.5856798,250,3.0,0.12570177,-2.1645794065497013,-1.4023980031794898,0.14999999,100,-1.680768
7,0.16852294,663478,700,0.004129912467991848,947.8257142857143,-0.8182214,4.8516151427357075,0.01,-1.3098211605567687,0.58693683,250,3.0,0.14796975,13.041847656293001,-1.30771023489681,0.14999999,100,-2.4843872
8,0.26720536,757236,800,0.0024473369848176767,946.545,-0.8174149,4.8516151427357075,0.01,-1.3151226704383032,0.58545715,250,3.0,0.2556399,8.042127677448098,-1.3522332396090457,0.14999999,100,-1.9510987
9,0.44198853,852566,900,0.0031544814356940626,947.2955555555556,-0.8166373,4.8516151427357075,0.01,-1.3190839394624,0.58290076,250,3.0,0.43649322,2.0338078732688336,-1.3507740916551767,0.14999999,100,-1.8125198
10,1.0770468,950246,1000,0.0017771042428781842,950.246,-0.81594247,4.8516151427357075,0.01,-1.3177630078399598,0.5872657,250,3.0,1.0766679,-2.2703262013842997,-1.3058746232379943,0.14999999,100,3.262177
11,1.3444498,1046203,1100,0.0015923464558104236,951.0936363636364,-0.81565684,4.8516151427357075,0.01,-1.3266489650882862,0.59803236,250,3.0,1.3420628,0.7783969989484802,-1.4155085375715495,0.14999999,100,-1.9442034
12,0.8737558,1142297,1200,0.002032039994649917,951.9141666666667,-0.81485605,4.8516151427357075,0.01,-1.333440138471481,0.611453,250,3.0,0.869654,1.7239311414530776,-1.4081430456866268,0.14999999,100,-6.7038565
13,0.5165725,1236151,1300,0.0021486147483908966,950.8853846153846,-0.8140104,4.8516151427357075,0.01,-1.3340567338750533,0.62014955,250,3.0,0.51300055,8.242398601766553,-1.3414558787179218,0.14999999,100,-2.441095
14,0.6278198,1329753,1400,0.0018821566439369535,949.8235714285714,-0.81340396,4.8516151427357075,0.01,-1.3294858653691164,0.61501956,250,3.0,0.62741137,10.804984500005258,-1.2700645747919352,0.14999999,100,3.9577007
15,0.80194014,1427388,1500,0.0021741423163300065,951.592,-0.8131775,4.8516151427357075,0.01,-1.3279687051396865,0.60874546,250,3.0,0.8007914,-2.2507413934360367,-1.3067284619276665,0.14999999,100,-0.4000769
16,0.20125808,1520779,1600,0.0020813962091148254,950.486875,-0.81274843,4.8516151427357075,0.01,-1.325529668618894,0.61675334,250,3.0,0.19563122,6.718418950588772,-1.2889441208070034,0.14999999,100,-2.5082777
17,0.5158601,1613963,1700,0.007036136920083257,949.39,-0.8122759,5.104418157677209,0.01,-1.32496277520619,0.6187096,250,3.0,0.5071515,4.90841798345762,-1.3158924806029333,0.14999999,100,1.457258
18,0.5073956,1708650,1800,0.002698729485115534,949.25,-0.811332,5.104418157677209,0.01,-1.3264107878140952,0.62378114,250,3.0,0.50088745,5.093803882525815,-1.3510270021484794,0.14999999,100,0.9091811
19,0.14545898,1803603,1900,0.002179746414984097,949.2647368421052,-0.8105219,5.104418157677209,0.01,-1.3281995592102096,0.62879,250,3.0,0.122567154,2.3299662773453163,-1.3603974443402689,0.14999999,100,-4.74876
20,0.59394705,1900473,2000,0.0015536377538100626,950.2365,-0.8097386,5.104418157677209,0.01,-1.3282849326192139,0.6275644,250,3.0,0.5922785,-2.3969682805208192,-1.3299070273902924,0.14999999,100,-1.0367854
21,0.13446468,1995274,2100,0.0027159657248451074,950.1304761904762,-0.8092937,5.104418157677209,0.01,-1.3272601258700512,0.63348716,250,3.0,0.11720151,1.5839656949897625,-1.3067639908867985,0.14999999,100,-2.534757
22,0.69630533,2090227,2200,0.0021239342650079623,950.1031818181818,-0.8086346,5.104418157677209,0.01,-1.326399318443844,0.6346592,250,3.0,0.6943959,4.771990324315373,-1.3083223624934934,0.14999999,100,-3.2502959
23,0.12705812,2183917,2300,0.003029947297087704,949.5291304347826,-0.8081193,5.104418157677209,0.01,-1.3264911221359748,0.6416031,250,3.0,0.09198468,5.405491288707127,-1.328510803362854,0.14999999,100,-1.566672
24,0.49183765,2278161,2400,0.0024629254413494907,949.23375,-0.8071995,5.104418157677209,0.01,-1.322797492817653,0.6424796,250,3.0,0.49098682,4.151764522697067,-1.2378440184962474,0.14999999,100,2.9646606
25,0.8347312,2371949,2500,0.0036728412896672126,948.7796,-0.8069103,5.104418157677209,0.01,-1.3196457783210356,0.6473895,250,3.0,0.8335514,3.698700125800686,-1.2440046304022219,0.14999999,100,-0.73769665
26,0.28646144,2463869,2600,0.003073514342448247,947.641923076923,-0.80646664,5.104418157677209,0.01,-1.3165953376978798,0.655725,250,3.0,0.27988428,5.798096167913745,-1.2403343221189884,0.14999999,100,-4.493318
27,0.103897,2558741,2700,0.0024373911313528922,947.6818518518519,-0.8058563,5.104418157677209,0.01,-1.319101789408504,0.65852386,250,3.0,0.09949455,3.8845122888223536,-1.3842695338847286,0.14999999,100,3.284965
28,0.22859289,2653273,2800,0.0023830875514914054,947.5975,-0.80486137,5.104418157677209,0.01,-1.3157652263991917,0.65822464,250,3.0,0.22776984,4.258955125254166,-1.2256780251477608,0.14999999,100,-4.1661077
29,0.38997185,2749038,2900,0.0017835135583313252,947.9441379310344,-0.80466753,5.104418157677209,0.01,-1.3171271978995185,0.6605023,250,3.0,0.38442546,4.130962581264862,-1.3552623999086668,0.14999999,100,0.55256224
30,0.29610214,2845081,3000,0.0017029459235310526,948.3603333333333,-0.8040122,5.104418157677209,0.01,-1.3173778587268083,0.6643466,250,3.0,0.29175726,0.6923884828815287,-1.3246470227182152,0.14999999,100,3.2277222
31,0.07873337,2940226,3100,0.002060631416446064,948.46,-0.8035068,5.104418157677209,0.01,-1.3157477648413511,0.66726416,250,3.0,0.07030515,4.013637736717289,-1.2668449482776325,0.14999999,100,-0.5598964
32,0.55425304,3035628,3200,0.0016569100305453544,948.63375,-0.8031524,5.104418157677209,0.01,-1.314900861108633,0.6679672,250,3.0,0.5528095,2.9280578653601306,-1.2886468453943718,0.14999999,100,-0.8494165
33,0.18172167,3131052,3300,0.0021744875797756647,948.8036363636363,-0.8027526,5.104418157677209,0.01,-1.3154407627191997,0.6734953,250,3.0,0.16459402,3.3724680164734995,-1.3327176142573365,0.14999999,100,2.172368
34,1.1986957,3227702,3400,0.007362871804548408,949.3241176470589,-0.80198246,5.906956340981002,0.01,-1.3142003598651038,0.6751412,250,3.0,1.1965768,-1.6802522029638984,-1.2732670656799343,0.14999999,100,-2.9598322
35,0.15810505,3321851,3500,0.002086762693759102,949.1002857142857,-0.80127007,5.906956340981002,0.01,-1.3124860230409385,0.68710697,250,3.0,0.15341522,11.08627333891467,-1.2541985710193257,0.14999999,100,3.9428053
36,0.65315574,3416627,3600,0.0023492634554928755,949.0630555555556,-0.8008878,5.906956340981002,0.01,-1.3130406558184033,0.68864113,250,3.0,0.6476653,2.4603866404810026,-1.3324528030296703,0.14999999,100,3.7217941
37,0.14520946,3509729,3700,0.0033345389616021544,948.5754054054054,-0.8000427,5.906956340981002,0.01,-1.3102578455987295,0.6951178,250,3.0,0.13913105,7.068792051676769,-1.2100766776904686,0.14999999,100,1.7050655
38,0.6370409,3607011,3800,0.001966835076094688,949.2134210526316,-0.79962695,5.906956340981002,0.01,-1.3097972619048779,0.6937265,250,3.0,0.6352573,-0.31122439857252215,-1.2927556652323664,0.14999999,100,2.9819503
39,0.7729115,3700299,3900,0.004490034271311213,948.7946153846154,-0.7991506,5.906956340981002,0.01,-1.3062772654286519,0.700079,250,3.0,0.7722764,5.40201014447801,-1.1725173993320654,0.14999999,100,0.51460236
40,0.1411296,3793898,4000,0.003494713488720544,948.4745,-0.7988373,5.906956340981002,0.01,-1.3049491014493775,0.70780176,250,3.0,0.12761503,9.85545080832528,-1.2531507062576728,0.14999999,100,0.20203793
41,0.36532342,3888596,4100,0.0018995940366727815,948.4380487804879,-0.79823464,5.906956340981002,0.01,-1.303491959628685,0.7065256,250,3.0,0.3644414,6.229821167694491,-1.2452062868009894,0.14999999,100,-2.110121
42,0.10563111,3982656,4200,0.0024849764462384046,948.2514285714286,-0.79798096,5.906956340981002,0.01,-1.3040178915584684,0.71017003,250,3.0,0.08045955,4.608096768956465,-1.325581100679586,0.14999999,100,1.1306545
43,1.0014828,4076717,4300,0.003092037937029492,948.0737209302325,-0.79717636,5.906956340981002,0.01,-1.3038552709836317,0.7108545,250,3.0,0.9983276,2.669580484354478,-1.2970252068404917,0.14999999,100,0.21526736
44,0.09251488,4172505,4400,0.0018492451068864851,948.2965909090909,-0.796382,5.906956340981002,0.01,-1.3022773266738146,0.7208378,250,3.0,0.0879854,2.4114037045987398,-1.234425721351673,0.14999999,100,4.707264
45,1.429121,4267126,4500,0.003479512498962965,948.2502222222222,-0.7960961,5.906956340981002,0.01,-1.3011067931676656,0.7217176,250,3.0,1.4276901,3.8091127380626726,-1.2496033188971112,0.14999999,100,1.4691269
46,1.019517,4363687,4600,0.0034758781493274033,948.6276086956522,-0.7954567,5.906956340981002,0.01,-1.2998664052785138,0.7359945,250,3.0,1.0184855,-1.0594535919431403,-1.2440489502667014,0.14999999,100,-0.40039283
47,0.7574412,4456831,4700,0.002908135051315981,948.261914893617,-0.7949982,5.906956340981002,0.01,-1.298395987030934,0.7461794,250,3.0,0.7558484,10.096457216406996,-1.230756747642249,0.14999999,100,-4.590716
48,0.07946347,4551432,4800,0.0034783613343941588,948.215,-0.79450727,5.906956340981002,0.01,-1.2964342876808166,0.75373787,250,3.0,0.06328095,7.175051627005016,-1.2042344182253009,0.14999999,100,-1.0016814
49,0.74572563,4646561,4900,0.003395554633718024,948.2777551020408,-0.7940267,5.906956340981002,0.01,-1.2962140075559003,0.75310504,250,3.0,0.7415781,1.545557990897123,-1.28564056155992,0.14999999,100,2.4592383
50,0.2050362,4742250,5000,0.001514162588931332,948.45,-0.79324126,5.906956340981002,0.01,-1.2973799620691644,0.7605208,250,3.0,0.19050676,1.2114048751378124,-1.3545117332191006,0.14999999,100,-2.0014389
