BatchSize,MinEpLen,NatGradInftyNorm,TimestepsSoFar,MountainCar_std0_higher,NatGrad2Norm,ReturnMean,J,MountainCar_mu1_higher,AvgEpLen,MountainCar_std1_higher,NumTrajectories,VarJ,ActionIn1,AvgRet,ReturnMax,Iteration,StepSize,MountainCar_mu0_higher
100,666,0.030574452,99290,0.14999999,0.030851772,-0.06323083020014432,-0.06323083020014432,-0.99866194,992.9,3.0,100,9.765890675582226e-05,0.30288267,1.2787972622689239,0.09087264520012571,1,0.1,0.05171383
100,387,0.09525386,198360,0.14999999,0.09810964,-0.07243765892237224,-0.08164448764460015,-0.9956045,991.8,3.0,200,0.0006766006622839036,-6.9227347,1.8601503087121853,1.9435649079614046,2,0.1,0.0513011
100,387,0.04595788,297659,0.14999999,0.046019353,-0.06604705400191928,-0.05326584416101334,-0.98607916,992.1966666666667,3.0,300,8.919980882933131e-05,0.656886,1.3673140125455165,1.9435649079614046,3,0.1,0.0489512
100,387,0.14013606,396897,0.14999999,0.14049064,-0.06854551359379953,-0.07604089236944025,-0.98148334,992.2425,3.0,400,0.0003759998518346358,0.32367337,1.0490940514535423,1.9435649079614046,4,0.1,0.04871342
100,387,0.033183098,496118,0.14999999,0.034936097,-0.06851910030077162,-0.06841344712865995,-0.96746975,992.236,3.0,500,0.0001595394233977376,-4.1345625,1.202948228266904,1.9435649079614046,5,0.1,0.047715914
100,387,0.015071381,596018,0.14999999,0.017000478,-0.07173805552255695,-0.08783283163148367,-0.96415144,993.3633333333333,3.0,600,0.00011486181084693012,2.2093165,-0.9470956619760674,1.9435649079614046,6,0.1,0.04662315
100,387,0.02376246,695791,0.14999999,0.024845496,-0.07306009918848463,-0.08099236118405077,-0.9656586,993.9871428571429,3.0,700,9.602014159687259e-05,0.40538496,0.16594881981364867,1.9435649079614046,7,0.1,0.04583658
100,387,0.081223994,795006,0.14999999,0.08155836,-0.0724025174801009,-0.0677994455214148,-0.96328235,993.7575,3.0,800,0.00011129204005760974,-3.9691737,2.1634839258242313,1.9435649079614046,8,0.1,0.045111015
100,387,0.0064670825,894906,0.14999999,0.0065888027,-0.07011054271778631,-0.051774744619269494,-0.97140473,994.34,3.0,900,4.189215228482396e-05,-0.5273273,-0.539275347971198,1.9435649079614046,9,0.1,0.044373255
100,387,0.02097336,994660,0.14999999,0.023564974,-0.07206203509367083,-0.08962546647663158,-0.970758,994.66,3.0,1000,0.00016465116468800114,-3.4849212,1.000625509366441,1.9435649079614046,10,0.1,0.04424719
100,387,0.019073447,1094020,0.14999999,0.023494747,-0.07272215050477374,-0.07932330461580273,-0.9728553,994.5636363636364,3.0,1100,0.00012598958444878783,0.6337663,2.0169401456060068,1.9435649079614046,11,0.1,0.043172825
100,387,0.0049151,1193912,0.14999999,0.006360641,-0.07211742684459715,-0.06546546658265463,-0.9747627,994.9266666666666,3.0,1200,0.0001135751233790348,-1.2548525,0.30657489971681584,1.9435649079614046,12,0.1,0.04180094
100,387,0.033613466,1292729,0.14999999,0.036088895,-0.07201942393134891,-0.07084338897237005,-0.9751664,994.406923076923,3.0,1300,0.0001361667051013335,-4.1834264,3.144941422957479,1.9435649079614046,13,0.1,0.041309427
100,387,0.22563957,1390986,0.14999999,0.22571439,-0.06954078158437056,-0.03731843107365227,-0.9785277,993.5614285714286,3.0,1400,0.0005329678712059394,-4.718441,3.2009299321176683,1.9435649079614046,14,0.1,0.03999587
100,387,0.07150613,1489751,0.14999999,0.073187985,-0.07004939919322128,-0.07717004571713135,-0.9559638,993.1673333333333,3.0,1500,0.00023970049324836457,-9.149902,2.047340461485831,1.9435649079614046,15,0.1,0.039414756
100,387,0.01063423,1588321,0.14999999,0.012174267,-0.06888788276542387,-0.05146513634846258,-0.9488132,992.700625,3.0,1600,8.06723653028014e-05,-1.4403965,3.2815485920156195,1.9435649079614046,16,0.1,0.037854772
100,387,0.06731186,1687723,0.14999999,0.0682155,-0.06938336047330272,-0.07731100379936416,-0.9498766,992.7782352941176,3.0,1700,0.0001599457190632452,2.232346,0.10229491850581518,1.9435649079614046,17,0.1,0.0372621
100,387,0.1973011,1785761,0.14999999,0.19737636,-0.06816767531295823,-0.04750102758710198,-0.9431454,992.0894444444444,3.0,1800,0.0004535231437961431,-1.2166734,4.218024888320403,1.9435649079614046,18,0.1,0.03615545
100,387,0.052797776,1885661,0.14999999,0.05391049,-0.06857958865551134,-0.07599402882146711,-0.9234153,992.4531578947368,3.0,1900,0.00014875610272756625,-0.23739332,-0.7901338049265558,1.9435649079614046,19,0.1,0.035610452
100,387,0.032785796,1984908,0.14999999,0.033049908,-0.06801444667947444,-0.05727674913477394,-0.9286951,992.454,3.0,2000,5.710454817596804e-05,4.8089724,2.3633883196849057,1.9435649079614046,20,0.1,0.03452079
100,387,0.0089381505,2084508,0.14999999,0.008995122,-0.06800327019069133,-0.06777974041502864,-0.9254165,992.6228571428571,3.0,2100,8.547226878823106e-05,-6.778164,0.24708367943052964,1.9435649079614046,21,0.1,0.034103803
100,387,0.033104733,2183301,0.14999999,0.033472966,-0.06772731951323084,-0.061932355286560485,-0.92631036,992.4095454545454,3.0,2200,0.00010201381831528831,0.93692946,3.274069577559487,1.9435649079614046,22,0.1,0.03420488
100,387,0.003909024,2282842,0.14999999,0.0047123935,-0.06784503461709171,-0.07043476690203104,-0.92299986,992.54,3.0,2300,7.894243782151174e-05,4.998746,0.235293145216191,1.9435649079614046,23,0.1,0.033709742
100,387,0.036224715,2381689,0.14999999,0.03666183,-0.06763894063437105,-0.06289877903179579,-0.923263,992.3704166666666,3.0,2400,0.00012436290463845582,1.5706725,3.26112654121623,1.9435649079614046,24,0.1,0.03331884
100,387,0.04576189,2481589,0.14999999,0.046605114,-0.06784042204888972,-0.0726759759973379,-0.9268855,992.6356,3.0,2500,0.00010382437716839363,-1.3495532,-0.8052945213911574,1.9435649079614046,25,0.1,0.032754395
100,324,0.2959347,2580814,0.14999999,0.29593486,-0.0660771816964811,-0.021996172886265458,-0.9314617,992.6207692307693,3.0,2600,0.0014527197606841495,-2.052377,0.3063561661871519,3.678482503961081,26,0.1,0.031871866
100,324,0.3079273,2679180,0.14999999,0.3079322,-0.06489700618307577,-0.03421244283453743,-0.9018682,992.2888888888889,3.0,2700,0.00048270557771082785,-0.2989393,2.311834810873476,3.678482503961081,27,0.1,0.03190098
100,324,0.084757924,2778066,0.14999999,0.08493568,-0.06449939368021425,-0.05376385610295345,-0.8710755,992.1664285714286,3.0,2800,0.00014246139010911236,2.252928,2.275702002819601,3.678482503961081,28,0.1,0.031727523
100,324,0.2585953,2875673,0.14999999,0.25860584,-0.06313809516631685,-0.02502173677718949,-0.86259973,991.6113793103448,3.0,2900,0.0011432863086739376,-0.70923984,4.136557585924078,3.678482503961081,29,0.1,0.031178305
100,324,0.59268045,2973326,0.14999999,0.5927623,-0.060970152888751857,0.001900173160632893,-0.8367402,991.1086666666666,3.0,3000,0.0022784817231489003,0.9427933,4.192793210854588,3.678482503961081,30,0.1,0.03094455
100,324,0.06005805,3072284,0.14999999,0.060315814,-0.06062559724335664,-0.0502889278814998,-0.77747214,991.0593548387096,3.0,3100,0.00016409095833285674,-4.57469,1.334038715759327,3.678482503961081,31,0.1,0.029959567
100,324,0.09725334,3170519,0.14999999,0.098645255,-0.06069366735660235,-0.0628038408672196,-0.7714663,990.7871875,3.0,3200,0.00030798828101841663,-2.080549,3.081064633754463,3.678482503961081,32,0.1,0.02940254
100,324,0.048144087,3269604,0.14999999,0.048210707,-0.06068552307307324,-0.06042490600014158,-0.761741,990.7890909090909,3.0,3300,0.00011053595508409203,3.5043087,2.2359339834809955,3.678482503961081,33,0.1,0.027751254
100,324,0.025188005,3368142,0.14999999,0.027975919,-0.06075393345175112,-0.06301147594812126,-0.7569266,990.63,3.0,3400,0.00016002890394073508,3.858777,4.2111816438134335,3.678482503961081,34,0.1,0.027497895
100,324,0.053924873,3466922,0.14999999,0.0553185,-0.060843612515002796,-0.06389270066555974,-0.7544078,990.5491428571429,3.0,3500,0.0002648181024282071,-5.103322,3.1426271303174134,3.678482503961081,35,0.1,0.026280453
100,324,0.24504104,3565801,0.14999999,0.24507964,-0.05971401002944766,-0.02017792303501796,-0.74901533,990.5002777777778,3.0,3600,0.0013672636999133873,1.9511839,3.3396006894662533,3.678482503961081,36,0.1,0.02504658
100,324,0.0214351,3665701,0.14999999,0.022374503,-0.05975291264254386,-0.061153406714007055,-0.7245112,990.73,3.0,3700,8.368828238701463e-05,-5.997465,-0.7014060115507332,3.678482503961081,37,0.1,0.024611643
100,324,0.009582756,3765014,0.14999999,0.013531344,-0.06015468420274569,-0.07502023193021329,-0.7266547,990.7931578947369,3.0,3800,0.00026682507133010897,0.61319286,2.113557143554795,3.678482503961081,38,0.1,0.023970122
100,324,0.08216995,3864384,0.14999999,0.08225274,-0.06029824433996256,-0.06575352955420306,-0.727613,990.8676923076923,3.0,3900,0.00010687346791656009,-0.63308704,1.2756045906930646,3.678482503961081,39,0.1,0.023014778
