MountainCar_std1_higher,AvgRet,MountainCar_mu0_higher,NatGrad2Norm,VarJ,ReturnMax,Iteration,StepSize,MinEpLen,TimestepsSoFar,NatGradInftyNorm,AvgEpLen,BatchSize,MountainCar_std0_higher,ActionIn1,MountainCar_mu1_higher,ReturnMean,J,NumTrajectories
3.0,1.2787972622689239,0.05171383,0.030851772,9.765890675582226e-05,0.09087264520012571,1,1.0,666,99290,0.030574452,992.9,100,0.14999999,0.30288267,-0.99866194,-0.06323083020014432,-0.06323083020014432,100
3.0,1.875459154214605,0.047586523,0.09820119,0.0006647008861359078,1.9404368074204579,2,1.0,387,198375,0.09551768,991.875,100,0.14999999,-6.898933,-0.9680875,-0.0716549110497569,-0.0800789918993695,200
3.0,1.3996281243473572,0.024786377,0.044520374,7.209385050597498e-05,1.9404368074204579,3,1.0,387,297693,0.044519935,992.31,100,0.14999999,0.7462305,-0.8725698,-0.06453135830609918,-0.05028425281878375,300
3.0,1.124937371308927,0.024984408,0.13819967,0.0003709987938585168,1.9404368074204579,4,1.0,387,396926,0.13806796,992.315,100,0.14999999,0.45337787,-0.82804984,-0.06521534497639025,-0.06726730498726351,400
3.0,1.302910329937456,0.018952288,0.11677411,0.00039949673474039293,1.9404368074204579,5,1.0,387,496056,0.1165247,992.112,100,0.14999999,-3.8858385,-0.6899819,-0.06145662742564551,-0.046421757222666546,500
3.0,1.2165529590182502,0.0113241775,0.31120288,0.0011450430911319183,3.187209793162579,6,1.0,334,595145,0.31115007,991.9083333333333,100,0.14999999,2.5647116,-0.5734572,-0.05817683140479839,-0.04177785130056276,600
3.0,1.2170743992124002,0.017056482,0.019381365,7.536662556524705e-05,3.187209793162579,7,1.0,334,694813,0.019127475,992.59,100,0.14999999,1.0799563,-0.2623071,-0.06032566854685748,-0.073218691399212,700
3.0,5.211001033599383,0.01392966,0.057389505,0.00037115412034098295,3.187209793162579,8,1.0,334,792809,0.057302706,991.01125,100,0.14999999,-3.2802525,-0.24317963,-0.057874747464782134,-0.0407182998902547,800
3.0,0.45638031170282845,0.010774499,0.009862826,3.632644646088052e-05,3.187209793162579,9,1.0,334,892592,0.00968968,991.7688888888889,100,0.14999999,0.22460175,-0.18587694,-0.05684509340410226,-0.04860786091866327,900
3.0,4.07987393872409,0.012614456,0.024272805,0.00016233550031015783,3.187209793162579,10,1.0,334,990876,0.023432586,990.876,100,0.14999999,-2.7219832,-0.17618726,-0.0583587274747304,-0.07198143411038367,1000
3.0,7.095605942726308,0.0062833433,0.01653358,0.00010114406185241726,3.187209793162579,11,1.0,334,1088516,0.014047734,989.56,100,0.14999999,1.4169774,-0.15275468,-0.0584082170730297,-0.05890311305602272,1100
3.0,2.3318212978098964,-0.002435626,0.0052276296,9.005748840846655e-05,3.187209793162579,12,1.0,334,1187798,0.005226419,989.8316666666667,100,0.14999999,-0.4630335,-0.13870695,-0.05840945246224467,-0.058423041743609246,1200
3.0,4.218850137162762,-0.0023231357,0.033306997,0.0001669458189490499,3.187209793162579,13,1.0,334,1286116,0.03209214,989.32,100,0.14999999,-3.385373,-0.13348053,-0.05781315678883739,-0.05065760870795009,1300
3.0,5.221766032061545,-0.011236655,0.41989088,0.001286109876875059,3.187209793162579,14,1.0,334,1383841,0.41988242,988.4578571428572,100,0.14999999,-3.8925345,-0.101388395,-0.05442991292019354,-0.010447742627823586,1400
3.0,10.121966575578892,-0.013903947,0.29686943,0.0007445206712609715,3.187209793162579,15,1.0,334,1480627,0.29679078,987.0846666666666,100,0.14999999,-7.9287634,0.31849402,-0.052492887296023756,-0.025374528557646537,1500
