Bound,IWMax,ReturnMean,ActionIn1,Delta,TimestepsSoFar,Iteration,MountainCar_std1_higher,IWMin,IWMean,MountainCar_mu1_higher,IWFirstEpisode,MountainCar_mu0_higher,DenMISEMeanLog,ReturnAbsMax,GridSize,Regret,TimeElapsed,MountainCar_std0_higher,ReturnLastEpisode,DenMISELogFirst,IWLastEpisode,Regret/t,ReturnMax,ReturnStepMax,ReturnMin,NumTrainableParams,DenMISELogLast
1.0047063,0.35414493,-0.2388321,-0.15844317,0.060792707,500,1,0.14999999,,0.35414493,,0.35414493,,1.2243841,0.2388321,1,1.2039521,0.2295770645,0.14999999,-0.2388321,1.2243841,0.35414493,1.2039521,,1.2184181,-0.2388321,2,1.2243841
inf,,-0.12047238,4.2792444,0.0060792705,1000,2,0.14999999,,,,,4,0.98838615,0.2388321,4,2.1711848,0.659348011,0.14999999,-0.002112651,0.83440715,,1.0855924,,1.2184181,-0.2388321,,1.1423652
inf,,-37.28117,4.0283265,0.0027018983,1500,3,0.14999999,,,4,,,0.30778039,111.60257,4,114.73888,0.8505020142,0.14999999,-111.60257,0.42894202,,38.24629,,567.02386,-111.60257,,-0.2425009
inf,,-27.963108,7.9226584,0.0015198176,2000,4,0.14999999,,,4,,4,0.15166561,111.60257,4,115.71291,1.0372848511,0.14999999,-0.008917916,0.14125995,,28.928228,,567.02386,-111.60257,,0.54636747
555.3551,5,-46.50508,3.920953,0.0009726833,2500,5,0.14999999,,1,4,,,-0.015019608,120.67297,4,237.35101,1.2916824818,0.14999999,-120.67297,-0.081883594,,47.4702,,633.9953,-120.67297,,0.21081382
481.80417,6,-38.754658,3.9605856,0.0006754746,3000,6,0.14999999,,1,,,4,0.08119142,120.67297,4,238.31868,1.538572073,0.14999999,-0.0025572411,-0.26420516,,39.719776,,633.9953,-120.67297,,0.78070706
489.60742,5.314832,-45.305187,-0.013740826,0.0004962669,3500,7,0.14999999,,1.0207883,,1.8306863,,-0.09705891,120.67297,4,323.89215,1.7495982647,0.14999999,-84.60838,-0.41835582,,46.270306,,633.9953,-120.67297,,-0.9348039
496.6823,8,-39.6434,8.145107,0.0003799544,4000,8,0.14999999,,1,4,,4,-0.01628822,120.67297,4,324.86813,2.0470383167,0.14999999,-0.010861337,-0.3195646,,40.608517,,633.9953,-120.67297,,0.6866094
inf,2.1671062E-28,-47.349762,2.155917,0.0001501055,4500,9,0.14999999,,2.4248236E-29,,2.1671062E-28,2,-0.02825737,120.67297,9,434.83392,2.3384430408,0.14999999,-109.00067,-0.43734765,,48.31488,,633.9953,-120.67297,,0.12510665
inf,1.3370366E-36,-45.19596,1.8982272,0.0001215854,5000,10,0.14999999,,3.0192114E-37,2,8.326333E-37,,-0.20994738,120.67297,9,461.6108,2.7850859165,0.14999999,-25.811745,-0.54270816,,46.16108,,633.9953,-120.67297,,-0.8969127
inf,3.2673583E-32,-41.08743,3.9802876,0.0001004838,5500,11,0.14999999,,2.9703278E-33,2,,2,-0.33780548,120.67297,9,462.57806,3.0988194942,0.14999999,-0.0021182995,-0.63801837,2.3132585E-38,42.052547,,633.9953,-120.67297,,-0.663285
inf,2.3136033E-30,-40.018887,5.4360895,8.443432E-05,6000,12,0.14999999,,1.9918815E-31,2,,4,-0.5261866,120.67297,9,491.80807,3.4021756649,0.14999999,-28.264887,-0.7250297,1.5526739E-32,40.984005,,633.9953,-120.67297,,-1.6412535
inf,1.6982068E-35,-43.65884,6.0367565,0.000071944,6500,13,0.14999999,,1.3284891E-36,4,,2,-0.9183588,120.67297,9,580.1115,3.7238550186,0.14999999,-87.338295,-0.8050724,,44.62396,,633.9953,-120.67297,,-4.6639132
656.3738,14.000001,-42.024956,1.6296253,6.203337E-05,7000,14,0.14999999,,1.0000001,2,1.1656858E-36,,-1.0882411,120.67297,9,601.861,4.0532569885,0.14999999,-20.784395,-0.87918043,,42.990074,,633.9953,-120.67297,,-2.3333073
644.6501,15.000001,-39.231735,5.9983025,0.000054038,7500,15,0.14999999,,1.0000001,4,,2,-1.1444237,120.67297,9,602.9528,4.4192874432,0.14999999,-0.12668179,-0.9481733,,40.196854,,633.9953,-120.67297,,-1.6582258
645.0149,16,-38.464706,1.8324081,4.74943E-05,8000,16,0.14999999,,1,,3.8526295E-28,2,-1.1100216,120.67297,9,630.8772,4.777318716,0.14999999,-26.959332,-1.0127118,,39.429825,,633.9953,-120.67297,,-0.3190597
647.121,17,-37.56076,3.6460385,4.2071075E-05,8500,17,0.14999999,,1,2,,2,-1.1089233,120.67297,9,654.93994,5.0787770748,0.14999999,-23.097599,-1.0733365,2.2893977E-38,38.52588,,633.9953,-120.67297,,-0.8145059
604.343,18,-36.74099,5.8758554,3.7526363E-05,9000,18,0.14999999,,1,2,,4,-1.1564282,120.67297,9,678.70996,5.4444322586,0.14999999,-22.804903,-1.1304948,,37.70611,,633.9953,-120.67297,,-1.6854644
478.52847,9.5,-39.72762,3.9377668,3.368017E-05,9500,19,0.14999999,,1,4,,,-1.1440241,120.67297,9,773.16205,5.7287418842,0.14999999,-93.48689,-1.1845621,,40.692738,,633.9953,-120.67297,,-0.6406876
480.8473,10,-37.744034,2.0989752,3.0396353E-05,10000,20,0.14999999,,1,2,1.6652642E-36,,-1.1169916,120.67297,9,774.1831,5.9413483143,0.14999999,-0.055933062,-1.2358553,,38.709152,,633.9953,-120.67297,,-0.43973148
459.29044,10.499998,-35.94799,6.0933137,2.7570388E-05,10500,21,0.14999999,,0.9999998,4,,2,-1.080127,120.67297,9,775.17535,6.2118966579,0.14999999,-0.027176477,-1.2846456,,36.91311,,633.9953,-120.67297,,-0.17796202
460.84378,11.000001,-35.618782,1.8527112,0.000025121,11000,22,0.14999999,,1.0000001,,5.297371E-28,2,-1.046452,120.67297,9,804.8459,6.5717337132,0.14999999,-28.70539,-1.3311656,,36.5839,,633.9953,-120.67297,,-0.17328714
461.79602,11.5,-34.97609,3.8802752,0.000022984,11500,23,0.14999999,,1,2,,2,-1.0227844,120.67297,9,826.6478,6.783400774,0.14999999,-20.836845,-1.3756173,,35.941208,,633.9953,-120.67297,,-0.3350887
445.55435,10.357914,-34.601463,-0.2763625,2.110858E-05,12000,24,0.14999999,,1.0230328,,4.975431,,-0.9993861,120.67297,9,853.598,7.0563981533,0.14999999,-25.985025,-1.4181769,,35.56658,,633.9953,-120.67297,,-0.29328302
400.97586,8.333334,-33.22192,4.574026,1.9453666E-05,12500,25,0.14999999,,1.0000001,4,,,-1.0114976,120.67297,9,854.676,7.3621742725,0.14999999,-0.11291746,-1.2706045,,34.18704,,633.9953,-120.67297,,-1.194703
402.48056,13.000002,-31.95041,6.1585207,0.000017986,13000,26,0.14999999,,1.0000001,2,,4,-1.128296,120.67297,9,855.80383,7.6089053154,0.14999999,-0.16265494,-1.3098252,,32.91553,,633.9953,-120.67297,,-3.9307811
435.10995,9,-35.583157,2.069163,1.6678383E-05,13500,27,0.14999999,,1,2,1.8620786E-36,,-1.1139021,130.03456,9,986.80347,7.9162158966,0.14999999,-130.03456,-1.3475655,,36.548275,,689.4875,-130.03456,,-0.56934464
169396620000,1.3731533E-08,-34.31248,5.1436963,9.122555E-06,14000,28,0.14999999,,5.157645E-10,2.6666667,,2.6666667,-1.0803462,130.03456,16,987.7729,8.1798083782,0.14999999,-0.004236326,-1.3839332,,35.2776,,689.4875,-130.03456,,-0.05545644
169907440000,0.0002957002,-34.34919,3.5727804,8.504261E-06,14500,29,0.14999999,,1.0198902E-05,1.3333334,,2.6666667,-1.1517972,130.03456,16,1024.115,8.9530894756,0.14999999,-35.377003,-1.4190245,2.6987423E-16,35.31431,,689.4875,-130.03456,,-2.1698682
170400090000,2.0226275E-07,-34.65936,3.773366,7.94676E-06,15000,30,0.14999999,,7.0896897E-09,2.6666667,,1.3333334,-1.2643491,130.03456,16,1068.7344,9.2878599167,0.14999999,-43.654343,-1.452926,1.2155996E-35,35.624477,,689.4875,-130.03456,,-3.5452154
170874590000,0.0009780364,-33.79136,2.4947278,7.4423347E-06,15500,31,0.14999999,,3.158168E-05,1.3333334,9.9094575E-26,1.3333334,-1.3337137,130.03456,16,1077.4508,9.6507031918,0.14999999,-7.751347,-1.4857159,7.2850207E-16,34.756477,,689.4875,-130.03456,,-2.43096
8800666,0.0005241401,-33.020145,2.2779438,6.984457E-06,16000,32,0.14999999,,1.7647597E-05,,,2.6666667,-1.3802307,130.03456,16,1087.5284,10.0652329922,0.14999999,-9.112502,-1.5174645,1.1844285E-33,33.985264,,689.4875,-130.03456,,-1.8380803
8823448,0.002205588,-33.30514,6.3440905,6.5675695E-06,16500,33,0.14999999,,8.426016E-05,2.6666667,,4,-1.4557438,130.03456,16,1130.9187,10.4395961761,0.14999999,-42.425076,-1.5482363,,34.27026,,689.4875,-130.03456,,-2.8874826
8845493,0.0009486473,-35.545612,6.72495,6.186923E-06,17000,34,0.14999999,,3.0336276E-05,4,,2.6666667,-1.5254542,130.03456,16,1241.3649,10.8145968914,0.14999999,-109.48108,-1.5780891,7.4873113E-31,36.51073,,689.4875,-130.03456,,-2.840837
