MinEpLen,J,Iteration,ReturnMean,StepSize,VarJ,AvgRet,NumTrajectories,TimestepsSoFar,ReturnMax,NatGradInftyNorm,BatchSize,NatGrad2Norm,AvgEpLen
11,-93.43026936126682,1,-93.43026936126682,0.0001,0.8280427300324236,-127.66746032986275,100,4192,-10.061135392292874,2.6918066,100,3.2090635,41.92
11,-93.16423294590537,2,-93.29725115358609,0.0001,1.3623505019059534,-119.34713874135565,200,3507,-10.061135392292874,1.6976558,100,2.6468244,35.07
11,-93.68924588377423,3,-93.42791606364881,0.0001,0.5262278618535166,-121.32453679243645,300,3394,-10.061135392292874,2.1299074,100,2.316195,33.94
11,-94.91369402651736,4,-93.79936055436596,0.0001,0.2712618830051944,-118.95591087709838,400,2593,-10.061135392292874,2.0306816,100,3.331049,25.93
11,-93.95352446012198,5,-93.83019333551715,0.0001,0.7462250079597894,-118.4050540142355,500,3121,-10.061135392292874,2.6012866,100,3.1451154,31.21
12,-94.3614074990615,6,-93.9187290294412,0.0001,0.35491371185820386,-117.79846043292913,600,2572,-10.061135392292874,1.1873841,100,1.7662212,25.72
10,-95.42916558966422,7,-94.13450568090164,0.0001,0.09736244670489086,-132.42590607131586,700,4162,-10.061135392292874,1.4266721,100,1.6969225,41.62
11,-95.0436657992784,8,-94.24815069569875,0.0001,0.14817902615234027,-127.37201381615093,800,3513,-10.061135392292874,1.5521888,100,1.987849,35.13
12,-94.57549777242562,9,-94.28452259311284,0.0001,0.18662355052277127,-118.49904003736009,900,2595,-10.061135392292874,1.597362,100,1.9049276,25.95
12,-94.72502628193962,10,-94.3285729619955,0.0001,0.3409925163088594,-117.45521408388751,1000,2947,-10.061135392292874,2.4853206,100,3.181194,29.47
12,-94.8245931759314,11,-94.37366570871697,0.0001,0.28779453985729075,-119.21679437096802,1100,2626,-10.061135392292874,1.6658076,100,1.6957123,26.26
12,-95.34911078166012,12,-94.4549527981289,0.0001,0.072556518347703,-132.87096676290003,1200,4228,-10.061135392292874,1.4210011,100,1.5291837,42.28
10,-94.47489007614512,13,-94.45648643489936,0.0001,0.39626314078735164,-136.68736515384984,1300,5049,-10.061135392292874,1.7942582,100,2.4008331,50.49
10,-95.43245597327314,14,-94.5261985447832,0.0001,0.08417741083890987,-118.76806327419827,1400,2488,-10.061135392292874,1.3756918,100,1.6482959,24.88
11,-93.5856596171742,15,-94.46349594960928,0.0001,0.5089452334334207,-126.75627563283011,1500,3908,-10.061135392292874,1.5530804,100,2.175562,39.08
11,-94.6780272517498,16,-94.47690415599307,0.0001,0.27890240793421567,-125.44827238959195,1600,3468,-10.061135392292874,2.7975552,100,2.9495943,34.68
11,-94.61330832458238,17,-94.48492793061595,0.0001,0.24343003969833096,-131.7821682049858,1700,4200,-10.061135392292874,2.1399384,100,2.9795172,42.0
14,-94.52757556861947,18,-94.48729724383837,0.0001,0.43668329842541226,-130.36407937766438,1800,4636,-10.061135392292874,2.616329,100,3.3821545,46.36
11,-95.21368903508176,19,-94.5255283907459,0.0001,0.10000155927152819,-127.90169278922889,1900,3629,-10.061135392292874,1.9385016,100,2.1791043,36.29
12,-95.32947194166795,20,-94.56572556829202,0.0001,0.08984451684293555,-131.90121876348815,2000,4124,-10.061135392292874,0.73741,100,1.3420275,41.24
12,-95.953319737072,21,-94.63180148109106,0.0001,0.07639771105268887,-124.43687759848673,2100,3093,-10.061135392292874,3.386526,100,4.503927,30.93
