ReturnMean,J,ReturnMax,TimestepsSoFar,Iteration,NumTrajectories,AvgEpLen,BatchSize,NatGrad2Norm,StepSize,AvgRet,MinEpLen,NatGradInftyNorm,VarJ
-93.9297177855887,-93.9297177855887,-25.93298452173805,3664,1,100,36.64,100,1.543483,0.0001,-119.23582426717911,11,1.1160872,0.7020841386293543
-94.4869381836168,-95.04415858164487,-25.93298452173805,3754,2,200,37.54,100,2.85196,0.0001,-126.91130942763701,10,2.235491,0.13327970743552356
-94.69461784285376,-95.10997716132766,-25.93298452173805,3013,3,300,30.13,100,3.148403,0.0001,-120.80121283760472,11,1.9807315,0.10205950275853728
-94.76731579920659,-94.98540966826509,-25.93298452173805,2682,4,400,26.82,100,3.0740154,0.0001,-120.15065056831178,12,2.06055,0.11825727561929014
-94.66750490186116,-94.26826131247948,-25.93298452173805,3539,5,500,35.39,100,3.2966008,0.0001,-124.98709669092588,12,2.6237695,0.23323510750932086
-94.6126728144248,-94.33851237724299,-25.93298452173805,2480,6,600,24.8,100,2.2991796,0.0001,-117.32482334093102,11,1.6265119,0.21677643706264646
-94.72253612663584,-95.38171599990211,-25.93298452173805,3186,7,700,31.86,100,3.578101,0.0001,-124.68363699318706,11,2.8498788,0.1123666609667208
-94.72230151804084,-94.72065925787578,-25.93298452173805,3537,8,800,35.37,100,3.1472056,0.0001,-126.16270076795381,10,2.0960112,0.19382801457687027
-94.75131096320622,-94.98338652452934,-25.93298452173805,3850,9,900,38.5,100,1.7439989,0.0001,-129.6053656801661,11,1.3735247,0.16635165298947055
-94.7338734645214,-94.57693597635794,-25.93298452173805,3195,10,1000,31.95,100,2.9594634,0.0001,-119.51969656537607,11,2.550889,0.4766330010706067
-94.66703214683054,-93.998618969922,-25.93298452173805,4500,11,1100,45.0,100,2.5985065,0.0001,-127.85095035414899,12,2.0496602,0.8613329692615538
-94.65027187055144,-94.46590883148117,-25.93298452173805,4458,12,1200,44.58,100,1.6589947,0.0001,-132.04925503630983,12,1.303621,0.38748259244261285
-94.64180281043092,-94.54017408898471,-25.93298452173805,3169,13,1300,31.69,100,2.2884438,0.0001,-120.07277470029099,12,1.3862885,0.45997710485414456
-94.68805150160557,-95.28928448687643,-25.93298452173805,3094,14,1400,30.94,100,2.594769,0.0001,-123.59451535173388,12,1.5977353,0.1080852723547793
-94.65197746149096,-94.14694089988593,-25.93298452173805,3162,15,1500,31.62,100,4.521419,0.0001,-122.67417299677417,11,3.6805568,0.26695885951834386
-94.68690803061203,-95.21086656742838,-25.93298452173805,2554,16,1600,25.54,100,0.99405,0.0001,-119.14536301674553,11,0.63712347,0.0856470455783157
-94.7117060904119,-95.10847504720938,-25.93298452173805,3238,17,1700,32.38,100,3.3364153,0.0001,-124.7976033598641,11,2.1797454,0.07838908064332599
-94.75552107386476,-95.50037579256345,-25.93298452173805,3395,18,1800,33.95,100,3.58927,0.0001,-125.92312896997495,11,2.6331916,0.13028927207650712
-94.77594666146095,-95.14360723819247,-25.93298452173805,2917,19,1900,29.17,100,2.0077674,0.0001,-122.54945538629391,11,1.625095,0.129016821122094
-94.72144212303986,-93.6858558930393,-25.93298452173805,4632,20,2000,46.32,100,3.7207205,0.0001,-133.0087017831306,11,2.6490657,0.7080424320037296
-94.70650057709923,-94.4076696582866,-25.93298452173805,3843,21,2100,38.43,100,3.033458,0.0001,-128.50857084254764,11,2.418652,0.6121345967003319
-94.72951195124642,-95.21275080833777,-25.93298452173805,3573,22,2200,35.73,100,0.9922909,0.0001,-127.26880358048727,12,0.8400729,0.08805227522407941
-94.75217935606418,-95.25086226205433,-25.93298452173805,4164,23,2300,41.64,100,2.0543423,0.0001,-132.5181034157618,13,1.5158039,0.11925294956769811
-94.77485520372359,-95.29639969988992,-25.93298452173805,3488,24,2400,34.88,100,4.112044,0.0001,-127.4955625855942,13,2.901392,0.1136789738275665
-94.79003624846393,-95.15438132223233,-25.93298452173805,2667,25,2500,26.67,100,1.6435639,0.0001,-120.08995858519536,13,1.5036992,0.09124072969690557
-94.79281934057184,-94.86239664326955,-25.93298452173805,3157,26,2600,31.57,100,1.7203903,0.0001,-123.64962755034067,11,1.0792155,0.1720460246642901
-94.79766025816926,-94.92352411570222,-25.93298452173805,3127,27,2700,31.27,100,3.409527,0.0001,-123.24697217010569,11,2.6039417,0.21335932276695604
-94.78835148910164,-94.53701472427609,-25.93298452173805,3239,28,2800,32.39,100,3.203346,0.0001,-124.04697104959621,10,1.7917188,0.24314637320420548
-94.75929425488464,-93.94569169680814,-25.93298452173805,4196,29,2900,41.96,100,5.7259808,0.0001,-127.8615960129481,12,4.0093846,0.6137810496472936
-94.75705035620057,-94.69197729436283,-25.93298452173805,2721,30,3000,27.21,100,4.224776,0.0001,-119.9516363230781,12,2.5716035,0.2636983866489618
-94.76612791729521,-95.0384547501344,-25.93298452173805,2565,31,3100,25.65,100,2.8833058,0.0001,-118.94121696718385,11,2.869419,0.12312184913713997
-94.75934735380602,-94.5491498856415,-25.93298452173805,4190,32,3200,41.9,100,6.1541467,0.0001,-130.15844234821154,11,4.7422075,0.3400596709448947
-94.7763289407888,-95.31973972423721,-25.93298452173805,4099,33,3300,40.99,100,1.224835,0.0001,-131.71152722954932,12,1.0966421,0.09065979422227886
-94.76936686181313,-94.53961825561647,-25.93298452173805,3567,34,3400,35.67,100,3.24589,0.0001,-126.24493245805543,11,1.8559023,0.13041186605034333
-94.76217814503227,-94.51776177448231,-25.93298452173805,3079,35,3500,30.79,100,2.263465,0.0001,-122.1479727523968,12,1.6323919,0.45291882655018
-94.76845400016748,-94.98810892990035,-25.93298452173805,3268,36,3600,32.68,100,2.3783998,0.0001,-124.7328190770769,12,2.1365695,0.18474459445943048
-94.7827902081494,-95.2988936954979,-25.93298452173805,3819,37,3700,38.19,100,3.7421596,0.0001,-128.92916914225577,12,2.7679157,0.1506349807343053
-94.7921784107367,-95.13954190646729,-25.93298452173805,3659,38,3800,36.59,100,3.0904844,0.0001,-127.89941876429317,11,2.5114512,0.22377703510334995
-94.80027202727076,-95.10782945556537,-25.93298452173805,2503,39,3900,25.03,100,2.5547826,0.0001,-118.5745060263131,11,1.780762,0.10214694718808064
-94.7971848423855,-94.67678463186054,-25.93298452173805,3858,40,4000,38.58,100,2.5361161,0.0001,-129.08019418790497,11,1.9332986,0.17347123011666618
-94.79685885756147,-94.78381946459992,-25.93298452173805,3074,41,4100,30.74,100,5.4245315,0.0001,-123.55936443165123,12,4.1635375,0.30256158120512344
-94.8116275213753,-95.41714273774228,-25.93298452173805,3958,42,4200,39.58,100,1.7733288,0.0001,-131.33589443986097,12,1.2555321,0.07921201439661307
-94.78549204706296,-93.68780212594469,-17.302647934844636,2897,43,4300,28.97,100,3.211318,0.0001,-115.22238562161681,11,2.5560813,0.6969694351777969
-94.79962627836161,-95.40739822420424,-17.302647934844636,3382,44,4400,33.82,100,1.2025732,0.0001,-126.5408195902372,12,1.1333644,0.11960172348333778
-94.79969769936096,-94.80284022333173,-17.302647934844636,3188,45,4500,31.88,100,2.4434795,0.0001,-123.08139299114401,12,2.0628014,0.11163659417470814
-94.79090666305015,-94.39531002906436,-17.302647934844636,3766,46,4600,37.66,100,4.4156003,0.0001,-127.70284988215482,11,4.230282,0.45164678412472553
-94.78275389998889,-94.40772679917004,-17.302647934844636,3316,47,4700,33.16,100,2.1424377,0.0001,-124.56023694435909,12,1.6416912,0.29321345531742155
-94.77751749814445,-94.53140661145535,-17.302647934844636,2835,48,4800,28.35,100,1.3822887,0.0001,-120.18491872055252,11,1.017044,0.11518660769490141
-94.78394052929183,-95.09224602436677,-17.302647934844636,2759,49,4900,27.59,100,2.261277,0.0001,-120.93546193291928,11,1.4012206,0.10725799733747665
-94.78385493363697,-94.779660746549,-17.302647934844636,2843,50,5000,28.43,100,2.6943202,0.0001,-121.31327052472571,11,2.4489014,0.23572058400197793
