Iteration,AvgEpLen,J,VarJ,AvgRet,BatchSize,MinEpLen,ReturnMax,NatGrad2Norm,ReturnMean,NatGradInftyNorm,StepSize,NumTrajectories,TimestepsSoFar
1,32.04,-95.0095428966096,0.09982817896570728,-124.34259361542283,100,12,-79.72730046187708,1.5215114,-95.0095428966096,1.241352,0.1,100,3204
2,22.54,-94.44639161473445,0.10101615352489918,-115.2755590752916,100,12,-79.72730046187708,1.9353881,-94.72796725567204,1.4885914,0.1,200,2254
3,24.17,-94.17848171328907,0.22828367668381475,-116.40795631564554,100,10,-69.38584654516592,3.1455576,-94.54480540821105,2.0901966,0.1,300,2417
4,26.13,-95.71222268936204,0.05428078507819201,-120.2917844775119,100,11,-69.38584654516592,3.5703027,-94.83665972849882,2.979942,0.1,400,2613
5,17.92,-94.0696641999296,0.05774968262742051,-110.35565681199502,100,11,-69.38584654516592,2.7510478,-94.68326062278496,2.3774617,0.1,500,1792
6,22.62,-95.32328519516832,0.04788256404389773,-116.30464448030494,100,11,-69.38584654516592,2.1815846,-94.78993138484884,1.5766249,0.1,600,2262
7,18.72,-94.90042818161018,0.047277372449223615,-112.06792712358339,100,11,-69.38584654516592,3.3260045,-94.80571664152905,3.1231503,0.1,700,1872
8,18.4,-93.717571917897,0.0703325710782272,-110.36049822036945,100,11,-69.38584654516592,3.0047052,-94.66969855107506,2.4127135,0.1,800,1840
9,16.29,-93.12424964916511,0.09852473648781535,-107.68236816817178,100,11,-69.38584654516592,2.979142,-94.49798200641838,1.9372538,0.1,900,1629
10,15.88,-93.22339756173427,0.0594655511760259,-107.40826409616655,100,11,-69.38584654516592,1.9305514,-94.37052356194997,1.1432058,0.1,1000,1588
11,16.82,-93.11815062957592,0.09200508962846891,-108.1642306976296,100,10,-69.38584654516592,1.7966362,-94.25667147718869,1.2901167,0.1,1100,1682
12,16.53,-93.35286957117032,0.08298690394576877,-108.17599506322779,100,11,-69.38584654516592,2.3214018,-94.18135465168717,1.8400708,0.1,1200,1653
13,16.41,-93.46755153275606,0.07817160302681189,-108.1953354813575,100,11,-69.38584654516592,2.2179108,-94.1264467194617,1.5629601,0.1,1300,1641
14,16.42,-93.20029415255179,0.07793783334321715,-107.90580753201442,100,10,-69.38584654516592,1.561224,-94.0602929646824,1.1059445,0.1,1400,1642
15,16.32,-93.63985371210782,0.06499162371311289,-108.29317454953322,100,11,-69.38584654516592,2.5120687,-94.03226368117744,1.7290075,0.1,1500,1632
16,15.72,-93.56835323012177,0.05762485049617407,-107.65406228218683,100,11,-69.38584654516592,3.042197,-94.00326927798648,2.1009405,0.1,1600,1572
17,16.69,-93.2001773751926,0.11433037783528627,-108.17164319704035,100,11,-69.38584654516592,4.4022136,-93.95602857782211,2.9959273,0.1,1700,1669
18,16.27,-93.54586007307806,0.07174465763313194,-108.13863746478295,100,11,-69.38584654516592,3.71952,-93.93324143866968,3.35666,0.1,1800,1627
19,16.59,-93.28826388398193,0.061988367355540766,-108.16736267848626,100,11,-69.38584654516592,1.5651767,-93.89929525158085,1.077739,0.1,1900,1659
20,16.31,-93.57607951430087,0.0723822229893866,-108.20172311661972,100,11,-69.38584654516592,4.1927004,-93.88313446471686,2.7233217,0.1,2000,1631
21,16.81,-93.04523674162587,0.09754524698116002,-108.08510216130824,100,11,-69.38584654516592,1.6470429,-93.84323457314109,1.3565576,0.1,2100,1681
22,16.28,-93.35809263283996,0.075081014257671,-107.94183630798918,100,11,-69.38584654516592,1.5141042,-93.82118266676375,1.0898596,0.1,2200,1628
23,16.75,-92.80404046928436,0.10781476174567121,-107.74571717993774,100,10,-69.38584654516592,2.4199085,-93.77695909296031,1.5055625,0.1,2300,1675
24,16.13,-93.4644526128166,0.07287003753756048,-107.92760503569693,100,12,-69.38584654516592,2.1337602,-93.763937989621,1.364679,0.1,2400,1613
25,16.44,-93.05558498018446,0.07594407289107366,-107.74607391343497,100,11,-69.38584654516592,2.6750467,-93.73560386924352,1.6219325,0.1,2500,1644
26,17.09,-93.17535827300865,0.09785813134240406,-108.48042277078247,100,12,-69.38584654516592,3.3997288,-93.71405596169603,2.9786325,0.1,2600,1709
27,16.13,-93.37036348956494,0.06501129152239954,-107.83085219097157,100,10,-69.38584654516592,2.0522084,-93.70132661087635,1.3660097,0.1,2700,1613
28,16.32,-93.42550357294456,0.06883171478059671,-108.06962426330517,100,11,-69.38584654516592,3.0446832,-93.69147578809306,2.2243133,0.1,2800,1632
29,16.17,-93.35803204273729,0.05833029763078535,-107.84435702079082,100,11,-69.38584654516592,2.736292,-93.67997772790841,2.5038886,0.1,2900,1617
30,15.99,-93.50295629976792,0.06378975828569368,-107.82563540962082,100,10,-69.38584654516592,2.06236,-93.67407701363706,1.393825,0.1,3000,1599
31,15.71,-93.86158695607303,0.059716435875148646,-107.99016089934094,100,11,-69.38584654516592,3.2355704,-93.68012572145754,2.0610933,0.1,3100,1571
32,15.66,-93.96646857486328,0.05354495828612407,-108.03874214539123,100,11,-69.38584654516592,1.0795777,-93.68907393562651,0.82368875,0.1,3200,1566
33,16.48,-93.35502539413682,0.08471608093183905,-108.13180719972601,100,11,-69.38584654516592,2.5530767,-93.67895125255104,2.4285898,0.1,3300,1648
34,15.77,-93.87945607170535,0.05659196667395843,-108.047963775063,100,10,-69.38584654516592,2.1912603,-93.68484845311441,1.3635166,0.1,3400,1577
35,16.25,-94.01548298676465,0.05570634437843955,-108.66243999671583,100,11,-69.38584654516592,1.6479933,-93.69429515407583,1.2337343,0.1,3500,1625
36,16.26,-93.56935174535133,0.07789833290259816,-108.15916825844242,100,10,-69.38584654516592,5.2646313,-93.6908245038335,4.2401137,0.1,3600,1626
37,15.7,-94.12962341707609,0.04617677405351273,-108.2773308437673,100,10,-69.38584654516592,3.1230369,-93.70268393392115,2.8534434,0.1,3700,1570
38,15.21,-94.2210591281397,0.03885186774835675,-107.9042739121221,100,10,-69.38584654516592,2.7194812,-93.71632538640057,2.339517,0.1,3800,1521
39,15.68,-93.90339845786875,0.04669237188136281,-108.00670193010642,100,11,-69.38584654516592,1.9436141,-93.72112213182284,1.541608,0.1,3900,1568
40,15.27,-94.34559497131013,0.04501727250881062,-108.08982497419868,100,11,-69.38584654516592,5.4021664,-93.73673395281003,4.7780714,0.1,4000,1527
41,14.58,-93.93410143069346,0.03883423248825375,-107.0141672739221,100,11,-69.38584654516592,4.0072393,-93.741547793734,2.9259083,0.1,4100,1458
42,15.97,-93.96110851714079,0.04753554000498607,-108.33785015622178,100,11,-69.38584654516592,4.915085,-93.7467754300056,2.9897845,0.1,4200,1597
43,15.71,-94.26798394981728,0.05312424268432018,-108.4428906761913,100,11,-69.38584654516592,2.6019905,-93.7588965583733,1.6435171,0.1,4300,1571
44,15.4,-94.470803149904,0.03189424136035201,-108.3847001782147,100,11,-69.38584654516592,2.0917988,-93.77507625363538,1.2329966,0.1,4400,1540
45,15.33,-94.64458392552935,0.02917984420997401,-108.50338155350464,100,10,-69.38584654516592,4.9604774,-93.7943986463441,3.3528748,0.1,4500,1533
46,15.63,-94.96335739364017,0.022986397420755807,-109.13655616896266,100,11,-69.38584654516592,1.655388,-93.81981079302447,0.9643782,0.1,4600,1563
47,16.15,-95.19159066981457,0.025805593645316937,-109.90521578403175,100,10,-69.38584654516592,1.6003612,-93.84899759891363,1.5245085,0.1,4700,1615
48,16.5,-95.19339108376202,0.022420049293656083,-110.22267979599765,100,11,-69.38584654516592,1.9354221,-93.87700579651464,1.46888,0.1,4800,1650
49,17.09,-95.51911810683814,0.023014785833666278,-111.1744491169153,100,11,-69.38584654516592,3.662482,-93.91051829264367,2.4521818,0.1,4900,1709
50,15.62,-95.1358872389932,0.02069849866290211,-109.35554610494272,100,11,-69.38584654516592,1.9572963,-93.93502567157067,1.4708658,0.1,5000,1562
