J,NatGradInftyNorm,MinEpLen,VarJ,ReturnMean,AvgRet,NumTrajectories,StepSize,TimestepsSoFar,ReturnMax,AvgEpLen,Iteration,BatchSize,NatGrad2Norm
-94.57584696257175,2.365573,11,0.3694545723684746,-94.57584696257175,-122.83189992684625,100,1.0,3127,-49.34884157170744,31.27,1,100,3.3178053
-87.32460678408663,1.7972153,15,1.0866472338509687,-90.95022687332917,-119.60253255313339,200,1.0,3725,-49.34884157170744,37.25,2,100,2.0299413
-96.46273471571904,2.1524289,17,0.10809188731077976,-92.78772948745912,-145.93315770135948,300,1.0,5132,-49.34884157170744,51.32,3,100,2.544189
-95.32948618395487,1.4918811,38,0.15496913058996933,-93.42316866158308,-176.31623246978393,400,1.0,8346,-49.34884157170744,83.46,4,100,1.9411087
-94.11006105965383,1.1030241,22,0.1362426051826871,-93.5605471411972,-126.37006101605793,500,1.0,3419,-49.34884157170744,34.19,5,100,1.5362792
-88.47923095919147,2.0950117,15,0.7662356457971672,-92.71366111086292,-113.10861001189075,600,1.0,2758,-49.34884157170744,27.58,6,100,2.6054745
-93.31489509044923,2.420395,11,0.08117965714030052,-92.79955167937526,-108.41231674264247,700,1.0,1682,-49.34884157170744,16.82,7,100,3.0771892
-84.87067064185696,2.2438014,10,1.7092534412296283,-91.80844154968548,-104.91053645683212,800,1.0,2464,-31.697444206809152,24.64,8,100,3.7396908
-90.01932144505575,4.0153236,11,1.217990946551282,-91.60965042694882,-105.98841333851428,900,1.0,1913,-31.697444206809152,19.13,9,100,4.595418
-93.82310673090214,2.3107195,11,0.07207827102825799,-91.83099605734417,-107.84421989363756,1000,1.0,1563,-31.697444206809152,15.63,10,100,2.569906
-94.26747876297934,1.4287522,11,0.04624263352779901,-92.05249448512919,-108.1882973093062,1100,1.0,1545,-31.697444206809152,15.45,11,100,1.8870716
-94.09562904009785,1.3127528,11,0.04027084408230274,-92.22275569804323,-108.23017019025532,1200,1.0,1572,-31.697444206809152,15.72,12,100,1.8254186
-93.89079515725098,2.375765,11,0.05401815791469556,-92.3510664256746,-108.84044508729674,1300,1.0,1659,-31.697444206809152,16.59,13,100,2.4315374
-93.13256909216372,1.9673597,11,0.07953193327060026,-92.40688804470955,-107.91503426309453,1400,1.0,1654,-31.697444206809152,16.54,14,100,2.334455
-93.0058071993086,1.7751914,11,0.09624065223077187,-92.44681598834947,-107.82761399366532,1500,1.0,1659,-31.697444206809152,16.59,15,100,2.7098565
-93.19157882387873,1.344437,11,0.0763887955494956,-92.49336366557007,-108.0977795285417,1600,1.0,1665,-31.697444206809152,16.65,16,100,1.6329435
-93.37423190265777,1.9356387,11,0.08308860553110327,-92.54517944422227,-107.68391902352252,1700,1.0,1598,-31.697444206809152,15.98,17,100,2.711526
-93.35623191037277,1.6994686,11,0.07680418229013573,-92.59023791456396,-108.22237192524322,1800,1.0,1658,-31.697444206809152,16.58,18,100,2.6936665
-93.56103490138585,1.8247595,10,0.06243436197512873,-92.64133249281775,-107.91282085566141,1900,1.0,1601,-31.697444206809152,16.01,19,100,1.9848028
-93.12825357156242,2.7196898,11,0.08514858661788549,-92.66567854675498,-107.94178963071508,2000,1.0,1654,-31.697444206809152,16.54,20,100,3.590987
-93.54911272490888,1.1922688,10,0.07071072732121624,-92.70774684095278,-108.10816821319791,2100,1.0,1622,-31.697444206809152,16.22,21,100,1.8290341
-93.42726347729274,2.7360835,11,0.09188730039467728,-92.7404521426046,-108.38499204213022,2200,1.0,1667,-31.697444206809152,16.67,22,100,2.7601006
-93.55919645450233,2.869686,11,0.06410894260639755,-92.77604972138278,-107.99295226102238,2300,1.0,1611,-31.697444206809152,16.11,23,100,2.9861007
-90.25816964118117,1.504718,13,0.15429238695308914,-92.67113805137437,-110.48074922656562,2400,1.0,2268,-31.697444206809152,22.68,24,100,1.9034883
-92.1071132950743,1.1951487,20,0.20608213985828713,-92.64857706112235,-122.2201896997545,2500,1.0,3262,-31.697444206809152,32.62,25,100,1.803912
-94.53580947434305,0.8638625,16,0.15470991812221016,-92.72116292316932,-123.24575330950995,2600,1.0,3065,-31.697444206809152,30.65,26,100,1.1457058
-92.72092055107501,3.9878535,14,0.13643866000302496,-92.72115394642508,-113.78463090619752,2700,1.0,2303,-31.697444206809152,23.03,27,100,4.612128
-96.4831776982673,1.8862436,13,0.12270051867740127,-92.8555119375623,-135.93719551906105,2800,1.0,4121,-31.697444206809152,41.21,28,100,2.211318
-97.4849732685821,3.066811,14,0.029729556719317318,-93.01514853518368,-153.0228452670825,2900,1.0,5684,-31.697444206809152,56.84,29,100,3.8185415
-96.09368746993604,1.8862731,18,0.14059389433858674,-93.11776649967543,-183.90920280431692,3000,1.0,8989,-31.697444206809152,89.89,30,100,2.4183035
-98.04810016243248,2.0746148,15,0.028952600062458558,-93.27680952105469,-171.97067425593673,3100,1.0,7510,-31.697444206809152,75.1,31,100,2.5831254
-95.65426662105041,3.3140347,13,0.23764381990904768,-93.35110505542954,-138.09017379357897,3200,1.0,4468,-31.697444206809152,44.68,32,100,3.4301805
-88.83583251384024,1.6092771,16,0.7378382702607216,-93.21427861477534,-326.80115187912156,3300,1.0,30365,-31.697444206809152,303.65,33,100,2.4262047
-92.86984540507227,1.4712342,15,0.39279823051294094,-93.20414822625466,-313.4283377719908,3400,1.0,28627,-31.697444206809152,286.27,34,100,1.6619521
-92.21387251020839,2.4025247,17,0.7859005343026909,-93.1758546343676,-430.3687764417674,3500,1.0,44717,-31.697444206809152,447.17,35,100,2.7736788
-95.09170205517559,3.126465,17,0.23233205141826668,-93.22907261827892,-333.34274469067225,3600,1.0,26213,-31.697444206809152,262.13,36,100,3.248772
-94.38567746116553,0.77805084,122,0.20597873077544693,-93.26033220862723,-381.67612971383494,3700,1.0,32610,-31.697444206809152,326.1,37,100,1.2883492
-94.29012931358712,4.4577937,118,0.27225710430240047,-93.28743213244196,-407.6864542305428,3800,1.0,35480,-31.697444206809152,354.8,38,100,4.647102
-93.29844584985794,1.8550217,18,0.23211175687358387,-93.28771453545264,-118.48710346778422,3900,1.0,2706,-31.697444206809152,27.06,39,100,2.7088516
-90.16964401152819,3.2862833,12,0.7036520794329664,-93.20976277235451,-113.30690089626222,4000,1.0,2566,-31.697444206809152,25.66,40,100,3.4528816
-85.24688000893953,1.4466609,94,0.3232018889628873,-93.01554611958831,-271.0084435750951,4100,1.0,21476,-31.697444206809152,214.76,41,100,2.0212004
-91.78013543055903,2.2544527,33,0.3858739993681167,-92.9861315793733,-166.68570814763387,4200,1.0,8032,-31.697444206809152,80.32,42,100,2.6049268
-96.63205279910594,1.4066064,20,0.04468171124072338,-93.07092044494848,-127.46524304206443,4300,1.0,3224,-31.697444206809152,32.24,43,100,1.8361228
-96.71808539475578,0.60317475,17,0.038674854682085334,-93.15381055744412,-125.78925841451235,4400,1.0,3046,-31.697444206809152,30.46,44,100,0.9151908
