ReturnMean,NumTrajectories,AvgEpLen,VarJ,AvgRet,MinEpLen,BatchSize,TimestepsSoFar,NatGradInftyNorm,ReturnMax,Iteration,J,NatGrad2Norm,StepSize
-93.9297177855887,100,36.64,0.7020841386293543,-119.23582426717911,11,100,3664,1.1160872,-25.93298452173805,1,-93.9297177855887,1.543483,1.0
-93.42303085809344,200,15.41,0.062082767173896956,-106.61990432553574,11,100,1541,2.28579,-25.93298452173805,2,-92.91634393059812,2.8577888,1.0
-93.32620938365103,300,16.26,0.06965647290315798,-107.6747536729453,12,100,1626,1.8273972,-25.93298452173805,3,-93.13256643476626,2.8685863,1.0
-93.27758264504543,400,15.47,0.0817514681010429,-106.91374389443209,11,100,1547,2.0282104,-25.93298452173805,4,-93.13170242922851,3.0220296,1.0
-91.88735296513242,500,23.91,1.8651080229435681,-105.52045163967973,11,100,2391,2.39101,-25.93298452173805,5,-86.32643424548047,3.0343144,1.0
-92.02648335172513,600,15.84,0.22282539360646034,-106.66707211424554,11,100,1584,1.7238718,-25.93298452173805,6,-92.72213528468872,2.3808076,1.0
-92.09715271710452,700,17.22,0.19222368996133013,-107.85069947263435,12,100,1722,2.797568,-25.93298452173805,7,-92.52116890938082,3.3821373,1.0
-91.63403033267885,800,25.07,0.4061902536904762,-110.60744620753289,13,100,2507,2.0225704,-25.93298452173805,8,-88.39217364169916,3.1781452,1.0
-91.69730559057182,900,25.91,0.5445496298080041,-115.9853125876937,17,100,2591,1.4492666,-25.93298452173805,9,-92.20350765371553,1.7829561,1.0
-91.2754433471433,1000,26.83,0.965167723553328,-111.13014038090317,13,100,2683,2.366702,-25.93298452173805,10,-87.4786831562868,2.6900618,1.0
-91.28383386603986,1100,29.78,0.6118416719182648,-118.80190269491563,19,100,2978,1.7345893,-25.93298452173805,11,-91.36773905500519,2.473287,1.0
-91.58112206045797,1200,25.99,0.09428458428257734,-119.26322754911756,17,100,2599,1.35771,-25.93298452173805,12,-94.85129219905737,1.6010332,1.0
-91.76704102056796,1300,26.53,0.11646250116931021,-118.78578076811152,16,100,2653,1.504021,-25.93298452173805,13,-93.9980685418878,2.485493,1.0
-92.07322158365157,1400,31.08,0.04221182353140884,-125.60378361528365,21,100,3108,1.4802533,-25.93298452173805,14,-96.05356890373864,2.4558685,1.0
-92.31388028225412,1500,30.35,0.06637632557587982,-124.47433873745125,23,100,3035,3.6821315,-25.93298452173805,15,-95.68310206268956,4.5150847,1.0
-92.50375394375122,1600,33.07,0.068100484956205,-126.7855190921099,22,100,3307,0.69276917,-25.93298452173805,16,-95.35185886620789,1.1116507,1.0
-92.73737713835264,1700,35.82,0.045543047815476606,-130.78732776471895,24,100,3582,2.1930342,-25.93298452173805,17,-96.47534825197556,3.4258337,1.0
-92.93131279893248,1800,34.26,0.04671583999098915,-128.94160170764914,22,100,3426,2.4082131,-25.93298452173805,18,-96.22821902878944,3.4510162,1.0
-93.10864795568652,1900,37.28,0.04396840108364306,-132.05789206737632,26,100,3728,1.6237885,-25.93298452173805,19,-96.30068077725913,2.0476131,1.0
-93.24866712611488,2000,37.69,0.05035312156871207,-132.00569849855984,26,100,3769,2.5876443,-25.93298452173805,20,-95.90903136425422,3.4431477,1.0
-93.37905174355431,2100,62.82,0.07343438460456739,-156.97061299928657,48,100,6282,2.3096793,-25.93298452173805,21,-95.98674409234262,3.0863209,1.0
-93.49229471543192,2200,147.58,0.07948869209706583,-237.33899042580597,82,100,14758,0.9748674,-25.93298452173805,22,-95.8703971248616,1.1733967,1.0
-93.5713980410486,2300,410.75,0.1009681630378145,-446.06076046970156,157,100,41075,1.5256675,-25.93298452173805,23,-95.31167120461552,1.935017,1.0
-93.61672157370077,2400,500.0,0.1012031989087189,-492.557519877959,500,100,50000,2.8441083,-25.93298452173805,24,-94.65916282470067,4.0358405,1.0
-93.70068426771954,2500,60.61,0.06627054885016496,-154.48588447025864,48,100,6061,1.493559,-25.93298452173805,25,-95.71578892417033,1.6318475,1.0
-93.75170235954722,2600,185.68,0.08755374500119795,-265.6417147594007,68,100,18568,1.314435,-25.93298452173805,26,-95.02715465523924,1.9446794,1.0
-93.82643921848725,2700,64.89,0.060875002982615695,-158.7464297318438,49,100,6489,2.7591193,-25.93298452173805,27,-95.76959755092784,3.4422998,1.0
-93.90122359594625,2800,53.67,0.05986664274088113,-147.82190916320312,36,100,5367,2.0624654,-25.93298452173805,28,-95.92040178733933,3.4773908,1.0
-93.9654420320505,2900,44.91,0.05551036358619812,-138.9195702115292,24,100,4491,4.13192,-25.93298452173805,29,-95.76355824296913,6.055246,1.0
-94.05595800717082,3000,29.27,0.03765061923342016,-124.56588133895121,16,100,2927,2.6171968,-25.93298452173805,30,-96.68092128566039,4.464948,1.0
-94.13547475740182,3100,28.13,0.031862021474684046,-123.27232026069053,16,100,2813,2.692135,-25.93298452173805,31,-96.52097726433237,2.710472,1.0
-94.21864277266599,3200,26.59,0.027468537008294724,-122.0598312989745,16,100,2659,4.959471,-25.93298452173805,32,-96.79685124585494,6.2988777,1.0
-94.29621005972032,3300,30.36,0.039495981251433804,-125.75619188410937,16,100,3036,0.9664734,-25.93298452173805,33,-96.77836324545889,1.0879983,1.0
-94.36410736985597,3400,30.08,0.03797675057502861,-125.27955832052419,17,100,3008,1.9925424,-25.93298452173805,34,-96.60471860433256,3.4149632,1.0
-94.44797975004623,3500,33.95,0.03260252009352186,-129.87593665927238,17,100,3395,1.8283194,-25.93298452173805,35,-97.29964067651426,2.6938436,1.0
-94.52017159886032,3600,33.17,0.047028035604720735,-128.82599185538297,15,100,3317,2.1384995,-25.93298452173805,36,-97.04688630735325,2.4189236,1.0
-94.58979739473439,3700,29.37,0.04761021177472718,-125.14529982728737,14,100,2937,2.5662842,-25.93298452173805,37,-97.0963260462017,3.5670772,1.0
-94.64632205258948,3800,35.16,0.05043382781601066,-130.4563297253506,17,100,3516,2.2652888,-25.93298452173805,38,-96.73773439322784,2.8906395,1.0
-94.69284833766254,3900,33.3,0.049117769106369696,-128.32289914876802,19,100,3330,1.613765,-25.93298452173805,39,-96.4608471704387,2.4094033,1.0
-94.73030701127026,4000,31.08,0.05068315532824978,-125.79198719640019,19,100,3108,2.0176766,-25.93298452173805,40,-96.19119528197157,2.7424917,1.0
-94.78122729150726,4100,29.1,0.026954812508302752,-124.55630977498413,18,100,2910,4.376677,-25.93298452173805,41,-96.81803850098686,5.7552547,1.0
-94.80007050463647,4200,22.07,0.024837636190190394,-116.17661298356388,12,100,2207,1.272598,-25.93298452173805,42,-95.57264224293398,1.8114388,1.0
-94.82542316583259,4300,21.16,0.026846534937162124,-115.64577588212255,12,100,2116,2.4592955,-25.93298452173805,43,-95.89023493606953,3.3825016,1.0
-94.85152724228432,4400,25.42,0.037588607326863574,-119.9708307410837,13,100,2542,1.0158464,-25.93298452173805,44,-95.97400252970886,1.1417528,1.0
-94.88602870573698,4500,23.27,0.027801867290405825,-118.33880163038754,13,100,2327,2.2200708,-25.93298452173805,45,-96.40409309765366,2.5643759,1.0
-94.92995099922074,4600,25.38,0.022475193092761702,-121.00741435442103,15,100,2538,4.323005,-25.93298452173805,46,-96.90645420599024,4.587613,1.0
-94.97274288946886,4700,34.72,0.04972682314127921,-130.2765348516352,15,100,3472,1.7573476,-25.93298452173805,47,-96.94116984088362,2.23517,1.0
-95.01890225400258,4800,42.59,0.05891763359806596,-138.35622128092902,15,100,4259,0.9383991,-25.93298452173805,48,-97.18839238708641,1.4335362,1.0
-95.06533707842411,4900,39.97,0.05453048389361914,-135.88097164567046,15,100,3997,1.6822369,-25.93298452173805,49,-97.29420865065703,2.4571376,1.0
-95.11451702350205,5000,36.69,0.04526948519571511,-132.8851229533174,16,100,3669,2.2081404,-25.93298452173805,50,-97.52433433232154,2.4603863,1.0
