MountainCar_std1_higher,NumTrajectories,VarJ,StepSize,ReturnMax,MountainCar_mu1_higher,BatchSize,NatGrad2Norm,AvgEpLen,MountainCar_std0_higher,J,ActionIn1,ReturnMean,MountainCar_mu0_higher,TimestepsSoFar,MinEpLen,Iteration,NatGradInftyNorm,AvgRet
1.5,100,0.0005529518441252606,0.0001,-0.00010227112839682561,-0.8971903,100,0.02461328,500.0,0.14999999,-0.45628552085709834,3.768553,-0.45628552085709834,-0.4416444,50000,500,1,0.024601443,-2.2992829136054445
1.5,200,0.0009180741854172583,0.0001,-0.00010227112839682561,-0.8971902,100,0.1199468,500.0,0.14999999,-0.5251685502224184,-1.0504678,-0.4907270355397583,-0.44164193,50000,500,2,0.10606984,-2.6487306249695375
1.5,300,0.0006822891483347271,0.0001,-0.00010227112839682561,-0.8971796,100,0.044401143,500.0,0.14999999,-0.5109423230920374,-1.4804158,-0.4974654647238514,-0.44163632,50000,500,3,0.043345492,-2.5746147300944973
1.5,400,0.0005908789038877343,0.0001,-0.00010227112839682561,-0.89718056,100,0.07026612,500.0,0.14999999,-0.44193117460076187,1.6028318,-0.4835818921930789,-0.441632,50000,500,4,0.06658329,-2.2277002033519686
1.5,500,0.0010503639525294608,0.0001,-0.00010227112839682561,-0.89718723,100,0.19072601,500.0,0.14999999,-0.5179395124270498,-3.7173424,-0.49045341623987315,-0.44162977,50000,500,5,0.18151225,-2.608267297319708
1.5,600,0.0008224220161720909,0.0001,-0.00010227112839682561,-0.89716905,100,0.03331531,500.0,0.14999999,-0.4461766208385527,-2.0684507,-0.4830739503396531,-0.4416239,50000,500,6,0.032471154,-2.2460443113183226
1.5,700,0.0010283977591717959,0.0001,-0.00010227112839682561,-0.8971683,100,0.1992609,500.0,0.14999999,-0.5004904437903018,-1.6017348,-0.48556202083260297,-0.44162065,50000,500,7,0.19170497,-2.5204619650346953
1.5,800,0.0010245535964669543,0.0001,-0.00010227112839682561,-0.8971491,100,0.11072887,500.0,0.14999999,-0.49937439763412816,-0.46813765,-0.48728856793279346,-0.44161522,50000,500,8,0.09694763,-2.5167193004216393
1.5,900,0.0008635187240571938,0.0001,-0.00010227112839682561,-0.8971394,100,0.16693164,500.0,0.14999999,-0.5011605717411338,-0.48631775,-0.4888299016892758,-0.44160986,50000,500,9,0.1600952,-2.525368701876162
1.5,1000,0.0008115059159597893,0.0001,-0.00010227112839682561,-0.8971554,100,0.10108548,500.0,0.14999999,-0.5002645882050513,-2.0406532,-0.4899733703408533,-0.44160512,50000,500,10,0.0905277,-2.5224443140622896
1.5,1100,0.0007268555431640847,0.0001,-0.00010227112839682561,-0.89716446,100,0.07089611,500.0,0.14999999,-0.48838635037159883,-0.31213313,-0.4898290957981938,-0.44160062,50000,500,11,0.059597842,-2.46046325406959
1.5,1200,0.0008356566693316918,0.0001,-0.00010227112839682561,-0.8971585,100,0.045450512,500.0,0.14999999,-0.4978273490997745,-1.6253936,-0.49049561690665894,-0.44159678,50000,500,12,0.045428887,-2.507321650316419
1.5,1300,0.0007445626903606107,0.0001,-0.00010227112839682561,-0.8971584,100,0.061603393,500.0,0.14999999,-0.43781663622064265,-2.2944317,-0.48644338762311917,-0.44159225,50000,500,13,0.05489866,-2.2047604515966697
1.5,1400,0.0007372170991158914,0.0001,-0.00010227112839682561,-0.8971529,100,0.16131184,500.0,0.14999999,-0.5216027902726182,-2.1537652,-0.48895477352665484,-0.44158944,50000,500,14,0.15380713,-2.626136397006947
1.5,1500,0.0006848866933366839,0.0001,-0.00010227112839682561,-0.8971683,100,0.15959106,500.0,0.14999999,-0.44940048684374945,-2.314952,-0.48631782108112775,-0.4415846,50000,500,15,0.15702023,-2.262753202018553
1.5,1600,0.000627870155732308,0.0001,-0.00010227112839682561,-0.8971526,100,0.057206,500.0,0.14999999,-0.510367062211471,-1.5484111,-0.48782089865177425,-0.44158173,50000,500,16,0.04101444,-2.569635444706275
1.5,1700,0.0011545068200238763,0.0001,-0.00010227112839682561,-0.8971486,100,0.0908203,500.0,0.14999999,-0.5386935153325372,-2.23157,-0.4908134055153486,-0.4415776,50000,500,17,0.068081915,-2.714447724994325
1.5,1800,0.0007751350385921927,0.0001,-0.00010227112839682561,-0.8971426,100,0.08563609,500.0,0.14999999,-0.5222382316033476,-1.372853,-0.49255922918690404,-0.44157082,50000,500,18,0.06925258,-2.6302695829498424
