MountainCar_mu0_higher,NumTrajectories,NatGrad2Norm,MountainCar_std0_higher,ReturnMean,StepSize,AvgRet,J,ReturnMax,MountainCar_std1_higher,TimestepsSoFar,MinEpLen,BatchSize,NatGradInftyNorm,AvgEpLen,VarJ,Iteration,ActionIn1,MountainCar_mu1_higher
-0.79315424,100,0.09087578,0.14999999,-1.3725902458163028,1.0,-6.942817822256652,-1.3725902458163028,-0.6084713348704734,1.5,50000,500,100,0.090568066,500.0,0.0017670129832850325,1,-1.5687647,0.60902077
-0.7025862,200,0.2505472,0.14999999,-1.2401526432193812,1.0,-5.602995117080768,-1.1077150406224598,-0.42317108147915106,1.5,50000,500,100,0.24087782,500.0,0.0014259795913617243,2,-1.004717,0.616493
-0.633653,300,0.08700416,0.14999999,-1.1236050256322285,1.0,-4.497707543744232,-0.890509790457923,-0.19435016681129985,1.5,50000,500,100,0.07258579,500.0,0.001269221966798221,3,-0.26875332,0.37561518
-0.58568394,400,0.068488345,0.14999999,-1.0449224888015494,1.0,-4.0871356971005754,-0.808874878309512,-0.19435016681129985,1.5,50000,500,100,0.054701205,500.0,0.0011205887878851261,4,1.510956,0.44820097
-0.53098273,500,0.20749778,0.14999999,-0.9744964239761906,1.0,-3.498006722396612,-0.6927921646747549,-0.10945402447322237,1.5,50000,500,100,0.19987579,500.0,0.0010641343696373856,5,-2.245324,0.40698895
-0.47526023,600,0.20106968,0.14999999,-0.9026121853897547,1.0,-2.7549149385159155,-0.5431909924575754,-0.05153530078324532,1.5,50000,500,100,0.19566254,500.0,0.0010787033948361658,6,1.6559815,0.60686475
-0.42894408,700,0.046207137,0.14999999,-0.8387723338452852,1.0,-2.3058320298343116,-0.45573322457846815,-0.001880223476315035,1.5,50000,500,100,0.03990326,500.0,0.0008372566913742634,7,2.260253,0.4112022
-0.38904083,800,0.046326235,0.14999999,-0.785779186096091,1.0,-2.0924113418920625,-0.4148271518517316,-0.001880223476315035,1.5,50000,500,100,0.04220667,500.0,0.0006851326426697006,8,-0.021522477,0.4345009
-0.34683415,900,0.031050542,0.14999999,-0.7302145077288384,1.0,-1.4434972084338853,-0.28569708079081824,-0.001880223476315035,1.5,50000,500,100,0.0245766,500.0,0.0003939964039440658,9,0.8864336,0.45359847
-0.32785714,1000,0.046849165,0.14999999,-0.6907172615435063,1.0,-1.6893062299632746,-0.3352420458755173,-0.00024280444454897372,1.5,50000,500,100,0.03853013,500.0,0.00046856551142669136,10,-0.14197358,0.42902187
-0.289327,1100,0.044214625,0.14999999,-0.6503913076898152,1.0,-1.24708203496922,-0.24713176915290455,-0.00024280444454897372,1.5,50000,500,100,0.03161122,500.0,0.00048290253939278343,11,-1.7894514,0.4023709
-0.25771576,1200,0.057663217,0.14999999,-0.6176948502224507,1.0,-1.3068832564491943,-0.25803381808144144,-0.00024280444454897372,1.5,50000,500,100,0.046158083,500.0,0.0005876169299277652,12,-0.519813,0.4332847
-0.21155769,1300,0.025357792,0.14999999,-0.5819394545552792,1.0,0.18525488458545392,-0.15287470654922045,0.5264412477771757,1.5,49999,499,100,0.024545847,499.99,0.0003536609142610628,13,-1.1179463,0.39872348
