Regret,IWMean,ReturnMean,ReturnStepMax,DenMISEMeanLog,ReturnLastEpisode,DenMISELogFirst,DenMISELogLast,IWMin,ReturnAbsMax,TimeElapsed,Bound,IWLastEpisode,Regret/t,Iteration,TimestepsSoFar,ReturnMin,LQGmu1_higher,IWFirstEpisode,Delta,IWMax,LQGmu1_actor,LQGsigma_higher,ReturnMax
17.4,1.0,,,-1.6393774,,-1.6393774,-1.6393774,,,0.050462961196899414,,1.0,17.4,1,20,,-0.1,1.0,0.0012158542,1.0,-1.0118196,1.0,
17.602482,,8.598759,18.986778,-1.4870117,17.197517,-1.6393774,-1.334646,,17.197517,2.8153505325317383,10213.4795,,8.801241,2,40,,1.0,,0.00030396355,,0.99997,4.539993e-05,17.197517
35.001934,,5.7326875,18.986778,1.3265022,0.0005459275,-2.0448425,7.7644606,,17.197517,5.327339172363281,10479.183,,11.667313,3,60,,0.9591837,,0.00013509492,,0.9592307,4.539993e-05,17.197517
51.67469,,4.4813275,18.986778,2.568703,0.7272471,-2.3325245,7.158351,,17.197517,7.880521297454834,10585.45,,12.918673,4,80,,0.9183673,,7.599089e-05,,0.91837335,4.539993e-05,17.197517
67.64899,,3.8702023,18.986778,3.369025,1.4257013,-2.555668,7.462887,,17.197517,10.619690179824829,10613.256,,13.529798,5,100,,0.877551,,4.8634163e-05,,0.8775498,4.539993e-05,17.197517
82.955765,,3.5740383,18.986778,3.8704216,2.0932171,-2.7379897,7.289014,,17.197517,13.13329291343689,10597.304,,13.825961,6,120,,0.8367347,,3.377373e-05,,0.8367632,4.539993e-05,17.197517
97.625946,,3.4534361,18.986778,4.1765623,2.7298238,-2.8921404,6.9383087,,17.197517,15.625893354415894,10574.906,,13.946564,7,140,,-1.0,,2.4813347e-05,,-1.0000226,4.539993e-05,17.197517
97.82167,,5.1722913,18.99446,4.3973074,17.204277,-3.0256717,6.8772407,,17.204277,17.938165187835693,10691.839,,12.227709,8,160,,0.79591835,,1.8997722e-05,,0.7959959,4.539993e-05,17.204277
111.8858,,4.968243,18.99446,4.40684,3.3358588,-3.1434548,5.4253697,,17.204277,20.45678687095642,10634.266,,12.431757,9,180,,-0.9591837,,1.5010546e-05,,-0.959221,4.539993e-05,17.204277
112.04887,,6.195113,19.026628,4.515415,17.236948,-3.2488153,6.440835,,17.236948,23.021016359329224,10736.257,,11.204886,10,200,,0.75510204,,1.2158541e-05,,0.7550394,4.539993e-05,17.236948
125.53463,,5.9877605,19.026628,4.53931,3.9142315,-3.3441255,5.731355,,17.236948,25.52279829978943,10661.182,,11.412239,11,220,,-0.9183673,,1.0048381e-05,,-0.9183878,4.539993e-05,17.236948
125.66545,,6.927878,19.05851,4.6225095,17.26917,-3.4311368,6.494834,,17.26917,28.349230766296387,10743.653,,10.472122,12,240,,0.71428573,,8.443432e-06,,0.7142022,4.539993e-05,17.26917
138.60495,,6.7380805,19.05851,4.5641904,4.460508,-3.5111794,4.824872,,17.26917,30.857747793197632,10660.033,,10.661919,13,260,,-0.877551,,7.194403e-06,,-0.8775858,4.539993e-05,17.26917
138.71016,,7.4921308,19.084358,4.6085167,17.294786,-3.5852876,6.148163,,17.294786,33.35311937332153,10725.458,,9.907869,14,280,,0.67346936,,6.203337e-06,,0.6735189,4.539993e-05,17.294786
151.13564,,7.3242908,19.084358,4.6220884,4.97453,-3.6542804,5.77799,,17.294786,35.746257305145264,10638.421,,10.075708,15,300,,-0.8367347,,5.403797e-06,,-0.8366933,4.539993e-05,17.294786
151.20178,,7.9498878,19.123178,4.640971,17.333841,-3.718819,5.892294,,17.333841,38.15634489059448,10702.975,,9.450111,16,320,,0.63265306,,4.7494304e-06,,0.6326541,4.539993e-05,17.333841
