ReturnMean,GridSize,LQGmu1_higher,Bound,IWMax,TimeElapsed,Iteration,IWMin,ReturnLastEpisode,Delta,LQGsigma_higher,IWLastEpisode,IWFirstEpisode,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnAbsMax,Regret,Regret/t,ReturnMin,IWMean,LQGmu1_actor,ReturnMax,ReturnStepMax,DenMISEMeanLog
0.14241993,10,1.0,4.727735,3.3850876e-05,0.039188385009765625,1,,0.14241993,0.0060792705,0.01831564,3.3850876e-05,3.3850876e-05,-1.6393774,-1.6393774,20,0.14241993,0.8227001,0.8227001,,3.3850876e-05,0.98329943,0.14241993,0.13678852,-1.6393774
0.15690336,10,-1.0,5.8051,,0.6389877796173096,2,,0.1713868,0.0015198176,0.01831564,,,-2.3324907,1.9875245,40,0.1713868,1.6164334,0.8082167,,,-1.012087,0.1713868,0.16620709,-0.17248309
0.4231683,10,0.7777778,33.996387,2.0385755e-27,0.9356174468994141,3,,0.95569813,0.0006754746,0.01831564,,,-2.7379558,1.7796081,60,0.95569813,1.6258551,0.5419517,,6.7952514e-28,0.7967452,0.95569813,0.9986585,0.2079039
0.39564246,10,-0.7777778,32.66799,1.4206595e-35,1.2090585231781006,4,,0.31306493,0.0003799544,0.01831564,,,-3.0256379,1.1792784,80,0.95569813,2.2779102,0.56947756,,3.551649e-36,-0.7753377,0.95569813,0.9986585,0.23498598
0.50770843,10,0.5555556,33.342552,1.8511355e-37,1.470762014389038,5,,0.9559724,0.00024317083,0.01831564,,,-3.2487814,1.4773529,100,0.9559724,2.2870579,0.4574116,,3.702271e-38,0.55506605,0.9559724,0.99894947,0.30494455
0.5057942,10,1.0,33.31755,4.8394556,1.735947847366333,6,,0.49622324,0.00016886865,0.0285655,,0.90058213,-3.431103,1.3036207,120,0.9559724,2.7559545,0.4593258,,0.95667297,1.0179234,0.9559724,0.99894947,0.31945592
0.45668617,10,-0.5555556,32.790886,3.758256e-31,1.999335527420044,7,,0.16203772,0.00012406673,0.01831564,,,-3.4454074,1.2800626,140,0.9559724,3.5590372,0.5084338,,5.368937e-32,-0.5646709,0.9559724,0.99894947,0.42902485
0.5191493,10,0.33333334,33.124695,1.1797221e-31,2.2640936374664307,8,,0.9563913,9.49886e-05,0.01831564,,,-3.5789387,0.8962149,160,0.9563913,3.5677657,0.4459707,,1.4746527e-32,0.36460587,0.9563913,0.99939233,0.3705836
0.52766836,10,-0.33333334,32.44344,2.280616e-34,2.584047317504883,9,,0.5958212,7.5052725e-05,0.01831564,,,-3.6967218,-0.50556034,180,0.9563913,3.9370646,0.43745166,,2.534018e-35,-0.34837556,0.9563913,0.99939233,0.16853826
0.570495,10,0.11111111,32.720478,,2.927995204925537,10,,0.955935,6.0792707e-05,0.01831564,,,-3.8020823,0.46580625,200,0.9563913,3.94625,0.394625,,,0.085848354,0.9563913,0.99939233,0.1034406
0.5950496,10,-1.0,32.72679,7.899279,3.2355639934539795,11,,0.8405955,5.0241906e-05,0.0285655,,,-3.8973925,-0.22251572,220,0.9563913,4.0707746,0.3700704,,0.7181163,-1.0128742,0.9563913,0.99939233,-0.012837431
0.62510264,10,-0.11111111,32.960983,2.2989182e-24,3.5028653144836426,12,,0.9556856,4.221716e-05,0.01831564,,,-3.9844038,0.91274613,240,0.9563913,4.0802083,0.34001738,,1.9157651e-25,-0.14479132,0.9563913,0.99939233,0.029636482
0.6499938,10,0.7777778,32.526054,11.195905,3.769928216934204,13,,0.9486869,3.5972018e-05,0.0285655,,1.6498642e-25,-4.0644464,-1.0800081,260,0.9563913,4.0966415,0.31512624,,0.86122346,0.75586426,0.9563913,0.99939233,-0.1296064
0.6280348,10,-0.7777778,30.664318,8.89274,4.036791801452637,14,,0.34256878,3.1016683e-05,0.0285655,,,-4.1385546,0.42105824,280,0.9563913,4.7191935,0.33708525,,0.63519573,-0.74660254,0.9563913,0.99939233,-0.11471387
0.6498881,10,0.5555556,30.346403,9.479582,4.326901197433472,15,,0.95583445,2.7018985e-05,0.0285655,,,-4.207547,-0.13245562,300,0.9563913,4.7284784,0.31523192,,0.63197213,0.5816054,0.9563913,0.99939233,-0.1475058
0.639586,10,1.0,29.977753,50.739025,4.602763414382935,16,,0.48505414,2.374715e-05,0.044551425,5.791346e-19,50.739025,-4.272086,0.08691951,320,0.9563913,5.2085447,0.32553405,,3.8157816,1.0009849,0.9563913,0.99939233,-0.16274726
0.6108754,10,0.33333334,29.445438,24.020563,4.881722927093506,17,,0.15150622,2.1035537e-05,0.0285655,,,-2.9045095,0.97072756,340,0.9563913,6.0221577,0.3542446,,1.4129744,0.29320875,0.9563913,0.99939233,-0.03625285
0.61380917,10,-0.5555556,29.544945,12.187598,5.1591269969940186,18,,0.66368276,1.8763181e-05,0.0285655,,,-2.961668,-0.8683738,360,0.9563913,6.323595,0.35131085,,0.6770888,-0.5607618,0.9563913,0.99939233,-0.08752806
0.6318297,10,-0.11111111,29.070246,29.995068,5.468142032623291,19,,0.9561987,1.6840086e-05,0.0285655,,,-3.0157351,0.61130035,380,0.9563913,6.3325167,0.33329034,,1.5786878,-0.12245481,0.9563913,0.99939233,-0.07475554
0.6480118,10,0.11111111,28.912268,21.453886,5.813746929168701,20,,0.9554731,1.5198177e-05,0.0285655,2.7122083e-14,,-3.0670285,0.44743705,400,0.9563913,6.342164,0.3171082,,1.0726943,0.08437985,0.9563913,0.99939233,-0.050010525
0.65809095,10,-0.33333334,28.932495,16.02422,6.171481370925903,21,,0.8596735,1.3785194e-05,0.0285655,,,-3.1158187,-0.21634947,420,0.9563913,6.447611,0.30702907,,0.76305807,-0.37219033,0.9563913,0.99939233,-0.06969112
0.67164034,10,-1.0,27.945517,6.320568,6.531362533569336,22,,0.95617694,1.25604765e-05,0.044551425,,,-3.1623387,-0.98494035,440,0.9563913,6.4565544,0.29347968,,0.56979865,-0.8995361,0.9563913,0.99939233,-0.12992384
0.6840099,10,0.7777778,27.471272,8.555574,6.854689836502075,23,,0.9561391,1.1492007e-05,0.044551425,,9.117905e-10,-3.2067904,-3.1111853,460,0.9563913,6.4655323,0.2811101,,0.70983046,0.72970146,0.9563913,0.99939233,-0.28026482
0.67049044,10,-0.7777778,26.240154,12.804551,7.177056074142456,24,,0.3595445,1.055429e-05,0.044551425,,,-3.24935,-0.9407052,480,0.9563913,7.07111,0.29462957,,0.99185747,-0.7614713,0.9563913,0.99939233,-0.32326412
