IWMin,ReturnMean,IWMax,ReturnAbsMax,Regret/t,LQGmu1_higher,Iteration,ReturnMin,DenMISELogFirst,ReturnMax,TimestepsSoFar,ReturnLastEpisode,ReturnStepMax,LQGmu1_actor,Delta,IWFirstEpisode,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,IWLastEpisode,DenMISELogLast,IWMean,TimeElapsed
,0.9546433,,0.9546433,0.010476708,1.0,1,,-0.9351508,0.9546433,20,0.9546433,0.99761283,1.0130767,0.0012158542,,36.34559,0.01831564,0.010476708,-0.9351508,,-0.9351508,,0.0321807861328125
,0.5537801,3.9808874e-06,0.9546433,0.41133994,0.9183673,2,,-1.628298,0.9546433,40,0.15291679,0.99761283,0.9220609,0.00030396355,,38.23334,0.01831564,0.8226799,0.25869262,3.9808874e-06,2.1456833,1.9904437e-06,11.419988870620728
,0.4510262,5.8661957e-05,0.9546433,0.5140938,0.8367347,3,,-2.0337632,0.9546433,60,0.24551854,0.99761283,0.8212666,0.00013509492,,38.53306,0.01831564,1.5422814,0.55990547,5.8661957e-05,1.9732594,1.9553985e-05,22.85558295249939
,0.41921258,,0.9546433,0.54590744,-1.0,4,,-2.3214452,0.9546433,80,0.32377172,0.99761283,-1.0072843,7.599089e-05,,39.092674,0.01831564,2.1836298,0.5429532,,1.3551232,,34.46805143356323
,0.5265533,0.9738664,0.9559161,0.43856674,0.9591837,5,,-2.5445888,0.9559161,100,0.9559161,0.9989077,0.96790653,4.8634163e-05,,39.33243,0.021563897,2.192834,0.5369651,,1.4055868,0.24241284,46.081411838531494
,0.47358945,0.012356939,0.9559161,0.49153057,0.75510204,6,,-2.7269104,0.9559161,120,0.20877047,0.9989077,0.74146175,3.377373e-05,,39.988804,0.01831564,2.9491832,0.55344117,2.816912e-29,1.3229331,0.0020594897,57.560773611068726
,0.45966846,5.7019643e-05,0.9559161,0.50545156,-0.9183673,7,,-2.881061,0.9559161,140,0.37614235,0.9989077,-0.9268035,2.4813347e-05,,39.963413,0.01831564,3.538161,0.46749422,,0.8746594,8.145663e-06,69.04044556617737
,0.52170753,0.010561938,0.95598096,0.44341248,0.67346936,8,,-3.0145924,0.95598096,160,0.95598096,0.9989677,0.6687037,1.8997722e-05,,39.750015,0.01831564,3.5472999,0.40600374,,0.9102817,0.0013202423,80.73333525657654
,0.50734425,0.76715493,0.95598096,0.45777577,0.877551,9,,-3.1323755,0.95598096,180,0.3924377,0.9989677,0.9079295,1.5010546e-05,,39.931427,0.021563897,4.119982,0.35234293,3.3382208e-20,0.8640017,0.124842405,92.3776786327362
,0.48321143,201.75124,0.95598096,0.4819086,-0.30612245,10,,-3.237736,0.95598096,200,0.26601592,0.9989677,-0.31903827,1.2158541e-05,201.75124,40.020973,0.01831564,4.819086,0.3326475,,0.9829889,20.175123,104.0646321773529
,0.52620083,6.75856e-05,0.95609486,0.4389192,-0.8367347,11,,-0.28021932,0.95609486,220,0.95609486,0.9990837,-0.84025425,1.0048381e-05,,40.338768,0.01831564,4.8281116,0.5348543,,0.45719716,6.1441456e-06,115.74835896492004
,0.56203675,0.0018330237,0.95623237,0.40308326,0.59183675,12,,-0.36723068,0.95623237,240,0.95623237,0.99921244,0.5883668,8.443432e-06,,40.001812,0.01831564,4.836999,0.45984742,,0.59189075,0.00015275198,127.5315797328949
,0.55562675,7.4607787,0.95623237,0.40949327,0.79591835,13,,-0.4472734,0.95623237,260,0.47870594,0.99921244,0.77436405,7.194403e-06,,39.907524,0.021563897,5.323413,0.3900463,8.4724776e-20,0.51279306,0.6192812,139.1998999118805
,0.5415114,0.00028472405,0.95623237,0.4236086,-0.75510204,14,,-0.5213814,0.95623237,280,0.3580128,0.99921244,-0.7549016,6.203337e-06,,40.027874,0.01831564,5.9305205,0.3677163,,0.5428934,2.0337433e-05,150.86525464057922
,0.56915444,10.836393,0.95623237,0.39596558,1.0,15,,-0.59037423,0.95623237,300,0.9561564,0.99921244,1.0195792,5.403797e-06,,40.0464,0.027547687,5.9394836,0.30465457,,0.3876701,1.0600165,162.50030899047852
,0.5426166,4.822377,0.95623237,0.4225034,-0.9591837,16,,-0.65491277,0.95623237,320,0.14454958,0.99921244,-0.9710584,4.7494304e-06,,40.126564,0.021563897,6.7600546,0.3031271,,0.4108731,0.37679172,174.27360343933105
,0.5669193,0.0018933298,0.95623237,0.3982007,0.5102041,17,,-0.71553737,0.95623237,340,0.9557626,0.99921244,0.50627935,4.207108e-06,,40.097263,0.01831564,6.769411,0.26519558,,0.29215923,0.00011137234,186.25786352157593
,0.56551725,0.0009046506,0.95623237,0.39960277,-0.67346936,18,,-0.7726958,0.95623237,360,0.5416828,0.99921244,-0.6529951,3.7526365e-06,,39.846397,0.01831564,7.192849,0.20666483,,0.18322378,5.0258368e-05,197.80354833602905
