LQGmu1_higher,Delta,ReturnMax,Regret/t,IWMean,DenMISEMeanLog,ReturnMin,IWFirstEpisode,DenMISELogFirst,Iteration,ReturnAbsMax,LQGmu1_actor,ReturnStepMax,TimeElapsed,IWMax,ReturnMean,ReturnLastEpisode,LQGsigma_higher,Regret,Bound,TimestepsSoFar,IWLastEpisode,DenMISELogLast,IWMin
-0.9591837,0.0012158542,0.95508873,0.010031283,5.2818966,-1.2525721,,5.2818966,-1.2525721,1,0.95508873,-0.9527167,0.9981212,0.0265047550201416,5.2818966,0.95508873,0.95508873,0.01831564,0.010031283,37.36089,20,5.2818966,-1.2525721,
1.0,0.00030396355,0.95530903,0.0099211335,,1.1154966,,,-0.108047366,2,0.95530903,0.96239895,0.9983415,11.303343534469604,,0.9551989,0.95530903,0.01831564,0.019842267,39.950623,40,,2.3390405,
0.9183673,0.00013509492,0.95530903,0.27705812,0.42120662,0.45914268,,,-0.5135125,3,0.95530903,0.9279048,0.9983415,22.584864139556885,1.2636199,0.6880619,0.1537877,0.01831564,0.8311744,40.19462,60,1.2636199,-0.04263491,
-0.9183673,7.599089e-05,0.95530903,0.40102023,10.531496,0.6094641,,41.12276,-0.80119455,4,0.95530903,-0.8894948,0.9983415,34.09903430938721,41.12276,0.5640998,0.19221361,0.021563897,1.6040809,39.892414,80,,1.5719682,
0.8367347,4.8634163e-05,0.9555445,0.32273132,4.7093154e-06,0.9288228,,,1.3987542,5,0.9555445,0.8353607,0.9985859,45.59223246574402,2.3544977e-05,0.6423887,0.9555445,0.01831564,1.6136565,40.720795,100,,0.45195112,
0.9591837,3.377373e-05,0.9555445,0.38463306,4.813474,0.83847046,,,1.2164327,6,0.9555445,0.97480065,0.9985859,56.835755348205566,26.868538,0.58048695,0.27097785,0.021563897,2.3077984,40.729492,120,3.4955036e-07,1.2983121,
0.75510204,2.4813347e-05,0.9555445,0.44655377,6.706414e-05,1.0413989,,,1.0622821,7,0.9555445,0.7821365,0.9985859,68.20595335960388,0.00046944898,0.51856625,0.14704221,0.01831564,3.1258764,40.56667,140,3.7645982e-31,1.1938974,
0.67346936,1.8997722e-05,0.9555445,0.47331962,6.298078e-08,0.7921009,,,0.92875063,8,0.9555445,0.67523384,0.9985859,79.76058292388916,5.0384625e-07,0.4918004,0.30443943,0.01831564,3.786557,39.731373,160,5.0384625e-07,-0.018332073,
0.877551,1.5010546e-05,0.9555445,0.48679766,0.17173724,0.698594,,,0.8109676,9,0.9555445,0.88276094,0.9985859,91.31639075279236,1.1172678,0.47832236,0.37049806,0.021563897,4.381179,39.922264,180,5.818894e-19,0.89280295,
-0.8367347,1.2158541e-05,0.9555445,0.5121809,0.043825187,0.63121176,,0.00075067865,0.7056071,10,0.9555445,-0.81281006,0.9985859,102.82490038871765,0.43750113,0.4529391,0.22448981,0.01831564,5.1218095,40.008957,200,,0.8094754,
0.79591835,1.0048381e-05,0.9555445,0.466526,2.0607927,0.47861412,,,0.610372,11,0.9555445,0.8075002,0.9985859,114.3659131526947,21.11988,0.49859402,0.9551433,0.021563897,5.1317863,39.735043,220,,-0.13715607,
0.59183675,8.443432e-06,0.9555445,0.48379096,3.119173e-05,0.5128511,,,0.5233606,12,0.9555445,0.61519027,0.9985859,125.9458339214325,0.00037430075,0.48132905,0.2914146,0.01831564,5.8054914,39.972984,240,8.954274e-30,0.6432407,
-1.0,7.194403e-06,0.9555445,0.48932707,0.064976424,0.38016656,,0.0070321183,0.44331792,13,0.9555445,-0.9970167,0.9985859,137.44176626205444,0.8376032,0.47579294,0.40935975,0.021563897,6.361252,40.08056,260,,-0.25156754,
-0.75510204,6.203337e-06,0.9555445,0.4550928,0.015870476,0.3183172,,1.7354738e-16,0.36975074,14,0.9555445,-0.76766074,0.9985859,149.05387806892395,0.22218667,0.5100272,0.9550724,0.01831564,6.3712997,40.01422,280,1.8872715e-37,0.41469392,
1.0,5.403797e-06,0.9556556,0.42538428,0.68497026,0.24424008,,,0.30075786,15,0.9556556,0.9917529,0.998695,160.43483519554138,6.188687,0.53973573,0.9556556,0.027547687,6.380764,39.94417,300,,0.15731487,
0.5102041,4.7494304e-06,0.9556556,0.4512828,1.5802239e-07,0.26208374,,,0.23621933,16,0.9556556,0.52248055,0.998695,171.99164628982544,2.5283582e-06,0.5138372,0.12535875,0.01831564,7.220525,39.876286,320,,0.9079854,
-0.67346936,4.207108e-06,0.9556556,0.4544549,2.242647e-06,0.19213066,,8.216181e-38,0.1755947,17,0.9556556,-0.672052,0.998695,183.68703365325928,3.812499e-05,0.5106651,0.4599121,0.01831564,7.725733,39.6397,340,,0.042874716,
-0.79591835,3.7526365e-06,0.95581526,0.42972428,1.8440022,0.13876314,,2.4253704e-06,0.1184363,18,0.95581526,-0.76030993,0.9988446,195.18510389328003,25.15049,0.53539574,0.95581526,0.021563897,7.735037,39.480934,360,1.0329867e-06,0.20320679,
0.71428573,3.3680174e-06,0.95581526,0.40762693,0.16914172,0.16215487,,,0.06436921,19,0.95581526,0.76151276,0.9988446,206.5711510181427,3.102919,0.5574931,0.9552463,0.021563897,7.744911,39.63314,380,,0.31271532,
0.42857143,3.0396352e-06,0.95581526,0.42006975,2.401434e-06,0.12933047,,,0.013075914,20,0.95581526,0.4501861,0.9988446,217.95746397972107,4.802868e-05,0.54505026,0.30863565,0.01831564,8.401396,39.669624,400,,0.32315472,
-0.59183675,2.7570386e-06,0.95581526,0.42167217,6.752664e-05,0.04719638,,,-0.03571425,21,0.95581526,-0.5734182,0.9988446,229.38247752189636,0.0014180595,0.54344785,0.51140016,0.01831564,8.855116,39.450256,420,,-0.6196845,
0.63265306,2.5120953e-06,0.95581526,0.40293938,1.4214543,-0.02157079,,,-0.08223426,22,0.95581526,0.6617695,0.9988446,240.8041968345642,29.006159,0.56218064,0.9555694,0.021563897,8.864667,39.39216,440,,-0.48882845,
0.9183673,2.2984013e-06,0.95581526,0.4111936,0.99144197,-0.01623016,,,-0.12668602,23,0.95581526,0.9141513,0.9988446,252.18061757087708,11.445753,0.5539264,0.37233254,0.027547687,9.457453,39.50948,460,1.8176632e-18,0.14027138,
0.3469388,2.110858e-06,0.95581526,0.4260983,2.4249297e-07,0.0028966416,,,-0.16924565,24,0.95581526,0.340885,0.9988446,263.82023644447327,5.819831e-06,0.53902173,0.19621508,0.01831564,10.226358,39.4417,480,,0.56794953,
-0.5102041,1.9453666e-06,0.95581526,0.42537284,0.0041812547,-0.043409385,,,-0.21006763,25,0.95581526,-0.50432414,0.9988446,275.21765518188477,0.10453136,0.5397472,0.5571561,0.01831564,10.634321,39.25843,500,,-0.1750265,
0.26530612,1.7986008e-06,0.95581526,0.4093812,0.00020827394,-0.08740462,,,-0.24928835,26,0.95581526,0.2565922,0.9988446,286.65982151031494,0.0054151225,0.5557388,0.95553154,0.01831564,10.643911,39.030174,520,,-0.21094051,
