Iteration,Delta,ReturnAbsMax,ReturnMin,LQGmu1_actor,ReturnMax,Bound,Regret/t,DenMISELogLast,LQGsigma_higher,ReturnMean,IWMin,Regret,IWMax,IWMean,ReturnStepMax,DenMISELogFirst,DenMISEMeanLog,ReturnLastEpisode,TimeElapsed,IWFirstEpisode,LQGmu1_higher,IWLastEpisode,TimestepsSoFar
1,0.0006079271,17.16115,,1.0576253,17.16115,38855190000000.0,0.23884964,0.017305799,0.14999999,17.16115,,0.23884964,8.077294e-17,8.077294e-17,18.939749,0.017305799,0.017305799,17.16115,0.07032966613769531,8.077294e-17,1.0,8.077294e-17,20
2,0.00015198177,17.16115,,-1.0754952,17.16115,5838676000.0,8.819425,0.21124153,0.14999999,8.580575,,17.63885,0.00012474728,6.237364e-05,18.939749,-0.6758414,-0.23229992,,1.0686240196228027,0.00012474728,-1.0,,40
3,6.754746e-05,17.195805,,0.47996986,17.195805,54055.254,5.9476805,-0.24708705,0.14999999,11.452319,,17.84304,0.0009978231,0.00033900992,18.985668,-1.0812441,-0.50751823,17.195805,2.3016862869262695,1.9206698e-05,0.45454547,8.6880205e-23,60
4,3.7995444e-05,17.195805,,-0.5815062,17.195805,6043.7026,7.058959,-0.41941595,0.14999999,10.341041,,28.235836,2.6767101,0.67196995,18.985668,-1.3689197,-0.7011695,7.0072045,3.0411036014556885,2.6767101,-0.5555556,1.8117069e-10,80
5,2.4317082e-05,17.375576,,0.043902293,17.375576,385.826,5.652052,-0.6199814,0.14999999,11.747948,,28.260262,0.612131,0.13185602,19.163036,-1.0797323,-0.7604228,17.375576,3.7726569175720215,0.047132436,0.17171717,1.6543556e-05,100
6,1.6886865e-05,17.375576,,0.6488755,17.375576,368.84317,6.0955257,-0.5129874,0.14999999,11.304474,,36.57315,1.5484314,0.3400006,19.163036,-1.2526715,-0.85030514,9.087105,4.516760349273682,6.7150346e-10,0.7171717,0.00018745278,120
7,1.2406674e-05,17.375576,,0.042402357,17.375576,258.9202,6.9574175,-0.6280246,0.14999999,10.442582,,48.70192,10.704618,1.8121665,19.163036,-1.4068222,-0.9066331,5.2712355,5.2634053230285645,10.704618,-0.33333334,2.4373985e-09,140
8,9.498861e-06,17.375576,,-0.57435757,17.375576,227.3282,7.1266546,-0.76937705,0.14999999,10.273345,,57.013237,2.685022,0.4980664,19.163036,-0.6124382,-0.85841686,9.08868,6.02611780166626,0.036338966,-0.7777778,1.8483174e-06,160
9,7.505273e-06,17.39681,,-0.007043682,17.39681,124.92763,6.3351593,-0.6940379,0.14999999,11.06484,,57.016426,6.4371643,1.48667,19.185463,-0.7256892,-0.8958999,17.39681,6.7736265659332275,0.4323368,0.030303031,0.0015765,180
10,6.0792704e-06,17.39681,,0.64553916,17.39681,119.1345,6.39015,-0.45299935,0.14999999,11.00985,,63.901505,4.4061837,0.67929435,19.185463,-0.7841304,-0.83300626,10.514936,7.5093092918396,0.0006259803,0.33333334,0.3187306,200
