IWFirstEpisode,Iteration,DenMISEMeanLog,IWMean,ReturnMax,IWMin,delta,LQGsigma_higher,ReturnStepMax,LQGmu1_actor,IWMax,ReturnLastEpisode,IWLastEpisode,Regret,DenMISELogLast,DenMISELogFirst,ReturnAbsMax,TimestepsSoFar,ReturnMin,LQGmu1_higher,Bound,Regret/t,ReturnMean,TimeElapsed
2.1498459e-15,1,0.53751445,2.1498459e-15,17.035273,,0.0012158542,0.14999999,18.810406,1.0053418,2.1498459e-15,17.035273,2.1498459e-15,0.324728,0.53751445,0.53751445,17.035273,20,,1.0,36720770000000.0,0.324728,17.035273,0.048331499099731445
8.511517e-06,2,0.064383745,4.2557585e-06,17.035273,,0.00030396355,0.14999999,18.810406,-1.1149865,8.511517e-06,,,17.684729,0.28440022,-0.15563273,17.035273,40,,-1.0,5562684400.0,8.842364,8.517636,0.7374048233032227
6.3182924e-05,3,-0.3654698,0.0017117365,17.191114,,0.00013509492,0.14999999,18.980112,0.36694473,0.005072027,17.191114,2.3900497e-24,17.853615,-0.41425094,-0.56109357,17.191114,60,,0.46938777,43601.438,5.9512053,11.408795,1.0735397338867188
0.73242486,4,-0.64725477,0.18424919,17.191114,,7.599089e-05,0.14999999,18.980112,-0.36107707,0.73242486,7.878726,3.6853198e-08,27.334888,-0.63127387,-0.8487546,17.191114,80,,-0.5510204,5890.069,6.833722,10.5262785,1.3362202644348145
0.11974706,5,-0.86924565,0.61858904,17.301626,,4.8634163e-05,0.14999999,19.086012,0.27056766,2.9629664,17.301626,0.010230165,27.393261,-1.0339205,-0.9037548,17.301626,100,,0.18367347,413.10977,5.478652,11.881349,1.595555305480957
1.2087634e-08,6,-0.8852739,0.21542478,17.301626,,3.377373e-05,0.14999999,19.086012,0.48506445,0.91226834,8.43813,0.057718635,36.315132,-0.5448824,-1.0624092,17.301626,120,,0.71428573,313.4122,6.0525217,11.307479,1.8375723361968994
8.1659565,7,-0.9478474,2.562923,17.301626,,2.4813347e-05,0.14999999,19.086012,-0.390724,9.771001,6.962442,4.414778e-06,46.712692,-0.60186154,-1.2165599,17.301626,140,,-0.30612245,253.50674,6.6732416,10.686759,2.011944055557251
0.005030078,8,-0.8214222,0.16602194,17.30621,,1.8997722e-05,0.14999999,19.09103,-0.622904,1.11605,17.30621,0.13249534,46.76648,-0.64911026,-0.57694817,17.30621,160,,-0.79591835,212.3117,5.84581,11.514191,2.1856677532196045
2.4325242,9,-0.9035988,1.7117969,17.42954,,1.5010546e-05,0.14999999,19.218552,-0.38536698,5.4565506,17.42954,2.4958634,46.696945,-0.77567893,-0.69410264,17.42954,180,,-0.42857143,129.22472,5.188549,12.171452,2.3584940433502197
0.002158231,10,-0.80633944,1.8571727,17.42954,,1.2158541e-05,0.14999999,19.218552,0.46391052,7.382342,17.27342,2.606497e-05,46.783524,-0.38405043,-0.5602255,17.42954,200,,0.3469388,127.60764,4.6783524,12.681648,2.5339527130126953
1.1241915,11,-0.74798244,0.28966686,17.42954,,1.0048381e-05,0.14999999,19.218552,0.043300033,1.2446011,7.1452136,0.064286,56.998306,-0.64839184,-0.65531987,17.42954,220,,0.020408163,115.76869,5.1816645,12.178336,2.7303826808929443
3.1548025e-11,12,-0.79184026,0.5157708,17.42954,,8.443432e-06,0.14999999,19.218552,1.0756847,5.53181,9.087583,4.05214e-06,65.27072,-0.59530026,-0.64502376,17.42954,240,,0.8367347,115.22084,5.439227,11.9207735,2.9510509967803955
0.08573897,13,-0.8784539,0.66786104,17.42954,,7.194403e-06,0.14999999,19.218552,-0.6456282,6.171565,,3.1704996e-29,82.63072,-1.3905281,-0.7250664,17.42954,260,,-0.67346936,111.192215,6.3562098,11.003791,3.1361801624298096
1.6093056e-05,14,-0.8859429,0.8990522,17.42954,,6.203337e-06,0.14999999,19.218552,-1.2906463,12.084822,17.404596,0.29643756,82.58612,-0.5965527,-0.79260075,17.42954,280,,-1.0,110.85097,5.8990088,11.460992,3.3198726177215576
6.21179,15,-1.0406959,1.3210262,17.42954,,5.403797e-06,0.14999999,19.218552,-0.4425978,6.21179,17.190477,3.4483016e-09,82.75566,-2.8991601,-0.8615925,17.42954,300,,-0.26530612,106.589554,5.517043,11.8429575,3.4996984004974365
9.668613e-07,16,-1.00003,0.86520964,17.42954,,4.7494304e-06,0.14999999,19.218552,0.54755425,5.727126,17.284197,2.2311297e-10,82.83145,-0.57747525,-0.579624,17.42954,320,,0.59183675,104.83743,5.1769657,12.183035,3.684051275253296
1.5800551,17,-0.9978629,1.4662573,17.42954,,4.207108e-06,0.14999999,19.218552,-0.6251877,4.954679,6.3749356,5.9235e-10,93.8165,-0.7564773,-0.6402486,17.42954,340,,-0.46938777,95.9768,5.5186186,11.841382,3.866133451461792
6.7628326e-15,18,-0.95777386,1.3107489,17.42954,,3.7526365e-06,0.14999999,19.218552,1.1659269,12.965953,17.384935,1.6092431e-25,93.791595,-0.627072,-0.60853165,17.42954,360,,1.0,93.27969,5.210644,12.149357,4.048495292663574
0.041978177,19,-1.0000159,0.9971814,17.42954,,3.3680174e-06,0.14999999,19.218552,0.3815077,7.1013722,,4.476186e-08,111.15161,-1.7955534,-0.66259885,17.42954,380,,0.2244898,91.52633,5.8500843,11.509916,4.229190349578857
1.4842169e-05,20,-0.9945213,0.9977047,17.42954,,3.0396352e-06,0.14999999,19.218552,-0.89404196,9.853176,7.779488,2.2761411e-18,120.7321,-0.8102905,-0.71168524,17.42954,400,,-1.0,90.92641,6.036605,11.323396,4.420938730239868
0.039049894,21,-0.9920619,0.9618947,17.42954,,2.7570386e-06,0.14999999,19.218552,-0.7002077,5.307332,17.281843,2.8574173,120.81024,-0.7897877,-0.7604746,17.42954,420,,-0.71428573,90.95254,5.7528696,11.607131,4.605071544647217
8.0646656e-05,22,-0.98051816,1.5189176,17.42954,,2.5120953e-06,0.14999999,19.218552,0.5823746,6.9052696,17.366482,3.1685426e-13,120.80377,-0.64045465,-0.80513686,17.42954,440,,0.46938777,84.886955,5.4910803,11.86892,4.7912657260894775
5.0254245,23,-0.9571357,0.6068742,17.42954,,2.2984013e-06,0.14999999,19.218552,-0.36864686,5.0254245,6.0167174,5.024557e-05,132.1471,-0.81125414,-0.84958494,17.42954,460,,-0.14285715,84.99728,5.7455254,11.614475,4.977205038070679
1.0619208,24,-0.9617011,1.4047413,17.42954,,2.110858e-06,0.14999999,19.218552,-0.65595734,4.6212993,17.308765,3.2861843,132.1983,-0.65684444,-0.6945267,17.42954,480,,-0.5102041,84.770355,5.5082626,11.851738,5.164942264556885
