LQGmu1_higher,LQGsigma_higher,LQGmu1_actor,delta,IWFirstEpisode,DenMISEMeanLog,TimestepsSoFar,Regret/t,ReturnMean,IWMax,ReturnLastEpisode,IWMin,IWMean,Bound,ReturnMin,DenMISELogLast,ReturnAbsMax,Regret,DenMISELogFirst,TimeElapsed,IWLastEpisode,Iteration,ReturnStepMax,ReturnMax
1.0,0.14999999,1.0576253,0.0012158542,8.077294e-17,0.017305799,20,0.19885063,17.16115,8.077294e-17,17.16115,,8.077294e-17,36992110000000.0,,0.017305799,17.16115,0.19885063,0.017305799,0.06401443481445312,8.077294e-17,1,18.939749,17.16115
-1.0,0.14999999,-1.0754952,0.00030396355,0.00012474728,-0.23229992,40,8.779426,8.580575,0.00012474728,,,6.237364e-05,5603788300.0,,0.21124153,17.16115,17.558851,-0.6758414,0.7003753185272217,,2,18.939749,17.16115
0.46938777,0.14999999,0.49481216,0.00013509492,1.155809e-05,-0.50751823,60,5.9076815,11.452319,0.0014780901,17.195805,,0.00049654936,43613.336,,-0.24708705,17.195805,17.723045,-1.0812441,0.8956778049468994,3.1510967e-23,3,18.985668,17.195805
-0.5510204,0.14999999,-0.576971,7.599089e-05,2.8124173,-0.70092654,80,7.0518923,10.308108,2.8124173,6.8754783,,0.7056178,5900.6455,,-0.4186015,17.195805,28.20757,-1.3689224,1.0768749713897705,1.12381424e-10,4,18.985668,17.195805
0.18367347,0.14999999,0.055858597,4.8634163e-05,0.035686765,-0.756472,100,5.6385174,11.721483,0.5878128,17.374985,,0.124702536,410.65823,,-0.6210424,17.374985,28.192589,-1.0596132,1.3619775772094727,1.290221e-05,5,19.162401,17.374985
0.71428573,0.14999999,0.6459894,3.377373e-05,7.521802e-10,-0.85435015,120,6.0793905,11.28061,1.8601993,9.076245,,0.38845453,316.36624,,-0.55039823,17.374985,36.47634,-1.2348228,1.6644508838653564,0.00030192285,6,19.162401,17.374985
-0.30612245,0.14999999,0.06961325,2.4813347e-05,10.666216,-0.8980829,140,6.933012,10.426989,10.666216,5.30526,,1.7594408,240.26495,,-0.58112955,17.374985,48.531082,-1.3889735,1.9490399360656738,8.480367e-09,7,19.162401,17.374985
-0.75510204,0.14999999,-0.5516818,1.8997722e-05,0.056786217,-0.8599135,160,7.103819,10.256182,3.2768216,9.060532,,0.53237224,219.46613,,-0.8019236,17.374985,56.83055,-0.59676087,2.3077239990234375,1.6177742e-06,8,19.162401,17.374985
0.06122449,0.14999999,0.023877777,1.5010546e-05,0.26109788,-0.8955928,180,6.3108015,11.049199,6.661363,17.393347,,1.5175565,125.05507,,-0.6986003,17.393347,56.79721,-0.70747066,2.8135592937469482,0.001267018,9,19.18176,17.393347
-0.42857143,0.14999999,-0.11636558,1.2158541e-05,4.2166567,-0.83329326,200,6.499113,10.860888,4.242691,9.166078,,1.2150729,121.03006,,-0.47030923,17.393347,64.991135,-0.78423315,3.4210779666900635,0.045020968,10,19.18176,17.393347
