Bound,IWMax,LQGmu1_higher,DenMISELogFirst,ReturnLastEpisode,IWLastEpisode,ReturnStepMax,IWMean,Regret/t,DenMISELogLast,TimeElapsed,ReturnMin,Regret,ReturnMean,ReturnMax,delta,LQGsigma_higher,LQGmu1_actor,IWFirstEpisode,ReturnAbsMax,Iteration,DenMISEMeanLog,IWMin,TimestepsSoFar
36024100000000.0,3.61276e-14,1.0,0.8247111,16.71208,3.61276e-14,18.474237,3.61276e-14,0.6479206,0.8247111,0.0737614631652832,,0.6479206,16.71208,16.71208,0.0012158542,0.14999999,0.87265664,3.61276e-14,16.71208,1,0.8247111,,20
5457149400.0,8.460205e-07,-1.0,0.13156392,2.17119,4.102311e-34,18.474237,4.2301025e-07,7.9183655,-0.0753286,0.8815357685089111,,15.836731,9.441635,16.71208,0.00030396355,0.14999999,-1.222717,8.460205e-07,16.71208,2,0.028117657,,40
43631.684,0.1159111,0.46938777,-0.27390078,17.203007,2.1034955e-27,18.99284,0.03872777,5.3312426,-1.2227173,1.1828479766845703,,15.993729,12.028758,17.203007,0.00013509492,0.14999999,0.3395601,0.00027221726,17.203007,3,-0.65913725,,60
5891.967,0.23029555,-0.5510204,-0.5614921,8.054877,1.2636511e-07,18.99284,0.05770709,6.3247128,-0.76292044,1.4607956409454346,,25.298851,11.035288,17.203007,7.599089e-05,0.14999999,-0.43595156,0.23029555,17.203007,4,-0.89134455,,80
415.16714,4.154663,0.18367347,-0.72865814,17.282352,0.0011910095,19.067137,0.8866695,5.0753,-0.8207573,1.7095720767974854,,25.3765,12.2847,17.282352,4.8634163e-05,0.14999999,0.00727506,0.27731246,17.282352,5,-1.0445198,,100
314.90402,6.0926676,0.75510204,-0.85700065,10.37902,1.870796e-05,19.067137,1.0322331,5.392914,-0.5629298,2.0247480869293213,,32.357483,11.967087,17.282352,3.377373e-05,0.14999999,0.87071,2.0041321e-08,17.282352,6,-1.006343,,120
236.98524,5.8159494,-0.30612245,-1.0111513,2.2020884,2.0632419e-13,19.067137,1.6647818,6.7879133,-0.5888179,2.386075735092163,,47.515396,10.572087,17.282352,2.4813347e-05,0.14999999,-0.17104569,5.2227726,17.282352,7,-0.97632724,,140
210.71744,0.54905,-0.75510204,-0.5872921,16.478565,0.0024561726,19.067137,0.092708774,6.0496035,-0.5931541,2.6535964012145996,,48.396828,11.310397,17.282352,1.8997722e-05,0.14999999,-0.6663009,0.0033284458,17.282352,8,-0.88947636,,160
126.975136,6.4149313,0.020408163,-0.70465916,17.380257,0.00014671065,19.168798,1.3029804,5.3751745,-0.67409027,3.025020122528076,,48.37657,11.984826,17.380257,1.5010546e-05,0.14999999,-0.20495927,2.1435516,17.380257,9,-0.9602197,,180
120.35901,5.830198,-0.3877551,-0.5963832,16.849241,2.3690221,19.168798,1.2940023,4.888733,-0.6268362,3.4122753143310547,,48.88733,12.471268,17.380257,1.2158541e-05,0.14999999,-0.3022404,1.9037887,17.380257,10,-0.9146513,,200
