DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,ReturnLastEpisode,Iteration,delta,TimestepsSoFar,Regret,LQGmu1_actor,DenMISELogFirst,IWFirstEpisode,Bound,IWMean,LQGsigma_higher,DenMISELogLast,IWMin,ReturnMax,ReturnMin,ReturnStepMax,TimeElapsed,Regret/t,LQGmu1_higher,IWMax,ReturnMean
-1.5985336,8.577961,3.5663983e-05,8.577961,1,0.0012158542,20,8.78204,1.1343366,-1.5985336,3.5663983e-05,18490420000000.0,3.5663983e-05,0.14999999,-1.5985336,,8.577961,,9.421514,0.06154489517211914,8.78204,1.0,3.5663983e-05,8.577961
-1.2038202,8.577961,,,2,0.00030396355,40,26.14204,-1.0977486,-2.2916453,3.70101e-14,2801040400.0,1.850505e-14,0.14999999,-0.11599506,,8.577961,,9.421514,0.9064643383026123,13.07102,-1.0,3.70101e-14,4.2889805
-1.1837767,17.203144,7.36735e-24,17.203144,3,0.00013509492,60,26.298897,0.33824775,-2.6971102,12.3203945,43667.176,4.1068788,0.14999999,-0.33275956,,17.203144,,18.993044,1.1440603733062744,8.766299,0.46938777,12.3203945,8.593701
-0.88839984,17.203144,1.3402632e-07,8.062976,4,7.599089e-05,80,35.59592,-1.0837064,-1.3542197,9.253228e-06,5891.077,0.001614545,0.14999999,-0.7698765,,17.203144,,18.993044,1.3297309875488281,8.89898,-0.5510204,0.0064487928,8.46102
-1.0458782,17.203144,1.8354755e-15,17.197561,5,4.8634163e-05,100,35.758358,0.08478425,-1.5773609,11.985972,433.04608,3.2415376,0.14999999,-0.7848309,,17.203144,,18.993044,1.500842571258545,7.1516714,0.18367347,11.985972,10.208329
-0.8081951,17.203144,0.00068600767,9.039206,6,3.377373e-05,120,44.079155,0.85738164,-0.5367325,0.031023648,311.44278,0.06850268,0.14999999,-0.5432445,,17.203144,,18.993044,1.6854050159454346,7.346526,0.71428573,0.20171005,10.013474
-0.9153245,17.203144,2.2341094e-26,2.4117928,7,2.4813347e-05,140,59.027367,-0.41572213,-0.6857259,2.2674625e-10,211.6326,0.34812978,0.14999999,-0.70070416,,17.203144,,18.993044,1.8632826805114746,8.432481,-0.79591835,1.2956294,8.92752
-1.040711,17.29381,8.825079,17.29381,8,1.8997722e-05,160,59.09356,-0.24130532,-0.8192573,0.0028184755,229.85934,1.1156456,0.14999999,-1.3045528,,17.29381,,19.079056,2.0363333225250244,7.386695,-0.3469388,8.825079,9.973306
-1.0318384,17.29381,0.0073957318,16.937769,9,1.5010546e-05,180,59.515793,0.26080647,-0.93668807,6.167076,125.30445,1.6768646,0.14999999,-0.77445984,,17.29381,,19.079056,2.2101800441741943,6.6128654,0.30612245,6.624953,10.747135
-0.943449,17.29381,1.2154089,8.485354,10,1.2158541e-05,200,68.390434,-0.026674008,-0.52014613,1.5245551,119.8145,1.0166504,0.14999999,-0.5011514,,17.29381,,19.079056,2.385195732116699,6.8390436,0.020408163,5.483831,10.520957
