ReturnMin,Iteration,TimestepsSoFar,IWLastEpisode,LQGmu1_actor,Regret/t,DenMISELogFirst,ReturnStepMax,ReturnLastEpisode,ReturnMean,delta,IWMean,Regret,Bound,DenMISEMeanLog,LQGsigma_higher,LQGmu1_higher,DenMISELogLast,ReturnAbsMax,IWFirstEpisode,IWMin,IWMax,ReturnMax,TimeElapsed
,1,20,1.3972004e-08,0.86322707,8.313697,0.25774264,9.935912,9.046304,9.046304,0.0012158542,1.3972004e-08,8.313697,19499967000000.0,0.25774264,0.14999999,1.0,0.25774264,9.046304,1.3972004e-08,,1.3972004e-08,9.046304,0.08069252967834473
,2,40,9.485256e-34,-1.0989887,11.676739,-0.43540454,9.935912,2.320221,5.6832623,0.00030396355,1.1345505e-11,23.353477,2953972700.0,-0.28303885,0.14999999,-1.0,-0.13067316,9.046304,2.269101e-11,,2.269101e-11,9.046304,0.7971577644348145
,3,60,6.7942704e-24,0.6247252,7.839923,-0.8408696,18.982464,17.193708,9.520078,0.00013509492,0.119051255,23.519768,43608.77,-0.5717296,0.14999999,0.46938777,-0.33818093,17.193708,0.21237615,,0.21237615,17.193708,1.242581844329834
,4,80,2.899361e-13,-0.53103673,8.832124,-1.0601531,18.982464,5.5512743,8.527877,7.599089e-05,0.001847975,35.328495,5887.8477,-0.833729,0.14999999,-0.5510204,-0.8722106,17.193708,0.0011007125,,0.0062911874,17.193708,1.5109078884124756
,5,100,5.7910336e-05,0.17966451,7.063513,-1.2830215,19.157974,17.370935,10.296488,4.8634163e-05,1.5327575,35.317562,423.42374,-0.9684397,0.14999999,0.18367347,-0.61655474,17.370935,7.558002,,7.558002,17.370935,1.7945210933685303
,6,120,0.007865706,0.80840266,7.3111334,-0.54442286,19.157974,8.8107605,10.048867,3.377373e-05,2.187801,43.866802,323.45767,-0.8900129,0.14999999,0.71428573,-0.5281289,17.370935,0.00060139433,,7.8203964,17.370935,2.0781707763671875
,7,140,6.842518e-13,-0.42159063,8.296025,-0.69847333,19.157974,3.154627,9.063975,2.4813347e-05,0.47887442,58.072174,217.24753,-0.7814602,0.14999999,-0.3469388,-0.67389756,17.370935,0.09301631,,3.248002,17.370935,2.3673224449157715
,8,160,0.40351015,-0.49898866,7.2650166,-0.8188042,19.157974,17.312038,10.094984,1.8997722e-05,0.36066023,58.120132,216.21341,-0.8243779,0.14999999,-0.75510204,-0.5860401,17.370935,1.1193882e-06,,1.7645274,17.370935,2.653262138366699
,9,180,0.0046642562,-0.061966963,6.456417,-0.9365871,19.159437,17.372387,10.903584,1.5010546e-05,1.3013153,58.10775,122.7462,-0.87012124,0.14999999,0.06122449,-0.62818754,17.372387,6.7321124,,6.7321124,17.372387,2.9395949840545654
,10,200,7.5842166e-08,0.6298398,6.045129,-0.4834682,19.159437,15.016466,11.314872,1.2158541e-05,1.737019,60.451286,118.102615,-0.8354181,0.14999999,0.8367347,-0.57531303,17.372387,1.2852068e-05,,7.5583515,17.372387,3.2268753051757812
,11,220,1.2869138e-11,-0.53699136,6.574403,-0.5787771,19.159437,5.492854,10.785598,1.0048381e-05,1.600938,72.318436,118.55964,-0.7972168,0.14999999,-0.46938777,-0.79677093,17.372387,0.0057898685,,5.9718113,17.372387,3.5148110389709473
,12,240,1.271505e-07,0.07110727,6.024556,-0.6652623,19.171026,17.383745,11.335444,8.443432e-06,0.5527176,72.29468,117.028244,-0.7455265,0.14999999,0.3469388,-0.50687134,17.383745,1.0624955,,3.1181426,17.383745,3.8048830032348633
,13,260,4.3843894e-11,-1.1150697,6.1996975,-0.66046643,19.171026,9.058618,11.160303,7.194403e-06,0.9235931,80.59607,114.31235,-0.7739548,0.14999999,-1.0,-0.6663415,17.383745,2.8418268e-11,,11.909565,17.383745,4.098305940628052
,14,280,2.0046531e-07,-0.06078583,5.7685986,-0.7345744,19.171026,17.195684,11.591402,6.203337e-06,0.684213,80.760376,109.63408,-0.8279583,0.14999999,-0.2244898,-1.2243657,17.383745,0.70588815,,3.5964043,17.383745,4.391820192337036
,15,300,0.0004276975,0.72862655,5.6084757,-0.75437665,19.171026,13.993245,11.751525,5.403797e-06,1.204676,84.12715,103.97454,-0.8432458,0.14999999,0.59183675,-0.72953117,17.383745,0.016774356,,7.221247,17.383745,4.685479640960693
,16,320,5.9039256e-19,-0.67015344,6.076008,-0.8177975,19.171026,4.2710233,11.283993,4.7494304e-06,0.72297573,97.216125,101.16532,-0.8334684,0.14999999,-0.67346936,-0.73438203,17.383745,1.9960193e-05,,3.7235045,17.383745,4.980517864227295
