DenMISELogLast,Regret,LQGmu1_actor,TimestepsSoFar,ReturnLastEpisode,IWMax,IWLastEpisode,ReturnMean,Iteration,ReturnMin,ReturnStepMax,DenMISEMeanLog,ReturnMax,LQGmu1_higher,IWFirstEpisode,Bound,IWMin,delta,Regret/t,LQGsigma_higher,TimeElapsed,ReturnAbsMax,DenMISELogFirst,IWMean
-0.6529374,0.08400726,1.1484094,20,17.275993,3.7151473e-18,3.7151473e-18,17.275993,1,,19.060629,-0.6529374,17.275993,1.0,3.7151473e-18,37239660000000.0,,0.0012158542,0.08400726,0.14999999,0.11324763298034668,17.275993,-0.6529374,3.7151473e-18
-0.20441784,17.444008,-0.9556911,40,,0.0015494507,,8.637997,2,,19.060629,-0.7752512,17.275993,-1.0,0.0015494507,5641289700.0,,0.00030396355,8.722004,0.14999999,0.756399393081665,17.275993,-1.3460846,0.00077472534
-0.1640591,17.56078,0.3608591,60,17.243229,0.00017374103,7.8769696e-20,11.506408,3,,19.060629,-0.84157246,17.275993,0.46938777,2.3461807e-06,43816.715,,0.00013509492,5.853593,0.14999999,0.9889876842498779,17.275993,-1.7507753,5.8695736e-05
-0.6581919,27.001728,-0.49297062,80,7.9190516,9.93312,4.848828e-08,10.609569,4,,19.060629,-1.0114743,17.275993,-0.5510204,9.93312,5959.371,,7.599089e-05,6.750432,0.14999999,1.2711663246154785,17.275993,-2.0384567,2.5107284
-0.66845304,26.95399,0.1939716,100,17.407738,3.195859,0.00019789973,11.969202,5,,19.196016,-0.8663742,17.407738,0.18367347,0.007881065,415.5893,,4.8634163e-05,5.3907986,0.14999999,1.5120925903320312,17.407738,-1.0136259,0.6407876
-0.52876025,35.551903,0.835265,120,8.762091,0.29283684,0.011007156,11.434684,6,,19.196016,-0.87940556,17.407738,0.71428573,3.7820677e-11,315.22906,,3.377373e-05,5.925317,0.14999999,1.8716294765472412,17.407738,-1.1943724,0.07539685
-0.68962425,50.15927,-0.041257232,140,2.7526317,10.113987,1.7220267e-13,10.19439,7,,19.196016,-0.9738602,17.407738,-0.3469388,10.113987,245.71985,,2.4813347e-05,7.1656103,0.14999999,2.1270241737365723,17.407738,-1.3485231,2.092403
-0.7773048,54.075783,-0.76764464,160,13.44349,4.6110134,1.8451465e-05,10.600528,8,,19.196016,-0.89190257,17.407738,-0.79591835,0.08650833,222.18797,,1.8997722e-05,6.759473,0.14999999,2.382956027984619,17.407738,-0.58806854,0.6692141
-0.7147848,54.083694,0.16337375,180,17.352083,5.154541,1.2728706e-06,11.350701,9,,19.196016,-0.91639453,17.407738,0.06122449,0.08401216,124.41676,,1.5010546e-05,6.0092993,0.14999999,2.663895606994629,17.407738,-0.69509614,1.1912112
-0.5696634,62.582054,0.16818312,200,8.861641,6.751454,2.2234101,11.101795,10,,19.196016,-0.87959003,17.407738,0.3469388,6.237183e-05,121.23258,,1.2158541e-05,6.2582054,0.14999999,2.99340558052063,17.407738,-0.79116523,1.2133019
-0.46369982,71.09493,-0.86052144,220,8.847123,5.4550858,6.160873e-07,10.896825,11,,19.196016,-0.8379129,17.407738,-0.67346936,0.84415555,117.71047,,1.0048381e-05,6.463176,0.14999999,3.3945584297180176,17.407738,-0.8864692,0.9648643
-0.7450715,71.14792,0.81930864,240,17.30701,8.699709,3.924345e-29,11.431007,12,,19.196016,-0.8408022,17.407738,0.877551,5.9232476e-15,116.82539,,8.443432e-06,5.928993,0.14999999,3.763366937637329,17.407738,-0.8995413,1.0378755
-0.7682954,85.51494,-1.0602981,260,2.9930031,7.230197,6.5287274e-32,10.781928,13,,19.196016,-0.8462094,17.407738,-1.0,0.0010740109,113.92269,,7.194403e-06,6.5780725,0.14999999,3.9775736331939697,17.407738,-0.979584,0.9823996
-0.9211148,85.67168,-0.19059962,280,17.203257,5.9529943,5.312643e-06,11.240595,14,,19.196016,-0.861569,17.407738,-0.26530612,5.9529943,113.524796,,6.203337e-06,6.1194057,0.14999999,4.160651206970215,17.407738,-1.0536094,0.73430675
-0.75542337,86.31479,0.57690555,300,16.716894,2.0953548,6.9902812e-06,11.605682,15,,19.196016,-0.8759548,17.407738,0.59183675,6.4994694e-09,101.84705,,5.403797e-06,5.754318,0.14999999,4.339681148529053,17.407738,-0.7682804,0.40662572
-0.72195613,97.60034,-0.33169276,320,6.0744424,6.267592,1.489829e-10,11.259979,16,,19.196016,-0.90282536,17.407738,-0.46938777,4.9310784,99.13021,,4.7494304e-06,6.1000214,0.14999999,4.520211458206177,17.407738,-0.83281887,0.83774364
-0.65429914,97.84891,-0.71423364,340,17.111408,5.9433846,0.017673576,11.604181,17,,19.196016,-0.9021137,17.407738,-0.8367347,0.040004186,97.366714,,4.207108e-06,5.7558193,0.14999999,4.705747365951538,17.407738,-0.62479717,1.1108282
