ReturnStepMax,IWMean,LQGmu1_higher,DenMISELogLast,DenMISEMeanLog,ReturnMin,ReturnMean,ReturnLastEpisode,delta,Regret/t,Regret,DenMISELogFirst,IWLastEpisode,TimeElapsed,IWMin,ReturnAbsMax,ReturnMax,IWFirstEpisode,LQGsigma_higher,TimestepsSoFar,Bound,Iteration,IWMax,LQGmu1_actor
10.190783,3.7140502e-10,1.0,0.72917217,0.72917217,,9.285846,9.285846,0.0012158542,8.074155,8.074155,0.72917217,3.7140502e-10,0.06789374351501465,,9.285846,9.285846,3.7140502e-10,0.14999999,20,20016315000000.0,1,3.7140502e-10,1.1489068
10.190783,2.2069718e-10,-1.0,-0.20770451,-0.085839756,,4.642923,,0.00030396355,12.717077,25.434155,0.036025006,,0.7682356834411621,,9.285846,9.285846,4.4139437e-10,0.14999999,40,3032192800.0,2,4.4139437e-10,-0.81920063
19.13152,0.010884333,0.46938777,-0.846819,-0.6098096,,8.875988,17.34212,0.00013509492,8.484013,25.452038,-0.3694401,5.8547505e-16,1.0658578872680664,,17.34212,17.34212,0.032481287,0.14999999,60,43984.53,3,0.032481287,0.45694667
19.13152,0.41946775,-0.5510204,-0.4091072,-0.772689,,8.4578905,7.203599,7.599089e-05,8.90211,35.60844,-0.64635324,6.267738e-10,1.293644666671753,,17.34212,17.34212,0.005159996,0.14999999,80,5945.9043,4,1.672711,-0.20428309
19.13152,0.85939515,0.18367347,-0.7885008,-0.88423383,,10.128571,16.811289,4.8634163e-05,7.23143,36.15715,-0.86820763,0.20638931,1.5330278873443604,,17.34212,17.34212,3.1384857,0.14999999,100,416.84674,5,3.1384857,0.2393206
19.13152,0.22267528,0.71428573,-0.5364385,-0.86121565,,9.871007,8.58319,3.377373e-05,7.4889936,44.93396,-0.563363,0.030241707,1.7871689796447754,,17.34212,17.34212,6.697483e-05,0.14999999,120,315.07364,6,1.1581413,0.91908985
19.13152,1.4409411,-0.79591835,-0.72909343,-0.9450656,,8.662822,1.4137144,2.4813347e-05,8.697179,60.88025,-0.71750253,2.2670136e-28,2.0519754886627197,,17.34212,17.34212,3.4069826e-06,0.14999999,140,232.29474,7,10.083291,-0.8795982
19.13152,0.98479927,-0.30612245,-0.58766997,-0.9056484,,9.742453,17.29986,1.8997722e-05,7.617548,60.940384,-0.85103345,0.0032068414,2.318742275238037,,17.34212,17.34212,0.716282,0.14999999,160,228.46045,8,7.137013,-0.31841946
19.13152,1.221723,0.020408163,-0.716102,-0.90855175,,10.572778,17.215382,1.5010546e-05,6.787223,61.085007,-0.8830652,0.42446747,2.6051559448242188,,17.34212,17.34212,6.4015527,0.14999999,180,123.1894,9,6.4015527,-0.12318241
19.13152,1.0314555,0.3469388,-0.5193314,-0.8643405,,11.119956,16.044565,1.2158541e-05,6.2400446,62.400444,-0.451182,0.03291231,2.891136884689331,,17.34212,17.34212,0.314768,0.14999999,200,120.022736,10,5.3318434,0.4713034
