ReturnMin,DenMISEMeanLog,delta,Regret/t,ReturnAbsMax,TimeElapsed,TimestepsSoFar,IWFirstEpisode,ReturnMax,LQGmu1_higher,LQGsigma_higher,DenMISELogFirst,Iteration,Bound,LQGmu1_actor,DenMISELogLast,IWMean,Regret,ReturnStepMax,IWMax,IWLastEpisode,ReturnLastEpisode,ReturnMean,IWMin
,0.5148256,0.0012158542,8.273295,9.086705,0.06878137588500977,20,2.4445732e-09,9.086705,1.0,0.14999999,0.5148256,1,19587054000000.0,0.912537,0.5148256,2.4445732e-09,8.273295,9.980288,2.4445732e-09,2.4445732e-09,9.086705,9.086705,
,-0.031641215,0.00030396355,12.055152,9.086705,0.5923862457275391,40,9.446369e-11,9.086705,-1.0,0.14999999,-0.17832159,2,2967165400.0,-0.5490607,0.115039155,4.7231843e-11,24.110304,9.980288,9.446369e-11,1.18438216e-35,1.5229924,5.3048487,
,-1.6004466,0.00013509492,8.028052,17.386147,0.7908101081848145,60,0.086145945,17.386147,0.46938777,0.14999999,-0.58378667,3,44096.38,0.5585559,-3.9271274,0.04380064,24.084158,19.173084,0.086145945,1.31820075e-08,17.386147,9.331948,
,-1.5475612,7.599089e-05,8.795005,17.386147,1.1569862365722656,80,0.002341479,17.386147,-0.5510204,0.14999999,-0.843158,4,6736.0586,-0.70293796,-0.569142,44.99827,35.18002,19.173084,179.99074,6.1671826e-12,6.2641406,8.564996,
,-0.83725435,4.8634163e-05,7.0304346,17.387848,1.735100269317627,100,5.0170584,17.387848,0.18367347,0.14999999,-1.0657164,5,419.47247,-0.072885394,-0.93262875,1.0551417,35.152172,19.17718,5.0170584,1.7514836e-07,17.387848,10.329566,
,-0.8274674,3.377373e-05,6.304681,17.387848,2.330589532852173,120,0.0002158725,17.387848,0.71428573,0.14999999,-0.55318636,6,319.29138,0.6411848,-0.61221355,1.1391712,37.828087,19.17718,3.909612,5.135415e-06,14.684084,11.05532,
,-0.79581505,2.4813347e-05,7.1180744,17.387848,2.9312734603881836,140,3.656522e-06,17.387848,-0.75510204,0.14999999,-0.7073011,7,236.5991,-0.7366572,-0.5798988,1.6532936,49.826523,19.17718,8.90679,7.259958e-19,5.3615665,10.241926,
,-0.7436588,1.8997722e-05,6.2259254,17.387848,3.557131767272949,160,0.4019917,17.387848,-0.30612245,0.14999999,-0.84083194,8,220.93643,-0.39403296,-0.5874202,0.512903,49.807404,19.17718,1.952619,0.077807784,17.379118,11.134075,
,-0.79518914,1.5010546e-05,5.5434074,17.387848,4.0301384925842285,180,6.520684,17.387848,0.020408163,0.14999999,-0.90958774,9,125.29612,-0.19628158,-0.73477244,1.2813493,49.890663,19.17718,6.520684,0.121971555,17.276741,11.816593,
,-0.77267504,1.2158541e-05,5.0497704,17.387848,4.612324476242065,200,0.029512255,17.387848,-0.42857143,0.14999999,-0.46999928,10,123.79371,-0.02699837,-0.61470515,1.381108,50.497704,19.17718,5.920045,1.4826143,16.752956,12.31023,
,-0.73191553,1.0048381e-05,5.0459633,17.387848,5.018892765045166,220,4.0756336e-06,17.387848,0.8367347,0.14999999,-0.56236255,11,117.068054,0.96367174,-0.53436726,1.101932,55.5056,19.17718,7.599648,2.863638e-07,12.352102,12.314037,
,-0.7471287,8.443432e-06,6.018009,17.387848,5.410953521728516,240,0.6660074,17.387848,0.3469388,0.14999999,-0.6493736,12,116.614876,0.38108262,-0.85150355,0.38288987,72.21611,19.17718,2.6732638,0.0013297693,0.64949656,11.341991,
,-0.7910639,7.194403e-06,6.2918205,17.387848,5.805065155029297,260,1.6793825e-07,17.387848,-0.8367347,0.14999999,-0.67540115,13,115.84796,-0.88239986,-0.7145178,0.86719143,81.79367,19.17718,5.751436,2.6420982e-14,7.782439,11.06818,
,-0.8042431,6.203337e-06,5.846959,17.387848,6.199539422988892,280,1.7713785,17.387848,-0.18367347,0.14999999,-0.7495091,14,105.189606,-0.24624741,-0.7502904,1.2655938,81.85742,19.17718,5.971048,0.0001093636,17.296255,11.5130415,
,-0.77671254,5.403797e-06,5.4878473,17.387848,6.5889458656311035,300,0.0068589714,17.387848,0.59183675,0.14999999,-0.69936246,15,104.73651,0.5710094,-0.5381101,1.1710442,82.31772,19.17718,7.2128086,7.5823766e-07,16.89972,11.872153,
